VerbNet,LVF,LADL,Parangon,Commentaires
9.1: put-9.1,L3b,38LD,mettre,programmer n'est pas locatif et ne nous intéresse pas
9.2: put_spatial-9.2,L3b,38LD ou 36SL,pendre,
9.3: funnel-9.3,L3b,38LD,-?,Entonner ? Embouteiller ? Encuver ? mix entre enfoncer 01/06/11 dans le LVF
9.4: put_direction-9.4,L3b,38LD,monter ?,38-L double locatif – il y a bien les sens « soulever » et « lâcher/laisser tomber » en anglais
9.5: pour-9.5,L3b,38LD,verser,
9.6: coil-9.6,L3b,38LD ou 36SL,enrouler,
9.7: spray-9.7,L3b ou L4b ou E3f,37M2 et 37M3 et 37M4 et 37M5 et 37M6 et 38LD,charger,standard/croisé – à la fois entasser et asperger de l'eau ou de la peinture
9.8: fill-9.8,N3c,37M2 ou 37M3 ou 37M4,remplir,diverses sous-classes ignorées en anglais
9.9: butter-9.9,N3c,37M5 ou 37M6,beurrer,
9.10: pocket-9.10,-,-,-,"V=Vn (mettre en boîte, mettre en prison...)"
10.1: remove-10.1,E3c,37E ou 38LS,enlever,
10.2: banish-10.2,E1b ou E1e,38LH ou 38LD ou 38LS,extrader,
10.3: clear-10.3,N3d,37E,nettoyer,Agent V theme locaton : source – plutôt vider que nettoyer ?
10.4.1: wipe_manner-10.4.1,R3g,37E ou 38LS,vider,se vider – plutôt nettoyer ?
10.4.2: wipe_instr-10.4.2,R3g,37E et 38LS,éponger,"Paradoxalement, éponger 01 est lui dans E3c (faire sortir qc de lieu)"
10.5: steal-10.5,D2c,36DT source,voler,Agent voler theme à source – N1b était proche
10.6: cheat-10.6,N1b ou N2b ou N3b ou N3d,37E ou 38R,soigner,déposséder
10.7: pit-10.7,-,-,-,"V=Vn SI ça existait, ce serait N3b"
10.8: debone-10.8,N1d ou N3b ou N1b,37E,dégraisser ou épiler,Dégraisser donne N0 dé-V N 1 de Poss Vn et épiler donne N0 é-V N 1 de Poss Vn
10.9: mine-10.9,E3c,-,-,V=Vn deux verbes comme bring-11.3
10.10: fire-10.10,E2b,38LHS,virer,
10.11: resign-10.11,E2a,35R,démissionner,Agent + humain V de Source
11.1: send-11.1,E3f,38LD ou 38LS,envoyer,
11.2: slide-11.2,E3d et E3f,38LD ou 38LS,rouler,
11.3: bring-11.3,?,?,?,bring and take
11.4: carry-11.4,E3f,38LD ou 38LS,porter,
11.5: drive-11.5,E3f,38L,camionner,"Vn = transport,  brouetter différence avec carry-11.4, c'est que l'agent bouge ? Pourquoi “Amanda flew me the package” ? camionner et bouetter sont en 38L"
12: push-12,E3f,38L,pousser : non,secouer pas les verbes avec un complément locatif de destination ou de source
13.1: give-13.1,D2a,36DT,"donner, vendre, livrer",
13.2: contribute-13.2,D2a,36DT,distribuer,à merger avec 13-1 puisque pas de dative alternation en français
13.3: future_having-13.3,D2a,36DT,offrir,à merger avec 13-1 puisque pas de dative alternation en français
13.4.1: fulfilling-13.4.1,N1a,36DT,fournir,
13.4.2: equip-13.4.2,N1a,37M1,équiper,N1humain  = Agent V Recipeint de Theme
13.5.1: get-13.5.1,D2c,36DT,acheter,
13.5.2: obtain-13.5.2,D2c,36DT,obtenir,Quelle différence entre get et obtain ? Les rôles manquants sont quand même dans obtain
13.5.3: hire-13.5.3,S2b,38R,engager,No V deux secrétaires (comme aides)
13.6: exchange-13.6,T3f,38R,échanger,N V N1 contre N2
13.7: berry-13.7,-,-,-,V=Vn
14: learn-14,P3c,?,"apprendre, étudier",pas une bonne classe en français
15.1: hold-15.1,S3a,32CL,agripper,
15.2: keep-15.2,L3b,38LR,garder,
16: concealment-16,L3a,38LR,cacher,NAgnet V Patient à Ida/Loc N2
17.1: throw-17.1,E3f.3,38L et 38LD,lancer,17.1-1-1 métaphorique
17.2: pelt-17.2,N1c.5,37M4,bombarder,N2 = projectile
