"<ID>";"N0 =: Nhum";"N0 =: N-hum";"N0 être Det1 C1 Prépc Detc Cc";"Ppv =: en figé";"Ppv =: le figé";"Ppv =: me figé";"Ppv =: nous figé";"Ppv =: Neg";"<ENT>Ppv";"<ENT><avoir>";"<ENT>Det1";"<ENT>C1";"<ENT>Prépc";"<ENT>Detc";"<ENT>Cc";"C1 = C1 Adj1";"C1 = Adj1 C1";"Vsup = perdre";"Vsup = prendre";"Vsup = garder";"Vop = N-hum donner";"Vop = recevoir";"Exemple"
"1";"+";"+";"-";"-";"-";"-";"-";"-";"<E>";" avoir";"un";"accent";"de";"<E>";"sincérité";"-";"-";"+";"+";"+";"+";"-";"§a§un accent de sincérité "
"2";"+";"+";"-";"-";"-";"-";"-";"-";"<E>";" avoir";"un";"accent";"de";"<E>";"vérité";"-";"-";"+";"+";"+";"+";"-";"§a§un accent de vérité "
"3";"+";"-";"-";"-";"-";"-";"-";"-";"<E>";" avoir";"Poss0";"affaires";"<E>";"<E>";"<E>";"-";"-";"-";"-";"-";"-";"-";"§a§ses affaits "
"4";"+";"-";"-";"-";"-";"-";"-";"-";"<E>";" avoir";"un certain";"âge";"<E>";"<E>";"<E>";"-";"-";"-";"-";"-";"-";"-";"§a§un certain âge "
"5";"+";"-";"-";"-";"-";"-";"-";"+";"n'";" avoir";"de";"âge";"<E>";"<E>";"<E>";"-";"-";"-";"-";"-";"+";"-";"§n'a§d'âge "
"6";"+";"-";"-";"-";"-";"-";"-";"+";"n'";" avoir";"Poss0";"âge";"<E>";"<E>";"<E>";"-";"-";"-";"-";"-";"+";"-";"§n'a§son âge "
"7";"+";"-";"-";"-";"-";"-";"-";"-";"<E>";" avoir";"le";"âge";"de";"Poss0";"artères";"-";"-";"-";"-";"+";"+";"-";"§a§l'âge de ses artères "
"8";"+";"-";"-";"-";"-";"-";"-";"-";"<E>";" avoir";"un";"âge";"<E>";"<E>";"certain";"+";"-";"-";"-";"-";"-";"-";"§a§un âge certain "
"9";"+";"-";"-";"-";"-";"-";"-";"-";"<E>";" avoir";"le";"âge";"de";"<E>";"raison";"-";"-";"-";"-";"+";"+";"-";"§a§l'âge de raison "
"10";"+";"-";"-";"-";"-";"-";"-";"-";"<E>";" avoir";"quel";"âge ?";"<E>";"<E>";"<E>";"-";"-";"-";"-";"-";"-";"-";"§a§quel âge ? "
"11";"+";"+";"-";"-";"-";"-";"-";"-";"<E>";" avoir";"grand";"air";"<E>";"<E>";"<E>";"-";"-";"+";"-";"+";"-";"-";"§a§grand air "
"12";"+";"-";"-";"-";"-";"-";"-";"-";"<E>";" avoir";"le";"air";"de";"un";"con";"-";"-";"-";"+";"+";"+";"-";"§a§l'air d'un con "
"13";"+";"-";"-";"-";"-";"-";"-";"-";"<E>";" avoir";"un";"air";"de";"<E>";"en avoir deux";"-";"-";"-";"-";"-";"+";"-";"§a§un air d'en a deux "
"14";"+";"-";"-";"-";"-";"-";"-";"-";"<E>";" avoir";"un";"air";"<E>";"<E>";"fin";"-";"-";"-";"+";"+";"+";"-";"§a§un air fin "
"15";"+";"-";"-";"-";"-";"-";"-";"-";"<E>";" avoir";"Poss0";"air";"de";"les mauvais";"jours";"-";"-";"+";"+";"+";"+";"-";"§a§son air des mauvais jours "
"16";"+";"-";"-";"-";"-";"-";"-";"-";"<E>";" avoir";"le";"air";"de";"un";"oiseau ébouriffé";"-";"-";"-";"+";"+";"+";"-";"§a§l'air d'un oiseau ébouriffé "
"17";"+";"-";"-";"-";"-";"-";"-";"-";"<E>";" avoir";"le";"air";"de";"<E>";"quoi ?";"-";"-";"-";"-";"-";"+";"-";"§a§l'air de quoi ? "
"18";"+";"+";"-";"-";"-";"-";"-";"+";"n'";" avoir";"le";"air";"de";"<E>";"rien";"-";"-";"-";"-";"-";"+";"-";"§n'a§l'air de rien "
"19";"-";"+";"-";"-";"-";"-";"-";"-";"<E>";" avoir";"un";"air";"de";"déjà";"vu";"-";"-";"-";"-";"+";"+";"-";"§a§un air de déjà vu "
"20";"-";"+";"-";"-";"-";"-";"-";"-";"<E>";" avoir";"un petit";"air";"de";"déjà";"vu";"-";"-";"-";"-";"+";"+";"-";"§a§un petit air de déjà vu "
"21";"+";"-";"-";"-";"-";"-";"-";"-";"<E>";" avoir";"des";"airs";"de";"<E>";"duchesse";"-";"-";"+";"+";"+";"+";"-";"§a§des airs de duchesse "
"22";"+";"-";"-";"-";"-";"-";"-";"-";"<E>";" avoir";"Poss0";"aises";"<E>";"<E>";"<E>";"-";"-";"-";"+";"+";"-";"-";"§a§ses aises "
"23";"+";"+";"-";"-";"-";"-";"-";"-";"<E>";" avoir";"belle";"allure";"<E>";"<E>";"<E>";"-";"-";"-";"+";"+";"+";"-";"§a§belle allure "
"24";"+";"+";"-";"-";"-";"-";"-";"-";"<E>";" avoir";"fière";"allure";"<E>";"<E>";"<E>";"-";"-";"-";"+";"+";"+";"-";"§a§fière allure "
