"<ID>";"N0 =: Nhum";"N0 =: N-hum";"Ppv =: en figé";"<ENT>Ppv";"<ENT><avoir>";"<ENT>Det1";"C1 =: Npc0";"Det1 pluriel";"<ENT>C1";"<ENT>Adj1";"Det1 =: Dind";"Vop = N-hum donner";"il y avoir Det1 C1 Adj1 Prép2 (N2 de N0)";"Exemple"
"1";"+";"-";"-";"<E>";" avoir";"un";"-";"+";"  air";"affairé";"-";"+";"+";"§a§un air affairé "
"2";"+";"-";"-";"<E>";" avoir";"un";"-";"-";"  air";"dégagé";"-";"+";"+";"§a§un air dégagé "
"3";"+";"-";"-";"<E>";" avoir";"un";"-";"-";"  air";"détaché";"-";"+";"+";"§a§un air détaché "
"4";"+";"-";"-";"<E>";" avoir";"un";"-";"+";"  air";"entendu";"-";"+";"+";"§a§un air entendu "
"5";"+";"-";"-";"<E>";" avoir";"un";"-";"+";"  air";"lointain";"-";"+";"+";"§a§un air lointain "
"6";"+";"+";"-";"<E>";" avoir";"un";"-";"-";"  air";"penché";"+";"+";"-";"§a§un air penché "
"7";"+";"-";"-";"<E>";" avoir";"Dnum";"-";"-";"  années";"bien comptés";"-";"-";"-";"§a§Dnum années bien comptés "
"8";"+";"-";"-";"<E>";" avoir";"Dnum";"-";"-";"  années";"bien sonnés";"-";"-";"-";"§a§Dnum années bien sonnés "
"9";"+";"-";"-";"<E>";" avoir";"Dnum";"-";"-";"  ans";"bien comptés";"-";"-";"-";"§a§Dnum ans bien comptés "
"10";"+";"-";"-";"<E>";" avoir";"Dnum";"-";"-";"  ans";"bien sonnés";"-";"-";"-";"§a§Dnum ans bien sonnés "
"11";"+";"-";"-";"<E>";" avoir";"le";"-";"-";"  argent";"facile";"-";"-";"-";"§a§l'argent facile "
"12";"+";"-";"-";"<E>";" avoir";"le";"+";"-";"  bec";"enfariné";"-";"-";"-";"§a§le bec enfariné "
"13";"+";"-";"-";"<E>";" avoir";"le";"+";"-";"  bec";"fin";"+";"-";"-";"§a§le bec fin "
"14";"+";"-";"-";"<E>";" avoir";"un";"-";"-";"  besoin";"pressant";"-";"-";"-";"§a§un besoin pressant "
"15";"+";"-";"-";"<E>";" avoir";"la";"+";"-";"  bouche";"cousue";"-";"-";"-";"§a§la bouche cousue "
"16";"+";"-";"-";"<E>";" avoir";"les";"+";"-";"  bras";"ballants";"-";"-";"-";"§a§les bras ballants "
"17";"+";"-";"-";"<E>";" avoir";"le";"+";"-";"  bras";"long";"-";"-";"-";"§a§le bras long "
"18";"+";"-";"-";"<E>";" avoir";"les";"+";"-";"  bras";"retournés";"-";"-";"-";"§a§les bras retournés "
"19";"+";"-";"-";"<E>";" avoir";"une";"+";"+";"  case";"vide";"-";"-";"+";"§a§une case vide "
"20";"+";"+";"-";"<E>";" avoir";"<E>";"-";"-";"  cause";"gagnée";"-";"-";"-";"§a§cause gagnée "
"21";"+";"-";"-";"<E>";" avoir";"le";"+";"-";"  cerveau";"lent";"+";"-";"-";"§a§le cerveau lent "
"22";"+";"+";"-";"<E>";" avoir";"le";"-";"-";"  champ";"libre";"-";"+";"-";"§a§le champ libre "
"23";"+";"-";"-";"<E>";" avoir";"le";"+";"-";"  cheveu";"rare";"-";"-";"-";"§a§le cheveu rare "
"24";"+";"-";"-";"<E>";" avoir";"le";"+";"-";"  coeur";"battant";"-";"-";"-";"§a§le coeur battant "
"25";"+";"-";"-";"<E>";" avoir";"le";"+";"-";"  coeur";"fragile";"+";"-";"-";"§a§le coeur fragile "
"26";"+";"-";"-";"<E>";" avoir";"le";"+";"-";"  coeur";"gai";"-";"-";"-";"§a§le coeur gai "
"27";"+";"-";"+";"en";" avoir";"le";"+";"-";"  coeur";"net";"-";"-";"-";"§en a§le coeur net "
"28";"+";"-";"-";"<E>";" avoir";"le";"+";"-";"  coeur";"sec";"-";"+";"+";"§a§le coeur sec "
"29";"+";"+";"-";"<E>";" avoir";"un";"-";"+";"  côté";"doux dingue";"-";"+";"+";"§a§un côté doux dingue "
"30";"+";"-";"-";"<E>";" avoir";"les";"-";"-";"  coudées";"franches";"-";"+";"-";"§a§les coudées franches "
"31";"+";"+";"-";"<E>";" avoir";"un";"-";"+";"  coup";"dur";"-";"+";"-";"§a§un coup dur "
"32";"+";"-";"-";"<E>";" avoir";"le";"-";"-";"  coup de poing";"facile";"-";"-";"-";"§a§le coup de poing facile "
"33";"+";"-";"-";"<E>";" avoir";"le";"-";"-";"  couteau";"facile";"-";"+";"-";"§a§le couteau facile "
"34";"+";"-";"-";"<E>";" avoir";"la";"+";"-";"  cuisse";"hospitalière";"-";"-";"-";"§a§la cuisse hospitalière "
"35";"+";"-";"-";"<E>";" avoir";"la";"+";"-";"  cuisse";"légère";"-";"-";"-";"§a§la cuisse légère "
"36";"+";"-";"-";"<E>";" avoir";"<E>";"-";"-";"  déjà";"donné";"-";"-";"-";"§a§déjà donné "
"37";"+";"-";"-";"<E>";" avoir";"la";"+";"-";"  dent";"mauvaise";"-";"-";"-";"§a§la dent mauvaise "
"38";"+";"-";"-";"<E>";" avoir";"le";"+";"-";"  dos";"large";"-";"-";"-";"§a§le dos large "
"39";"+";"-";"-";"<E>";" avoir";"le";"+";"-";"  dos";"tourné";"-";"-";"-";"§a§le dos tourné "
"40";"+";"-";"-";"<E>";" avoir";"la";"+";"-";"  échine";"basse";"-";"-";"-";"§a§l'échine basse "
"41";"+";"-";"-";"<E>";" avoir";"<E>";"-";"-";"  encore";"frappé";"-";"-";"-";"§a§encore frappé "
"42";"+";"-";"-";"<E>";" avoir";"les";"+";"-";"  épaules";"larges";"+";"-";"-";"§a§les épaules larges "
"43";"+";"-";"-";"<E>";" avoir";"le";"-";"-";"  esprit";"ailleurs";"-";"-";"-";"§a§l'esprit ailleurs "
"44";"+";"-";"-";"<E>";" avoir";"le";"-";"-";"  esprit";"étroit";"+";"+";"+";"§a§l'esprit étroit "
"45";"+";"-";"-";"<E>";" avoir";"le";"-";"-";"  esprit";"large";"+";"+";"+";"§a§l'esprit large "
"46";"+";"-";"-";"<E>";" avoir";"le";"-";"-";"  esprit";"mal tourné";"+";"+";"+";"§a§l'esprit mal tourné "
"47";"+";"-";"-";"<E>";" avoir";"le";"-";"-";"  esprit";"où ?";"-";"-";"-";"§a§l'esprit où ? "
