"<ID>";"N0 =: Nhum";"N0 =: N-hum";"Ppv =: en figé";"Ppv =: Neg";"<ENT>Ppv";"<ENT><avoir>";"Vsup = il y avoir";"Vop = mettre";"Vop = N-hum donner";"<ENT>Det1";"C1 =: Npc";"Det1 pluriel";"<ENT>C1";"<ENT>Prép2";"<ENT>Det2";"C2 =: Npc";"<ENT>C2";"Exemple"
"1";"+";"-";"-";"-";"<E>";"avoir";"-";"-";"-";"<E>";"-";"-";"  affaire";"à";"la";"-";"  justice";"§a§affaire à la justice "
"2";"+";"-";"-";"-";"<E>";"avoir";"-";"-";"-";"<E>";"-";"-";"  affaire";"à";"forte";"-";"  partie";"§a§affaire à forte partie "
"3";"+";"-";"-";"-";"<E>";"avoir";"-";"-";"-";"<E>";"-";"-";"  affaire";"à";"la";"-";"  police";"§a§affaire à la police "
"4";"+";"-";"-";"-";"<E>";"avoir";"-";"-";"-";"<E>";"-";"-";"  affaire";"à";"les";"-";"  tribunaux";"§a§affaire aux tribunaux "
"5";"+";"-";"+";"-";"en";"avoir";"-";"-";"+";"le";"-";"-";"  air";"mais";"pas la";"-";"  chanson";"§en a§l'air mais pas la chanson "
"6";"+";"-";"-";"-";"<E>";"avoir";"-";"-";"+";"la";"-";"-";"  âme";"en";"<E>";"-";"  peine";"§a§l'âme en peine "
"7";"+";"-";"-";"-";"<E>";"avoir";"+";"-";"+";"une";"+";"+";"  ampoule";"à";"la";"+";"  main";"§a§une ampoule à la main "
"8";"+";"-";"-";"-";"<E>";"avoir";"+";"-";"+";"une";"+";"+";"  ampoule";"à";"le";"+";"  pied";"§a§une ampoule au pied "
"9";"+";"-";"-";"-";"<E>";"avoir";"+";"-";"+";"une";"+";"+";"  ampoule";"à";"le";"+";"  talon";"§a§une ampoule au talon "
"10";"+";"-";"-";"-";"<E>";"avoir";"-";"-";"-";"un";"+";"-";"  an de plus";"que";"la";"-";"  année dernière";"§a§un an de plus que l'année dernière "
"11";"+";"+";"-";"-";"<E>";"avoir";"+";"-";"+";"de belles";"-";"-";"  années";"devant";"<E>";"-";"  Lui-0";"§a§de belles années devant lui "
"12";"+";"+";"-";"-";"<E>";"avoir encore";"+";"-";"+";"de belles";"-";"-";"  années";"devant";"<E>";"-";"  Lui-0";"§a encore§de belles années devant lui "
