"<ID>";"<ENT>Det0";"<ENT>C0";"Ppv =: se figé";"Ppv =: en figé";"Ppv =: y figé";"Ppv =: me figé";"Ppv =: te figé";"Ppv =: vous figé";"Ppv =: Neg";"<ENT>Ppv";"<ENT>V";"<ENT>Prép1";"<ENT>Det1";"<ENT>C1";"N1 =: Nhum";"N1 =: N-hum";"<ENT>Prép2";"N2 =: Nhum";"N2 =: N-hum";"N2 =: ce Qu Pind";"N2 =: ce Qu Psubj";"N2 =: V1-inf W";"N2 =: si P";"Exemple"
"1";"<E>";"il";"+";"-";"-";"-";"-";"-";"-";"s'";"agir";"pour";"<E>";"<E>";"+";"-";"de";"+";"+";"-";"+";"+";"-";"Il s'agit pour Max qu'on le laisse parler"
"2";"<E>";"je";"-";"-";"-";"-";"-";"-";"-";"<E>";"ai fait quoi ?";"à";"le bon";"Dieu";"-";"-";"pour";"-";"-";"-";"+";"+";"-";"j'§ai fait quoi§?au bon Dieu pour "
"3";"<E>";"je";"-";"-";"-";"-";"-";"-";"-";"<E>";"aime";"<E>";"autant te";"dire";"-";"-";"<E>";"-";"-";"+";"-";"-";"-";"j'§aime§autant te dire "
"4";"<E>";"je";"-";"-";"-";"-";"-";"-";"-";"<E>";"aime";"<E>";"autant vous";"dire";"-";"-";"<E>";"-";"-";"+";"-";"-";"-";"j'§aime§autant vous dire "
"5";"<E>";"cela";"-";"-";"-";"-";"-";"-";"-";"<E>";"aller";"jusqu'à";"<E>";"<E>";"-";"-";"<E>";"-";"-";"-";"-";"+";"-";"cela§aller§jusqu'à "
"6";"<E>";"il";"-";"-";"+";"-";"-";"-";"-";"y";"aller";"de";"le";"honneur de Nhum";"-";"-";"<E>";"-";"-";"-";"+";"-";"-";"il§y aller§de l'honneur de Nhum "
"7";"<E>";"il";"-";"-";"+";"-";"-";"-";"-";"y";"aller";"de";"la";"réputation de Nhum";"-";"-";"<E>";"-";"-";"-";"+";"-";"-";"il§y aller§de la réputation de Nhum "
"8";"<E>";"il";"-";"-";"-";"-";"-";"-";"-";"<E>";"apparaître";"à";"<E>";"<E>";"+";"-";"<E>";"-";"+";"+";"-";"-";"-";"Il apparaît à Paul que Marie s'est trompée"
"9";"<E>";"ça";"+";"-";"-";"-";"-";"-";"-";"s'";"appeler";"<E>";"<E>";"<E>";"-";"-";"<E>";"+";"+";"-";"-";"+";"-";"ça§s'appeler§"
"10";"<E>";"il";"-";"-";"-";"-";"-";"-";"-";"<E>";"appert";"<E>";"<E>";"<E>";"-";"-";"<E>";"-";"-";"+";"-";"-";"-";"il§appert§"
"11";"<E>";"ça";"-";"-";"-";"-";"-";"-";"-";"<E>";"apprendre";"à";"<E>";"<E>";"+";"-";"à";"-";"-";"-";"-";"+";"-";"ça§apprendre§à à "
"12";"la";"heure";"-";"-";"-";"-";"-";"-";"-";"<E>";"arriver";"pour";"<E>";"<E>";"+";"-";"<E>";"-";"-";"-";"+";"+";"-";"l'heure§arriver§pour "
"13";"le";"moment";"-";"-";"-";"-";"-";"-";"-";"<E>";"arriver";"pour";"<E>";"<E>";"+";"-";"<E>";"-";"-";"-";"+";"+";"-";"le moment§arriver§pour "
"14";"le";"temps";"-";"-";"-";"-";"-";"-";"-";"<E>";"arriver";"pour";"<E>";"<E>";"+";"-";"<E>";"-";"-";"-";"+";"+";"-";"le temps§arriver§pour "
"15";"le";"tour";"-";"-";"-";"-";"-";"-";"-";"<E>";"arriver";"pour";"<E>";"<E>";"+";"-";"<E>";"-";"-";"-";"+";"+";"-";"le tour§arriver§pour "
"16";"<E>";"qui";"-";"-";"-";"-";"-";"-";"-";"<E>";"aurait";"<E>";"<E>";"dit ?";"-";"-";"<E>";"-";"+";"+";"-";"-";"-";"qui§aurait§dit ? "
"17";"<E>";"il";"+";"-";"-";"-";"-";"-";"-";"s'";"avérer";"à";"<E>";"<E>";"+";"-";"<E>";"-";"+";"+";"-";"-";"-";"Il s'est avéré (E+à Luc) que Max s'était trompé"
"18";"<E>";"mieux";"-";"-";"-";"-";"-";"-";"-";"<E>";"avoir paru";"à";"<E>";"<E>";"+";"-";"<E>";"-";"-";"-";"+";"+";"-";"mieux§a paru§à "
"19";"<E>";"on";"-";"-";"-";"-";"-";"-";"+";"n'";"avoir pas";"<E>";"<E>";"idée";"-";"-";"<E>";"-";"-";"-";"-";"+";"-";"on§n'a pas§idée"
"20";"<E>";"mieux";"-";"-";"-";"-";"-";"-";"-";"<E>";"avoir semblé";"à";"<E>";"<E>";"+";"-";"<E>";"-";"-";"-";"+";"+";"-";"mieux§a semblé§à "
"21";"<E>";"je";"-";"-";"-";"-";"+";"-";"-";"t'";"avoue";"<E>";"<E>";"<E>";"-";"-";"<E>";"-";"+";"+";"-";"+";"-";"je§t'avoue§"
"22";"<E>";"je";"-";"-";"-";"-";"-";"+";"-";"vous";"avoue";"<E>";"<E>";"<E>";"-";"-";"<E>";"-";"+";"+";"-";"+";"-";"je§vous avoue§"
"23";"le";"ciel";"-";"-";"-";"-";"-";"-";"-";"<E>";"bénisse";"<E>";"<E>";"<E>";"+";"-";"de";"-";"+";"-";"+";"+";"-";"le ciel§bénisse§de "
"24";"le bon";"Dieu";"-";"-";"-";"-";"-";"-";"-";"<E>";"bénisse";"<E>";"<E>";"<E>";"+";"-";"de";"-";"+";"-";"+";"+";"-";"le bon Dieu§bénisse§de "
"25";"<E>";"Dieu";"-";"-";"-";"-";"-";"-";"-";"<E>";"bénisse";"<E>";"<E>";"<E>";"+";"-";"de";"-";"+";"-";"+";"+";"-";"Dieu§bénisse§de "
"26";"le";"Seigneur";"-";"-";"-";"-";"-";"-";"-";"<E>";"bénisse";"<E>";"<E>";"<E>";"+";"-";"de";"-";"+";"-";"+";"+";"-";"le Seigneur§bénisse§de "
"27";"les";"oreilles de Nhum";"-";"-";"-";"-";"-";"-";"-";"<E>";"bourdonner";"<E>";"<E>";"<E>";"-";"-";"de";"-";"+";"+";"-";"+";"-";"les oreilles de Nhum§bourdonner§de "
"28";"les";"tympans de Nhum";"-";"-";"-";"-";"-";"-";"-";"<E>";"bourdonner";"<E>";"<E>";"<E>";"-";"-";"de";"-";"+";"+";"-";"+";"-";"les tympans de Nhum§bourdonner§de "
"29";"les";"oreilles de Nhum";"-";"-";"-";"-";"-";"-";"-";"<E>";"bruisser";"<E>";"<E>";"<E>";"-";"-";"de";"-";"+";"+";"-";"+";"-";"les oreilles de Nhum§bruisser§de "
"30";"les";"tympans de Nhum";"-";"-";"-";"-";"-";"-";"-";"<E>";"bruisser";"<E>";"<E>";"<E>";"-";"-";"de";"-";"+";"+";"-";"+";"-";"les tympans de Nhum§bruisser§de "
"31";"les";"doigts";"-";"-";"-";"-";"-";"-";"-";"<E>";"brûler";"à";"<E>";"<E>";"+";"-";"de";"-";"-";"+";"+";"+";"-";"les doigts§brûler§à de "
"32";"la";"langue";"-";"-";"-";"-";"-";"-";"-";"<E>";"brûler";"à";"<E>";"<E>";"+";"-";"de";"-";"-";"-";"+";"+";"-";"la langue§brûler§à de "
"33";"les";"mains";"-";"-";"-";"-";"-";"-";"-";"<E>";"brûler";"à";"<E>";"<E>";"+";"-";"de";"-";"-";"+";"+";"+";"-";"les mains§brûler§à de "
"34";"<E>";"je";"-";"-";"-";"-";"-";"-";"+";"ne";"cacher pas";"à";"<E>";"<E>";"-";"+";"<E>";"+";"-";"-";"-";"-";"-";"je§ne cacher pas§à "
"35";"<E>";"peu";"-";"-";"-";"-";"-";"-";"-";"<E>";"chaud";"à";"<E>";"<E>";"+";"-";"<E>";"-";"-";"-";"+";"+";"+";"peu§chaud§à "
"36";"la";"prudence";"-";"-";"-";"-";"-";"-";"-";"<E>";"commander";"à";"<E>";"<E>";"+";"-";"<E>";"-";"-";"-";"+";"+";"-";"la prudence§commander§à "
"37";"le";"usage";"-";"-";"-";"-";"-";"-";"-";"<E>";"consacrer";"<E>";"<E>";"<E>";"-";"-";"<E>";"-";"+";"+";"-";"-";"-";"l'usage§consacrer§"
"38";"les";"oreilles";"-";"-";"-";"-";"-";"-";"-";"<E>";"corner";"à";"<E>";"<E>";"+";"-";"de";"-";"-";"-";"-";"+";"-";"les oreilles§corner§à de "
"39";"<E>";"il";"-";"+";"-";"-";"-";"-";"-";"en";"coûter à N1";"<E>";"<E>";"cher";"-";"-";"pour";"-";"-";"-";"+";"+";"-";"il§en coûter à N1§cher pour "
"40";"<E>";"il";"-";"+";"-";"-";"-";"-";"-";"en";"coûter à N1";"<E>";"une";"fortune";"-";"-";"pour";"-";"-";"-";"+";"+";"-";"il§en coûter à N1§une fortune pour "
"41";"<E>";"il";"-";"+";"-";"-";"-";"-";"-";"en";"cuire";"à";"<E>";"<E>";"+";"-";"<E>";"-";"-";"-";"+";"+";"-";"il§en cuire§à "
"42";"<E>";"Dieu";"-";"-";"-";"-";"-";"-";"-";"<E>";"damne";"<E>";"<E>";"<E>";"+";"-";"<E>";"-";"-";"-";"-";"-";"+";"Dieu§damne§"
"43";"la";"tradition";"-";"-";"-";"-";"-";"-";"-";"<E>";"demander";"<E>";"<E>";"<E>";"-";"-";"à";"-";"+";"-";"+";"-";"-";"la tradition§demander§à "
"44";"la";"tradition";"-";"-";"-";"-";"-";"-";"-";"<E>";"demander";"pour";"<E>";"<E>";"+";"-";"<E>";"-";"+";"-";"+";"+";"-";"la tradition§demander§pour "
"45";"les";"doigts";"-";"-";"-";"-";"-";"-";"-";"<E>";"démanger";"à";"<E>";"<E>";"+";"-";"de";"-";"-";"+";"+";"+";"-";"les doigts§démanger§à de "
"46";"la";"langue";"-";"-";"-";"-";"-";"-";"-";"<E>";"démanger";"à";"<E>";"<E>";"+";"-";"de";"-";"-";"-";"+";"+";"-";"la langue§démanger§à de "
"47";"les";"mains";"-";"-";"-";"-";"-";"-";"-";"<E>";"démanger";"à";"<E>";"<E>";"+";"-";"de";"-";"-";"+";"+";"+";"-";"les mains§démanger§à de "
"48";"les";"poings";"-";"-";"-";"-";"-";"-";"-";"<E>";"démanger";"à";"<E>";"<E>";"+";"-";"de";"-";"-";"+";"+";"+";"-";"les poings§démanger§à de "
"49";"les";"faits";"-";"-";"-";"-";"-";"-";"-";"<E>";"démentir";"<E>";"<E>";"<E>";"-";"-";"<E>";"-";"-";"+";"-";"-";"-";"les faits§démentir§"
"50";"<E>";"cela";"-";"-";"-";"-";"-";"-";"-";"<E>";"déranger ?";"<E>";"<E>";"<E>";"+";"-";"<E>";"-";"-";"-";"+";"+";"+";"cela§déranger§?"
"51";"<E>";"cela";"-";"-";"-";"-";"-";"-";"+";"ne";"déranger pas ?";"<E>";"<E>";"<E>";"+";"-";"<E>";"-";"-";"-";"+";"+";"+";"cela§ne déranger pas§?"
"52";"la";"enquête";"-";"-";"-";"-";"-";"-";"-";"<E>";"déterminer";"<E>";"<E>";"<E>";"-";"-";"<E>";"-";"-";"-";"+";"-";"+";"l'enquête§déterminer§"
"53";"la";"conscience de N1";"-";"-";"-";"-";"-";"-";"-";"<E>";"dicter";"à";"<E>";"<E>";"+";"-";"<E>";"-";"-";"-";"+";"+";"-";"la conscience de N1§dicter§à "
"54";"la";"expérience";"-";"-";"-";"-";"-";"-";"-";"<E>";"dicter";"à";"<E>";"<E>";"+";"-";"<E>";"-";"-";"-";"+";"+";"-";"l'expérience§dicter§à "
"55";"le bon";"sens  de N1";"-";"-";"-";"-";"-";"-";"-";"<E>";"dicter";"à";"<E>";"<E>";"+";"-";"<E>";"-";"-";"-";"+";"+";"-";"le bon sens de N1§dicter§à "
"56";"le";"avenir";"-";"-";"-";"-";"-";"-";"-";"<E>";"dira";"à";"<E>";"<E>";"+";"-";"<E>";"-";"-";"-";"-";"-";"+";"l'avenir§dira§à "
"57";"le";"temps";"-";"-";"-";"-";"-";"-";"-";"<E>";"dira";"à";"<E>";"<E>";"+";"-";"<E>";"-";"-";"-";"-";"-";"+";"le temps§dira§à "
"58";"<E>";"on";"-";"-";"-";"-";"-";"-";"-";"<E>";"dirait";"<E>";"<E>";"<E>";"-";"-";"<E>";"-";"-";"+";"-";"-";"-";"on§dirait§"
"59";"comme";"qui";"-";"-";"-";"-";"-";"-";"-";"<E>";"dirait";"<E>";"<E>";"<E>";"-";"-";"<E>";"-";"-";"+";"-";"-";"-";"comme qui§dirait§"
