"<ID>";"N0 =: Nhum";"N0 =: N-hum";"Ppv =: se figé";"Ppv =: en figé";"Ppv =: y figé";"Ppv =: Neg";"<ENT>Ppv";"<ENT>V";"N0 V";"<ENT>Det1";"N0 V Det1 C1 Prép2 N2";"<ENT>C1";"C1 =: Npc";"[passif]";"Exemple"
"1";"+";"-";"-";"-";"-";"-";"<E>";"abandonner";"-";"la";"-";"compétition";"-";"+";"§abandonner§la compétition "
"2";"+";"-";"-";"-";"-";"-";"<E>";"abandonner";"-";"le";"-";"domicile conjugal";"-";"+";"§abandonner§le domicile conjugal "
"3";"+";"-";"-";"-";"-";"-";"<E>";"abandonner";"-";"les";"-";"lieux";"-";"+";"§abandonner§les lieux "
"4";"+";"-";"-";"-";"-";"-";"<E>";"abandonner";"+";"la";"-";"partie";"-";"+";"§abandonner§la partie "
"5";"+";"-";"-";"-";"-";"-";"<E>";"abandonner";"-";"la";"+";"pose";"-";"+";"§abandonner§la pose "
"6";"+";"-";"-";"-";"-";"-";"<E>";"abandonner";"-";"le";"-";"terrain";"-";"+";"§abandonner§le terrain "
"7";"+";"-";"-";"-";"-";"-";"<E>";"abjurer";"-";"la";"-";"foi catholique";"-";"+";"§abjurer§la foi catholique "
"8";"-";"+";"-";"-";"-";"-";"<E>";"abolir";"-";"le";"-";"temps";"-";"+";"§abolir§le temps "
"9";"+";"+";"-";"-";"-";"-";"<E>";"accélérer";"-";"le";"-";"mouvement";"-";"+";"§accélérer§le mouvement "
"10";"+";"+";"-";"-";"-";"-";"<E>";"accélérer";"-";"le";"-";"mouvement";"-";"+";"§accélérer§le mouvement "
"11";"+";"-";"-";"-";"-";"-";"<E>";"accompagner";"-";"le";"-";"pas";"-";"+";"§accompagner§le pas "
"12";"+";"-";"-";"-";"-";"-";"<E>";"accomplir";"-";"le";"-";"rêve de Poss0 vie";"-";"+";"§accomplir§le rêve de sa vie "
"13";"+";"-";"-";"-";"-";"-";"<E>";"accrocher";"-";"le";"-";"linge";"-";"+";"§accrocher§le linge "
"14";"+";"+";"-";"-";"-";"-";"<E>";"accuser";"-";"les";"-";"années";"-";"-";"§accuser§les années "
"15";"+";"+";"-";"-";"-";"-";"<E>";"accuser";"-";"les";"-";"ans";"-";"-";"§accuser§les ans "
"16";"+";"-";"-";"-";"-";"-";"<E>";"accuser";"-";"le";"-";"coup";"-";"+";"§accuser§le coup "
"17";"-";"+";"-";"-";"-";"-";"<E>";"achever";"-";"le";"-";"tableau";"-";"-";"§achever§le tableau "
"18";"+";"+";"-";"-";"-";"-";"<E>";"activer";"-";"le";"-";"mouvement";"-";"-";"§activer§le mouvement "
