"<ID>";"N0 =: Nhum";"N0 =: N-hum";"Ppv =: se figé";"Ppv =: Neg";"<ENT>Ppv";"<ENT>V";"C1 =: Npc0";"<ENT>Det1";"<ENT>C1";"N0 V Det1 C1";"<ENT>Prép2";"N2 =: Nhum";"N2 =: N-hum";"Prép2 N2hum = Ppv =: lui";"Prép2 N2-hum = Ppv";"sur N2 = dessus N2";"[passif]";"Exemple"
"1";"+";"-";"-";"-";"<E>";"abaisser";"+";"les";"bras";"+";"devant";"+";"+";"-";"-";"-";"-";"§abaisser§les bras "
"2";"+";"-";"-";"-";"<E>";"accorder";"-";"le";"bénéfice des circonstances atténuantes";"-";"à";"+";"-";"+";"-";"-";"+";"§accorder§le bénéfice des circonstances atténuantes "
"3";"+";"-";"-";"-";"<E>";"accorder";"-";"le";"bénéfice du doute";"-";"à";"+";"-";"+";"-";"-";"+";"§accorder§le bénéfice du doute "
"4";"+";"-";"-";"-";"<E>";"accorder";"-";"la";"confiance";"-";"à";"+";"+";"+";"-";"-";"+";"§accorder§la confiance "
"5";"+";"-";"-";"-";"<E>";"accorder";"+";"la";"main de Nhum";"-";"à";"+";"-";"+";"-";"-";"+";"§accorder§la main de Nhum "
"6";"+";"-";"-";"-";"<E>";"accorder";"-";"la";"vie sauve";"-";"à";"+";"-";"+";"-";"-";"-";"§accorder§la vie sauve "
"7";"+";"-";"-";"-";"<E>";"administrer";"-";"les premiers";"soins";"-";"à";"+";"-";"+";"-";"-";"+";"§administrer§les premiers soins "
"8";"+";"-";"-";"-";"<E>";"adresser";"-";"la";"parole";"-";"à";"+";"-";"+";"-";"-";"-";"§adresser§la parole "
"9";"+";"-";"-";"+";"n'";"adresser";"-";"la";"parole";"-";"à";"+";"-";"+";"-";"-";"-";"§n'adresser§la parole "
"10";"-";"+";"-";"-";"<E>";"aliéner";"+";"le";"coeur de Nhum";"-";"à";"+";"-";"+";"-";"-";"+";"§aliéner§le coeur de Nhum "
"11";"+";"-";"-";"-";"<E>";"amener";"-";"le";"regard";"-";"sur";"+";"+";"-";"-";"+";"+";"§amener§le regard "
"12";"+";"-";"-";"-";"<E>";"amener";"+";"les";"yeux";"-";"sur";"+";"+";"-";"-";"+";"+";"§amener§les yeux "
