"<ID>";"N0 =: Nhum";"N0 =: N-hum";"Ppv =: en figé";"Ppv =: y figé";"Ppv =: Neg";"<ENT>Ppv";"<ENT>V";"N0 V";"<ENT>Poss1";"autre Det1";"<ENT>C1";"C1 =: Npc";"[passif]";"N0 se V Ddéf1 C1";"Exemple"
"1";"+";"-";"-";"-";"-";"<E>";" abaisser";"-";" sa";"-";" carte maîtresse";"-";"+";"-";"§abaisser§sa carte maîtresse "
"2";"+";"-";"-";"-";"-";"<E>";" abaisser";"+";" ses";"-";" cartes";"-";"+";"-";"§abaisser§ses cartes "
"3";"+";"-";"-";"-";"-";"<E>";" abaisser";"-";" son";"-";" jeu";"-";"+";"-";"§abaisser§son jeu "
"4";"+";"-";"-";"-";"-";"<E>";" abandonner";"-";" sa";"+";" famille";"-";"+";"-";"§abandonner§sa famille "
"5";"+";"-";"-";"-";"-";"<E>";" abandonner";"-";" sa";"+";" famille";"-";"+";"-";"§abandonner§sa famille "
"6";"+";"-";"-";"-";"-";"<E>";" abandonner";"-";" son";"+";" nom de jeune fille";"-";"+";"-";"§abandonner§son nom de jeune fille "
"7";"+";"-";"-";"-";"-";"<E>";" abandonner";"-";" ses";"+";" pénates";"-";"+";"-";"§abandonner§ses pénates "
"8";"+";"-";"-";"-";"-";"<E>";" abandonner";"-";" son";"-";" poste";"-";"-";"-";"§abandonner§son poste "
"9";"+";"-";"-";"-";"-";"<E>";" abattre";"-";" ses";"-";" atouts";"-";"+";"-";"§abattre§ses atouts "
"10";"+";"-";"-";"-";"-";"<E>";" abattre";"-";" sa";"-";" carte maîtresse";"-";"+";"-";"§abattre§sa carte maîtresse "
"11";"+";"-";"-";"-";"-";"<E>";" abattre";"-";" ses";"-";" cartes";"-";"+";"-";"§abattre§ses cartes "
"12";"+";"-";"-";"-";"-";"<E>";" abattre";"-";" son";"-";" jeu";"-";"+";"-";"§abattre§son jeu "
"13";"+";"-";"-";"-";"-";"<E>";" abjurer";"-";" sa";"+";" foi";"-";"+";"-";"§abjurer§sa foi "
"14";"+";"+";"-";"-";"-";"<E>";" accélérer";"-";" ses";"-";" enjambées";"-";"-";"-";"§accélérer§ses enjambées "
"15";"+";"+";"-";"-";"-";"<E>";" accélérer";"+";" son";"-";" train";"-";"+";"-";"§accélérer§son train "
"16";"+";"-";"-";"-";"-";"<E>";" accomplir";"-";" son";"-";" devoir";"-";"+";"-";"§accomplir§son devoir "
"17";"+";"-";"-";"-";"-";"<E>";" accroître";"-";" son";"+";" capital";"-";"+";"-";"§accroître§son capital "
"18";"+";"-";"-";"-";"-";"<E>";" accroître";"-";" sa";"+";" part du marché";"-";"+";"-";"§accroître§sa part du marché "
"19";"+";"+";"-";"-";"-";"<E>";" accuser";"-";" son";"-";" âge";"-";"-";"-";"§accuser§son âge "
"20";"+";"-";"-";"-";"-";"<E>";" affûter";"-";" ses";"+";" arguments";"-";"+";"-";"§affûter§ses arguments "
"21";"+";"-";"-";"-";"-";"<E>";" aggraver";"-";" son";"-";" cas";"-";"+";"-";"§aggraver§son cas "
"22";"+";"-";"-";"-";"-";"<E>";" aimer";"-";" ses";"-";" aises";"-";"-";"-";"§aimer§ses aises "
"23";"+";"-";"-";"-";"-";"<E>";" aller";"-";" son petit";"-";" bonhomme de chemin";"-";"-";"-";"§aller§son petit bonhomme de chemin "
"24";"+";"-";"-";"-";"-";"<E>";" aller";"-";" son";"-";" chemin";"-";"-";"-";"§aller§son chemin "
"25";"+";"+";"-";"-";"-";"<E>";" aller";"-";" son";"-";" train";"-";"-";"-";"§aller§son train "
"26";"+";"-";"-";"-";"-";"<E>";" aller";"-";" son petit";"-";" train";"-";"-";"-";"§aller§son petit train "
"27";"+";"-";"-";"-";"-";"<E>";" aller";"-";" son";"+";" train de sénateur";"-";"-";"-";"§aller§son train de sénateur "
"28";"+";"-";"-";"-";"-";"<E>";" allonger";"-";" ses";"-";" enjambées";"-";"-";"-";"§allonger§ses enjambées "
"29";"+";"-";"-";"-";"-";"<E>";" allumer";"-";" ses";"-";" quinquets";"+";"-";"-";"§allumer§ses quinquets "
"30";"+";"+";"-";"-";"-";"<E>";" améliorer";"-";" son";"-";" temps";"-";"+";"-";"§améliorer§son temps "
"31";"+";"-";"-";"-";"-";"<E>";" amener";"-";" sa";"-";" barbaque";"+";"-";"-";"§amener§sa barbaque "
"32";"+";"-";"-";"-";"-";"<E>";" amener";"-";" sa";"-";" bidoche";"+";"-";"-";"§amener§sa bidoche "
"33";"+";"-";"-";"-";"-";"<E>";" amener";"-";" sa";"-";" graisse";"+";"-";"-";"§amener§sa graisse "
"34";"+";"-";"-";"-";"-";"<E>";" amener";"-";" sa";"-";" viande";"+";"-";"-";"§amener§sa viande "
"35";"+";"-";"-";"-";"-";"<E>";" apprendre";"-";" ses";"-";" classiques";"-";"-";"-";"§apprendre§ses classiques "
"36";"+";"-";"-";"-";"-";"<E>";" appuyer";"-";" ses";"+";" coups";"-";"+";"-";"§appuyer§ses coups "
"37";"+";"-";"-";"-";"-";"<E>";" arrêter";"-";" son";"-";" char";"-";"-";"-";"§arrêter§son char "
"38";"+";"-";"-";"-";"-";"<E>";" arrondir";"-";" sa";"+";" pelote";"-";"+";"-";"§arrondir§sa pelote "
"39";"+";"-";"-";"-";"-";"<E>";" assouvir";"-";" ses";"-";" instincts";"-";"+";"-";"§assouvir§ses instincts "
"40";"+";"-";"-";"-";"-";"<E>";" assouvir";"-";" ses bas";"-";" instincts";"-";"+";"-";"§assouvir§ses bas instincts "
"41";"+";"-";"-";"-";"-";"<E>";" assouvir";"-";" ses";"-";" instincts les plus bas";"-";"+";"-";"§assouvir§ses instincts les plus bas "
"42";"+";"-";"-";"-";"-";"<E>";" assumer";"+";" son";"-";" destin";"-";"+";"-";"§assumer§son destin "
"43";"+";"-";"-";"-";"-";"<E>";" assumer";"+";" sa";"-";" destinée";"-";"+";"-";"§assumer§sa destinée "
"44";"+";"-";"-";"-";"-";"<E>";" assumer";"-";" sa";"-";" responsabilité";"-";"-";"-";"§assumer§sa responsabilité "
"45";"+";"-";"-";"-";"-";"<E>";" assurer";"-";" ses";"-";" arrières";"-";"+";"+";"§assurer§ses arrières "
"46";"+";"+";"-";"-";"-";"<E>";" assurer";"-";" sa";"+";" succession";"-";"+";"+";"§assurer§sa succession "
"47";"+";"-";"-";"-";"-";"<E>";" assurer";"-";" sa";"+";" voix";"+";"-";"-";"§assurer§sa voix "
"48";"+";"+";"-";"-";"-";"<E>";" atteindre";"-";" son";"-";" but";"-";"+";"-";"§atteindre§son but "
"49";"+";"-";"-";"-";"-";"<E>";" atteindre";"-";" sa";"-";" majorité";"-";"+";"-";"§atteindre§sa majorité "
"50";"+";"+";"-";"-";"-";"<E>";" atteindre";"-";" son";"+";" objectif";"-";"+";"-";"§atteindre§son objectif "
"51";"+";"-";"-";"-";"-";"<E>";" attendre";"-";" sa";"-";" heure";"-";"-";"-";"§attendre§sa heure "
"52";"+";"-";"-";"-";"-";"<E>";" attendre";"+";" son";"+";" tour";"-";"-";"-";"§attendre§son tour "
"53";"+";"-";"-";"-";"-";"<E>";" augmenter";"-";" son";"+";" capital";"-";"+";"-";"§augmenter§son capital "
"54";"+";"-";"-";"-";"-";"<E>";" avaler";"-";" son";"-";" acte de naissance";"-";"+";"-";"§avaler§son acte de naissance "
"55";"+";"-";"-";"-";"-";"<E>";" avaler";"-";" son";"-";" bulletin de naissance";"-";"+";"-";"§avaler§son bulletin de naissance "
"56";"+";"-";"-";"-";"-";"<E>";" avaler";"-";" sa";"-";" cane";"-";"-";"-";"§avaler§sa cane "
"57";"+";"-";"-";"-";"-";"<E>";" avaler";"-";" sa";"-";" chique";"-";"-";"-";"§avaler§sa chique "
"58";"+";"-";"-";"-";"-";"<E>";" avaler";"-";" sa";"-";" langue";"+";"-";"-";"§avaler§sa langue "
"59";"+";"-";"-";"-";"-";"<E>";" avaler";"-";" son";"-";" parapluie";"-";"-";"-";"§avaler§son parapluie "
"60";"+";"-";"-";"-";"-";"<E>";" avaler";"-";" sa";"-";" salive";"-";"-";"-";"§avaler§sa salive "
