"<ID>";"N0 =: Nhum";"N0 =: N-hum";"Ppv =: se figé";"Ppv =: en figé";"Ppv =: Neg";"<ENT>Ppv";"<ENT>V";"N0 V";"N0 V Det1 C1";"<ENT>Det1";"C1 =: Npc";"<ENT>C1";"N0 V Prép2 Det2 C2";"<ENT>Prép2";"<ENT>Det2";"C2 =: Npc0";"<ENT>C2";"C2 =: C2 de Nhum";"C2 de Nhum = Ppv-C2 =: lui-C2";"[passif]";"C1 =: C1 de Nhum";"C1 de Nhum = Ppv-C1 =: lui-C1";"Exemple"
"1";"+";"-";"-";"-";"-";"<E>";" abandonner";"-";"-";"la";"-";" proie";"-";"pour";"la";"-";" ombre";"-";"-";"-";"-";"-";"§abandonner§la proie pour l'ombre "
"2";"+";"+";"-";"-";"-";"<E>";" accorder";"-";"-";"Poss0";"-";" flûtes";"-";"avec";"les";"-";" flûtes";"+";"-";"+";"-";"-";"§accorder§ses flûtes avec les flûtes "
"3";"+";"+";"-";"-";"-";"<E>";" accorder";"-";"-";"Poss0";"-";" violon";"-";"avec";"le";"-";" violon";"+";"-";"-";"+";"-";"§accorder§son violon avec le violon "
"4";"+";"-";"-";"-";"-";"<E>";" aimer";"-";"-";"<E>";"-";" cela";"-";"<E>";"<E>";"-";" mieux";"-";"-";"-";"-";"-";"§aimer§cela mieux "
"5";"+";"+";"-";"-";"-";"<E>";" aligner";"-";"-";"Poss0";"-";" position";"-";"sur";"la";"-";" position";"+";"-";"+";"+";"-";"§aligner§sa position sur la position "
"6";"+";"-";"-";"-";"-";"<E>";" aller";"-";"-";"<E>";"-";" droit";"-";"à";"le";"-";" but";"-";"-";"-";"-";"-";"§aller§droit au but "
"7";"+";"-";"-";"-";"-";"<E>";" aller";"-";"-";"<E>";"-";" droit";"-";"à";"le";"-";" fait";"-";"-";"-";"-";"-";"§aller§droit au fait "
"8";"+";"-";"-";"-";"+";"n'";" aller";"-";"-";"<E>";"-";" jamais";"-";"à";"pareille";"-";" fête";"-";"-";"-";"-";"-";"§n'aller§jamais à pareille fête "
"9";"+";"-";"-";"-";"-";"<E>";" aller";"-";"-";"<E>";"-";" vite";"-";"en";"<E>";"-";" besogne";"-";"-";"-";"-";"-";"§aller§vite en besogne "
"10";"+";"+";"-";"-";"-";"<E>";" aller";"-";"-";"plus";"-";" vite";"-";"que";"la";"-";" musique";"-";"-";"-";"-";"-";"§aller§plus vite que la musique "
"11";"+";"+";"-";"-";"-";"<E>";" aller";"-";"-";"plus";"-";" vite";"-";"que";"les";"-";" violons";"-";"-";"-";"-";"-";"§aller§plus vite que les violons "
"12";"+";"+";"-";"-";"-";"<E>";" allumer";"-";"-";"un";"-";" brasier";"-";"dans";"le";"+";" coeur";"+";"+";"+";"-";"-";"§allumer§un brasier dans le coeur "
"13";"-";"+";"-";"-";"-";"<E>";" allumer";"-";"-";"une";"-";" flamme de colère";"-";"dans";"le";"-";" regard";"+";"-";"-";"-";"-";"§allumer§une flamme de colère dans le regard "
"14";"-";"+";"-";"-";"-";"<E>";" allumer";"-";"-";"une";"-";" flamme de colère";"-";"dans";"les";"+";" yeux";"+";"-";"-";"-";"-";"§allumer§une flamme de colère dans les yeux "
"15";"-";"+";"-";"-";"-";"<E>";" allumer";"-";"-";"une";"-";" flamme de haine";"-";"dans";"le";"-";" regard";"+";"-";"-";"-";"-";"§allumer§une flamme d'haine dans le regard "
"16";"-";"+";"-";"-";"-";"<E>";" allumer";"-";"-";"une";"-";" flamme de haine";"-";"dans";"les";"+";" yeux";"+";"-";"-";"-";"-";"§allumer§une flamme d'haine dans les yeux "
"17";"-";"+";"-";"-";"-";"<E>";" allumer";"-";"-";"une";"-";" flamme de rage";"-";"dans";"le";"-";" regard";"+";"-";"-";"-";"-";"§allumer§une flamme de rage dans le regard "
"18";"-";"+";"-";"-";"-";"<E>";" allumer";"-";"-";"une";"-";" flamme de rage";"-";"dans";"les";"+";" yeux";"+";"-";"-";"-";"-";"§allumer§une flamme de rage dans les yeux "
"19";"-";"+";"-";"-";"-";"<E>";" allumer";"-";"-";"une";"-";" lueur de colère";"-";"dans";"le";"-";" regard";"+";"-";"-";"-";"-";"§allumer§une lueur de colère dans le regard "
"20";"-";"+";"-";"-";"-";"<E>";" allumer";"-";"-";"une";"-";" lueur de colère";"-";"dans";"les";"+";" yeux";"+";"-";"-";"-";"-";"§allumer§une lueur de colère dans les yeux "
