"<ID>";"N0 =: Nhum";"N0 =: N-hum";"Ppv =: se figé";"Ppv =: en figé";"Ppv =: y figé";"Ppv =: Neg";"<ENT>Ppv";"<ENT>V";"N0 V";"<ENT>Det1";"autre Det1";"<ENT>C1";"C1 =: Npc";"[passif]";"Exemple"
"1";"+";"-";"-";"-";"-";"-";"<E>";" abandonner";"-";" ce";"+";" monde";"-";"-";"§abandonner§ce monde "
"2";"+";"-";"-";"-";"-";"-";"<E>";" abattre";"-";" du";"-";" bois";"-";"-";"§abattre§du bois "
"3";"+";"-";"-";"-";"-";"-";"<E>";" adorer";"-";" ce que Il-0 avoir";"-";" brûlé";"-";"-";"§adorer§ce qu'il a brûlé "
"4";"+";"+";"-";"-";"-";"-";"<E>";" afficher";"-";" <E>";"-";" complet";"-";"-";"§afficher§complet "
"5";"+";"+";"-";"-";"-";"-";"<E>";" afficher";"-";" <E>";"-";" relâche";"-";"-";"§afficher§relâche "
"6";"+";"-";"-";"-";"-";"+";"n'";" aimer pas";"-";" <E>";"-";" ça";"-";"-";"§n'aimer pas§ça "
"7";"+";"-";"-";"-";"-";"-";"<E>";" aller";"-";" nus-";"-";" pieds";"+";"-";"§aller§nus-pieds "
"8";"+";"-";"-";"-";"-";"-";"<E>";" aller";"-";" <E>";"-";" pieds nus";"+";"-";"§aller§pieds nus "
"9";"-";"+";"-";"+";"-";"-";"en";" appeler";"-";"un";"-";" autre";"-";"-";"§en appeler§un autre "
"10";"-";"+";"-";"-";"-";"+";"n'";" arranger";"-";" <E>";"-";" rien";"-";"+";"§n'arranger§rien "
"11";"+";"+";"-";"-";"-";"-";"<E>";" atteindre";"-";" un";"+";" point de non retour";"-";"+";"§atteindre§un point de non retour "
"12";"-";"+";"-";"-";"-";"-";"<E>";" atteindre";"-";" des";"-";" sommets";"-";"+";"§atteindre§des sommets "
"13";"+";"-";"-";"-";"-";"-";"<E>";" attraper";"-";" <E>";"-";" froid";"-";"-";"§attraper§froid "
"14";"+";"-";"-";"-";"-";"-";"<E>";" avaler";"-";" des";"-";" sabres";"-";"-";"§avaler§des sabres "
"15";"+";"+";"-";"-";"-";"-";"<E>";" avoir";"-";" <E>";"+";" besoin de bras";"-";"-";"§a§besoin de bras "
"16";"+";"-";"-";"-";"-";"-";"<E>";" avoir";"-";" <E>";"+";" faim";"-";"-";"§a§faim "
"17";"+";"-";"-";"-";"-";"-";"<E>";" avoir";"-";" <E>";"+";" soif";"-";"-";"§a§soif "
"18";"+";"-";"-";"-";"-";"-";"<E>";" battre";"-";" <E>";"-";" monnaie";"-";"-";"§battre§monnaie "
"19";"+";"+";"-";"-";"-";"-";"<E>";" battre";"-";" <E>";"-";" pavillon Adjnationalité";"-";"-";"§battre§pavillon Adjnationalité "
"20";"+";"+";"-";"-";"-";"-";"<E>";" battre";"-";" <E>";"-";" pavillon allemand";"-";"-";"§battre§pavillon allemand "
"21";"+";"-";"-";"+";"-";"-";"en";" baver";"-";" des";"-";" ronds de chapeau";"-";"-";"§en baver§des ronds de chapeau "
"22";"+";"-";"-";"-";"-";"-";"<E>";" boire";"-";" du";"-";" lait";"-";"-";"§boire§du lait "
"23";"+";"-";"-";"-";"-";"-";"<E>";" boire";"-";" du petit";"-";" lait";"-";"-";"§boire§du petit lait "
"24";"+";"+";"-";"-";"-";"-";"<E>";" boucher";"-";" un";"-";" trou";"-";"+";"§boucher§un trou "
"25";"+";"-";"-";"-";"-";"-";"<E>";" bouffer";"-";" du";"-";" cheval";"-";"-";"§bouffer§du cheval "
"26";"+";"-";"-";"-";"-";"-";"<E>";" bouffer";"-";" du";"-";" curé";"-";"-";"§bouffer§du curé "
"27";"+";"-";"-";"-";"-";"-";"<E>";" bouffer";"-";" du";"-";" lapin";"-";"-";"§bouffer§du lapin "
"28";"+";"-";"-";"-";"-";"-";"<E>";" bouffer";"-";" du";"-";" lion";"-";"-";"§bouffer§du lion "
"29";"+";"-";"-";"+";"-";"+";"n'en";" branler";"-";" des";"-";" masses";"-";"-";"§n'en branler§des masses "
"30";"+";"-";"-";"-";"-";"-";"<E>";" branler";"-";" <E>";"-";" quelque chose";"-";"-";"§branler§quelque chose "
"31";"+";"-";"-";"+";"-";"+";"n'en";" branler";"-";" une";"-";" rame";"-";"-";"§n'en branler§une rame "
"32";"+";"-";"-";"+";"-";"+";"n'en";" branler";"-";" une";"-";" secousse";"-";"-";"§n'en branler§une secousse "
"33";"+";"-";"-";"+";"-";"+";"n'en";" branler";"-";" <E>";"-";" une";"-";"-";"§n'en branler§une "
"34";"+";"-";"-";"-";"-";"-";"<E>";" brasser";"-";" de le";"-";" air";"-";"+";"§brasser§de l'air "
"35";"+";"-";"-";"-";"-";"-";"<E>";" broyer";"-";" du";"-";" noir";"-";"-";"§broyer§du noir "
"36";"+";"-";"-";"-";"-";"-";"<E>";" brûler";"-";" ce que Il-0 a";"-";" adoré";"-";"-";"§brûler§ce qu'il a adoré "
"37";"-";"+";"-";"-";"-";"-";"<E>";" cacher";"-";" <E>";"-";" quelque chose";"-";"-";"§cacher§quelque chose "
"38";"+";"-";"-";"-";"-";"-";"<E>";" calculer";"-";" chaque";"+";" sou";"-";"+";"§calculer§chaque sou "
"39";"+";"-";"-";"-";"-";"-";"<E>";" caresser";"-";" de noirs";"-";" desseins";"-";"-";"§caresser§de noirs desseins "
"40";"+";"-";"-";"-";"-";"-";"<E>";" casser";"-";" du";"-";" bois";"-";"-";"§casser§du bois "
"41";"-";"+";"-";"-";"-";"+";"ne";" casser";"-";" des";"-";" briques";"-";"-";"§ne casser§des briques "
"42";"-";"+";"-";"-";"-";"+";"ne";" casser";"-";" <E>";"-";" grand chose";"-";"-";"§ne casser§grand chose "
"43";"+";"-";"-";"-";"-";"-";"<E>";" casser";"-";" du";"-";" Nethnique";"-";"-";"§casser§du Nethnique "
"44";"-";"+";"-";"-";"-";"+";"ne";" casser";"-";" <E>";"-";" rien";"-";"-";"§ne casser§rien "
"45";"+";"-";"-";"-";"-";"-";"<E>";" casser";"-";" du";"-";" Viet";"-";"-";"§casser§du Viet "
"46";"+";"-";"-";"-";"-";"-";"<E>";" chanter";"-";" <E>";"-";" victoire";"-";"-";"§chanter§victoire "
"47";"+";"-";"-";"-";"-";"-";"<E>";" chausser";"-";" du";"-";" Dnum";"-";"-";"§chausser§du Dnum "
"48";"+";"-";"-";"-";"-";"-";"<E>";" chausser";"-";" du quarante cinq";"-";" fillette";"-";"-";"§chausser§du quarante cinq fillette "
"49";"+";"-";"-";"-";"-";"-";"<E>";" chausser";"-";" du";"-";" quarante";"-";"-";"§chausser§du quarante "
"50";"+";"-";"-";"-";"-";"-";"<E>";" chercher";"-";" un";"-";" mouton à cinq pattes";"-";"-";"§chercher§un mouton à cinq pattes "
"51";"+";"-";"-";"-";"-";"-";"<E>";" chier";"-";" des";"-";" bulles";"-";"-";"§chier§des bulles "
"52";"+";"-";"-";"-";"-";"-";"<E>";" chier";"-";" un";"-";" coup";"-";"-";"§chier§un coup "
"53";"+";"-";"-";"-";"-";"-";"<E>";" coiffer";"-";" <E>";"-";" Sainte Catherine";"-";"-";"§coiffer§Sainte Catherine "
"54";"-";"+";"-";"-";"-";"-";"<E>";" compter";"-";" <E>";"+";" Dnumlatin-uple";"-";"-";"§compter§Dnumlatin-uple "
"55";"-";"+";"-";"-";"-";"-";"<E>";" compter";"-";" <E>";"+";" double";"-";"-";"§compter§double "
"56";"-";"+";"-";"-";"-";"-";"<E>";" compter";"-";" <E>";"+";" quadruple";"-";"-";"§compter§quadruple "
"57";"+";"-";"-";"-";"-";"-";"<E>";" compter";"-";" chaque";"+";" sou";"-";"+";"§compter§chaque sou "
"58";"-";"+";"-";"-";"-";"-";"<E>";" compter";"-";" <E>";"+";" triple";"-";"-";"§compter§triple "
"59";"+";"-";"-";"+";"-";"-";"en";" connaître";"-";" <E>";"-";" quelque chose";"-";"-";"§en connaître§quelque chose "
"60";"+";"-";"-";"-";"-";"+";"ne";" connaître que";"-";" <E>";"-";" ça";"-";"-";"§ne connaître que§ça "
"61";"+";"-";"-";"-";"-";"-";"<E>";" couler";"-";" une";"-";" bielle";"-";"+";"§couler§une bielle "
"62";"-";"+";"-";"-";"-";"-";"<E>";" coûter";"-";" un";"-";" argent dingue";"-";"-";"§coûter§un argent dingue "
"63";"-";"+";"-";"-";"-";"-";"<E>";" coûter";"-";" un";"-";" argent fou";"-";"-";"§coûter§un argent fou "
"64";"-";"+";"-";"-";"-";"-";"<E>";" coûter";"-";" <E>";"-";" cher";"-";"-";"§coûter§cher "
"65";"-";"+";"-";"-";"-";"-";"<E>";" coûter";"-";" une";"-";" fortune";"-";"-";"§coûter§une fortune "
"66";"-";"+";"-";"-";"-";"-";"<E>";" coûter";"-";" un";"-";" maximum";"-";"-";"§coûter§un maximum "
"67";"-";"+";"-";"-";"-";"-";"<E>";" coûter";"-";" une";"-";" montagne d'or";"-";"-";"§coûter§une montagne d'or "
"68";"-";"+";"-";"-";"-";"-";"<E>";" coûter";"-";" un";"-";" paquet";"-";"-";"§coûter§un paquet "
"69";"-";"+";"-";"-";"-";"-";"<E>";" coûter";"-";" <E>";"-";" rien";"-";"-";"§coûter§rien "
"70";"-";"+";"-";"-";"-";"-";"<E>";" coûter";"-";" une";"-";" somme dingue";"-";"-";"§coûter§une somme dingue "
"71";"-";"+";"-";"-";"-";"-";"<E>";" coûter";"-";" une";"-";" somme folle";"-";"-";"§coûter§une somme folle "
"72";"-";"+";"-";"-";"-";"-";"<E>";" coûter";"-";" des";"-";" sommes dingues";"-";"-";"§coûter§des sommes dingues "
"73";"-";"+";"-";"-";"-";"-";"<E>";" coûter";"-";" des";"-";" sommes folles";"-";"-";"§coûter§des sommes folles "
"74";"-";"+";"-";"-";"-";"-";"<E>";" coûter";"-";" quatre";"-";" sous";"-";"-";"§coûter§quatre sous "
"75";"-";"+";"-";"-";"-";"-";"<E>";" coûter";"-";" six";"-";" sous";"-";"-";"§coûter§six sous "
"76";"-";"+";"-";"-";"-";"-";"<E>";" coûter";"-";" trois";"-";" sous";"-";"-";"§coûter§trois sous "
"77";"-";"+";"-";"-";"-";"-";"<E>";" coûter";"-";" <E>";"-";" tant";"-";"-";"§coûter§tant "
"78";"-";"+";"-";"-";"-";"-";"<E>";" coûter";"-";" un";"-";" tas d'or";"-";"-";"§coûter§un tas d'or "
"79";"-";"+";"-";"-";"-";"-";"<E>";" coûter que";"-";" <E>";"-";" dalle";"-";"-";"§coûter que§dalle "
"80";"+";"-";"-";"-";"-";"-";"<E>";" couver";"-";" <E>";"-";" quelque chose";"-";"-";"§couver§quelque chose "
"81";"+";"-";"-";"-";"-";"-";"<E>";" cracher";"-";" des";"-";" flammes";"-";"-";"§cracher§des flammes "
"82";"+";"-";"-";"-";"-";"-";"<E>";" crier";"-";" <E>";"-";" famine";"-";"-";"§crier§famine "
"83";"+";"-";"-";"-";"-";"-";"<E>";" crier";"-";" <E>";"-";" gare";"-";"-";"§crier§gare "
"84";"+";"-";"-";"-";"-";"-";"<E>";" crier";"-";" <E>";"-";" grâce";"-";"-";"§crier§grâce "
"85";"+";"-";"-";"-";"-";"-";"<E>";" crier";"-";" <E>";"-";" misère";"-";"-";"§crier§misère "
"86";"+";"-";"-";"-";"-";"-";"<E>";" crier";"-";" <E>";"-";" miséricorde";"-";"-";"§crier§miséricorde "
"87";"+";"-";"-";"-";"-";"-";"<E>";" crier";"-";" <E>";"-";" vengeance";"-";"-";"§crier§vengeance "
"88";"+";"-";"-";"-";"-";"-";"<E>";" crier";"-";" <E>";"-";" victoire";"-";"-";"§crier§victoire "
"89";"+";"-";"+";"-";"-";"-";"se";" croire";"+";" <E>";"-";" quelque chose";"-";"-";"§se croire§quelque chose "
"90";"+";"-";"+";"-";"-";"-";"se";" croire";"+";" <E>";"-";" quelqu'un";"-";"-";"§se croire§quelqu'un "
"91";"+";"-";"-";"-";"-";"-";"<E>";" déclarer";"-";" <E>";"-";" forfait";"-";"+";"§déclarer§forfait "
"92";"-";"+";"-";"-";"-";"-";"<E>";" défier";"-";" toute";"+";" concurrence";"-";"-";"§défier§toute concurrence "
"93";"-";"+";"-";"-";"-";"-";"<E>";" demander";"-";" <E>";"-";" grâce";"-";"-";"§demander§grâce "
"94";"+";"-";"-";"-";"-";"-";"<E>";" demander";"-";" <E>";"-";" pouce";"-";"-";"§demander§pouce "
"95";"-";"+";"-";"-";"-";"-";"<E>";" demander";"-";" <E>";"-";" réparation";"-";"-";"§demander§réparation "
"96";"+";"-";"-";"-";"-";"-";"<E>";" demander";"-";" <E>";"-";" vengeance";"-";"-";"§demander§vengeance "
"97";"-";"+";"-";"-";"-";"-";"<E>";" demeurer";"-";" <E>";"-";" lettre morte";"-";"-";"§demeurer§lettre morte "
"98";"+";"-";"-";"-";"-";"-";"<E>";" demeurer";"-";" <E>";"-";" Lui-0-même";"-";"-";"§demeurer§lui-même "
"99";"-";"+";"-";"-";"-";"-";"<E>";" dépasser";"-";" toute";"-";" expression";"-";"-";"§dépasser§toute expression "
"100";"+";"-";"-";"-";"-";"-";"<E>";" déplacer";"-";" de le";"-";" air";"-";"-";"§déplacer§de l'air "
"101";"+";"-";"-";"-";"-";"-";"<E>";" déplacer";"-";" des";"-";" montagnes";"-";"-";"§déplacer§des montagnes "
"102";"+";"-";"-";"-";"-";"-";"<E>";" devenir";"-";" <E>";"-";" chèvre";"-";"-";"§devenir§chèvre "
"103";"+";"-";"-";"-";"-";"-";"<E>";" devenir";"-";" <E>";"-";" femme";"-";"-";"§devenir§femme "
"104";"+";"-";"-";"-";"-";"-";"<E>";" devenir";"-";" <E>";"-";" Lui-0-même";"-";"-";"§devenir§lui-même "
"105";"+";"-";"-";"-";"-";"-";"<E>";" devenir";"-";" <E>";"-";" quoi ?";"-";"-";"§devenir§quoi ? "
"106";"-";"+";"-";"-";"-";"-";"<E>";" devenir";"-";" <E>";"-";" réalité";"-";"-";"§devenir§réalité "
"107";"+";"-";"-";"-";"-";"-";"<E>";" digérerait";"-";" des";"-";" briques";"-";"-";"§digérerait§des briques "
"108";"+";"-";"-";"-";"-";"-";"<E>";" dire";"-";" n'";"-";" importe quoi";"-";"+";"§dire§n'importe quoi "
"109";"+";"-";"-";"-";"-";"+";"ne";" dire";"-";" un";"-";" mot";"-";"-";"§ne dire§un mot "
"110";"+";"-";"-";"-";"-";"-";"<E>";" dire";"-";" <E>";"-";" ouf";"-";"-";"§dire§ouf "
"111";"+";"-";"-";"-";"-";"-";"<E>";" dire";"-";" ce que Il-0";"-";" penser";"-";"-";"§dire§ce qu'il penser "
"112";"+";"-";"-";"-";"-";"-";"<E>";" dire";"-";" ce que IL-0";"-";" vouloir";"-";"-";"§dire§ce qu'IL-0 vouloir "
"113";"+";"-";"+";"-";"-";"-";"se";" donner";"-";" de la";"+";" activité";"-";"-";"§se donner§de l'activité "
"114";"+";"-";"+";"-";"-";"-";"se";" donner";"-";" de le";"-";" air";"-";"-";"§se donner§de l'air "
"115";"+";"-";"-";"+";"-";"-";"en";" donner";"-";" un";"-";" coup";"-";"-";"§en donner§un coup "
"116";"+";"-";"+";"-";"-";"-";"se";" donner";"-";" du";"-";" genre";"-";"-";"§se donner§du genre "
"117";"+";"-";"-";"-";"-";"-";"<E>";" donner";"-";" toute la";"-";" gomme";"-";"+";"§donner§toute la gomme "
