"<ID>";"N0 =: Nhum";"N0 =: N-hum";"Ppv =: Neg";"<ENT>Ppv";"<ENT>V";"<ENT>Det1";"C1 =: Npc";"<ENT>C1";"C1 de Nhum = Ppv-C1 =: lui-C1";"[passif]";"N0 V Det1 C1 de Nc = N0 se V Det1 C1";"Det1 C1 de Nc = Poss C1";"Exemple"
"1";"-";"+";"-";"<E>";" abattre";"le";"-";" moral";"-";"+";"+";"+";"§abattre§le moral "
"2";"+";"+";"-";"<E>";" abîmer";"le";"+";" portrait";"-";"+";"+";"-";"§abîmer§le portrait "
"3";"-";"+";"-";"<E>";" abîmer";"la";"-";" vue";"-";"+";"+";"+";"§abîmer§la vue "
"4";"-";"+";"-";"<E>";" abîmer";"les";"+";" yeux";"-";"+";"+";"+";"§abîmer§les yeux "
"5";"+";"+";"-";"<E>";" abuser";"les";"-";" sens";"-";"+";"-";"+";"§abuser§les sens "
"6";"+";"+";"-";"<E>";" accrocher";"le";"+";" oeil";"-";"+";"-";"+";"§accrocher§l'oeil "
"7";"+";"+";"-";"<E>";" accroître";"la";"-";" marge de manoeuvre";"+";"+";"-";"+";"§accroître§la marge de manoeuvre "
"8";"-";"+";"-";"<E>";" accuser";"les";"+";" traits";"-";"+";"-";"+";"§accuser§les traits "
"9";"-";"+";"-";"<E>";" adoucir";"le";"-";" caractère";"-";"+";"+";"+";"§adoucir§le caractère "
"10";"-";"+";"-";"<E>";" adoucir";"les";"-";" moeurs";"-";"+";"-";"+";"§adoucir§les moeurs "
"11";"+";"+";"-";"<E>";" adoucir";"le";"-";" sort";"+";"+";"-";"+";"§adoucir§le sort "
"12";"-";"+";"-";"<E>";" aérer";"les";"-";" idées";"-";"+";"+";"+";"§aérer§les idées "
"13";"-";"+";"-";"<E>";" affiler";"la";"+";" langue";"-";"+";"-";"+";"§affiler§la langue "
"14";"-";"+";"-";"<E>";" agrandir";"les";"+";" yeux";"-";"+";"-";"+";"§agrandir§les yeux "
"15";"-";"+";"-";"<E>";" aigrir";"le";"-";" caractère";"-";"+";"+";"+";"§aigrir§le caractère "
"16";"+";"+";"-";"<E>";" aiguiser";"le";"-";" appétit";"-";"+";"+";"+";"§aiguiser§l'appétit "
"17";"+";"+";"-";"<E>";" aiguiser";"le";"-";" esprit";"-";"+";"+";"+";"§aiguiser§l'esprit "
"18";"+";"+";"-";"<E>";" aiguiser";"la";"-";" faim";"-";"+";"-";"+";"§aiguiser§la faim "
"19";"-";"+";"-";"<E>";" allonger";"la";"+";" figure";"-";"+";"-";"+";"§allonger§la figure "
"20";"-";"+";"-";"<E>";" allonger";"la";"+";" mine";"-";"+";"-";"+";"§allonger§la mine "
"21";"-";"+";"-";"<E>";" allonger";"le";"+";" nez";"+";"+";"-";"+";"§allonger§le nez "
"22";"+";"-";"-";"<E>";" allonger";"les";"+";" oreilles";"-";"+";"-";"+";"§allonger§les oreilles "
