"<ID>";"N0 =: Nhum";"N0 =: N-hum";"Ppv =: se figé";"Ppv =: en figé";"Ppv =: Neg";"<ENT>Ppv";"<ENT>V";"<ENT>Prép1";"<ENT>Det1";"C1 =: Npc0";"<ENT>C1";"N0 V Prép1 Det1 C1";"C1 =: C1 de Nhum";"C1 =: C1 de N-hum";"C1 de Nhum = Ppv-C1 =: lui-C1";"Det1 C1 de Nc = Poss C1";"Exemple"
"1";"+";"-";"+";"-";"-";"s'";" abandonner";"dans";"les";"+";" bras";"-";"+";"-";"-";"+";"§s'abandonner§dans les bras "
"2";"+";"+";"-";"-";"-";"<E>";" abonder";"dans";"le";"-";" sens";"-";"+";"-";"-";"+";"§abonder§dans le sens "
"3";"+";"+";"-";"-";"-";"<E>";" abuser";"de";"la";"-";" bienveillance";"-";"+";"-";"+";"+";"§abuser§de la bienveillance "
"4";"+";"+";"-";"-";"-";"<E>";" abuser";"de";"la";"-";" hospitalité";"-";"+";"-";"+";"+";"§abuser§de l'hospitalité "
"5";"+";"+";"-";"-";"-";"<E>";" abuser";"de";"la";"-";" patience";"-";"+";"-";"+";"+";"§abuser§de la patience "
"6";"+";"-";"-";"-";"-";"<E>";" agir";"à";"le";"-";" mieux des intérêts";"-";"+";"-";"-";"+";"§agir§au mieux des intérêts "
"7";"+";"+";"-";"-";"-";"<E>";" aller";"jusqu'à";"le";"-";" bout";"-";"-";"+";"-";"-";"§aller§jusqu'à le bout "
"8";"+";"+";"-";"-";"-";"<E>";" aller";"jusqu'à";"le";"-";" bout de la pensée";"-";"+";"-";"-";"+";"§aller§jusqu'à le bout de la pensée "
"9";"-";"+";"-";"-";"-";"<E>";" aller";"à";"le";"-";" delà";"-";"-";"+";"-";"-";"§aller§au delà "
"10";"+";"+";"-";"-";"-";"<E>";" aller";"à";"le";"-";" delà des demandes";"-";"+";"-";"-";"+";"§aller§au delà des demandes "
"11";"+";"+";"-";"-";"-";"<E>";" aller";"à";"le";"-";" delà des désirs";"-";"+";"-";"-";"+";"§aller§au delà des désirs "
"12";"+";"+";"-";"-";"-";"<E>";" aller";"à";"le";"-";" delà des espérances";"-";"+";"-";"-";"+";"§aller§au delà des espérances "
"13";"+";"+";"-";"-";"-";"<E>";" aller";"à";"le";"-";" delà des espoirs";"-";"+";"-";"-";"+";"§aller§au delà des espoirs "
"14";"+";"+";"-";"-";"-";"<E>";" aller";"à";"le";"-";" delà des exigences";"-";"+";"-";"-";"+";"§aller§au delà des exigences "
"15";"+";"+";"-";"-";"-";"<E>";" aller";"à";"le";"-";" delà des revendications";"-";"+";"-";"-";"+";"§aller§au delà des revendications "
"16";"+";"+";"-";"-";"-";"<E>";" aller";"à";"le";"-";" delà des voeux";"-";"+";"-";"-";"+";"§aller§au delà des voeux "
"17";"+";"-";"-";"-";"-";"<E>";" aller";"à";"le";"-";" devant";"-";"+";"-";"-";"+";"§aller§au devant "
"18";"+";"+";"-";"-";"-";"<E>";" aller";"à";"le";"-";" devant";"-";"-";"+";"-";"-";"§aller§au devant "
"19";"+";"+";"-";"-";"-";"<E>";" aller";"à";"le";"-";" fond";"+";"-";"+";"-";"-";"§aller§au fond "
"20";"-";"+";"-";"-";"-";"<E>";" aller";"à";"le";"-";" inverse";"-";"-";"+";"-";"-";"§aller§à l'inverse "
"21";"+";"+";"-";"-";"-";"<E>";" aller";"à";"<E>";"-";" rebours";"+";"-";"+";"-";"-";"§aller§à rebours "
"22";"+";"-";"-";"-";"-";"<E>";" aller";"à";"la";"-";" rencontre";"-";"+";"-";"-";"+";"§aller§à la rencontre "
"23";"+";"-";"-";"-";"-";"<E>";" aller";"à";"le";"-";" secours";"-";"+";"-";"-";"+";"§aller§au secours "
"24";"+";"+";"-";"-";"-";"<E>";" aller";"dans";"le";"-";" sens";"-";"+";"+";"-";"+";"§aller§dans le sens "
"25";"-";"+";"-";"-";"-";"<E>";" aller";"en";"<E>";"-";" sens contraire";"-";"-";"+";"-";"-";"§aller§en sens contraire "
"26";"-";"+";"-";"-";"-";"<E>";" aller";"en";"<E>";"-";" sens inverse";"-";"-";"+";"-";"-";"§aller§en sens inverse "
"27";"+";"-";"-";"-";"-";"<E>";" aller";"sur";"la";"-";" tombe";"-";"+";"-";"-";"+";"§aller§sur la tombe "
"28";"+";"-";"+";"-";"-";"s'";" apitoyer";"sur";"le";"-";" sort";"-";"+";"-";"-";"+";"§s'apitoyer§sur le sort "
"29";"-";"+";"-";"-";"-";"<E>";" apparaître";"sur";"le";"+";" visage";"-";"+";"-";"-";"+";"§apparaître§sur le visage "
"30";"-";"+";"-";"-";"-";"<E>";" apparaître";"dans";"les";"+";" yeux";"-";"+";"-";"-";"+";"§apparaître§dans les yeux "
"31";"+";"-";"-";"+";"-";"en";" appeler";"à";"la";"-";" justice";"-";"+";"-";"-";"+";"§en appeler§à la justice "
"32";"+";"-";"-";"+";"-";"en";" appeler";"à";"le";"-";" témoignage";"-";"+";"-";"-";"+";"§en appeler§au témoignage "
"33";"+";"-";"-";"-";"-";"<E>";" arriver";"à";"<E>";"-";" bout";"-";"+";"+";"-";"-";"§arriver§à bout "
"34";"+";"-";"-";"-";"-";"<E>";" arriver";"à";"le";"+";" bras";"-";"+";"-";"-";"+";"§arriver§au bras "
"35";"+";"+";"-";"-";"-";"<E>";" arriver";"à";"la";"-";" ceinture";"-";"+";"-";"+";"+";"§arriver§à la ceinture "
"36";"-";"+";"-";"-";"-";"<E>";" arriver";"à";"la";"+";" cheville";"-";"+";"-";"+";"-";"§arriver§à la cheville "
"37";"+";"-";"-";"-";"-";"<E>";" arriver";"à";"le";"-";" terme";"-";"-";"+";"-";"+";"§arriver§au terme "
"38";"+";"-";"+";"-";"-";"s'";" asseoir";"à";"la";"-";" droite";"-";"+";"-";"-";"+";"§s'asseoir§à la droite "
"39";"+";"-";"+";"-";"-";"s'";" asseoir";"sur";"le";"-";" trône";"+";"+";"+";"-";"+";"§s'asseoir§sur le trône "
"40";"+";"-";"+";"-";"-";"s'";" assurer";"de";"la";"-";" personne";"-";"+";"-";"-";"+";"§s'assurer§de la personne "
