"<ID>";"N0 =: Nhum";"N0 =: N-hum";"Ppv =: se figé";"Ppv =: en figé";"Ppv =: y figé";"Ppv =: le figé";"Ppv =: la figé";"Ppv =: Neg";"<ENT>Ppv";"<ENT>V";"N0 V";"N0 V Prép1 Det1 C1";"C1 =: Npc";"<ENT>Prép1";"<ENT>Det1";"<ENT>C1";"<ENT>Prép2";"<ENT>Det2";"<ENT>C2";"N0 V Prép2 (Det2 C2+N2)";"N2 =: Npc";"N2 =: Nhum";"N2 =: N-hum";"Exemple"
"1";"+";"-";"-";"+";"-";"-";"-";"-";"en";" aboutir";"-";"+";"-";"à";"de telles";"extrémités";"avec";"<E>";"<E>";"-";"-";"+";"-";"§en aboutir§à de telles extrémités "
"2";"+";"-";"+";"-";"-";"-";"-";"-";"s'";" aimer";"-";"+";"-";"de";"<E>";"amour tendre";"avec";"<E>";"<E>";"+";"-";"+";"-";"§s'aimer§d'amour tendre "
"3";"+";"-";"-";"-";"-";"-";"-";"-";"<E>";" alléguer";"-";"+";"-";"de";"Poss0 bonne";"foi";"auprès de";"<E>";"<E>";"-";"-";"+";"-";"§alléguer§de sa bonne foi "
"4";"+";"-";"-";"-";"-";"-";"-";"-";"<E>";" aller";"-";"-";"-";"jusqu'à";"le";"bout du monde";"avec";"<E>";"<E>";"+";"-";"+";"-";"§aller§jusqu'à le bout du monde "
"5";"+";"+";"-";"-";"-";"-";"-";"-";"<E>";" aller";"-";"-";"-";"de";"<E>";"compagnie";"avec";"<E>";"<E>";"+";"-";"+";"-";"§aller§de compagnie "
"6";"+";"+";"-";"-";"-";"-";"-";"-";"<E>";" aller";"-";"-";"-";"de";"<E>";"échec";"en";"<E>";"échec";"-";"-";"-";"-";"§aller§d'échec "
"7";"+";"+";"-";"-";"-";"-";"-";"-";"<E>";" aller";"-";"-";"-";"de";"<E>";"mal";"en";"<E>";"pis";"-";"-";"-";"-";"§aller§de mal "
"8";"+";"+";"-";"-";"-";"-";"-";"-";"<E>";" aller";"-";"-";"-";"de";"<E>";"mieux";"en";"<E>";"mieux";"-";"-";"-";"-";"§aller§de mieux "
"9";"+";"-";"-";"-";"-";"-";"-";"-";"<E>";" aller";"-";"-";"-";"de";"<E>";"N-hum";"en";"<E>";"N-hum";"-";"-";"-";"-";"§aller§de N-hum "
"10";"+";"-";"-";"-";"-";"-";"-";"-";"<E>";" aller";"-";"-";"-";"de";"<E>";"pair";"avec";"<E>";"<E>";"+";"-";"+";"-";"§aller§de pair "
"11";"+";"+";"-";"-";"-";"-";"-";"-";"<E>";" aller";"-";"-";"-";"de";"le";"simple";"à";"le";"particulier";"-";"-";"-";"-";"§aller§du simple "
"12";"+";"-";"-";"-";"-";"-";"-";"-";"<E>";" aller";"-";"-";"-";"de";"<E>";"succès";"en";"<E>";"succès";"-";"-";"-";"-";"§aller§de succès "
"13";"+";"-";"-";"-";"-";"-";"-";"-";"<E>";" aller";"-";"-";"-";"de";"<E>";"surprise";"en";"<E>";"surprise";"-";"-";"-";"-";"§aller§de surprise "
"14";"+";"-";"-";"-";"-";"-";"-";"-";"<E>";" aller";"-";"+";"-";"à";"le";"tapis";"pour";"le";"compte";"-";"-";"-";"-";"§aller§au tapis "
"15";"+";"-";"-";"-";"-";"-";"-";"-";"<E>";" aller";"-";"-";"-";"de";"le";"un";"à";"le";"autre";"-";"-";"-";"-";"§aller§de l'un "
"16";"+";"-";"-";"-";"-";"-";"-";"-";"<E>";" aller";"-";"-";"-";"de";"la";"une";"à";"la";"autre";"-";"-";"-";"-";"§aller§de l'une "
"17";"+";"+";"-";"-";"-";"-";"-";"-";"<E>";" apparaître";"-";"-";"-";"en";"<E>";"rêve";"à";"<E>";"<E>";"+";"-";"+";"-";"§apparaître§en rêve "
"18";"+";"+";"-";"-";"-";"-";"-";"-";"<E>";" apparaître";"-";"-";"-";"en";"<E>";"songe";"à";"<E>";"<E>";"+";"-";"+";"-";"§apparaître§en songe "
"19";"+";"-";"-";"+";"-";"-";"-";"-";"en";" arriver";"-";"+";"-";"à";"de telles";"extrémités";"avec";"<E>";"<E>";"-";"-";"+";"-";"§en arriver§à de telles extrémités "
"20";"+";"-";"-";"+";"-";"-";"-";"-";"en";" arriver";"-";"-";"+";"à";"les";"mains";"avec";"<E>";"<E>";"-";"-";"+";"-";"§en arriver§aux mains "
"21";"+";"-";"-";"-";"-";"-";"-";"-";"<E>";" arriver";"-";"+";"-";"à";"<E>";"quelque chose";"avec";"<E>";"<E>";"-";"-";"-";"-";"§arriver§à quelque chose "
"22";"+";"-";"-";"-";"-";"-";"-";"-";"<E>";" avoir";"-";"-";"+";"plein";"la";"tête";"de";"<E>";"<E>";"-";"-";"+";"+";"§a§plein la tête "
