"<ID>";"N0 =: Nhum";"N0 =: N-hum";"Ppv =: se figé";"Ppv =: en figé";"Ppv =: le figé";"Ppv =: Neg";"<ENT>Ppv";"<ENT>V";"N0 V";"V0-inf W";"Question indirecte";"<ENT>Prép1";"<ENT>Det1";"<ENT>C1";"N1 =: Nhum";"N1 =: N-hum";"<ENT>V2";"<ENT>PrépDetv";"<ENT>Cv";"Nv =: Nhum";"Nv =: N-hum";"Exemple"
"1";"+";"-";"-";"-";"-";"-";"<E>";" accepter";"-";"+";"-";"de";"<E>";"<E>";"-";"-";"répondre";"aux";"questions de Nhum";"-";"-";"§accepter§de répondre aux questions de Nhum "
"2";"+";"-";"-";"-";"-";"-";"<E>";" accepter";"-";"+";"-";"de";"<E>";"<E>";"-";"-";"répondre";"aux";"questions des journalistes";"-";"-";"§accepter§de répondre aux questions des journalistes "
"3";"-";"+";"-";"-";"-";"-";"<E>";" aider";"-";"-";"-";"à";"<E>";"<E>";"-";"-";"vivre";"<E>";"<E>";"-";"-";"§aider§à vivre "
"4";"+";"-";"-";"-";"-";"+";"n'";" aimer pas";"-";"+";"-";"à";"le";"coin d'un bois";"-";"-";"rencontrer";"<E>";"<E>";"+";"-";"§n'aimer pas§au coin d'un bois rencontrer "
"5";"+";"-";"-";"-";"-";"-";"<E>";" aimerait";"-";"+";"-";"<E>";"<E>";"<E>";"-";"-";"voir";"<E>";"ça !";"-";"-";"§aimerait§voir ça! "
"6";"+";"-";"-";"-";"-";"-";"<E>";" aimerait";"-";"+";"-";"<E>";"<E>";"<E>";"-";"-";"y voir";"<E>";"<E>";"+";"-";"§aimerait§y voir "
"7";"-";"+";"-";"-";"-";"-";"<E>";" aller";"-";"-";"-";"<E>";"<E>";"<E>";"-";"-";"chercher";"<E>";"<E>";"-";"+";"§aller§chercher "
"8";"-";"+";"-";"-";"-";"-";"<E>";" aller";"-";"-";"-";"<E>";"<E>";"<E>";"-";"-";"chercher";"<E>";"loin";"-";"-";"§aller§chercher loin "
"9";"+";"-";"-";"-";"-";"-";"<E>";" aller";"-";"+";"-";"<E>";"<E>";"<E>";"-";"-";"planter";"Poss0";"choux";"-";"-";"§aller§planter son choux "
"10";"+";"-";"-";"-";"-";"-";"<E>";" aller";"-";"+";"-";"<E>";"<E>";"<E>";"-";"-";"quérir";"<E>";"<E>";"+";"+";"§aller§quérir "
"11";"-";"+";"-";"-";"-";"-";"<E>";" aller";"-";"-";"-";"à";"<E>";"<E>";"-";"-";"ravir";"à";"<E>";"+";"-";"§aller§à ravir à "
"12";"-";"+";"-";"-";"-";"-";"<E>";" aller";"-";"+";"-";"<E>";"<E>";"<E>";"-";"-";"se passer";"<E>";"<E>";"-";"-";"§aller§se passer "
"13";"+";"-";"-";"-";"-";"-";"<E>";" aller";"-";"+";"-";"<E>";"<E>";"<E>";"-";"-";"se rhabiller";"<E>";"<E>";"-";"-";"§aller§se rhabiller "
"14";"+";"-";"-";"-";"-";"-";"<E>";" aller";"-";"-";"-";"et";"<E>";"<E>";"-";"-";"venir";"<E>";"<E>";"-";"-";"§aller§et venir "
"15";"+";"-";"-";"-";"-";"-";"<E>";" aller";"-";"+";"-";"avec";"une";"fourche";"-";"-";"chercher";"de la";"eau";"-";"-";"§aller§avec une fourche chercher de l'eau "
"16";"+";"-";"-";"-";"-";"-";"<E>";" aller";"-";"+";"-";"dans";"cette";"galère";"-";"-";"faire";"<E>";"quoi?";"-";"-";"§aller§dans cette galère fait quoi? "
"17";"+";"-";"-";"-";"-";"-";"<E>";" aller";"-";"-";"+";"ou";"<E>";"ne pouvoir aller";"+";"-";"à";"Poss0";"place";"-";"-";"§aller§ou ne pouvoir aller à sa place "
"18";"+";"-";"-";"-";"-";"-";"<E>";" aller";"-";"-";"+";"où";"le";"roi";"-";"-";"va";"à";"pied";"-";"-";"§aller§où le roi va à pied "
"19";"+";"-";"-";"-";"-";"-";"<E>";" aller";"-";"+";"-";"<E>";"<E>";"se faire";"-";"-";"cuire";"un";"oeuf";"-";"-";"§aller§se fait cuire un oeuf "
"20";"+";"-";"-";"-";"-";"-";"<E>";" aller";"-";"+";"-";"<E>";"<E>";"se faire";"-";"-";"enculer";"chez les";"Grecs";"-";"-";"§aller§se fait enculer chez les Grecs "
"21";"+";"-";"-";"-";"-";"-";"<E>";" aller";"-";"+";"-";"<E>";"<E>";"se faire";"-";"-";"fiche";"<E>";"<E>";"-";"-";"§aller§se fait fiche "
"22";"+";"-";"-";"-";"-";"-";"<E>";" aller";"-";"+";"-";"<E>";"<E>";"se faire";"-";"-";"foutre";"<E>";"<E>";"-";"-";"§aller§se fait foutre "
"23";"+";"-";"-";"-";"-";"-";"<E>";" aller";"-";"+";"-";"<E>";"<E>";"se faire";"-";"-";"pendre";"<E>";"ailleurs";"-";"-";"§aller§se fait pendre ailleurs "
"24";"+";"-";"-";"-";"-";"-";"<E>";" aller";"-";"+";"-";"<E>";"<E>";"se faire";"-";"-";"voir";"<E>";"<E>";"-";"-";"§aller§se fait voir "
"25";"+";"-";"-";"-";"-";"-";"<E>";" aller";"-";"+";"-";"<E>";"<E>";"se faire";"-";"-";"voir";"<E>";"ailleurs";"-";"-";"§aller§se fait voir ailleurs "
