"<ID>";"<ENT>Det0";"C0 =: Npc";"Det0 pluriel";"<ENT>C0";"C0 =: C0 de Nhum";"Ppv =: en figé";"Ppv =: Neg";"<ENT>Ppv";"<ENT><être>";"<ENT>est";"<ENT>Adj1";"Vop = avoir le";"Vop = avoir un";"Exemple"
"1";"le";"-";"-";" abord";"+";"-";"-";"<E>";" être";" est";"froid";"+";"-";"l'abord§est§froid "
"2";"le";"-";"-";" abord";"+";"-";"-";"<E>";" être";" est";"réservé";"+";"-";"l'abord§est§réservé "
"3";"le";"-";"-";" accent";"+";"-";"-";"<E>";" être";" est";"faubourien";"+";"+";"l'accent§est§faubourien "
"4";"le";"-";"-";" accent";"+";"-";"-";"<E>";" être";" est";"gras";"+";"+";"l'accent§est§gras "
"5";"le";"-";"-";" accent";"+";"-";"-";"<E>";" être";" est";"guttural";"+";"+";"l'accent§est§guttural "
"6";"le";"-";"-";" accent";"+";"-";"-";"<E>";" être";" est";"mâle";"+";"+";"l'accent§est§mâle "
"7";"le";"-";"-";" accent";"+";"-";"-";"<E>";" être";" est";"méridional";"+";"+";"l'accent§est§méridional "
"8";"le";"-";"-";" accent";"+";"-";"-";"<E>";" être";" est";"pointu";"+";"+";"l'accent§est§pointu "
"9";"le";"-";"-";" accent";"+";"-";"-";"<E>";" être";" est";"prononcé";"+";"+";"l'accent§est§prononcé "
"10";"les";"-";"-";" accents";"+";"-";"-";"<E>";" être";" sont";"déchirants";"-";"+";"les accents§sont§déchirants "
"11";"Det";"-";"-";" acceptation";"+";"-";"-";"<E>";" être";" est";"conditionnelle";"-";"-";"un acceptation§est§conditionnelle "
"12";"un";"-";"-";" accident";"-";"-";"-";"<E>";" être";" est";"si vite arrivé";"-";"-";"un accident§est§si vite arrivé "
"13";"un";"-";"-";" accident";"-";"-";"-";"<E>";" être";" est";"vite arrivé";"-";"-";"un accident§est§vite arrivé "
"14";"les";"-";"-";" acclamations";"+";"-";"-";"<E>";" être";" sont";"nourries";"-";"-";"les acclamations§sont§nourries "
"15";"Det";"-";"-";" accord";"-";"-";"-";"<E>";" être";" est";"secret";"-";"-";"un accord§est§secret "
"16";"Det";"-";"-";" accord";"-";"-";"-";"<E>";" être";" est";"tacite";"-";"-";"un accord§est§tacite "
"17";"Det";"-";"-";" accueil";"+";"-";"-";"<E>";" être";" est";"chaleureux";"-";"-";"un accueil§est§chaleureux "
"18";"Det";"-";"-";" accueil";"+";"-";"-";"<E>";" être";" est";"enthousiaste";"-";"-";"un accueil§est§enthousiaste "
"19";"Det";"-";"-";" accueil";"+";"-";"-";"<E>";" être";" est";"froid";"-";"-";"un accueil§est§froid "
"20";"Det";"-";"-";" accueil";"+";"-";"-";"<E>";" être";" est";"glacé";"-";"-";"un accueil§est§glacé "
"21";"Det";"-";"-";" accueil";"+";"-";"-";"<E>";" être";" est";"glacial";"-";"-";"un accueil§est§glacial "
