"<ID>";"<ENT>Det0";"Det0 pluriel";"C0 =: Npc";"<ENT>C0";"C0 =: C0 de Nhum";"Ppv =: en figé";"Ppv =: me figé";"Ppv =: Neg";"<ENT>Ppv";"<ENT><être>";"<ENT>est";"<ENT>Prép1";"C1 =: Npc";"C1 =: C1 de Nhum";"<ENT>Det1";"<ENT>C1";"Vop = avoir un";"Vop = N-hum donner";"Exemple"
"1";"le";"-";"-";" accent";"+";"-";"-";"-";"<E>";" être";" est";"de";"-";"-";"les";"faubourgs";"+";"+";"l'accent§est§des faubourgs "
"2";"Det";"-";"-";" accord";"-";"-";"-";"-";"<E>";" être";" est";"en";"-";"-";"<E>";"vigueur";"-";"-";"un accord§est§en vigueur "
"3";"Det";"+";"-";" achat";"-";"-";"-";"-";"<E>";" être";" est";"sous";"-";"-";"<E>";"condition";"-";"-";"un achat§est§sous condition "
"4";"Det";"+";"-";" achat";"-";"-";"-";"-";"<E>";" être";" est";"à";"-";"-";"la";"pièce";"-";"-";"un achat§est§à la pièce "
"5";"Det";"+";"-";" achat";"-";"-";"-";"-";"<E>";" être";" est";"à";"-";"-";"la";"unité";"-";"-";"un achat§est§à l'unité "
"6";"les";"-";"-";" actions";"+";"-";"-";"-";"<E>";" être";" sont";"en";"-";"-";"<E>";"baisse";"+";"-";"les actions§sont§en baisse "
"7";"les";"-";"-";" actions";"+";"-";"-";"-";"<E>";" être";" sont";"en";"-";"-";"<E>";"hausse";"+";"-";"les actions§sont§en hausse "
"8";"le plus";"-";"-";" Adj";"-";"-";"-";"-";"<E>";" être";" est";"à";"-";"-";"<E>";"faire";"-";"-";"le plus Adj§est§à fait "
"9";"le plus";"-";"-";" Adj";"-";"-";"-";"-";"<E>";" être";" est";"à";"-";"-";"<E>";"venir";"-";"-";"le plus Adj§est§à venir "
"10";"le plus";"-";"-";" Adj des deux";"-";"-";"-";"+";"n'";" être pas";" est pas";"<E>";"-";"-";"<E>";"celui qu'on croit";"-";"-";"le plus Adj des deux§n'est pas§celui qu'on croit "
"11";"le plus";"-";"-";" Adj des deux";"-";"-";"-";"+";"n'";" être pas";" est pas";"<E>";"-";"-";"<E>";"celui qu'on pense";"-";"-";"le plus Adj des deux§n'est pas§celui qu'on pense "
