"<ID>";"Ppv =: Neg";"<ENT>Ppv";"<ENT><être>";"<ENT>Det1";"<ENT>C1";"<ENT>Prépc";"<ENT>Detc";"<ENT>Cc";"x1";"x2";"x3";"x4";"x5";"x6";"x7";"Exemple"
"1";"-";"<E>";" être";"un";"Maillol";"<E>";"<E>";"<E>";"+";"-";"-";"-";"-";"+";"-";"§est§un Maillol "
"2";"-";"<E>";" être";"un";"Renoir";"<E>";"<E>";"<E>";"+";"-";"-";"-";"-";"+";"-";"§est§un Renoir "
"3";"-";"<E>";" être";"une bonne";"affaire";"<E>";"<E>";"<E>";"+";"-";"-";"-";"+";"+";"-";"§est§une bonne affaire "
"4";"-";"<E>";" être";"un";"agneau";"<E>";"<E>";"<E>";"+";"-";"-";"+";"+";"+";"-";"§est§un agneau "
"5";"-";"<E>";" être";"un";"agneau";"<E>";"<E>";"<E>";"+";"-";"-";"+";"+";"+";"-";"§est§un agneau "
"6";"+";"n'";" être pas";"un";"aigle";"<E>";"<E>";"<E>";"+";"-";"-";"+";"+";"+";"-";"§n'est pas§un aigle "
"7";"-";"<E>";" être";"un";"aigle";"<E>";"<E>";"<E>";"+";"-";"-";"+";"+";"+";"-";"§est§un aigle "
"8";"-";"<E>";" être";"une";"andouille";"<E>";"<E>";"<E>";"+";"-";"+";"-";"+";"+";"-";"§est§une andouille "
"9";"-";"<E>";" être";"un";"âne";"<E>";"<E>";"<E>";"+";"-";"-";"+";"+";"+";"-";"§est§un âne "
"10";"-";"<E>";" être";"un";"âne";"<E>";"<E>";"bâté";"+";"-";"-";"+";"+";"+";"-";"§est§un âne bâté "
"11";"-";"<E>";" être";"du vif";"argent";"<E>";"<E>";"<E>";"+";"-";"-";"-";"+";"+";"-";"§est§du vif argent "
"12";"-";"<E>";" être";"une";"armoire";"à";"<E>";"glace";"+";"-";"-";"-";"+";"+";"-";"§est§une armoire à glace "
"13";"-";"<E>";" être";"une";"armoire";"à";"<E>";"glace";"+";"-";"-";"-";"+";"-";"-";"§est§une armoire à glace "
"14";"-";"<E>";" être";"une grande";"asperge";"<E>";"<E>";"<E>";"+";"-";"-";"-";"+";"+";"-";"§est§une grande asperge "
"15";"-";"<E>";" être";"une";"aubergine";"<E>";"<E>";"<E>";"+";"-";"+";"-";"-";"+";"-";"§est§une aubergine "
"16";"-";"<E>";" être";"<E>";"avant";"<E>";"<E>";"gardiste";"+";"+";"-";"-";"+";"+";"+";"§est§avant gardiste "
"17";"-";"<E>";" être";"un";"ayant";"<E>";"<E>";"droit";"+";"-";"-";"-";"+";"+";"-";"§est§un ayant droit "
"18";"-";"<E>";" être";"une vieille";"barbe";"<E>";"<E>";"<E>";"+";"-";"-";"-";"+";"+";"-";"§est§une vieille barbe "
"19";"-";"<E>";" être";"<E>";"bas";"<E>";"<E>";"bleu";"+";"-";"-";"-";"-";"+";"-";"§est§bas bleu "
"20";"-";"<E>";" être";"un";"bâtisseur";"de";"<E>";"cathédrale";"+";"-";"-";"-";"+";"+";"-";"§est§un bâtisseur de cathédrale "
"21";"-";"<E>";" être";"une";"baudruche";"<E>";"<E>";"<E>";"+";"-";"-";"-";"+";"+";"-";"§est§une baudruche "
"22";"-";"<E>";" être";"une vieux";"beau";"<E>";"<E>";"<E>";"+";"-";"-";"-";"+";"+";"-";"§est§une vieux beau "
"23";"-";"<E>";" être";"un fin";"bec";"<E>";"<E>";"<E>";"+";"-";"+";"-";"+";"+";"-";"§est§un fin bec "
"24";"-";"<E>";" être";"du";"bétail";"<E>";"<E>";"<E>";"+";"-";"-";"+";"+";"+";"-";"§est§du bétail "
"25";"-";"<E>";" être";"une bonne";"bête";"<E>";"<E>";"<E>";"+";"-";"-";"+";"+";"+";"-";"§est§une bonne bête "
"26";"-";"<E>";" être";"une grosse";"bête";"<E>";"<E>";"<E>";"+";"-";"-";"+";"+";"+";"-";"§est§une grosse bête "
"27";"-";"<E>";" être";"une sale";"bête";"<E>";"<E>";"<E>";"+";"-";"-";"+";"+";"+";"-";"§est§une sale bête "
"28";"-";"<E>";" être";"une";"bête";"à";"<E>";"concours";"+";"-";"-";"+";"+";"+";"-";"§est§une bête à concours "
"29";"-";"<E>";" être";"une";"bête";"<E>";"<E>";"enragée";"+";"-";"-";"+";"+";"+";"-";"§est§une bête enragée "
"30";"-";"<E>";" être";"une";"bête";"<E>";"<E>";"féroce";"+";"-";"-";"+";"+";"+";"-";"§est§une bête féroce "
"31";"-";"<E>";" être";"une";"bête";"de";"<E>";"travail";"+";"-";"-";"+";"+";"+";"-";"§est§une bête de travail "
"32";"-";"<E>";" être";"une";"biche";"<E>";"<E>";"<E>";"+";"-";"-";"+";"-";"+";"-";"§est§une biche "
"33";"-";"<E>";" être";"une grande";"bique";"<E>";"<E>";"<E>";"+";"-";"-";"+";"-";"+";"-";"§est§une grande bique "
"34";"-";"<E>";" être";"une vieille";"bique";"<E>";"<E>";"<E>";"+";"-";"-";"+";"-";"+";"-";"§est§une vieille bique "
"35";"-";"<E>";" être";"une vieux";"birbe";"<E>";"<E>";"<E>";"+";"-";"-";"-";"+";"+";"-";"§est§une vieux birbe "
"36";"-";"<E>";" être";"un";"boeuf";"<E>";"<E>";"<E>";"+";"-";"-";"+";"+";"-";"-";"§est§un boeuf "
"37";"-";"<E>";" être";"une";"bombe";"<E>";"<E>";"sexuelle";"+";"-";"-";"-";"-";"+";"-";"§est§une bombe sexuelle "
"38";"-";"<E>";" être";"un";"bon";"à";"<E>";"rien";"+";"-";"-";"-";"+";"+";"+";"§est§un bon à rien "
"39";"-";"<E>";" être";"un gros";"bonnet";"<E>";"<E>";"<E>";"+";"-";"-";"+";"+";"-";"-";"§est§un gros bonnet "
"40";"-";"<E>";" être";"un vieux";"bouc";"<E>";"<E>";"<E>";"+";"-";"-";"+";"+";"-";"-";"§est§un vieux bouc "
"41";"-";"<E>";" être";"un";"bouc";"<E>";"<E>";"émissaire";"+";"-";"+";"+";"+";"+";"-";"§est§un bouc émissaire "
"42";"-";"<E>";" être";"une fine";"bouche";"<E>";"<E>";"<E>";"+";"-";"-";"-";"+";"+";"-";"§est§une fine bouche "
"43";"-";"<E>";" être";"un";"boudin";"<E>";"<E>";"<E>";"+";"-";"+";"-";"-";"+";"-";"§est§un boudin "
"44";"-";"<E>";" être";"un petit";"boudin";"<E>";"<E>";"<E>";"+";"-";"-";"-";"-";"+";"-";"§est§un petit boudin "
"45";"-";"<E>";" être";"une";"boule";"de";"<E>";"nerfs";"+";"-";"-";"-";"+";"+";"-";"§est§une boule de nerfs "
"46";"-";"<E>";" être";"une";"boule";"de";"<E>";"suif";"+";"-";"-";"-";"+";"+";"-";"§est§une boule de suif "
"47";"-";"<E>";" être";"un";"boulet";"à";"<E>";"traîner";"+";"-";"-";"-";"+";"+";"-";"§est§un boulet à traîner "
"48";"-";"<E>";" être";"une";"bourrique";"<E>";"<E>";"<E>";"+";"-";"-";"+";"+";"+";"-";"§est§une bourrique "
"49";"-";"<E>";" être";"un";"bras";"<E>";"<E>";"cassé";"+";"-";"-";"-";"+";"+";"-";"§est§un bras cassé "
"50";"-";"<E>";" être";"un";"brebis";"<E>";"<E>";"galeuse";"+";"-";"+";"+";"+";"+";"-";"§est§un brebis galeuse "
"51";"-";"<E>";" être";"une grande";"bringue";"<E>";"<E>";"<E>";"+";"-";"-";"+";"-";"+";"-";"§est§une grande bringue "
"52";"-";"<E>";" être";"une vieux";"briscard";"<E>";"<E>";"<E>";"+";"-";"-";"-";"+";"+";"-";"§est§une vieux briscard "
"53";"-";"<E>";" être";"un";"cadavre";"<E>";"<E>";"ambulant";"+";"-";"-";"-";"+";"+";"-";"§est§un cadavre ambulant "
"54";"-";"<E>";" être";"un";"cafard";"<E>";"<E>";"<E>";"+";"-";"-";"+";"+";"+";"-";"§est§un cafard "
"55";"-";"<E>";" être";"une petite";"caille";"<E>";"<E>";"<E>";"+";"-";"-";"+";"-";"+";"-";"§est§une petite caille "
"56";"-";"<E>";" être";"une";"calamité";"de";"<E>";"Dieu";"+";"-";"-";"-";"+";"+";"-";"§est§une calamité de Dieu "
"57";"-";"<E>";" être";"une";"calamité";"<E>";"<E>";"<E>";"+";"-";"-";"-";"+";"+";"-";"§est§une calamité "
"58";"-";"<E>";" être";"un";"caméléon";"<E>";"<E>";"<E>";"+";"-";"-";"+";"+";"+";"-";"§est§un caméléon "
"59";"-";"<E>";" être";"un";"canard";"<E>";"<E>";"boîteux";"+";"-";"-";"+";"+";"+";"-";"§est§un canard boîteux "
"60";"-";"<E>";" être";"une";"canne";"<E>";"<E>";"blanche";"+";"-";"-";"-";"-";"+";"-";"§est§une canne blanche "
"61";"-";"<E>";" être";"une";"carpette";"<E>";"<E>";"<E>";"+";"-";"-";"-";"+";"+";"-";"§est§une carpette "
"62";"-";"<E>";" être";"un";"cas";"<E>";"<E>";"<E>";"+";"-";"-";"-";"+";"+";"-";"§est§un cas "
"63";"-";"<E>";" être";"une";"catastrophe";"<E>";"<E>";"<E>";"+";"-";"-";"-";"+";"+";"-";"§est§une catastrophe "
"64";"-";"<E>";" être";"un";"cerveau";"<E>";"<E>";"<E>";"+";"-";"-";"-";"+";"+";"-";"§est§un cerveau "
"65";"-";"<E>";" être";"une";"cervelle";"de";"<E>";"moineau";"+";"-";"-";"-";"+";"+";"-";"§est§une cervelle de moineau "
"66";"-";"<E>";" être";"une";"cervelle";"de";"<E>";"oiseau";"+";"-";"-";"-";"+";"+";"-";"§est§une cervelle d'oiseau "
"67";"-";"<E>";" être";"un";"chacal";"<E>";"<E>";"<E>";"+";"-";"-";"+";"+";"-";"-";"§est§un chacal "
"68";"-";"<E>";" être";"un";"chameau";"<E>";"<E>";"<E>";"+";"-";"-";"+";"+";"+";"-";"§est§un chameau "
"69";"-";"<E>";" être";"un";"charognard";"<E>";"<E>";"<E>";"+";"-";"-";"+";"+";"+";"-";"§est§un charognard "
"70";"-";"<E>";" être";"une";"charogne";"<E>";"<E>";"<E>";"+";"-";"+";"-";"+";"+";"-";"§est§une charogne "
"71";"-";"<E>";" être";"un beau";"chassis";"<E>";"<E>";"<E>";"+";"-";"-";"-";"-";"+";"-";"§est§un beau chassis "
"72";"-";"<E>";" être";"une";"chatte";"<E>";"<E>";"<E>";"+";"-";"-";"+";"-";"+";"-";"§est§une chatte "
"73";"-";"<E>";" être";"un";"chêne";"<E>";"<E>";"<E>";"+";"-";"-";"-";"+";"+";"-";"§est§un chêne "
"74";"-";"<E>";" être";"un bon";"cheval";"<E>";"<E>";"<E>";"+";"-";"+";"+";"+";"+";"-";"§est§un bon cheval "
"75";"-";"<E>";" être";"un grand";"cheval";"<E>";"<E>";"<E>";"+";"-";"+";"+";"+";"+";"-";"§est§un grand cheval "
"76";"+";"n'";" être";"un mauvais";"cheval";"<E>";"<E>";"<E>";"+";"-";"-";"+";"+";"+";"-";"§n'est§un mauvais cheval "
"77";"-";"<E>";" être";"un";"cheval";"de";"<E>";"retour";"+";"-";"-";"+";"+";"+";"-";"§est§un cheval de retour "
"78";"-";"<E>";" être";"une";"chèvre";"<E>";"<E>";"<E>";"+";"-";"-";"+";"+";"+";"-";"§est§une chèvre "
"79";"-";"<E>";" être";"<E>";"chien";"<E>";"<E>";"<E>";"+";"-";"+";"+";"+";"+";"-";"§est§chien "
"80";"+";"n'";" être pas";"<E>";"chien";"<E>";"<E>";"<E>";"+";"-";"+";"+";"+";"+";"-";"§n'est pas§chien "
"81";"-";"<E>";" être";"un";"chien";"<E>";"<E>";"<E>";"+";"-";"-";"+";"+";"+";"+";"§est§un chien "
"82";"-";"<E>";" être";"une";"chiffe";"<E>";"<E>";"<E>";"+";"-";"-";"-";"+";"+";"-";"§est§une chiffe "
"83";"-";"<E>";" être";"une";"chiffe";"<E>";"<E>";"molle";"+";"-";"-";"-";"+";"+";"-";"§est§une chiffe molle "
"84";"-";"<E>";" être";"une vieux";"chnoque";"<E>";"<E>";"<E>";"+";"-";"-";"-";"+";"+";"-";"§est§une vieux chnoque "
"85";"-";"<E>";" être";"<E>";"chocolat";"<E>";"<E>";"<E>";"+";"-";"+";"-";"+";"+";"-";"§est§chocolat "
"86";"-";"<E>";" être";"autre";"chose";"<E>";"<E>";"<E>";"+";"-";"-";"-";"+";"+";"-";"§est§autre chose "
"87";"+";"n'";" être pas";"grand";"chose";"<E>";"<E>";"<E>";"+";"-";"-";"-";"+";"+";"-";"§n'est pas§grand chose "
"88";"-";"<E>";" être";"peu de";"chose";"<E>";"<E>";"<E>";"+";"-";"-";"-";"+";"+";"-";"§est§peu de chose "
"89";"-";"<E>";" être";"tout";"chose";"<E>";"<E>";"<E>";"+";"-";"-";"-";"+";"+";"+";"§est§tout chose "
"90";"-";"<E>";" être";"un pas grand";"chose";"<E>";"<E>";"<E>";"+";"-";"-";"-";"+";"+";"+";"§est§un pas grand chose "
"91";"-";"<E>";" être";"peu de";"chose";"sur";"<E>";"terre";"+";"-";"-";"-";"+";"+";"-";"§est§peu de chose sur terre "
"92";"-";"<E>";" être";"une vieille";"chouette";"<E>";"<E>";"<E>";"+";"-";"-";"+";"-";"+";"-";"§est§une vieille chouette "
"93";"-";"<E>";" être";"une";"cigale";"<E>";"<E>";"<E>";"+";"-";"+";"+";"+";"-";"-";"§est§une cigale "
"94";"-";"<E>";" être";"une";"cloche";"<E>";"<E>";"<E>";"+";"-";"+";"-";"+";"+";"-";"§est§une cloche "
"95";"-";"<E>";" être";"une pauvre";"cloche";"<E>";"<E>";"<E>";"+";"-";"+";"-";"+";"+";"-";"§est§une pauvre cloche "
"96";"-";"<E>";" être";"un";"cloporte";"<E>";"<E>";"<E>";"+";"-";"-";"+";"+";"+";"-";"§est§un cloporte "
"97";"-";"<E>";" être";"un";"cobaye";"<E>";"<E>";"<E>";"+";"-";"-";"+";"+";"+";"-";"§est§un cobaye "
"98";"-";"<E>";" être";"un";"cochon";"<E>";"<E>";"<E>";"+";"-";"-";"+";"+";"-";"-";"§est§un cochon "
"99";"-";"<E>";" être";"un";"cochon";"<E>";"<E>";"<E>";"+";"-";"-";"+";"+";"+";"+";"§est§un cochon "
"100";"-";"<E>";" être";"une";"cocotte";"<E>";"<E>";"<E>";"+";"-";"-";"+";"-";"+";"-";"§est§une cocotte "
"101";"-";"<E>";" être";"un sans-";"coeur";"<E>";"<E>";"<E>";"+";"-";"+";"-";"+";"+";"-";"§est§un sans-coeur "
"102";"-";"<E>";" être";"une";"col";"<E>";"<E>";"blanc";"+";"-";"+";"-";"+";"+";"-";"§est§une col blanc "
"103";"-";"<E>";" être";"une";"col";"<E>";"<E>";"bleu";"+";"-";"+";"-";"+";"+";"-";"§est§une col bleu "
"104";"-";"<E>";" être";"<E>";"collet";"<E>";"<E>";"monté";"+";"-";"-";"-";"+";"+";"-";"§est§collet monté "
"105";"-";"<E>";" être";"une";"colombe";"<E>";"<E>";"<E>";"+";"-";"+";"+";"+";"+";"-";"§est§une colombe "
"106";"+";"n'";" être pas";"le";"commun";"de";"les";"mortels";"+";"-";"-";"-";"+";"+";"-";"§n'est pas§le commun des mortels "
"107";"-";"<E>";" être";"un";"con";"<E>";"<E>";"<E>";"+";"-";"+";"-";"+";"-";"-";"§est§un con "
"108";"-";"<E>";" être";"une vieux";"con";"<E>";"<E>";"<E>";"+";"-";"-";"-";"+";"+";"-";"§est§une vieux con "
"109";"-";"<E>";" être";"tous des";"cons";"<E>";"<E>";"<E>";"+";"-";"-";"-";"+";"+";"+";"§est§tous des cons "
"110";"-";"<E>";" être";"un";"coq";"<E>";"<E>";"<E>";"+";"-";"-";"+";"+";"-";"-";"§est§un coq "
"111";"-";"<E>";" être";"un";"corbeau";"<E>";"<E>";"<E>";"+";"-";"-";"+";"+";"+";"-";"§est§un corbeau "
"112";"-";"<E>";" être";"une";"cordon";"<E>";"<E>";"bleu";"+";"-";"+";"-";"+";"+";"-";"§est§une cordon bleu "
"113";"-";"<E>";" être";"une";"couille";"<E>";"<E>";"molle";"+";"-";"+";"-";"+";"+";"-";"§est§une couille molle "
"114";"-";"<E>";" être";"un bon";"coup";"<E>";"<E>";"<E>";"+";"-";"-";"-";"+";"+";"-";"§est§un bon coup "
"115";"-";"<E>";" être";"un deuxième";"couteau";"<E>";"<E>";"<E>";"+";"-";"-";"-";"+";"+";"-";"§est§un deuxième couteau "
"116";"-";"<E>";" être";"un second";"couteau";"<E>";"<E>";"<E>";"+";"-";"-";"-";"+";"+";"-";"§est§un second couteau "
"117";"-";"<E>";" être";"un";"crampon";"<E>";"<E>";"<E>";"+";"-";"-";"-";"+";"+";"-";"§est§un crampon "
"118";"-";"<E>";" être";"un";"crapaud";"<E>";"<E>";"<E>";"+";"-";"-";"+";"+";"+";"-";"§est§un crapaud "
"119";"-";"<E>";" être";"la";"crème";"de";"la";"crème";"+";"-";"-";"-";"+";"+";"-";"§est§la crème de la crème "
"120";"-";"<E>";" être";"la";"crème";"de";"les";"hommes";"+";"-";"-";"-";"+";"-";"-";"§est§la crème des hommes "
"121";"-";"<E>";" être";"une vieille";"croûte";"<E>";"<E>";"<E>";"+";"-";"-";"-";"+";"+";"-";"§est§une vieille croûte "
"122";"-";"<E>";" être";"un vieux";"croûton";"<E>";"<E>";"<E>";"+";"-";"-";"-";"+";"+";"-";"§est§un vieux croûton "
"123";"-";"<E>";" être";"une";"cruche";"<E>";"<E>";"<E>";"+";"-";"-";"-";"+";"+";"-";"§est§une cruche "
"124";"-";"<E>";" être";"un faux-";"cul";"<E>";"<E>";"<E>";"+";"-";"-";"-";"+";"-";"-";"§est§un faux-cul "
"125";"-";"<E>";" être";"un";"cul";"<E>";"<E>";"terreux";"+";"-";"-";"-";"+";"+";"+";"§est§un cul terreux "
"126";"-";"<E>";" être";"un";"danger";"<E>";"<E>";"public";"+";"-";"-";"-";"+";"+";"-";"§est§un danger public "
"127";"-";"<E>";" être";"un";"débris";"<E>";"<E>";"<E>";"+";"-";"-";"-";"+";"+";"-";"§est§un débris "
"128";"-";"<E>";" être";"un";"débris";"<E>";"<E>";"humain";"+";"-";"-";"-";"+";"+";"-";"§est§un débris humain "
"129";"-";"<E>";" être";"le";"dernier";"de";"les";"derniers";"+";"-";"-";"-";"+";"+";"+";"§est§le dernier des derniers "
"130";"-";"<E>";" être";"le";"dessus";"de";"le";"panier";"+";"-";"-";"-";"+";"+";"-";"§est§le dessus du panier "
"131";"-";"<E>";" être";"un";"dieu";"<E>";"<E>";"<E>";"+";"-";"-";"-";"+";"+";"+";"§est§un dieu "
"132";"-";"<E>";" être";"une";"dinde";"<E>";"<E>";"<E>";"+";"-";"-";"+";"-";"+";"-";"§est§une dinde "
"133";"-";"<E>";" être";"le";"dindon";"de";"la";"farce";"+";"-";"-";"+";"+";"+";"-";"§est§le dindon de la farce "
"134";"-";"<E>";" être";"un";"dinosaure";"<E>";"<E>";"<E>";"+";"-";"-";"+";"+";"+";"-";"§est§un dinosaure "
"135";"-";"<E>";" être";"une grosse";"dondon";"<E>";"<E>";"<E>";"+";"-";"-";"-";"-";"+";"-";"§est§une grosse dondon "
"136";"-";"<E>";" être";"un vieux";"dragon";"<E>";"<E>";"<E>";"+";"-";"-";"+";"+";"+";"-";"§est§un vieux dragon "
"137";"-";"<E>";" être";"un";"drôle";"de";"<E>";"animal";"+";"-";"-";"+";"+";"+";"-";"§est§un drôle d'animal "
"138";"-";"<E>";" être";"un";"drôle";"de";"<E>";"citoyen";"+";"-";"-";"-";"+";"+";"-";"§est§un drôle de citoyen "
"139";"-";"<E>";" être";"un";"drôle";"de";"<E>";"coco";"+";"-";"-";"-";"+";"-";"-";"§est§un drôle de coco "
"140";"-";"<E>";" être";"un";"drôle";"de";"<E>";"morceau";"+";"-";"-";"-";"+";"+";"-";"§est§un drôle de morceau "
"141";"-";"<E>";" être";"un ";"drôle";"de";"<E>";"numéro";"+";"-";"-";"-";"+";"+";"-";"§est§un drôle de numéro "
"142";"-";"<E>";" être";"un";"drôle";"de";"<E>";"oiseau";"+";"-";"-";"+";"+";"+";"-";"§est§un drôle d'oiseau "
"143";"-";"<E>";" être";"un";"drôle";"de";"<E>";"type";"+";"-";"-";"-";"+";"-";"-";"§est§un drôle de type "
"144";"-";"<E>";" être";"un";"drôle";"de";"<E>";"zèbre";"+";"-";"-";"+";"+";"-";"-";"§est§un drôle de zèbre "
"145";"-";"<E>";" être";"un";"drôle";"de";"<E>";"zigoto";"+";"-";"-";"-";"+";"-";"-";"§est§un drôle de zigoto "
"146";"-";"<E>";" être";"un";"drôle";"de";"<E>";"zigue";"+";"-";"-";"-";"+";"-";"-";"§est§un drôle de zigue "
"147";"-";"<E>";" être";"un";"dur";"à";"<E>";"cuire";"+";"-";"+";"-";"+";"-";"-";"§est§un dur à cuire "
