"<ID>";"N0 =: Nhum";"N0 =: N-hum";"Ppv =: en figé";"Ppv =: Neg";"<ENT>Ppv";"<ENT><être>";"N0 être Det1 C1";"<ENT>Det1";"<ENT>C1";"<ENT>Prépc";"<ENT>Detc";"<ENT>Cc";"C1 = C1 Adj1";"C1 = Adj1 C1";"<ENT>Prép2";"N2 =: Nhum";"N2 =: N-hum";"Exemple"
"1";"-";"+";"-";"-";"<E>";" être";"-";"un";"abcès";"de";"<E>";"fixation";"+";"+";"pour";"-";"+";"§est§un abcès de fixation pour "
"2";"-";"+";"-";"-";"<E>";" être";"+";"une sale";"affaire";"<E>";"<E>";"<E>";"+";"+";"pour";"-";"-";"§est§une sale affaire pour "
"3";"-";"+";"-";"+";"n'";" être pas";"+";"une mince";"affaire";"<E>";"<E>";"<E>";"+";"+";"pour";"-";"-";"§n'est pas§une mince affaire pour "
"4";"+";"-";"-";"-";"<E>";" être";"-";"<E>";"ambassadeur";"<E>";"<E>";"<E>";"-";"+";"auprès de";"-";"+";"§est§ambassadeur auprès de "
"5";"+";"-";"-";"-";"<E>";" être";"-";"<E>";"ambassadeur";"<E>";"<E>";"<E>";"-";"+";"près";"-";"+";"§est§ambassadeur près "
"6";"-";"+";"-";"-";"<E>";" être";"+";"un";"appel";"de";"le";"pied";"+";"+";"à";"-";"-";"§est§un appel du pied à "
"7";"+";"-";"-";"-";"<E>";" être";"-";"un";"as";"en";"<E>";"matière";"-";"-";"de";"+";"-";"§est§un as en matière de "
"8";"+";"+";"-";"-";"<E>";" être";"+";"un";"atout";"<E>";"<E>";"<E>";"+";"+";"pour";"-";"+";"§est§un atout pour "
"9";"+";"+";"-";"-";"<E>";" être";"+";"un";"atout";"<E>";"<E>";"majeur";"+";"+";"pour";"-";"+";"§est§un atout majeur pour "
"10";"+";"+";"-";"-";"<E>";" être";"+";"une";"aubaine";"<E>";"<E>";"<E>";"+";"+";"pour";"-";"-";"§est§une aubaine pour "
"11";"+";"-";"-";"-";"<E>";" être";"-";"une";"autorité";"en";"<E>";"matière";"-";"-";"de";"+";"-";"§est§une autorité en matière de "
"12";"+";"+";"-";"+";"n'";" être";"-";"<E>";"autre";"<E>";"<E>";"<E>";"-";"+";"que";"+";"-";"§n'est§autre que "
"13";"-";"+";"-";"-";"<E>";" être";"+";"un";"avantage";"<E>";"<E>";"<E>";"+";"+";"pour";"-";"-";"§est§un avantage pour "
"14";"+";"-";"-";"-";"<E>";" être";"-";"<E>";"baba";"<E>";"<E>";"<E>";"+";"+";"devant";"-";"-";"§est§baba devant "
"15";"-";"+";"-";"-";"<E>";" être";"+";"une";"bagatelle";"<E>";"<E>";"<E>";"+";"+";"pour";"-";"-";"§est§une bagatelle pour "
"16";"-";"+";"-";"-";"<E>";" être";"-";"du";"baume";"à";"le";"coeur";"+";"+";"pour";"-";"-";"§est§du baume au coeur pour "
"17";"-";"+";"-";"-";"<E>";" être";"+";"une";"bénédiction";"<E>";"<E>";"<E>";"-";"+";"pour";"-";"-";"§est§une bénédiction pour "
"18";"-";"+";"-";"-";"<E>";" être";"+";"tout";"bénéf";"<E>";"<E>";"<E>";"+";"+";"pour";"-";"-";"§est§tout bénéf pour "
"19";"-";"+";"-";"-";"<E>";" être";"+";"tout";"bénéfice";"<E>";"<E>";"<E>";"+";"+";"pour";"-";"-";"§est§tout bénéfice pour "
"20";"+";"-";"-";"-";"<E>";" être";"-";"<E>";"bien";"<E>";"<E>";"<E>";"-";"+";"avec";"-";"-";"§est§bien avec "
"21";"+";"-";"-";"-";"<E>";" être";"-";"du dernier";"bien";"<E>";"<E>";"<E>";"-";"+";"avec";"-";"-";"§est§du dernier bien avec "
"22";"+";"-";"-";"-";"<E>";" être";"-";"le";"bienvenu";"<E>";"<E>";"<E>";"+";"+";"Loc";"+";"-";"§est§le bienvenu Loc "
"23";"+";"-";"-";"-";"<E>";" être";"-";"<E>";"bouche";"<E>";"<E>";"bée";"+";"+";"devant";"+";"-";"§est§bouche bée devant "
"24";"-";"+";"-";"-";"<E>";" être";"+";"un";"boulet";"à";"<E>";"traîner";"+";"+";"pour";"-";"-";"§est§un boulet à traîner pour "
"25";"-";"+";"-";"-";"<E>";" être";"-";"<E>";"bout";"à";"<E>";"bout";"-";"+";"avec";"-";"-";"§est§bout à bout avec "
"26";"+";"-";"-";"-";"<E>";" être";"-";"les";"bras";"<E>";"<E>";"croisés";"-";"+";"devant";"+";"-";"§est§les bras croisés devant "
"27";"+";"-";"-";"-";"<E>";" être";"-";"<E>";"bras dessus";"<E>";"<E>";"bras dessous";"-";"+";"avec";"-";"-";"§est§bras dessus bras dessous avec "
"28";"+";"-";"-";"-";"<E>";" être";"-";"<E>";"bras dessus";"<E>";"<E>";"dessous";"-";"+";"avec";"+";"-";"§est§bras dessus dessous avec "
"29";"-";"+";"-";"-";"<E>";" être";"+";"une";"bravade";"de";"la";"part";"+";"+";"de";"-";"-";"§est§une bravade de la part de "
