"<ID>";"N0 =: Nhum";"N0 =: N-hum";"N0 =: Qu P";"Ppv =: en figé";"Ppv =: Neg";"<ENT>Ppv";"<ENT><être>";"N0 être très Adj1 Prépc Detc Cc";"<ENT>Adj1";"N0 être Adj1";"x1";"<ENT>Prépc";"<ENT>Detc";"<ENT>Cc";"x2";"Exemple"
"1";"+";"+";"-";"-";"-";"<E>";" être";"-";" abaissant";"-";"+";"de";"<E>";"autant";"-";"§être§abaissant d'autant "
"2";"+";"+";"-";"-";"-";"<E>";" être";"-";" abaissant";"-";"+";"à";"Dnum pour";"cent";"-";"§être§abaissant à Dnum pour cent "
"3";"+";"+";"-";"-";"-";"<E>";" être";"-";" abaissant";"-";"+";"à";"cent pour";"cent";"-";"§être§abaissant à cent pour cent "
"4";"+";"+";"-";"-";"-";"<E>";" être";"-";" abaissant";"-";"-";"<E>";"tout";"court";"-";"§être§abaissant tout court "
"5";"+";"+";"-";"-";"-";"<E>";" être";"-";" abaissant";"-";"+";"à";"le dernier";"degré";"-";"§être§abaissant au dernier degré "
"6";"+";"+";"-";"-";"-";"<E>";" être";"-";" abaissant";"-";"+";"à";"le plus haut";"degré";"-";"§être§abaissant au plus haut degré "
"7";"+";"+";"-";"-";"-";"<E>";" être";"-";" abaissant";"-";"+";"à";"<E>";"demi";"-";"§être§abaissant à demi "
"8";"+";"+";"-";"-";"-";"<E>";" être";"-";" abaissant";"-";"+";"en";"<E>";"diable";"-";"§être§abaissant en diable "
"9";"+";"+";"-";"-";"-";"<E>";" être";"-";" abaissant";"-";"+";"pour";"ne pas";"dire dégradant";"-";"§être§abaissant pour ne pas dire dégradant "
"10";"+";"+";"-";"-";"-";"<E>";" être";"-";" abaissant";"-";"+";"pour";"ne pas";"dire plus";"-";"§être§abaissant pour ne pas dire plus "
"11";"+";"+";"-";"-";"-";"<E>";" être";"-";" abaissant";"-";"+";"autant";"qu'une loi peut le";"être";"-";"§être§abaissant autant qu'une loi peut l'est "
"12";"+";"+";"-";"-";"-";"<E>";" être";"-";" abaissant";"-";"+";"autant";"qu'une loi puisse le";"être";"-";"§être§abaissant autant qu'une loi puisse l'est "
"13";"+";"+";"-";"-";"-";"<E>";" être";"-";" abaissant";"-";"+";"à";"le";"excès";"-";"§être§abaissant à l'excès "
"14";"+";"+";"-";"-";"-";"<E>";" être";"-";" abaissant";"-";"+";"à";"<E>";"moitié";"-";"§être§abaissant à moitié "
"15";"+";"+";"-";"-";"-";"<E>";" être";"-";" abaissant";"-";"+";"plus";"que";"nature";"-";"§être§abaissant plus que nature "
"16";"+";"+";"-";"-";"-";"<E>";" être";"-";" abaissant";"-";"+";"à";"le dernier";"point";"-";"§être§abaissant au dernier point "
"17";"+";"+";"-";"-";"-";"<E>";" être";"-";" abaissant";"-";"+";"à";"le plus haut";"point";"-";"§être§abaissant au plus haut point "
"18";"+";"+";"-";"-";"-";"<E>";" être";"-";" abaissant";"-";"+";"à";"le";"possible";"-";"§être§abaissant au possible "
"19";"+";"-";"-";"-";"-";"<E>";" être";"-";" abaissant";"-";"+";"comme";"on";"pouvoir l'être à Dnum ans";"-";"§être§abaissant comme on pouvoir l'être à Dnum ans "
"20";"+";"+";"-";"-";"-";"<E>";" être";"-";" abaissant";"-";"+";"en";"<E>";"profondeur";"-";"§être§abaissant en profondeur "
"21";"+";"+";"-";"-";"-";"<E>";" être";"-";" abaissant";"-";"+";"à";"<E>";"souhait";"-";"§être§abaissant à souhait "
"22";"+";"+";"-";"-";"-";"<E>";" être";"-";" abaissants";"-";"+";"tous autant";"Qu'ils-0";"sont";"-";"§être§abaissants tous autant qu'ils sont "
"23";"+";"-";"-";"-";"-";"<E>";" être";"-";" abruti";"-";"+";"de";"<E>";"fatigue";"-";"§être§abruti de fatigue "
"24";"+";"-";"-";"-";"-";"<E>";" être";"-";" abruti";"-";"+";"de";"<E>";"sommeil";"-";"§être§abruti de sommeil "
"25";"+";"-";"-";"-";"-";"<E>";" être";"+";" absorbé";"+";"+";"dans";"Poss0";"pensées";"-";"§être§absorbé dans ses pensées "
"26";"+";"-";"-";"-";"-";"<E>";" être";"-";" acquis";"-";"-";"à";"le";"idée de ce que P";"-";"§être§acquis à l'idée de ce que P "
"27";"+";"-";"-";"-";"-";"<E>";" être";"-";" acquis";"-";"-";"à";"les";"idées de Nhum";"-";"§être§acquis aux idées de Nhum "
"28";"+";"-";"-";"-";"-";"<E>";" être";"-";" acquis";"-";"-";"à";"les";"thèses de Nhum";"-";"§être§acquis aux thèses de Nhum "
"29";"+";"-";"-";"-";"-";"<E>";" être";"-";" Adj";"-";"+";"dans";"la";"âme";"-";"§être§Adj dans l'âme "
"30";"+";"+";"-";"-";"-";"<E>";" être";"-";" Adj";"-";"+";"de";"<E>";"autant";"-";"§être§Adj d'autant "
"31";"+";"-";"-";"-";"-";"<E>";" être";"-";" Adj";"-";"+";"sur";"les";"bords";"-";"§être§Adj sur les bords "
"32";"+";"-";"-";"-";"-";"<E>";" être";"-";" Adj";"-";"+";"jusqu'à";"le";"bout des ongles";"-";"§être§Adj jusqu'à le bout des ongles "
"33";"+";"+";"-";"-";"-";"<E>";" être";"-";" Adj";"-";"+";"à";"Dnum pour";"cent";"-";"§être§Adj à Dnum pour cent "
"34";"+";"+";"-";"-";"-";"<E>";" être";"-";" Adj";"-";"+";"à";"cent pour";"cent";"-";"§être§Adj à cent pour cent "
"35";"+";"-";"-";"-";"-";"<E>";" être";"-";" Adj";"-";"+";"en";"toutes";"choses";"-";"§être§Adj en toutes choses "
"36";"+";"+";"-";"-";"-";"<E>";" être";"-";" Adj";"-";"-";"<E>";"tout";"court";"-";"§être§Adj tout court "
"37";"+";"+";"-";"-";"-";"<E>";" être";"-";" Adj";"-";"+";"à";"le dernier";"degré";"-";"§être§Adj au dernier degré "
"38";"+";"+";"-";"-";"-";"<E>";" être";"-";" Adj";"-";"+";"à";"le plus haut";"degré";"-";"§être§Adj au plus haut degré "
"39";"+";"+";"-";"-";"-";"<E>";" être";"-";" Adj";"-";"+";"à";"<E>";"demi";"-";"§être§Adj à demi "
"40";"+";"+";"-";"-";"-";"<E>";" être";"-";" Adj";"-";"+";"en";"<E>";"diable";"-";"§être§Adj en diable "
"41";"+";"+";"-";"-";"-";"<E>";" être";"-";" Adj";"-";"+";"autant";"que N peut le";"être";"-";"§être§Adj autant que N peut l'est "
"42";"+";"+";"-";"-";"-";"<E>";" être";"-";" Adj";"-";"+";"autant";"que N puisse le";"être";"-";"§être§Adj autant que N puisse l'est "
"43";"+";"+";"-";"-";"-";"<E>";" être";"-";" Adj";"-";"+";"à";"le";"excès";"-";"§être§Adj à l'excès "
"44";"+";"-";"-";"-";"-";"<E>";" être";"-";" Adj";"-";"+";"jusqu'à";"la";"moelle";"-";"§être§Adj jusqu'à la moelle "
"45";"+";"+";"-";"-";"-";"<E>";" être";"-";" Adj";"-";"+";"à";"<E>";"moitié";"-";"§être§Adj à moitié "
"46";"+";"+";"-";"-";"-";"<E>";" être";"-";" Adj";"-";"+";"plus";"que";"nature";"-";"§être§Adj plus que nature "
"47";"+";"-";"-";"-";"-";"<E>";" être";"-";" Adj";"-";"+";"jusqu'à";"les";"os";"-";"§être§Adj jusqu'à les os "
"48";"+";"+";"-";"-";"-";"<E>";" être";"-";" Adj";"-";"+";"à";"le dernier";"point";"-";"§être§Adj au dernier point "
"49";"+";"+";"-";"-";"-";"<E>";" être";"-";" Adj";"-";"+";"à";"le plus haut";"point";"-";"§être§Adj au plus haut point "
"50";"+";"+";"-";"-";"-";"<E>";" être";"-";" Adj";"-";"+";"à";"le";"possible";"-";"§être§Adj au possible "
"51";"+";"-";"-";"-";"-";"<E>";" être";"-";" Adj";"-";"+";"comme";"on";"pouvoir l'être à Dnum ans";"-";"§être§Adj comme on pouvoir l'être à Dnum ans "
"52";"+";"+";"-";"-";"-";"<E>";" être";"-";" Adj";"-";"+";"en";"<E>";"profondeur";"-";"§être§Adj en profondeur "
"53";"+";"-";"-";"-";"+";"n'";" être pas";"-";" Adj";"-";"+";"pour";"deux";"ronds";"-";"§n'est pas§Adj pour deux ronds "
"54";"+";"+";"-";"-";"-";"<E>";" être";"-";" Adj";"-";"+";"tous autant";"Qu'ils-0";"sont";"-";"§être§Adj tous autant qu'ils sont "
"55";"+";"+";"-";"-";"-";"<E>";" être";"-";" Adj";"-";"+";"à";"<E>";"souhait";"-";"§être§Adj à souhait "
"56";"+";"-";"-";"-";"+";"n'";" être pas";"-";" Adj";"-";"+";"pour";"deux";"sous";"-";"§n'est pas§Adj pour deux sous "
"57";"+";"-";"-";"-";"-";"<E>";" être";"+";" adroit";"+";"+";"de";"Poss0 dix";"doigts";"-";"§être§adroit de ses dix doigts "
"58";"+";"-";"-";"-";"-";"<E>";" être";"+";" adroit";"+";"+";"de";"Poss0";"mains";"-";"§être§adroit de ses mains "
"59";"+";"-";"-";"-";"-";"<E>";" être";"-";" âgé";"-";"+";"de";"Dnum";"ans";"-";"§être§âgé de Dnum ans "
"60";"+";"-";"-";"-";"-";"<E>";" être";"-";" âgé";"-";"+";"de";"Dnum";"jours";"-";"§être§âgé de Dnum jours "
"61";"+";"-";"-";"-";"-";"<E>";" être";"-";" âgé";"-";"+";"de";"Dnum";"mois";"-";"§être§âgé de Dnum mois "
"62";"+";"-";"-";"-";"-";"<E>";" être";"-";" âgé";"-";"+";"de";"Dnum";"semaines";"-";"§être§âgé de Dnum semaines "
"63";"-";"+";"+";"-";"-";"<E>";" être";"+";" agréable";"+";"+";"à";"le";"oeil";"-";"§être§agréable à l'oeil "
"64";"-";"+";"+";"-";"-";"<E>";" être";"+";" agréable";"+";"+";"à";"la";"oreille";"-";"§être§agréable à l'oreille "
"65";"-";"+";"-";"-";"-";"<E>";" être";"+";" agréable";"+";"+";"à";"le";"toucher";"-";"§être§agréable au toucher "
"66";"+";"+";"-";"-";"-";"<E>";" être";"-";" aigre-";"-";"+";"<E>";"<E>";"doux";"+";"§être§aigre-doux "
"67";"-";"+";"-";"-";"-";"<E>";" être";"-";" aigre-";"-";"+";"<E>";"<E>";"doux";"+";"§être§aigre-doux "
"68";"+";"-";"-";"-";"-";"<E>";" être";"-";" allergique";"-";"+";"à";"le";"poil de chat";"-";"§être§allergique au poil de chat "
"69";"+";"-";"-";"-";"-";"<E>";" être";"-";" allergique";"-";"+";"à";"les";"poils";"-";"§être§allergique aux poils "
"70";"+";"-";"-";"-";"-";"<E>";" être";"-";" amoureux";"+";"+";"<E>";"<E>";"dingue de Nhum";"+";"§être§amoureux dingue de Nhum "
"71";"+";"-";"-";"-";"-";"<E>";" être";"-";" amoureux";"+";"+";"<E>";"<E>";"fou de Nhum";"+";"§être§amoureux fou de Nhum "
"72";"+";"-";"-";"-";"-";"<E>";" être";"-";" apparenté avec Nhum";"-";"+";"de";"le";"côté de Poss0 mère";"-";"§être§apparenté avec Nhum du côté de sa mère "
"73";"+";"-";"-";"-";"-";"<E>";" être";"-";" apparenté avec Nhum";"-";"+";"de";"le";"côté de Poss0 père";"-";"§être§apparenté avec Nhum du côté de son père "
"74";"+";"-";"-";"-";"-";"<E>";" être";"-";" apparenté avec Nhum";"-";"+";"de";"le";"côté maternel";"-";"§être§apparenté avec Nhum du côté maternel "
"75";"+";"-";"-";"-";"-";"<E>";" être";"-";" apparenté avec Nhum";"-";"+";"de";"le";"côté paternel";"-";"§être§apparenté avec Nhum du côté paternel "
"76";"+";"-";"-";"-";"-";"<E>";" être";"-";" apparenté avec Nhum";"-";"+";"par";"Poss0";"mère";"-";"§être§apparenté avec Nhum par sa mère "
"77";"+";"-";"-";"-";"-";"<E>";" être";"-";" apparenté avec Nhum";"-";"+";"par";"Poss0";"père";"-";"§être§apparenté avec Nhum par son père "
"78";"+";"+";"-";"-";"-";"<E>";" être";"-";" appelé";"-";"+";"à";"un bel";"avenir";"-";"§être§appelé à un bel avenir "
"79";"+";"+";"-";"-";"-";"<E>";" être";"-";" appelé";"-";"+";"à";"un brillant";"avenir";"-";"§être§appelé à un brillant avenir "
"80";"+";"+";"-";"-";"-";"<E>";" être";"-";" appelé";"-";"+";"à";"<E>";"disparaître";"-";"§être§appelé à disparaître "
"81";"+";"+";"-";"-";"-";"<E>";" être";"-";" appelé";"-";"+";"à";"être";"remplacé par N";"-";"§être§appelé à est remplacé par N "
"82";"+";"-";"-";"-";"-";"<E>";" être";"+";" âpre";"-";"+";"à";"la";"besogne";"-";"§être§âpre à la besogne "
"83";"+";"-";"-";"-";"-";"<E>";" être";"+";" âpre";"-";"+";"à";"le";"gain";"-";"§être§âpre au gain "
"84";"-";"+";"-";"-";"-";"<E>";" être";"+";" âpre";"-";"+";"à";"le";"goût";"-";"§être§âpre au goût "
"85";"+";"-";"-";"-";"-";"<E>";" être";"-";" apte";"-";"+";"à";"le";"service";"-";"§être§apte au service "
"86";"+";"-";"-";"-";"-";"<E>";" être";"-";" apte";"-";"+";"à";"le";"service armé";"-";"§être§apte au service armé "
"87";"+";"-";"-";"-";"-";"<E>";" être";"-";" assis";"-";"+";"sur";"un";"baril de poudre";"-";"§être§assis sur un baril de poudre "
"88";"-";"+";"-";"-";"-";"<E>";" être";"-";" assisté";"-";"+";"par";"<E>";"ordinateur";"-";"§être§assisté par ordinateur "
