"<ID>";"<ENT>ce";"Ppv =: en figé";"Ppv =: Neg";"<ENT>Ppv";"<ENT><être>";"<ENT>est";"<ENT>Prép1";"<ENT>Det1";"<ENT>C1";"ce être = il y avoir";"ce être = <E>";"C1 =: C1 Qu Pind";"C1 =: C1 Qu Psubj";"C1 =: C1 de V2-inf W";"C1 =: C1 de Nhum";"<ENT>Prép2";"<ENT>Det2";"<ENT>C2";"Ce être Prép1 Det1 C1 Prép2 Det2 C2 Prép3 N3";"<ENT>Prép3";"N3 =: Nhum";"N3 =: N-hum";"N3 =: ce Qu Pind";"N3 =: ce Qu Psubj";"N3 =: (E+de) V-inf W";"Exemple"
"1";"c'";"-";"-";"<E>";" être";" est";"<E>";"tout";"<E>";"-";"-";"-";"-";"-";"-";"<E>";"<E>";"<E>";"+";"pour";"+";"-";"-";"-";"-";"c'§est§tout pour "
"2";"c'";"-";"-";"<E>";" être";" est";"<E>";"macache";"<E>";"-";"-";"-";"-";"-";"-";"<E>";"<E>";"<E>";"+";"pour";"+";"-";"-";"-";"-";"c'§est§macache pour "
"3";"ce";"-";"+";"n'";" être pas";" est pas";"<E>";"tout";"<E>";"-";"-";"-";"-";"-";"-";"<E>";"<E>";"<E>";"-";"-";"-";"-";"-";"-";"-";"ce§n'est pas§tout "
"4";"ce";"-";"+";"n'";" être pas";" est pas";"le";"tout";"<E>";"-";"-";"-";"-";"-";"-";"<E>";"<E>";"<E>";"-";"-";"-";"-";"-";"-";"-";"ce§n'est pas§le tout "
"5";"c'";"-";"-";"<E>";" être";" est";"de";"<E>";"accord";"-";"+";"-";"-";"-";"-";"<E>";"<E>";"<E>";"+";"pour";"+";"+";"-";"+";"+";"c'§est§d'accord pour "
"6";"c'";"-";"-";"<E>";" être";" est";"de";"<E>";"accord";"-";"+";"-";"-";"-";"-";"avec";"<E>";"Nhum";"+";"pour";"+";"+";"-";"+";"+";"c'§est§d'accord avec Nhum pour "
"7";"ce";"-";"+";"n'";" être pas";" est pas";"<E>";"le plus";"Adj";"-";"-";"-";"-";"-";"-";"<E>";"qui est le plus";"Adj";"-";"-";"-";"-";"-";"-";"-";"ce§n'est pas§le plus Adj qui est le plus Adj "
"8";"ce";"-";"+";"n'";" être pas";" est pas";"<E>";"le moins";"Adj";"-";"-";"-";"-";"-";"-";"<E>";"qui est le moins";"Adj";"-";"-";"-";"-";"-";"-";"-";"ce§n'est pas§le moins Adj qui est le moins Adj "
"9";"ce";"-";"+";"n'";" être pas";" est pas";"<E>";"le moins";"Adj";"-";"-";"-";"-";"-";"-";"<E>";"qui est le plus";"Adj";"-";"-";"-";"-";"-";"-";"-";"ce§n'est pas§le moins Adj qui est le plus Adj "
"10";"ce";"-";"+";"n'";" être pas";" est pas";"<E>";"le plus";"Adj";"-";"-";"-";"-";"-";"-";"<E>";"qui est le moins";"Adj";"-";"-";"-";"-";"-";"-";"-";"ce§n'est pas§le plus Adj qui est le moins Adj "
"11";"c'";"-";"-";"<E>";" être";" est";"<E>";"la";"affaire";"-";"-";"-";"-";"-";"+";"<E>";"<E>";"<E>";"-";"-";"-";"-";"-";"-";"-";"c'§est§l'affaire "
"12";"c'";"-";"-";"<E>";" être";" est";"<E>";"une";"affaire";"-";"-";"-";"-";"-";"-";"<E>";"qui";"marche";"-";"-";"-";"-";"-";"-";"-";"c'§est§une affaire qui marche "
"13";"c'";"-";"-";"<E>";" être";" est";"<E>";"une";"affaire";"-";"-";"-";"-";"-";"-";"<E>";"qui";"tourne";"-";"-";"-";"-";"-";"-";"-";"c'§est§une affaire qui tourne "
