"<ID>";"N0 =: Nhum";"N0 =: N-hum";"N0 =: Qu P";"Ppv =: en figé";"Ppv =: Neg";"<ENT>Ppv";"<ENT><être>";"N0 être très Adv1 Adj1";"<ENT>Adv1";"N0 être Adj1 Adv1";"<ENT>Adj1";"Exemple"
"1";"+";"+";"+";"-";"-";"<E>";" être";"-";"moitié";"-";"  abaissant moitié intéressant";"§être§moitié abaissant moitié intéressant "
"2";"+";"+";"-";"-";"-";"<E>";" être";"-";"plus";"-";"  abaissants les UNS que les autres";"§être§plus abaissants les UNS que les autres "
"3";"-";"+";"-";"-";"-";"<E>";" être";"-";"chèrement";"+";"  acquis";"§être§chèrement acquis "
"4";"-";"+";"-";"-";"-";"<E>";" être";"+";"mal";"-";"  acquis";"§être§mal acquis "
"5";"-";"+";"-";"-";"-";"<E>";" être";"+";"bio-";"-";"  actif";"§être§bio-actif "
"6";"-";"+";"-";"-";"-";"<E>";" être";"-";"pharmacologiquement";"-";"  actif";"§être§pharmacologiquement actif "
"7";"+";"-";"-";"-";"-";"<E>";" être";"-";"sexuellement";"-";"  actif";"§être§sexuellement actif "
"8";"-";"+";"-";"-";"-";"<E>";" être";"+";"tensio-";"-";"  actif";"§être§tensio-actif "
"9";"-";"+";"-";"-";"-";"<E>";" être";"-";"auto-";"-";"  adaptatif";"§être§auto-adaptatif "
"10";"-";"+";"-";"-";"-";"<E>";" être";"-";"sous-";"-";"  adapté";"§être§sous-adapté "
"11";"+";"+";"-";"-";"+";"n'";" être";"-";"bien";"-";"  Adj";"§n'est§bien Adj "
"12";"+";"+";"-";"-";"+";"n'";" être que";"-";"trop";"-";"  Adj";"§n'est que§trop Adj "
"13";"+";"+";"-";"-";"+";"n'";" être pas que";"-";"un peu";"-";"  Adj";"§n'est pas que§un peu Adj "
"14";"+";"+";"-";"-";"-";"<E>";" être";"-";"plus";"-";"  Adj les UNS que les autres";"§être§plus Adj les UNS que les autres "
"15";"+";"+";"-";"-";"-";"<E>";" être";"-";"mi";"-";"  Adj mi Adj";"§être§mi Adj mi Adj "
"16";"+";"+";"-";"-";"-";"<E>";" être";"-";"moitié";"-";"  Adj moitié Adj";"§être§moitié Adj moitié Adj "
"17";"+";"+";"+";"-";"-";"<E>";" être";"-";"d'autant moins";"-";"  Adj que c'est vrai";"§être§d'autant moins Adj que c'est vrai "
"18";"+";"+";"+";"-";"-";"<E>";" être";"-";"d'autant plus";"-";"  Adj que c'est vrai";"§être§d'autant plus Adj que c'est vrai "
"19";"+";"+";"+";"-";"-";"<E>";" être";"-";"d'autant moins";"-";"  Adj que P";"§être§d'autant moins Adj que P "
"20";"+";"+";"+";"-";"-";"<E>";" être";"-";"d'autant plus";"-";"  Adj que P";"§être§d'autant plus Adj que P "
"21";"+";"+";"-";"-";"+";"n'";" être pas";"-";"si";"-";"  Adj que Psubj";"§n'est pas§si Adj que Psubj "
"22";"+";"+";"-";"-";"+";"n'";" être pas";"-";"si";"-";"  Adj qu'on le dire";"§n'est pas§si Adj qu'on le dire "
"23";"-";"+";"-";"-";"-";"<E>";" être";"-";"sous-";"-";"  administré";"§être§sous-administré "
"24";"+";"+";"-";"-";"-";"<E>";" être";"-";"centre-";"-";"  africain";"§être§centre-africain "
"25";"+";"+";"-";"-";"-";"<E>";" être";"-";"est-";"+";"  africain";"§être§être-africain "
"26";"+";"+";"-";"-";"-";"<E>";" être";"-";"est-";"-";"  africain";"§être§être-africain "
"27";"+";"+";"-";"-";"-";"<E>";" être";"-";"nord-";"+";"  africain";"§être§nord-africain "
"28";"+";"+";"-";"-";"-";"<E>";" être";"-";"ouest-";"+";"  africain";"§être§ouest-africain "
"29";"+";"+";"-";"-";"-";"<E>";" être";"-";"ouest-";"-";"  africain";"§être§ouest-africain "
"30";"+";"+";"+";"-";"-";"<E>";" être";"+";"pan-";"-";"  africain";"§être§pan-africain "
"31";"+";"+";"-";"-";"-";"<E>";" être";"-";"sud-";"+";"  africain";"§être§sud-africain "
"32";"+";"+";"-";"-";"-";"<E>";" être";"-";"post-";"-";"  agrarien";"§être§post-agrarien "
"33";"+";"+";"-";"-";"-";"<E>";" être";"-";"pré-";"-";"  agrarien";"§être§pré-agrarien "
"34";"+";"+";"-";"-";"+";"n'";" être";"-";"nulle part";"-";"  ailleurs";"§n'est§nulle part ailleurs "
"35";"+";"+";"-";"-";"-";"<E>";" être";"-";"partout";"-";"  ailleurs";"§être§partout ailleurs "
"36";"+";"+";"+";"-";"-";"<E>";" être";"-";"trop";"-";"  aimable";"§être§trop aimable "
"37";"+";"+";"+";"-";"-";"<E>";" être";"-";"assez";"-";"  aimable pour faire N";"§être§assez aimable pour fait N "
"38";"+";"+";"+";"-";"-";"<E>";" être";"-";"assez";"-";"  aimable pour V-0-inf W";"§être§assez aimable pour V-0-inf W "
"39";"+";"-";"-";"-";"-";"<E>";" être";"+";"mal";"-";"  aimé";"§être§mal aimé "
"40";"+";"-";"-";"-";"-";"<E>";" être";"-";"bien";"-";"  aise de N";"§être§bien aise de N "
"41";"+";"-";"-";"-";"-";"<E>";" être";"-";"fort";"-";"  aise de N";"§être§fort aise de N "
"42";"-";"+";"-";"-";"-";"<E>";" être";"-";"pseudo-";"-";"  aléatoire";"§être§pseudo-aléatoire "
"43";"-";"+";"-";"-";"-";"<E>";" être";"-";"non";"-";"  aligné";"§être§non aligné "
"44";"+";"+";"-";"-";"-";"<E>";" être";"-";"est-";"-";"  allemand";"§être§être-allemand "
"45";"+";"+";"-";"-";"-";"<E>";" être";"-";"ouest-";"-";"  allemand";"§être§ouest-allemand "
"46";"+";"+";"+";"-";"-";"<E>";" être";"+";"pan-";"-";"  allemand";"§être§pan-allemand "
"47";"-";"+";"-";"-";"-";"<E>";" être";"-";"apico-";"-";"  alvéolaire";"§être§apico-alvéolaire "
"48";"-";"+";"-";"-";"-";"<E>";" être";"-";"bien";"-";"  amené";"§être§bien amené "
"49";"+";"+";"-";"-";"-";"<E>";" être";"-";"afro-";"-";"  américain";"§être§afro-américain "
"50";"+";"+";"+";"-";"-";"<E>";" être";"+";"anti-";"-";"  américain";"§être§anti-américain "
"51";"+";"+";"-";"-";"-";"<E>";" être";"-";"nord-";"+";"  américain";"§être§nord-américain "
"52";"+";"+";"+";"-";"-";"<E>";" être";"+";"pan-";"-";"  américain";"§être§pan-américain "
"53";"+";"+";"+";"-";"-";"<E>";" être";"+";"pro-";"-";"  américain";"§être§pro-américain "
"54";"+";"+";"-";"-";"-";"<E>";" être";"-";"sud-";"+";"  américain";"§être§sud-américain "
"55";"+";"-";"-";"-";"-";"<E>";" être";"-";"éperdument";"-";"  amoureux de Nhum";"§être§éperdument amoureux de Nhum "
"56";"+";"-";"-";"-";"-";"<E>";" être";"-";"follement";"-";"  amoureux de Nhum";"§être§follement amoureux de Nhum "
"57";"-";"+";"-";"-";"-";"<E>";" être";"-";"optiquement";"+";"  anisotrope";"§être§optiquement anisotrope "
"58";"-";"+";"-";"-";"-";"<E>";" être";"-";"sous-";"-";"  aponévrotique";"§être§sous-aponévrotique "
"59";"-";"+";"-";"-";"-";"<E>";" être";"-";"sub-";"-";"  aquatique";"§être§sub-aquatique "
"60";"-";"+";"-";"-";"-";"<E>";" être";"-";"sous-";"-";"  arachnoïdien";"§être§sous-arachnoïdien "
"61";"-";"+";"-";"-";"-";"<E>";" être";"-";"sus-";"-";"  arachnoïdien";"§être§sus-arachnoïdien "
"62";"-";"+";"-";"-";"-";"<E>";" être";"-";"intra-";"-";"  artériel";"§être§intra-artériel "
