"<ID>";"N0 =: Nhum";"N0 =: N-hum";"N0 =: Qu P";"Ppv =: en figé";"Ppv =: Neg";"<ENT>Ppv";"<ENT><être>";"<ENT>Prép1";"<ENT>Det1";"<ENT>C1";"Nc =: Nhum";"Nc =: N-hum";"N0 être Prép1 Det1 C1";"Det1 C1 de Nc = Poss C1";"Prép1 C1 = où ?";"Exemple"
"1";"+";"-";"-";"+";"-";"en";"être";"à";"le";"a b c";"-";"+";"-";"-";"-";"§en est§à l'a b c "
"2";"+";"+";"-";"-";"-";"<E>";"être";"à";"le";"abord";"-";"+";"-";"+";"+";"§être§à l'abord "
"3";"+";"+";"-";"-";"-";"<E>";"être";"à";"le";"abords";"-";"+";"-";"+";"+";"§être§à l'abords "
"4";"+";"+";"-";"-";"-";"<E>";"être";"à";"le";"aboutissement";"-";"+";"+";"+";"-";"§être§à l'aboutissement "
"5";"+";"+";"-";"-";"-";"<E>";"être";"à";"le";"abri";"-";"+";"+";"-";"+";"§être§à l'abri "
"6";"+";"+";"-";"-";"-";"<E>";"être";"à";"le";"abri";"-";"+";"-";"-";"-";"§être§à l'abri "
"7";"-";"+";"+";"-";"-";"<E>";"être";"en";"<E>";"accompagnement";"-";"+";"+";"-";"-";"§être§en accompagnement "
"8";"+";"-";"-";"-";"-";"<E>";"être";"à";"le";"accueil";"+";"-";"+";"-";"-";"§être§à l'accueil "
"9";"+";"+";"-";"-";"-";"<E>";"être";"à";"le";"achèvement";"-";"+";"+";"+";"-";"§être§à l'achèvement "
"10";"-";"+";"-";"-";"-";"<E>";"être";"en";"<E>";"acompte";"-";"+";"+";"-";"-";"§être§en acompte "
"11";"+";"-";"-";"-";"-";"<E>";"être";"en";"pleine";"acquisition";"-";"+";"-";"-";"-";"§être§en pleine acquisition "
"12";"+";"+";"-";"-";"-";"<E>";"être";"à";"le Dnum-ième";"acte";"-";"+";"+";"-";"+";"§être§au Dnum-ième acte "
"13";"+";"+";"-";"-";"-";"<E>";"être";"à";"le premier";"acte";"-";"+";"+";"-";"+";"§être§au premier acte "
