"<ID>";"N0 =: Nhum";"N0 =: N-hum";"N0 =: Qu P";"Ppv =: Neg";"<ENT>Ppv";"<ENT><être>";"<ENT>Prép1";"<ENT>Det1";"<ENT>C1";"<ENT>Prép2";"<ENT>Det2";"<ENT>C2";"N0 être Prép1 Det1 C1";"Prép1 C1 = où ?";"Exemple"
"1";"-";"+";"-";"-";"<E>";"être";"en";"<E>";"accord";"avec";"la";"expérience";"-";"-";"§être§en accord avec l'expérience "
"2";"-";"+";"-";"-";"<E>";"être";"en";"<E>";"accord";"avec";"les";"expériences";"-";"-";"§être§en accord avec les expériences "
"3";"-";"+";"-";"-";"<E>";"être";"en";"<E>";"accord";"avec";"la";"expérimentation";"-";"-";"§être§en accord avec l'expérimentation "
"4";"-";"+";"-";"-";"<E>";"être";"en";"<E>";"accord";"avec";"les";"observations";"-";"-";"§être§en accord avec les observations "
"5";"-";"+";"-";"-";"<E>";"être";"en";"<E>";"anglais";"dans";"le";"texte";"-";"-";"§être§en anglais dans le texte "
"6";"-";"+";"-";"-";"<E>";"être";"de";"<E>";"après";"<E>";"le";"déluge";"-";"-";"§être§d'après le déluge "
"7";"-";"+";"-";"-";"<E>";"être";"de";"<E>";"après";"<E>";"<E>";"guerre";"-";"-";"§être§d'après guerre "
"8";"-";"+";"-";"-";"<E>";"être";"de";"<E>";"après";"<E>";"la";"guerre";"-";"-";"§être§d'après la guerre "
"9";"+";"+";"-";"+";"n'";"être pas";"à";"<E>";"attraper";"avec";"des";"pincettes";"-";"-";"§n'est pas§à attraper avec des pincettes "
"10";"+";"+";"-";"-";"<E>";"être";"en";"<E>";"avance";"sur";"Poss0";"âge";"-";"-";"§être§en avance sur son âge "
"11";"+";"+";"-";"-";"<E>";"être";"en";"<E>";"avance";"sur";"le";"horaire";"-";"-";"§être§en avance sur l'horaire "
"12";"+";"+";"-";"-";"<E>";"être";"en";"<E>";"avance";"sur";"Poss0";"temps";"-";"-";"§être§en avance sur son temps "
"13";"-";"+";"-";"-";"<E>";"être";"de";"<E>";"avant";"<E>";"<E>";"guerre";"-";"-";"§être§d'avant guerre "
"14";"-";"+";"-";"-";"<E>";"être";"de";"<E>";"avant";"<E>";"la";"guerre";"-";"-";"§être§d'avant la guerre "
"15";"+";"-";"-";"-";"<E>";"être";"dans";"la";"avenue";"<E>";"<E>";"Pasteur";"-";"+";"§être§dans l'avenue Pasteur "
"16";"+";"-";"-";"-";"<E>";"être";"dans";"la";"avenue";"<E>";"<E>";"X";"-";"+";"§être§dans l'avenue X "
"17";"+";"-";"-";"-";"<E>";"être";"dans";"le";"bain";"jusqu'à";"le";"cou";"-";"-";"§être§dans le bain jusqu'à le cou "
"18";"-";"+";"-";"-";"<E>";"être";"en";"<E>";"bas";"à";"<E>";"droite";"+";"+";"§être§en bas à droite "
"19";"-";"+";"-";"-";"<E>";"être";"en";"<E>";"bas";"à";"<E>";"gauche";"+";"+";"§être§en bas à gauche "
"20";"+";"+";"-";"-";"<E>";"être";"dans";"une";"boucle";"sans";"<E>";"fin";"-";"-";"§être§dans une boucle sans fin "
"21";"+";"-";"-";"-";"<E>";"être";"dans";"le";"boulevard";"<E>";"<E>";"Pasteur";"-";"+";"§être§dans le boulevard Pasteur "
"22";"+";"-";"-";"-";"<E>";"être";"dans";"le";"boulevard";"<E>";"<E>";"X";"-";"+";"§être§dans le boulevard X "
