"<ID>";"N0 =: Nhum";"N0 =: N-hum";"N0 =: Qu P";"Ppv =: en figé";"Ppv =: Neg";"<ENT>Ppv";"<ENT><être>";"<ENT>Prép1";"<ENT>Det1";"<ENT>C1";"<ENT>Prép2";"N2 =: Nhum";"N2 =: N-hum";"N0 être Prép1 plein C1 Prép2 N2";"N0 être Prép1 Det1 C1";"N0 et N2 être Prép1 Det1 C1";"Exemple"
"1";"+";"-";"-";"-";"-";"<E>";"être";"en";"<E>";"abasourdissement";"devant";"+";"+";"-";"+";"-";"§est§en abasourdissement devant "
"2";"+";"-";"-";"-";"-";"<E>";"être";"en";"<E>";"abattement";"devant";"+";"+";"-";"+";"-";"§est§en abattement devant "
"3";"-";"+";"-";"-";"-";"<E>";"être";"en";"<E>";"abondance";"Loc";"+";"+";"-";"+";"-";"§est§en abondance Loc "
"4";"+";"-";"-";"-";"-";"<E>";"être";"en";"<E>";"abrutissement";"devant";"+";"+";"-";"+";"-";"§est§en abrutissement devant "
"5";"-";"+";"+";"-";"-";"<E>";"être";"en";"<E>";"accablement";"à";"-";"+";"-";"+";"-";"§est§en accablement à "
"6";"+";"-";"-";"-";"-";"<E>";"être";"en";"<E>";"accablement";"devant";"+";"+";"-";"+";"-";"§est§en accablement devant "
"7";"-";"+";"+";"-";"-";"<E>";"être";"en";"<E>";"acclamations";"à";"-";"+";"-";"+";"-";"§est§en acclamations à "
"8";"+";"-";"-";"-";"-";"<E>";"être";"en";"<E>";"acclamations";"devant";"+";"+";"-";"+";"-";"§est§en acclamations devant "
"9";"+";"-";"-";"-";"-";"<E>";"être";"en";"<E>";"accointance";"avec";"+";"-";"-";"-";"+";"§est§en accointance avec "
"10";"-";"+";"+";"-";"-";"<E>";"être";"en";"<E>";"accompagnement";"à";"-";"+";"-";"+";"-";"§est§en accompagnement à "
"11";"+";"+";"-";"-";"-";"<E>";"être";"en";"<E>";"accord";"avec";"+";"+";"+";"-";"+";"§est§en accord avec "
"12";"+";"-";"-";"-";"-";"<E>";"être";"en";"<E>";"accord";"avec";"+";"-";"+";"-";"+";"§est§en accord avec "
"13";"+";"-";"-";"-";"-";"<E>";"être";"en";"<E>";"accouplement";"avec";"+";"-";"+";"-";"+";"§est§en accouplement avec "
"14";"-";"+";"+";"-";"-";"<E>";"être";"en";"<E>";"acheminement";"Loc";"+";"+";"-";"+";"-";"§est§en acheminement Loc "
"15";"-";"+";"+";"-";"-";"<E>";"être";"en";"<E>";"acompte";"à";"-";"+";"-";"+";"-";"§est§en acompte à "
"16";"-";"+";"+";"-";"-";"<E>";"être";"en";"<E>";"adaptation";"à";"-";"+";"-";"+";"-";"§est§en adaptation à "
"17";"-";"+";"+";"-";"-";"<E>";"être";"en";"<E>";"addenda";"à";"-";"+";"-";"+";"-";"§est§en addenda à "
"18";"-";"+";"+";"-";"-";"<E>";"être";"en";"<E>";"addendum";"à";"-";"+";"-";"+";"-";"§est§en addendum à "
"19";"-";"+";"+";"-";"-";"<E>";"être";"en";"<E>";"addition";"à";"-";"+";"-";"+";"-";"§est§en addition à "
"20";"-";"+";"+";"-";"-";"<E>";"être";"en";"<E>";"addition";"à";"-";"+";"-";"+";"-";"§est§en addition à "
"21";"-";"+";"-";"-";"-";"<E>";"être";"en";"<E>";"adhérence";"avec";"-";"+";"-";"-";"+";"§est§en adhérence avec "
"22";"+";"+";"+";"-";"-";"<E>";"être";"en";"<E>";"adhésion";"à";"-";"+";"+";"-";"-";"§est§en adhésion à "
"23";"+";"+";"+";"-";"-";"<E>";"être";"en";"<E>";"adhésion";"avec";"+";"+";"-";"-";"+";"§est§en adhésion avec "
"24";"-";"+";"+";"-";"-";"<E>";"être";"en";"<E>";"adjonction";"à";"-";"+";"-";"+";"-";"§est§en adjonction à "
"25";"-";"+";"-";"-";"-";"<E>";"être";"en";"<E>";"adjonction";"avec";"-";"+";"-";"-";"+";"§est§en adjonction avec "
"26";"+";"-";"-";"-";"-";"<E>";"être";"en";"<E>";"admiration";"devant";"+";"+";"-";"+";"-";"§est§en admiration devant "
"27";"+";"-";"-";"-";"-";"<E>";"être";"en";"<E>";"adoration";"devant";"+";"+";"-";"+";"-";"§est§en adoration devant "
"28";"+";"-";"-";"-";"-";"<E>";"être";"en";"<E>";"adulation";"devant";"+";"+";"-";"+";"-";"§est§en adulation devant "
"29";"+";"-";"-";"-";"-";"<E>";"être";"ex";"<E>";"aequo";"avec";"+";"-";"-";"-";"+";"§est§ex aequo avec "
"30";"+";"-";"-";"-";"-";"<E>";"être";"en";"<E>";"affaiblissement";"devant";"+";"+";"-";"+";"-";"§est§en affaiblissement devant "
"31";"+";"-";"-";"-";"-";"<E>";"être";"en";"<E>";"affection";"devant";"+";"+";"-";"+";"-";"§est§en affection devant "
"32";"+";"-";"-";"-";"-";"<E>";"être";"en";"<E>";"affiliation";"avec";"+";"-";"-";"-";"+";"§est§en affiliation avec "
"33";"+";"-";"-";"-";"-";"<E>";"être";"en";"<E>";"affliction";"devant";"+";"+";"-";"+";"-";"§est§en affliction devant "
"34";"+";"-";"-";"-";"-";"<E>";"être";"en";"<E>";"affolement";"devant";"+";"+";"-";"+";"-";"§est§en affolement devant "
"35";"+";"-";"-";"-";"-";"<E>";"être";"en";"<E>";"affres";"devant";"+";"+";"-";"+";"-";"§est§en affres devant "
