"<ID>";"<ENT><faire>";"<ENT>Det1";"<ENT>C1";"<ENT>Adj1";"N0 =: Nhum";"N0 =: N-hum";"N0 =: Nnr";"Adj1 permut obl";"GN =: le N";"il y avoir Det1 C1 W"
"1";"faire";"<E>";"amende";"honorable";"+";"-";"-";"-";"-";"-"
"2";"faire";"le";"apôtre";"bon";"+";"-";"-";"+";"-";"-"
"3";"faire";"<E>";"bande";"à part";"+";"-";"-";"-";"-";"-"
"4";"faire";"la";"bouche";"fine";"+";"-";"-";"+";"-";"-"
"5";"faire";"la";"bouche";"petite";"+";"-";"-";"+";"-";"-"
"6";"faire";"<E>";"buisson";"creux";"+";"-";"-";"-";"-";"-"
"7";"faire";"<E>";"cavalier";"seul";"+";"-";"-";"-";"-";"-"
"8";"faire";"de la";"chaise";"longue";"+";"-";"-";"-";"+";"-"
"9";"faire";"<E>";"chasse";"bonne";"+";"-";"-";"+";"-";"-"
"10";"faire";"<E>";"chère";"bonne";"+";"-";"-";"+";"+";"-"
"11";"faire";"<E>";"chère";"maigre";"+";"-";"-";"+";"+";"-"
"12";"faire";"le";"chien";"couchant";"+";"-";"-";"-";"-";"-"
"13";"faire";"<E>";"chou";"blanc";"+";"-";"-";"-";"-";"-"
"14";"faire";"le";"coeur";"joli";"+";"-";"-";"+";"-";"-"
"15";"faire";"Poss0";"communion";"première";"+";"-";"-";"+";"+";"+"
"16";"faire";"<E>";"contenance";"bonne";"+";"-";"-";"+";"-";"-"
"17";"faire";"de la";"corde";"raide";"+";"-";"-";"-";"+";"-"
"18";"faire";"les";"coups";"4OO";"+";"-";"-";"+";"+";"-"
"19";"faire";"le";"dos";"gros";"+";"-";"-";"+";"+";"-"
"20";"faire";"le";"enfant";"gâté";"-";"+";"-";"-";"~";"~"
"21";"faire";"le";"enfant";"terrible";"+";"-";"-";"-";"-";"-"
"22";"faire";"le";"esprit";"fort";"+";"-";"-";"-";"+";"-"
"23";"faire";"<E>";"feu";"long";"-";"-";"+";"+";"-";"-"
"24";"faire";"<E>";"figure";"bonne";"+";"-";"-";"+";"-";"-"
"25";"faire";"<E>";"figure";"honorable";"+";"-";"-";"-";"-";"-"
"26";"faire";"<E>";"figure";"pâle";"+";"-";"-";"+";"-";"-"
"27";"faire";"<E>";"figure";"pauvre";"+";"-";"-";"+";"-";"-"
"28";"faire";"<E>";"figure";"piètre";"+";"-";"-";"+";"-";"-"
"29";"faire";"<E>";"figure";"triste";"+";"-";"-";"+";"-";"-"
"30";"faire";"<E>";"garde";"bonne";"+";"-";"-";"+";"-";"-"
"31";"faire";"le";"homme";"jeune";"+";"-";"-";"+";"-";"-"
"32";"faire";"<E>";"maison";"nette";"+";"-";"-";"-";"-";"-"
"33";"faire";"une";"mine";"allongée";"+";"-";"-";"-";"+";"-"
"34";"faire";"une";"mine";"piteuse";"+";"-";"-";"-";"-";"-"
"35";"faire";"<E>";"oeuvre";"durable";"+";"-";"-";"-";"-";"-"
"36";"faire";"<E>";"oeuvre";"pie";"+";"-";"-";"-";"-";"-"
"37";"faire";"<E>";"oeuvre";"utile";"+";"-";"-";"-";"-";"-"
"38";"faire";"la";"oreille";"sourde";"+";"-";"-";"+";"+";"-"
"39";"faire";"des";"os";"vieux";"+";"-";"-";"+";"-";"-"
"40";"faire";"de la";"ouvrage";"belle";"+";"-";"-";"+";"+";"+"
"41";"faire";"Poss0";"pas";"premiers";"+";"-";"-";"+";"+";"+"
"42";"faire";"<E>";"peau";"neuve";"+";"-";"-";"-";"-";"-"
"43";"faire";"<E>";"pêche";"bonne";"+";"-";"-";"+";"-";"-"
"44";"faire";"<E>";"route";"bonne";"+";"-";"-";"+";"-";"-"
"45";"faire";"<E>";"route";"fausse";"+";"-";"-";"+";"-";"-"
"46";"faire";"<E>";"route";"longue";"+";"-";"-";"+";"-";"-"
"47";"faire";"<E>";"salle";"comble";"+";"-";"-";"-";"-";"+"
"48";"faire";"<E>";"salle";"pleine";"+";"-";"+";"-";"-";"+"
"49";"faire";"le";"seigneur";"grand";"+";"-";"-";"+";"-";"-"
"50";"faire";"Poss0";"service";"militaire";"+";"-";"-";"-";"+";"-"
"51";"faire";"<E>";"stade";"plein";"+";"-";"+";"-";"-";"+"
"52";"faire";"une";"tête";"grosse";"+";"-";"-";"+";"-";"-"
"53";"faire";"la";"tête";"mauvaise";"+";"-";"-";"+";"+";"-"
"54";"faire";"Poss0";"train-train";"petit";"+";"-";"-";"+";"-";"+"
"55";"faire";"la";"voix";"grosse";"+";"-";"-";"+";"+";"-"
"56";"faire";"<E>";"voyage";"bon";"+";"-";"-";"+";"-";"-"
"57";"faire";"le";"voyage";"grand";"+";"-";"-";"+";"+";"+"

