"<ID>";"<ENT><faire>";"<ENT>Det1";"<ENT>C1";"<ENT>Prépc";"<ENT>Detc";"<ENT>Cc";"N0 =: Nhum";"N0 =: N-hum";"N0 =: Nnr";"GN =: le N"
"1";"faire";"<E>";"acte";"de";"<E>";"candidature";"+";"-";"-";"+"
"2";"faire";"<E>";"acte";"de";"<E>";"présence";"+";"-";"-";"-"
"3";"faire";"la";"bouche";"en";"<E>";"cul-de-poule";"+";"-";"-";"-"
"4";"faire";"<E>";"boule";"de";"<E>";"neige";"-";"+";"+";"-"
"5";"faire";"le";"bout";"de";"<E>";"table";"+";"-";"-";"-"
"6";"faire";"Poss0";"chemin";"de";"<E>";"croix";"+";"-";"-";"+"
"7";"faire";"Poss0";"chemin";"de";"<E>";"Damas";"+";"-";"-";"+"
"8";"faire";"le";"diable";"à";"<E>";"quatre";"+";"-";"-";"-"
"9";"faire";"Poss0";"entrée";"dans";"le";"monde";"+";"-";"-";"+"
"10";"faire";"<E>";"erreur";"sur";"la";"personne";"+";"-";"-";"+"
"11";"faire";"<E>";"feu";"de";"tout";"bois";"+";"-";"-";"-"
"12";"faire";"<E>";"feu";"de";"tous";"bords";"+";"-";"-";"-"
"13";"faire";"<E>";"feu";"de";"les";"quatre fers";"+";"-";"-";"-"
"14";"faire";"<E>";"flèche";"de";"tout";"bois";"+";"-";"-";"-"
"15";"faire";"les";"frais";"de";"la";"conversation";"+";"-";"-";"-"
"16";"faire";"la";"jeune fille";"de";"la";"maison";"+";"-";"-";"-"
"17";"faire";"la";"maîtresse";"de";"<E>";"maison";"+";"-";"-";"-"
"18";"faire";"la";"mouche";"de";"le";"coche";"+";"-";"-";"-"
"19";"faire";"la";"part";"de";"les";"choses";"+";"-";"-";"+"
"20";"faire";"la";"part";"de";"le";"feu";"+";"-";"-";"+"
"21";"faire";"la";"réponse du berger";"à";"la";"bergère";"+";"-";"-";"+"
"22";"faire";"<E>";"tache";"de";"<E>";"huile";"-";"+";"-";"-"
"23";"faire";"une";"tête";"de";"<E>";"circonstance";"+";"-";"-";"-"
"24";"faire";"une";"tête";"de";"<E>";"enterrement";"+";"-";"-";"-"
"25";"faire";"Poss0";"tête";"de";"<E>";"lard";"+";"-";"-";"-"
"26";"faire";"Poss0";"tête";"de";"<E>";"mule";"+";"-";"-";"-"
"27";"faire";"le";"tour";"de";"le";"cadran";"+";"-";"-";"-"
"28";"faire";"le";"tour";"de";"la";"question";"+";"-";"-";"-"
"29";"faire";"des";"yeux";"de";"<E>";"merlan frit";"+";"-";"-";"-"
"30";"faire";"des";"yeux";"comme";"des";"soucoupes";"+";"-";"-";"-"

