"<ID>";"<ENT><faire>";"<ENT>Det1";"<ENT>C1";"<ENT>Adj1";"<ENT>Prép2";"N2 =: Nhum";"N2 =: N-hum";"Adj1 permut obl";"N0 =: Nhum";"N0 =: N-hum";"N0 =: Nnr";"N0 et N2 faire Det1 C1 Adj1";"il y avoir Det1 C1 W"
"1";"faire";"Poss0";"armes";"premières";"Loc";"+";"+";"-";"+";"+";"-";"-";"-"
"2";"faire";"<E>";"bruit";"grand";"Loc";"+";"+";"+";"-";"+";"+";"-";"+"
"3";"faire";"<E>";"bruit";"grand";"sur";"+";"+";"-";"+";"+";"-";"-";"+"
"4";"faire";"<E>";"cas";"grand";"de";"+";"+";"-";"+";"+";"-";"-";"-"
"5";"faire";"<E>";"cas";"piètre";"de";"+";"+";"-";"+";"+";"-";"-";"-"
"6";"faire";"<E>";"cause";"commune";"avec";"+";"-";"-";"+";"-";"-";"+";"-"
"7";"faire";"<E>";"chambre";"commune";"avec";"+";"-";"-";"+";"-";"-";"+";"-"
"8";"faire";"Poss0";"choux";"gras";"de";"-";"+";"-";"+";"-";"-";"-";"-"
"9";"faire";"<E>";"emploi";"double";"avec";"-";"+";"+";"-";"+";"-";"-";"+"
"10";"faire";"<E>";"figure";"bonne";"devant";"+";"-";"+";"+";"-";"-";"-";"-"
"11";"faire";"<E>";"figure";"bonne";"Loc";"+";"+";"-";"+";"+";"+";"-";"-"
"12";"faire";"<E>";"figure";"pauvre";"devant";"+";"-";"+";"+";"-";"-";"-";"-"
"13";"faire";"<E>";"figure";"piètre";"à côté de";"+";"-";"+";"+";"-";"-";"-";"-"
"14";"faire";"<E>";"figure";"triste";"à côté de";"+";"-";"+";"+";"-";"-";"-";"-"
"15";"faire";"des";"gorges";"chaudes";"de";"-";"+";"-";"+";"-";"-";"-";"-"
"16";"faire";"<E>";"jeu";"égal";"avec";"+";"-";"-";"+";"+";"-";"+";"+"
"17";"faire";"<E>";"lit";"commun";"avec";"+";"-";"-";"+";"-";"-";"+";"-"
"18";"faire";"<E>";"main";"basse";"sur";"-";"+";"-";"+";"-";"-";"-";"-"
"19";"faire";"<E>";"marché";"bon";"de";"-";"+";"+";"+";"-";"-";"-";"-"
"20";"faire";"<E>";"ménage";"bon";"avec";"+";"-";"+";"+";"+";"-";"+";"-"
"21";"faire";"<E>";"ménage";"mauvais";"avec";"+";"+";"+";"+";"+";"-";"+";"-"
"22";"faire";"les";"pas";"cent";"Loc";"+";"+";"+";"+";"-";"-";"-";"-"
"23";"faire";"<E>";"place";"nette";"Loc";"+";"+";"-";"+";"-";"-";"-";"-"
"24";"faire";"<E>";"table";"commune";"avec";"+";"-";"-";"+";"-";"-";"+";"-"
"25";"faire";"<E>";"table";"rase";"de";"-";"+";"-";"+";"-";"-";"-";"-"

