"<ID>";"N0 =: Nhum";"N0 =: Nnc";"<ENT><être>";"<ENT>Prép1";"<ENT>Det1";"<ENT>C1";"<ENT>Prép2";"Modif =: plein";"Modif =: constant";"Modif =: total";"Modif =: exact";"N0 être Prép1 Det1 C1";"inf:Tp =: Tc";"inf:Tc =: passé";"inf:Tc =: présent";"inf:Tc =: futur";"N2 =: Nhum";"N2 =: N-hum";"Det1 C1 de N2 = Poss C1";"Prép2 N2 = Ppv";"Vop = mettre"
"1";"+";"-";"être";"en";"-";"âge";"de";"-";"-";"-";"-";"-";"-";"+";"+";"+";"-";"-";"-";"-";"-"
"2";"+";"-";"être";"à";"l";"avant veille";"de";"-";"-";"-";"-";"-";"+";"-";"-";"-";"-";"+";"-";"-";"+"
"3";"+";"-";"être";"à";"le";"bord";"de";"-";"-";"-";"-";"-";"+";"-";"-";"-";"-";"+";"-";"-";"+"
"4";"+";"-";"être";"en";"-";"condition";"de";"-";"-";"-";"-";"-";"-";"-";"+";"+";"-";"+";"-";"-";"+"
"5";"+";"+";"être";"à";"cent";"coudées";"de";"-";"-";"-";"-";"-";"-";"+";"+";"+";"-";"+";"-";"+";"+"
"6";"+";"-";"être";"en";"-";"danger(E+réel)";"de";"+";"+";"-";"-";"+";"-";"-";"+";"+";"-";"+";"-";"-";"+"
"7";"+";"-";"être";"à";"le";"défi";"de";"-";"+";"-";"-";"-";"-";"-";"+";"+";"-";"-";"-";"-";"+"
"8";"+";"-";"être";"en";"-";"demeure";"de";"-";"-";"-";"-";"-";"-";"-";"+";"+";"-";"-";"-";"-";"+"
"9";"+";"-";"être";"à";"le";"désespoir";"de";"-";"-";"+";"-";"-";"-";"+";"+";"+";"-";"-";"-";"-";"-"
"10";"+";"-";"être";"en";"-";"devoir";"de";"-";"-";"-";"-";"-";"+";"-";"-";"-";"-";"-";"-";"-";"+"
"11";"+";"+";"être";"à";"deux";"doigts";"de";"-";"-";"-";"-";"-";"-";"+";"+";"+";"-";"+";"-";"+";"+"
"12";"+";"+";"être";"à";"un";"doigt";"de";"-";"-";"-";"-";"-";"-";"+";"+";"+";"-";"+";"-";"+";"+"
"13";"+";"-";"être";"en";"-";"droit";"de";"-";"-";"-";"-";"-";"-";"+";"+";"+";"-";"-";"-";"-";"+"
"14";"+";"-";"être";"en";"-";"état";"de";"-";"-";"-";"-";"-";"-";"-";"+";"+";"-";"-";"-";"-";"+"
"15";"+";"-";"être";"à";"la";"hauteur";"de";"-";"-";"-";"-";"+";"+";"-";"-";"-";"-";"+";"-";"-";"+"
"16";"+";"-";"être";"en";"-";"humeur";"de";"-";"-";"-";"-";"-";"+";"-";"-";"-";"-";"-";"-";"-";"+"
"17";"+";"-";"être";"dans";"l";"impossibilité";"de";"-";"+";"+";"-";"-";"-";"-";"+";"+";"-";"-";"-";"-";"+"
"18";"+";"-";"être";"dans";"l";"incapacité";"de";"-";"+";"+";"-";"-";"-";"-";"+";"+";"-";"-";"-";"-";"+"
"19";"+";"-";"être";"en";"-";"instance";"de";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"+";"-";"-";"-"
"20";"+";"+";"être";"à";"cent";"lieues";"de";"-";"-";"-";"-";"-";"-";"+";"+";"+";"-";"+";"-";"+";"+"
"21";"+";"+";"être";"à";"mille";"lieues";"de";"-";"-";"-";"-";"-";"-";"+";"+";"+";"-";"+";"-";"+";"+"
"22";"+";"+";"être";"-";"-";"loin";"de";"-";"-";"-";"-";"-";"+";"-";"-";"-";"+";"+";"-";"+";"-"
"23";"+";"-";"être";"à";"-";"même";"de";"-";"-";"-";"-";"-";"-";"-";"+";"+";"-";"-";"-";"-";"+"
"24";"+";"-";"être";"en";"-";"mesure";"de";"-";"-";"-";"-";"-";"-";"-";"+";"+";"-";"-";"-";"-";"+"
"25";"+";"-";"être";"dans";"la";"nécessité";"de";"-";"+";"-";"-";"-";"-";"-";"+";"+";"-";"-";"-";"-";"+"
"26";"+";"-";"être";"dans";"l";"obligation";"de";"-";"+";"-";"-";"-";"-";"-";"+";"+";"-";"-";"-";"-";"+"
"27";"+";"-";"être";"en";"-";"passe";"de";"-";"-";"-";"-";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-"
"28";"+";"-";"être";"en";"-";"peine";"de";"-";"-";"-";"-";"-";"+";"-";"-";"-";"+";"+";"-";"-";"+"
"29";"+";"-";"être";"en";"-";"péril(E+réel)";"de";"+";"+";"-";"-";"+";"-";"-";"+";"+";"-";"+";"-";"-";"+"
"30";"+";"+";"être";"à";"un";"poil";"de";"-";"-";"-";"-";"-";"-";"+";"+";"+";"-";"+";"-";"+";"+"
"31";"+";"+";"être";"sur";"le";"point";"de";"-";"-";"-";"-";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-"
"32";"+";"-";"être";"en";"-";"position";"de";"-";"-";"-";"-";"-";"-";"-";"+";"+";"-";"-";"-";"-";"+"
"33";"+";"+";"être";"-";"-";"près";"de";"-";"-";"-";"-";"-";"+";"-";"-";"-";"+";"+";"-";"+";"-"
"34";"+";"-";"être";"à";"le";"regret";"de";"-";"-";"-";"-";"-";"-";"+";"+";"+";"-";"-";"-";"-";"-"
"35";"+";"-";"être";"en";"-";"situation";"de";"-";"-";"-";"-";"-";"-";"-";"+";"+";"-";"-";"-";"-";"+"
"36";"+";"+";"être";"en";"-";"train";"de";"-";"-";"-";"-";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-"
"37";"+";"-";"être";"à";"la";"veille";"de";"-";"-";"-";"-";"-";"+";"-";"-";"-";"-";"+";"-";"-";"+"
"38";"+";"-";"être";"en";"-";"voie";"de";"-";"-";"-";"-";"-";"+";"-";"-";"-";"-";"+";"-";"-";"+"

