"<ID>";"N0 =: Nhum";"N0 =: N-hum";"<ENT><être>";"<ENT>Prép1";"<ENT>Det1";"<ENT>C1";"Modif =: plein";"Modif =: constant";"Modif =: total";"Modif =: exact";"N0 être Prép1 Det1 C1";"<ENT>Prép2";"N2 =: Nhum";"N2 =: N-hum";"Vop = mettre";"Vop = avoir";"Vop = vivre"
"1";"+";"-";"être";"de";"-";"accord";"-";"-";"-";"-";"+";"avec";"+";"+";"+";"-";"-"
"2";"+";"+";"être";"en";"-";"accord(E+harmonieux+de pensée+Modif)";"+";"+";"+";"-";"+";"avec";"+";"+";"+";"-";"+"
"3";"+";"+";"être";"ex";"-";"aequo";"-";"-";"-";"-";"+";"avec";"+";"+";"+";"+";"-"
"4";"+";"+";"être";"en";"-";"antagonisme";"-";"-";"-";"-";"-";"avec";"+";"+";"+";"-";"+"
"5";"+";"-";"être";"en";"-";"ballottage (E+serre)";"-";"-";"-";"-";"+";"avec";"+";"-";"+";"-";"-"
"6";"+";"-";"être";"-";"-";"bien";"-";"-";"-";"-";"-";"avec";"+";"+";"+";"-";"-"
"7";"+";"-";"être";"en";"-";"bisbille";"-";"+";"-";"-";"-";"avec";"+";"+";"+";"-";"+"
"8";"+";"-";"être";"-";"-";"bras dessus bras dessous";"-";"-";"-";"-";"-";"avec";"+";"-";"-";"-";"-"
"9";"+";"-";"être";"en";"-";"cadence";"-";"-";"-";"-";"+";"avec";"+";"+";"+";"-";"-"
"10";"+";"-";"être";"à";"-";"chances égales";"-";"-";"-";"-";"-";"avec";"+";"-";"+";"-";"-"
"11";"+";"-";"être";"en";"-";"cheville";"-";"-";"-";"-";"-";"avec";"+";"-";"+";"+";"-"
"12";"+";"-";"être";"comme";"-";"chien et chat";"-";"-";"-";"-";"-";"avec";"+";"-";"+";"-";"+"
"13";"+";"-";"être";"à";"la";"colle";"-";"-";"-";"-";"+";"avec";"+";"-";"-";"-";"+"
"14";"+";"+";"être";"sans";"-";"commune mesure";"-";"-";"-";"-";"-";"avec";"+";"+";"+";"-";"-"
"15";"+";"+";"être";"sans";"-";"comparaison";"-";"-";"-";"-";"-";"avec";"+";"+";"+";"-";"-"
"16";"+";"+";"être";"en";"-";"compétition(E+serrée+sportive+Modif)";"+";"+";"-";"-";"+";"avec";"+";"+";"+";"-";"-"
"17";"+";"-";"être";"de";"-";"concert";"-";"-";"-";"-";"-";"avec";"+";"-";"+";"-";"-"
"18";"+";"-";"être";"en";"-";"conciliabule";"+";"-";"-";"-";"+";"avec";"+";"-";"-";"-";"-"
"19";"+";"-";"être";"en";"-";"concubinage(E+illégal+adultérin+Adj)";"-";"-";"-";"-";"+";"avec";"+";"-";"-";"-";"+"
"20";"+";"-";"être";"en";"-";"conflit(E+d'affaire+léger+Modif)";"+";"+";"-";"+";"+";"avec+contre";"+";"+";"+";"-";"+"
"21";"+";"-";"être";"de";"-";"connivence";"-";"-";"-";"-";"+";"avec";"+";"-";"+";"+";"-"
"22";"+";"-";"être";"de";"-";"conserve";"-";"-";"-";"-";"-";"avec";"+";"-";"+";"-";"-"
"23";"-";"+";"être";"en";"-";"contact";"-";"+";"-";"-";"-";"avec";"-";"+";"+";"-";"-"
"24";"+";"-";"être";"en";"-";"copropriété";"-";"-";"-";"-";"+";"avec";"+";"+";"+";"-";"+"
"25";"+";"+";"être";"-";"-";"cote à cote";"-";"-";"-";"-";"-";"avec";"+";"+";"+";"-";"+"
"26";"+";"-";"être";"à";"le";"coude à coude";"-";"-";"-";"-";"-";"avec";"+";"-";"+";"-";"-"
"27";"+";"-";"être";"en";"-";"couple(E+illégal+adultérin+Adj)";"-";"-";"-";"-";"+";"avec";"+";"-";"-";"-";"+"
"28";"+";"-";"être";"à";"-";"couteau(x) tiré(s)";"-";"-";"-";"-";"-";"avec";"+";"-";"+";"-";"+"
"29";"+";"-";"être";"comme";"-";"cul et chemise";"-";"-";"-";"-";"-";"avec";"+";"-";"+";"-";"+"
"30";"-";"+";"être";"en";"-";"dérivation";"-";"-";"-";"-";"+";"avec";"-";"+";"+";"+";"-"
"31";"+";"+";"être";"en";"-";"désaccord (E+profond+Modif)";"+";"+";"+";"-";"+";"avec";"+";"+";"+";"-";"+"
"32";"+";"+";"être";"à";"le";"diapason";"-";"-";"-";"+";"+";"de";"+";"+";"+";"-";"-"
"33";"+";"-";"être";"comme";"les";"doigts de la main";"-";"-";"-";"-";"-";"avec";"+";"-";"+";"-";"-"
"34";"+";"+";"être";"à";"-";"égalité (E+de points+Modif)";"-";"-";"-";"-";"-";"avec";"+";"+";"+";"+";"-"
"35";"+";"-";"être";"en";"-";"entente(bonne+mauvaise+Adj) (E+relative)";"-";"+";"+";"-";"-";"avec";"+";"-";"+";"-";"+"
"36";"-";"+";"être";"de";"-";"équerre";"-";"-";"-";"-";"+";"avec";"-";"+";"+";"-";"-"
"37";"+";"-";"être";"-";"-";"face à face";"-";"-";"-";"-";"-";"avec";"+";"+";"+";"-";"-"
"38";"+";"-";"être";"en";"-";"froid(E+grand)";"-";"-";"-";"-";"-";"avec";"+";"+";"+";"-";"+"
"39";"+";"-";"être";"de";"-";"intelligence";"-";"-";"-";"-";"-";"avec";"+";"-";"+";"-";"-"
"40";"+";"-";"être";"en";"-";"intelligence (bonne+mauvaise+Adj) (E+relative)";"-";"+";"+";"-";"-";"avec";"+";"-";"+";"-";"+"
"41";"+";"+";"être";"-";"-";"le jour et la nuit";"-";"-";"-";"-";"-";"avec";"+";"+";"-";"-";"-"
"42";"+";"-";"être";"en";"-";"liaison";"-";"+";"-";"-";"-";"avec";"+";"-";"+";"-";"+"
"43";"-";"+";"être";"en";"-";"liaison(E+étroite+directe+Modif)";"-";"+";"-";"-";"-";"avec";"-";"+";"+";"-";"-"
"44";"+";"-";"être";"en";"-";"ligne";"-";"-";"-";"-";"+";"avec";"+";"-";"-";"+";"-"
"45";"-";"+";"être";"en";"-";"ligne droite";"-";"-";"-";"-";"-";"avec";"-";"+";"+";"-";"-"
"46";"+";"-";"être";"-";"la";"main dans la main";"-";"-";"-";"-";"-";"avec";"+";"-";"-";"-";"-"
"47";"+";"-";"être";"-";"-";"mal";"-";"-";"-";"-";"-";"avec";"+";"+";"+";"-";"-"
"48";"+";"-";"être";"de";"-";"mèche";"-";"-";"-";"-";"+";"avec";"+";"-";"+";"+";"-"
"49";"+";"-";"être";"en";"-";"ménage(E+illégal+adultérin+Adj)";"-";"-";"-";"-";"+";"avec";"+";"-";"-";"-";"+"
"50";"+";"-";"être";"en";"-";"mésentente(E+relative)";"-";"+";"+";"-";"-";"avec";"+";"-";"+";"-";"+"
"51";"+";"-";"être";"en";"-";"mésintelligence(E+relative)";"-";"+";"+";"-";"-";"avec";"+";"-";"+";"-";"+"
"52";"+";"-";"être";"en";"-";"mesure";"-";"-";"-";"-";"+";"avec";"+";"+";"+";"-";"-"
"53";"+";"-";"être";"à";"le";"mieux";"-";"-";"-";"-";"-";"avec";"+";"+";"+";"-";"-"
"54";"+";"-";"être";"-";"-";"nez à nez";"-";"-";"-";"-";"-";"avec";"+";"-";"+";"-";"-"
"55";"-";"+";"être";"de";"-";"niveau";"-";"-";"-";"-";"+";"avec";"-";"+";"+";"-";"-"
"56";"-";"+";"être";"en";"-";"opposition(E+de phase)";"-";"-";"-";"-";"+";"avec";"-";"+";"+";"+";"-"
"57";"+";"-";"être";"-";"-";"pair et compagnon";"-";"-";"-";"-";"-";"avec";"+";"-";"+";"-";"-"
"58";"+";"-";"être";"en";"-";"paix(E+relative+instable+Adj)";"-";"+";"-";"-";"+";"avec";"+";"+";"+";"-";"+"
"59";"-";"+";"être";"en";"-";"parallèle";"-";"-";".";"-";"+";"avec";"-";"+";"+";"+";"-"
"60";"-";"+";"être";"en";"-";"parallèle";"-";"-";"-";"-";"-";"avec";"-";"+";"+";"-";"-"
"61";"-";"+";"être";"en";"-";"pendant";"-";"-";"-";"-";"-";"à";"-";"+";"+";"+";"-"
"62";"-";"+";"être";"en";"-";"phase";"-";"-";"-";"-";"+";"avec";"-";"+";"+";"+";"-"
"63";"+";"-";"être";"sur";"un";"pied d'égalité";"-";"-";"-";"-";"-";"avec";"+";"-";"+";"+";"-"
"64";"+";"-";"être";"à";"les";"pire";"-";"-";"-";"-";"-";"avec";"+";"+";"+";"-";"-"
"65";"-";"+";"être";"de";"-";"plain pied";"-";"-";"-";"-";"+";"avec";"-";"+";"+";"-";"-"
"66";"+";"-";"être";"à";"les";"plus mal";"-";"-";"-";"-";"-";"avec";"+";"+";"+";"-";"-"
"67";"+";"-";"être";"en";"-";"pourparlers(E+amicaux+d'affaire+Modif)";"+";"+";"-";"-";"+";"avec";"+";"-";"-";"-";"-"
"68";"+";"-";"être";"en";"-";"présence";"-";"-";"-";"-";"-";"de";"+";"+";"+";"-";"-"
"69";"+";"-";"être";"à";"les";"prises";"-";"-";"-";"-";"-";"avec+à";"+";"+";"+";"-";"-"
"70";"-";"+";"être";"hors de";"-";"proportion";"-";"-";"-";"-";"-";"avec";"-";"+";"+";"-";"+"
"71";"-";"+";"être";"en";"-";"quadrature(E+de phase)";"-";"-";"-";"-";"+";"avec";"-";"+";"+";"+";"-"
"72";"-";"+";"être";"en";"-";"raison inverse";"-";"-";"-";"-";"+";"de";"-";"+";"+";"-";"-"
"73";"-";"+";"être";"en";"-";"rapport (E+logique +direct +étroit+Modif)";"-";"+";"-";"-";"+";"avec";"-";"+";"+";"-";"-"
"74";"+";"-";"être";"en";"-";"rapport(E+suivi+d'affaire+Modif)";"-";"+";"-";"-";"-";"avec";"+";"-";"+";"-";"-"
"75";"+";"-";"être";"en";"-";"rapports(bons+mauvais+Adj)";"-";"+";"-";"-";"-";"avec";"+";"+";"+";"-";"+"
"76";"-";"+";"être";"en";"-";"regard";"-";"-";"-";"-";"+";"de";"-";"+";"+";"+";"+"
"77";"-";"+";"être";"en";"-";"relation(E+logique+étroite+Modif)";"-";"+";"-";"-";"+";"avec";"-";"+";"+";"-";"-"
"78";"+";"-";"être";"en";"-";"relation(E+suive+d'affaire+Modif)";"-";"+";"-";"-";"-";"avec";"+";"-";"+";"-";"-"
"79";"+";"-";"être";"en";"-";"relations (bonnes+mauvaises+Adj)";"-";"+";"-";"-";"-";"avec";"+";"+";"+";"-";"+"
"80";"+";"+";"être";"en";"-";"rupture(E+de ton+modif)";"-";"+";"+";"-";"-";"avec";"+";"+";"+";"-";"-"
"81";"-";"+";"être";"en";"-";"sens contraire";"-";"-";"-";"-";"-";"à";"-";"+";"+";"-";"-"
"82";"-";"+";"être";"en";"-";"série";"-";"-";"-";"-";"+";"avec";"-";"+";"+";"+";"-"
"83";"+";"+";"être";"en";"-";"tandem";"-";"-";"-";"-";"-";"avec";"+";"+";"+";"-";"-"
"84";"+";"-";"être";"à";"le";"téléphone";"-";"-";"-";"-";"+";"avec";"+";"-";"-";"+";"-"
"85";"+";"-";"être";"en";"-";"termes(bons+mauvais+Adj)";"-";"-";"-";"-";"-";"avec";"+";"+";"+";"-";"+"
"86";"+";"-";"être";"en";"-";"tête à tête";"-";"-";"-";"-";"-";"avec";"+";"-";"+";"-";"-"
"87";"+";"+";"être";"-";"-";"tête bêche";"-";"-";"-";"-";"-";"avec";"+";"+";"+";"-";"-"
"88";"+";"-";"être";"à";"-";"tu et à toi";"-";"-";"-";"-";"-";"avec";"+";"-";"+";"-";"-"
"89";"+";"-";"être";"en";"-";"union libre (E+illégale+adultérine+Adj)";"-";"-";"-";"-";"+";"avec";"+";"-";"-";"-";"+"
"90";"+";"+";"être";"à";"l";"unisson";"-";"-";"-";"-";"+";"de";"+";"+";"+";"-";"-"
"91";"+";"-";"être";"à";"la";"vie et à la mort";"-";"-";"-";"-";"-";"avec";"+";"-";"+";"-";"-"

