"<ID>";"N0 =: Nhum";"N0 =: Nnc";"<ENT>Ppv";"Ppv =: se figé";"Ppv =: en figé";"Ppv =: Neg";"<ENT>V";"Neg";"Aux =: avoir";"Aux =: être";"N0 est Vpp W";"N0 V";"Prép1";"Tp = Tc";"Tc =: passé";"Tc =: présent";"Tc =: futur";"Vc =: devoir";"Vc =: pouvoir";"Vc =: savoir";"Prép V0-inf W = Ppv";"N0 V Prép N1hum";"N0 V Prép N1-hum";"Prép N1 = Ppv";"N0 V dans N1";"N0 V N1hum";"N0 V N1-hum";"<OPT>";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"1";"+";"-";"<E>";"-";"-";"-";"achever";"-";"+";"-";"-";"-";"de";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"+";"+";"Max achève de peindre le mur"
"2";"+";"+";"<E>";"-";"-";"-";"aller";"-";"-";"-";"-";"-";"<E>";"-";"-";"-";"-";"+";"+";"+";"-";"-";"-";"-";"-";"-";"-";"Le verre va tomber"
"3";"+";"+";"<E>";"-";"-";"-";"aller";"-";"+";"+";"-";"-";"pour";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"Max allait pour partir quand Marie est arrivée"
"4";"+";"-";"<E>";"-";"-";"-";"aller";"-";"-";"+";"-";"-";"jusqu'à";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"Max va jusqu'à exiger des dommages"
"5";"-";"+";"ne";"-";"-";"+";"aller";"+";"-";"+";"-";"-";"sans";"+";"-";"-";"-";"+";"+";"+";"-";"-";"-";"-";"-";"-";"-";"Cette mesure n'ira pas sans créer des troubles"
"6";"~";"~";"s'";"+";"-";"-";"apprêter";"-";"-";"+";"~";"~";"à";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"La pluie s'apprête à tomber"
"7";"+";"+";"<E>";"-";"-";"-";"arrêter";"-";"+";"-";"-";"+";"de";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"+";"+";"Luc arrête de travailler"
"8";"+";"+";"n'";"-";"-";"+";"arrêter pas";"+";"+";"-";"-";"-";"de";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"Max n'arrête pas de faire des bêtises"
"9";"+";"-";"s'";"+";"-";"-";"arrêter";"-";"-";"+";"-";"-";"à";"-";"-";"+";"+";"-";"-";"-";"+";"-";"+";"+";"-";"-";"-";"Max s'est arrêté à dire une telle chose"
"10";"+";"+";"s'";"+";"-";"-";"arrêter";"-";"-";"+";"+";"+";"de";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"Max s'arrête de boire"
"11";"+";"-";"s'";"+";"-";"-";"avancer";"-";"-";"+";"-";"-";"à";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"Max s'avance à dire que c'est faux"
"12";"+";"-";"<E>";"-";"-";"-";"avoir";"-";"+";"-";"-";"-";"à";"-";"-";"-";"+";"-";"-";"+";"-";"-";"-";"-";"-";"-";"-";"Max aura à se déplacer"
"13";"+";"+";"<E>";"-";"-";"-";"avoir failli";"-";"-";"-";"-";"-";"<E>";"-";"-";"-";"-";"+";"+";"+";"-";"-";"-";"-";"-";"-";"-";"Max a failli tomber"
"14";"+";"+";"n'";"-";"-";"+";"avoir que";"+";"+";"-";"-";"-";"à";"-";"-";"+";"+";"-";"-";"+";"-";"-";"-";"-";"-";"-";"-";"Max n'a qu'à obéir"
"15";"~";"~";"s'";"-";"-";"-";"aviser";"-";"-";"+";"~";"~";"de";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"La voiture s'est avisée de tomber en panne"
"16";"+";"+";"<E>";"-";"-";"-";"cesser";"-";"+";"-";"-";"+";"de";"+";"-";"-";"-";"+";"+";"+";"-";"-";"-";"-";"-";"-";"+";"Max a cessé de dormir"
"17";"+";"-";"<E>";"-";"-";"-";"choisir";"-";"+";"-";"-";"+";"entre";"-";"-";"+";"+";"-";"-";"-";"-";"-";"+";"-";"-";"+";"+";"Max choisi entre faire ça et faire autre chose"
"18";"+";"+";"<E>";"-";"-";"-";"commencer";"-";"+";"-";"-";"+";"à";"+";"-";"-";"-";"-";"+";"+";"-";"-";"-";"-";"-";"-";"+";"Max a commencé à se faire du souci"
"19";"+";"+";"<E>";"-";"-";"-";"commencer";"-";"+";"-";"-";"+";"de";"+";"-";"-";"-";"-";"-";"+";"-";"-";"-";"-";"-";"-";"+";"Max a commencé de se faire du souci"
"20";"+";"+";"<E>";"-";"-";"-";"commencer";"-";"+";"-";"-";"-";"par";"+";"-";"-";"-";"+";"+";"+";"-";"+";"+";"-";"-";"-";"-";"Max commence par dormir"
"21";"+";"-";"se";"+";"-";"-";"contenter";"-";"-";"+";"-";"-";"de";"-";"+";"+";"-";"-";"+";"+";"-";"-";"-";"-";"-";"-";"-";"Max s'est contenté de sourire"
"22";"+";"+";"<E>";"-";"-";"-";"continuer";"-";"+";"-";"-";"+";"à";"+";"-";"-";"-";"+";"+";"+";"-";"-";"-";"-";"-";"-";"+";"Max continue à dormir"
"23";"+";"+";"<E>";"-";"-";"-";"continuer";"-";"-";"-";"-";"-";"de";"+";"-";"-";"-";"+";"+";"+";"-";"-";"-";"-";"-";"-";"-";"Max continue de faire des bêtises"
"24";"+";"+";"<E>";"-";"-";"-";"daigner";"-";"+";"-";"-";"-";"<E>";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"Il a daigné pleuvoir"
