"<ID>";"N0 =: Nhum";"N0 =: Nnr";"N0 =: le fait Qu P";"N0 =: Vi-inf W";"<ENT>Ppv";"Ppv =: Neg";"<ENT>V";"Neg";"Aux =: avoir";"Aux =: être";"N0 V";"N1 =: Qu Pind";"Qu P = V0-inf W";"N1 =: Qu P = Aux V0-inf W";"Qu P = de V0-inf W";"Qu Psubj = de V0-inf W";"Qu Psubj = V0-inf W";"Tc =: passé";"Tc =: futur";"N1 =: si P ou si P";"N1 =: ce(ci+la)";"N1 =: Qu P = Ppv";"N1 =: Nhum";"N1 =: N-hum";"N1 =: le fait Qu P";"N1 = Ppv";"N0 V N1 de N2hum";"[passif par]";"[passif de]";"N0 avoir V-n pour N1";"N0 porter V-n à N1";"N1 être V-n pour N0";"N1 être V-n";"N0 avoir V-n pour N1 (forme V-n)";"N0 porter V-n à N1 (forme V-n)";"N1 être V-n pour N0 (forme V-n)";"N1 être V-n (forme V-n)";"<OPT>";"<ENGLISH>"
"1";"+";"-";"-";"-";"<E>";"-";"abhorrer";"-";"+";"-";"-";"-";"-";"-";"-";"+";"+";"+";"-";"-";"+";"-";"+";"+";"+";"+";"+";"+";"+";"-";"-";"-";"-";"<E>";"<E>";"<E>";"<E>";"Max abhorre Marie de partir tous les quinze jours";"to abhor"
"2";"+";"-";"-";"-";"<E>";"-";"abominer";"-";"+";"-";"-";"-";"-";"-";"-";"+";"+";"+";"-";"-";"+";"-";"+";"+";"+";"+";"+";"+";"+";"-";"-";"+";"+";"<E>";"<E>";"abomination";"abomination";"Paul abomine que Max s'en aille";"to loathe"
"3";"+";"-";"-";"-";"<E>";"-";"acclamer";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"+";"-";"-";"+";"-";"+";"+";"-";"+";"+";"+";"+";"-";"-";"-";"-";"<E>";"<E>";"<E>";"<E>";"Nous avons acclamé qu'une telle mesure ait été prise";"to acclaim"
"4";"+";"-";"-";"-";"<E>";"-";"admirer";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"+";"-";"-";"+";"-";"+";"+";"-";"+";"+";"+";"+";"+";"+";"-";"-";"admiration";"admiration";"<E>";"<E>";"Max admire qu'on puisse autant travailler";"to admire"
"5";"+";"-";"-";"-";"<E>";"-";"adorer";"-";"+";"-";"-";"-";"-";"-";"-";"+";"+";"+";"-";"-";"+";"-";"+";"+";"+";"+";"+";"+";"+";"+";"+";"-";"-";"adoration";"adoration";"<E>";"<E>";"Max adore Marie d'être venue";"to adore"
"6";"+";"-";"-";"-";"<E>";"-";"aduler";"-";"+";"-";"-";"-";"-";"-";"-";"+";"-";"+";"-";"-";"+";"-";"+";"+";"+";"+";"+";"+";"+";"-";"-";"-";"-";"<E>";"<E>";"<E>";"<E>";"Paul adule Marie d'être si bien";"to adulate"
"7";"+";"-";"-";"-";"<E>";"-";"affectionner";"-";"+";"-";"-";"-";"-";"-";"-";"+";"-";"+";"-";"-";"+";"-";"+";"+";"+";"+";"+";"+";"+";"+";"+";"-";"-";"affection";"affection";"<E>";"<E>";"Max affectionne Eva d'être venue";"to have a liking for"
"8";"+";"-";"-";"-";"<E>";"-";"aimer";"-";"+";"-";"+";"-";"-";"-";"-";"+";"+";"+";"-";"-";"+";"-";"+";"+";"-";"+";"+";"+";"+";"+";"+";"+";"-";"amour";"amour";"amour";"<E>";"Max aime que tout soit propre";"to like"
"9";"+";"-";"-";"-";"<E>";"-";"applaudir";"-";"+";"-";"+";"-";"-";"-";"-";"-";"-";"+";"-";"-";"+";"-";"+";"+";"-";"+";"+";"+";"+";"-";"-";"-";"-";"<E>";"<E>";"<E>";"<E>";"Max applaudit que cette décision soit prise";"to applaud"
"10";"+";"-";"-";"-";"<E>";"-";"apprécier";"-";"+";"-";"+";"-";"-";"-";"-";"+";"-";"+";"-";"-";"+";"+";"+";"+";"+";"+";"+";"+";"+";"-";"-";"-";"-";"<E>";"<E>";"<E>";"<E>";"Max apprécie qu'on le cite";"to appreciate"
"11";"+";"-";"-";"-";"<E>";"-";"approuver";"-";"+";"-";"+";"-";"-";"-";"-";"-";"-";"+";"+";"-";"+";"+";"+";"+";"-";"+";"+";"+";"+";"-";"-";"-";"-";"<E>";"<E>";"<E>";"<E>";"Max approuve que cette décision aie été prise";"to approve of"
"12";"+";"+";"+";"+";"<E>";"-";"appuyer";"-";"+";"-";"+";"-";"-";"-";"-";"-";"-";"+";"-";"-";"+";"+";"+";"+";"-";"+";"-";"+";"+";"-";"-";"-";"-";"<E>";"<E>";"<E>";"<E>";"Max appuie que l'on prenne ces mesures";"to support"
"13";"+";"+";"+";"+";"<E>";"-";"arrêter";"-";"+";"-";"-";"-";"-";"-";"-";"+";"-";"-";"-";"-";"+";"-";"+";"+";"-";"+";"-";"+";"-";"-";"-";"-";"-";"<E>";"<E>";"<E>";"<E>";"La maladie a arrêté que Max fume |pop|";"to stop"
"14";"+";"-";"-";"-";"<E>";"-";"bénir";"-";"+";"-";"-";"-";"-";"-";"-";"+";"-";"+";"-";"-";"+";"+";"+";"+";"-";"+";"+";"+";"+";"-";"-";"+";"+";"<E>";"<E>";"bénédiction";"bénédiction";"Max a béni que Luc s'en aille";"to thank God for"
"15";"+";"-";"-";"-";"<E>";"-";"censurer";"-";"+";"-";"-";"+";"-";"+";"-";"-";"-";"+";"-";"-";"+";"+";"+";"+";"+";"+";"+";"+";"+";"-";"-";"-";"-";"<E>";"<E>";"<E>";"<E>";"Max censure qu'on dise de telles choses";"to censure"
"16";"+";"-";"-";"-";"<E>";"-";"chérir";"-";"+";"-";"-";"-";"-";"-";"-";"+";"-";"+";"-";"-";"+";"-";"+";"+";"-";"+";"+";"+";"+";"-";"-";"+";"-";"<E>";"<E>";"chérissement";"<E>";"Max chérit qu'Ida vienne le voir";"to cherish"
"17";"+";"-";"-";"-";"<E>";"-";"comprendre";"-";"+";"-";"+";"-";"-";"-";"-";"-";"-";"+";"+";"+";"+";"+";"+";"+";"-";"+";"+";"+";"+";"+";"+";"-";"-";"compréhension";"compréhension";"<E>";"<E>";"Max comprend qu'Ida ne vienne pas";"to understand"
"18";"+";"-";"-";"-";"<E>";"-";"critiquer";"-";"+";"-";"+";"-";"-";"-";"-";"-";"-";"+";"-";"-";"+";"-";"+";"+";"+";"+";"-";"+";"+";"-";"-";"-";"-";"<E>";"<E>";"<E>";"<E>";"Max critique que tout soit en désordre";"to criticize"
"19";"+";"-";"-";"-";"<E>";"-";"débiner";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"+";"-";"-";"+";"-";"+";"+";"+";"+";"+";"+";"+";"-";"-";"-";"-";"<E>";"<E>";"<E>";"<E>";"Max débine qu'Ida prenne de telles mesures";"to knock"
"20";"+";"-";"-";"-";"<E>";"-";"décrier";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"+";"-";"-";"+";"+";"+";"+";"+";"+";"+";"+";"+";"-";"-";"-";"-";"<E>";"<E>";"<E>";"<E>";"Max décrie qu'on prenne de telles mesures";"to disparage"
"21";"+";"-";"-";"-";"<E>";"-";"dédaigner";"-";"+";"-";"-";"-";"-";"-";"-";"+";"-";"+";"-";"-";"+";"-";"+";"+";"+";"+";"-";"+";"+";"+";"+";"-";"-";"dédain";"dédain";"<E>";"<E>";"Max dédaigne qu'on le complimente";"do despise"
"22";"+";"+";"+";"+";"<E>";"-";"défendre";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"+";"-";"-";"+";"-";"+";"+";"-";"+";"-";"+";"+";"-";"-";"-";"-";"<E>";"<E>";"<E>";"<E>";"Max défend l'hypothèse que la terre tourne";"to stand up for"
