"<ID>";"N0 =: Nhum";"N0 =: Nnr";"N0 =: le fait Qu P";"N0 =: V1-inf W";"N0 =: V2-inf W";"[extrap]";"<ENT>Ppv";"Ppv =: se figé";"<ENT>V";"Aux =: avoir";"Aux =: être";"N0 être V-ant";"N0 V";"N0 V à N1";"N1 =: Qu Pind";"N1 =: Qu Psubj";"Prép N1 =: Prép ce Qu P = Qu P";"N1 =: si P ou si P";"N1 =: V0-inf W";"N1 =: V2-inf W";"Vc =: devoir";"Vc =: pouvoir";"Vc =: savoir";"N1 =: ce(ci+la)";"Prép N1 =: Prép Qu P = Ppv";"à N1 =: à ce Qu P = là";"à N1 = Ppv =: le";"N1 =: Nhum";"à N1hum = Ppv";"N1 =: N-hum";"N1 =: le fait Qu P";"à N1-hum = Ppv";"il être Vpp Prép N1 (E+par N0)";"N0 V N1 Prép N2 contre Nhum";"N0 V Prép N2";"Prép2";"N2 =: Nhum";"N2 =: N-hum";"<OPT>";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"1";"-";"+";"+";"-";"+";"+";"<E>";"-";"aboutir";"+";"-";"-";"+";"+";"+";"+";"-";"-";"-";"+";"+";"+";"+";"+";"+";"+";"-";"-";"-";"+";"+";"+";"+";"-";"+";"pour";"+";"+";"Tes ordres ont abouti pour Luc à ce qu'il se révolte"
"2";"+";"-";"-";"-";"-";"-";"s'";"+";"accorder";"-";"+";"-";"-";"-";"-";"+";"-";"-";"+";"-";"-";"-";"+";"+";"+";"-";"-";"-";"-";"-";"-";"-";"-";"+";"+";"avec";"+";"+";"Guy s'accorde avec Max(à+pour)faire un coup"
"3";"+";"-";"-";"-";"-";"-";"<E>";"-";"collaborer";"+";"-";"-";"+";"+";"-";"+";"-";"-";"+";"-";"-";"-";"-";"+";"+";"-";"-";"-";"-";"+";"-";"+";"+";"+";"+";"avec";"+";"-";"Max a collaboré avec Luc à ce que tout soit en ordre"
"4";"-";"+";"+";"-";"-";"-";"<E>";"-";"concourir";"+";"-";"-";"-";"+";"-";"+";"-";"-";"-";"+";"+";"+";"+";"+";"+";"-";"-";"-";"-";"+";"+";"+";"-";"-";"-";"pour";"+";"+";"Ces facteurs concourent pour Max à ce qu'il prenne une décision"
"5";"-";"+";"+";"-";"+";"-";"<E>";"-";"consister";"+";"-";"+";"-";"+";"-";"+";"-";"-";"-";"+";"+";"+";"-";"+";"+";"-";"-";"-";"-";"-";"-";"-";"-";"+";"-";"pour";"+";"+";"Le problème consiste pour Luc à ce qu'il mette tout en ordre"
"6";"+";"-";"-";"-";"-";"-";"<E>";"-";"coopérer";"+";"-";"-";"+";"+";"-";"+";"-";"-";"+";"-";"-";"-";"+";"+";"+";"-";"-";"-";"-";"+";"-";"+";"+";"-";"+";"avec";"+";"-";"Max coopère avec Luc à ce que tout soit mis en ordre"
"7";"-";"+";"+";"-";"+";"+";"<E>";"-";"correspondre";"+";"-";"+";"-";"+";"+";"+";"-";"-";"-";"+";"+";"+";"+";"+";"+";"-";"-";"+";"+";"+";"+";"+";"-";"-";"-";"pour";"+";"+";"Qu'Ida parte correspond pour Max à ce qu'il démissionne"
"8";"~";"~";"~";"~";"~";"~";"se";"+";"dévouer";"-";"+";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"pour";"~";"~";"Max se dévoue pour faire la vaisselle"
"9";"-";"+";"+";"-";"+";"+";"<E>";"-";"équivaloir";"+";"-";"-";"-";"+";"+";"+";"-";"-";"-";"+";"+";"+";"+";"+";"+";"-";"-";"+";"+";"+";"+";"+";"-";"-";"-";"pour";"+";"+";"Faire ce travail équivaut pour Léa a rester chez elle"
"10";"-";"-";"-";"-";"-";"-";"<E>";"-";"être";"+";"-";"-";"-";"+";"-";"+";"-";"-";"-";"+";"+";"+";"+";"+";"-";"+";"-";"-";"-";"+";"-";"-";"-";"-";"-";"pour";"+";"+";"La tendance est pour les hommes à porter des chapeaux"
"11";"+";"-";"-";"-";"-";"-";"<E>";"-";"jouer";"+";"-";"+";"+";"+";"-";"+";"-";"-";"+";"-";"-";"-";"-";"+";"+";"-";"-";"-";"-";"+";"-";"+";"+";"+";"+";"avec";"+";"-";"Luc joue avec Eva(à ennuyer Max+dans la cour)"
