"<ID>";"N0 =: Nhum";"N0 =: Nnr";"N0 =: le fait Qu P";"N0 =: V1-inf W";"N0 =: V2-inf W";"<ENT>Ppv";"Ppv =: se figé";"Ppv =: en figé";"<ENT>V";"Aux =: avoir";"Aux =: être";"N0 être Vpp W";"N0 être V-ant";"N0 V";"N0 V contre Nhum";"N0 V de N1";"N1 =: Qu Pind";"N1 =: Qu Psubj";"Prép N1 =: Prép ce Qu P = Qu P";"N1 =: si P ou si P";"N1 =: V0-inf W";"N1 =: V2-inf W";"Tc =: passé";"Tc =: futur";"Vc =: devoir";"Vc =: pouvoir";"Vc =: savoir";"N1 =: ce(ci+la)";"Prép N1 =: Prép Qu P = Ppv";"de N1 =: de ce Qu P = de là";"N1 =: Nhum";"N1 =: N-hum";"N1 =: le fait Qu P";"Prép N1-hum = Ppv";"il être Vpp Prép N1 (E+par N0)";"N1 être Vpp par N0";"N0 V N1 Prép N2";"N1 être Vpp de N0";"N0 V Prép N2";"Prép2";"Prép2 =: auprès de = à";"N2 =: Nhum";"Prép N2hum = Ppv";"N2 =: N-hum";"Prép N2-hum = Ppv";"il être Vpp Prép N2 (E+par N0)";"N1 être Vpp de N0 Prép N2";"N1 être Vpp par N0 Prép N2";"<OPT>";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"1";"+";"-";"-";"-";"-";"<E>";"-";"-";"alléguer";"+";"-";"-";"-";"-";"-";"+";"+";"-";"-";"-";"+";"-";"+";"-";"+";"+";"+";"+";"+";"-";"-";"+";"+";"+";"+";"+";"-";"-";"-";"auprès de";"+";"+";"-";"-";"-";"-";"+";"-";"Max a allégué auprès de Luc de ce qu'il avait obtenu l'autorisation"
"2";"+";"-";"-";"-";"-";"<E>";"-";"-";"arguer";"+";"-";"-";"-";"+";"+";"+";"+";"-";"-";"+";"+";"-";"+";"-";"+";"+";"+";"+";"+";"-";"-";"+";"+";"+";"+";"+";"+";"-";"-";"auprès de";"+";"+";"+";"-";"-";"-";"+";"-";"Max argue auprès de Luc de ce qu'il doit partir"
"3";"~";"~";"~";"~";"~";"<E>";"-";"-";"argumenter";"+";"-";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"auprès de";"~";"~";"~";"~";"~";"~";"~";"~";"Max argumente auprès de Luc de ce que la terre est ronde"
"4";"+";"-";"-";"-";"-";"s'";"+";"-";"assurer";"-";"+";"-";"-";"-";"-";"+";"+";"+";"+";"+";"+";"-";"+";"-";"-";"+";"+";"+";"+";"-";"-";"+";"+";"+";"-";"-";"-";"-";"-";"auprès de";"-";"+";"-";"-";"-";"-";"-";"-";"Max s'assure auprès de Luc de ce que Guy est parti"
"5";"+";"+";"+";"-";"-";"<E>";"-";"-";"attester";"+";"-";"-";"-";"-";"-";"+";"+";"-";"+";"+";"+";"-";"+";"-";"+";"+";"+";"+";"+";"-";"-";"+";"+";"+";"+";"+";"+";"+";"-";"auprès de";"+";"+";"+";"-";"-";"-";"+";"+";"Max atteste auprès de Léa de ce que Luc est innocent"
"6";"+";"-";"-";"-";"-";"<E>";"-";"-";"badiner";"+";"-";"-";"-";"-";"-";"+";"+";"-";"-";"-";"+";"-";"+";"+";"+";"+";"+";"+";"+";"-";"+";"+";"+";"+";"-";"-";"-";"-";"+";"avec";"-";"+";"-";"-";"-";"+";"-";"-";"Max badine avec Léa de ce que Luc a été bien attrapé"
"7";"+";"-";"-";"-";"-";"<E>";"-";"-";"bavarder";"+";"-";"-";"-";"+";"-";"+";"+";"-";"-";"-";"+";"-";"+";"+";"+";"+";"+";"+";"+";"-";"+";"+";"+";"+";"+";"-";"-";"-";"+";"avec";"-";"+";"-";"-";"-";"-";"-";"-";"Max bavarde avec Luc de ce qu'il fait beau"
"8";"~";"~";"~";"~";"~";"<E>";"-";"-";"bavasser";"+";"-";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"avec";"~";"~";"~";"~";"~";"~";"~";"~";"Max a bavassé avec Ida de ce que Luc était partie"
"9";"+";"-";"-";"-";"-";"<E>";"-";"-";"causer";"+";"-";"-";"-";"+";"+";"+";"+";"+";"-";"-";"+";"-";"+";"+";"+";"+";"+";"+";"+";"-";"+";"+";"+";"+";"+";"-";"-";"-";"+";"à";"-";"+";"+";"-";"-";"+";"-";"-";"Max a causé à Luc de ce qu'Ida viendrait"
"10";"+";"-";"-";"-";"-";"<E>";"-";"-";"causer";"+";"-";"-";"-";"+";"+";"+";"+";"-";"+";"-";"+";"-";"-";"+";"-";"+";"-";"+";"+";"-";"+";"+";"+";"+";"+";"-";"-";"-";"+";"à";"-";"+";"-";"-";"-";"+";"-";"-";"Max a causé à Paul qu'il vienne plus tôt"
"11";"+";"-";"-";"-";"-";"<E>";"-";"-";"commérer";"+";"-";"-";"+";"+";"-";"+";"+";"-";"+";"+";"+";"-";"+";"+";"+";"+";"+";"+";"+";"-";"-";"+";"+";"+";"+";"-";"-";"-";"+";"avec";"-";"+";"-";"-";"-";"-";"-";"-";"Max commère avec Ida de ce que Léa est partie"
"12";"+";"-";"-";"-";"-";"<E>";"-";"-";"conférer";"+";"-";"-";"-";"-";"-";"+";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"+";"+";"-";"-";"+";"+";"+";"+";"-";"-";"-";"-";"avec";"-";"+";"-";"-";"-";"+";"-";"-";"Max confère avec Luc de ce que la situation évolue"
"13";"+";"-";"-";"-";"-";"se";"+";"-";"confesser";"-";"+";"-";"-";"-";"-";"+";"+";"-";"+";"-";"+";"-";"+";"-";"+";"+";"+";"+";"+";"-";"-";"+";"-";"+";"-";"-";"-";"-";"-";"auprès de";"+";"+";"-";"-";"-";"-";"-";"-";"Max se confesse (à+auprès de)Luc de ce qu'il a fait cette faute"
"14";"-";"+";"+";"+";"+";"se";"+";"-";"confier";"-";"+";"-";"+";"+";"+";"-";"-";"+";"+";"+";"-";"+";"-";"+";"-";"-";"-";"-";"-";"+";"+";"-";"+";"-";"+";"+";"+";"+";"-";"auprès de";"+";"-";"+";"+";"+";"+";"+";"+";"Max se confie à Luc de ce qu'il est fatigué"
"15";"+";"-";"-";"-";"-";"<E>";"-";"-";"convenir";"+";"-";"-";"-";"+";"-";"+";"+";"-";"-";"+";"+";"-";"+";"+";"-";"-";"+";"+";"+";"-";"-";"+";"-";"+";"+";"+";"+";"-";"+";"avec";"-";"+";"-";"-";"-";"-";"-";"-";"Max a convenu avec Luc de ce qu'Ida partirait"
"16";"+";"-";"-";"-";"-";"<E>";"-";"-";"converser";"+";"-";"-";"+";"-";"-";"+";"+";"+";"-";"-";"+";"-";"+";"+";"-";"-";"+";"+";"+";"-";"+";"+";"+";"+";"+";"-";"-";"-";"+";"avec";"-";"+";"-";"-";"-";"-";"-";"-";"Max converse avec Luc de ce qu'Ida va partir"
"17";"+";"-";"-";"-";"-";"<E>";"-";"-";"crâner";"+";"-";"-";"-";"+";"+";"+";"+";"-";"+";"-";"+";"-";"+";"-";"+";"+";"+";"+";"+";"-";"-";"+";"-";"+";"+";"+";"+";"-";"+";"auprès de";"-";"+";"-";"-";"-";"-";"+";"-";"Max crâne après Léa de ce qu'il a réussi"
"18";"+";"-";"-";"-";"-";"<E>";"-";"-";"débattre";"+";"-";"-";"-";"-";"-";"+";"+";"-";"-";"+";"+";"-";"-";"+";"-";"-";"-";"+";"+";"-";"+";"+";"+";"+";"+";"+";"+";"-";"-";"avec";"-";"+";"-";"-";"-";"-";"-";"-";"Max a débattu avec Luc de ce qu'Ida soit nommée"
"19";"+";"-";"-";"-";"-";"se";"+";"-";"défendre";"-";"+";"-";"-";"+";"+";"+";"+";"-";"-";"-";"+";"-";"+";"-";"-";"+";"+";"+";"+";"-";"-";"+";"-";"+";"-";"-";"-";"-";"+";"auprès de";"-";"+";"-";"-";"-";"-";"-";"-";"Max se défend auprès de Luc de ce qu'il aurait avoué"
"20";"+";"-";"-";"-";"-";"<E>";"-";"-";"délibérer";"+";"-";"-";"-";"+";"-";"+";"+";"-";"+";"+";"+";"-";"-";"+";"-";"-";"-";"+";"+";"-";"-";"+";"+";"+";"+";"-";"-";"-";"+";"avec";"-";"+";"-";"-";"-";"+";"-";"-";"Max délibère avec Luc de ce que la loi a passé"
"21";"~";"~";"~";"~";"~";"<E>";"-";"-";"désavouer";"+";"-";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"auprès de";"~";"~";"~";"~";"~";"~";"~";"~";"Sa conduite désavoue ses déclarations auprès du public"
"22";"+";"-";"-";"-";"-";"<E>";"-";"-";"deviser";"+";"-";"-";"-";"-";"-";"+";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"+";"+";"-";"-";"+";"-";"+";"+";"-";"-";"-";"+";"avec";"-";"+";"-";"-";"-";"-";"-";"-";"Max devise avec Luc de ce qu'Ida est partie"
"23";"+";"-";"-";"-";"-";"<E>";"-";"-";"dialoguer";"+";"-";"-";"-";"-";"-";"+";"+";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"+";"+";"-";"-";"+";"-";"+";"+";"-";"-";"-";"+";"avec";"-";"+";"-";"-";"-";"-";"-";"-";"Max a dialogué avec Luc de ce qu'ils allaient partir en voyage"
"24";"+";"-";"-";"-";"-";"<E>";"-";"-";"discourir";"+";"-";"-";"+";"+";"+";"+";"+";"-";"-";"-";"+";"-";"+";"-";"+";"-";"+";"+";"+";"-";"+";"+";"+";"+";"+";"-";"-";"-";"+";"auprès de";"-";"+";"-";"-";"-";"-";"-";"-";"Max discourt auprès de ses amis de ce qu'elle a eu la plus belle réussite"
"25";"+";"-";"-";"-";"-";"<E>";"-";"-";"discutailler";"+";"-";"-";"-";"+";"-";"+";"+";"-";"-";"+";"+";"-";"-";"+";"-";"-";"-";"+";"+";"-";"+";"+";"+";"+";"+";"+";"+";"+";"+";"avec";"-";"+";"-";"-";"-";"+";"-";"-";"Max discutaille avec Luc de ce qu'ils doivent partir"
"26";"+";"-";"-";"-";"-";"<E>";"-";"-";"discuter";"+";"-";"-";"-";"+";"-";"+";"+";"+";"-";"+";"+";"-";"-";"+";"-";"-";"-";"+";"+";"-";"+";"+";"+";"+";"+";"+";"+";"+";"+";"avec";"-";"+";"-";"-";"-";"+";"-";"-";"Max discute avec Luc de ce qu'ils doivent partir"
"27";"+";"-";"-";"-";"-";"<E>";"-";"-";"disputer";"+";"-";"-";"-";"-";"-";"+";"+";"-";"-";"+";"+";"-";"-";"+";"+";"-";"+";"+";"+";"-";"+";"+";"+";"+";"+";"-";"-";"-";"+";"avec";"-";"+";"-";"-";"-";"+";"-";"-";"Max dispute avec Luc de  ce que les anges n'ont pas de sexe"
"28";"+";"-";"-";"-";"-";"<E>";"-";"-";"disserter";"+";"-";"-";"+";"+";"+";"+";"+";"-";"-";"-";"+";"-";"+";"-";"+";"-";"+";"+";"+";"-";"+";"+";"+";"+";"+";"-";"-";"-";"+";"auprès de";"-";"+";"-";"-";"-";"-";"-";"-";"Max a disserté avec Luc de ce qu'Ida devait venir"
"29";"+";"-";"-";"-";"-";"<E>";"-";"-";"élucubrer";"+";"-";"-";"+";"+";"+";"+";"+";"-";"-";"-";"+";"-";"+";"+";"-";"-";"-";"+";"+";"-";"-";"+";"-";"+";"+";"+";"+";"-";"+";"auprès de";"+";"+";"+";"-";"-";"-";"+";"-";"Max a élucubré auprès de l'aéropage de ce que la terre était carrée"
