"<ID>";"N0 =: Nhum";"N0 =: Nnr";"N0 =: le fait Qu P";"N0 =: V1-inf W";"N0 =: V2-inf W";"N0 =: V3-inf W";"<ENT>Ppv";"Ppv =: se figé";"<ENT>V";"Aux =: avoir";"Aux =: être";"N0 V";"N0 V Prép N1";"Prép1";"N1 =: Nhum";"Prép N1hum = Ppv";"N1 =: N-hum";"Prép N1-hum = Ppv";"il être Vpp Prép N1 (E+par N0)";"N0 V Prép N2";"Prép2";"N2 =: Nhum";"Prép N2hum = Ppv";"N2 =: N-hum";"Prép N2-hum = Ppv";"N0 V Prép N3";"Prép3";"N3 =: Qu Pind";"N3 =: Qu Psubj";"N3 =: V0-inf W";"N3 =: V1-inf W";"N3 =: de V1-inf W";"N3 =: V2-inf W";"N3 =: ce(ci+la)";"Prép N3 =: Prép Qu P = Ppv";"Prép N3 = Prép là";"N3 =: Nhum";"Prép N3hum = Ppv";"N3 =: N-hum";"Prép N3-hum = Ppv";"N0 V Prép N1 Prép N2";"N0 V Prép N1 Prép N3";"N0 V Prép N2 Prép N3";"<OPT>";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"1";"+";"+";"+";"+";"+";"-";"<E>";"-";"désigner";"+";"-";"-";"+";"<E>";"+";"+";"+";"+";"+";"-";"à";"+";"+";"-";"-";"-";"pour";"-";"+";"-";"+";"-";"-";"+";"-";"-";"-";"-";"+";"-";"+";"+";"-";"Max désigne Luc à Léa pour faire ce travail"
"2";"+";"+";"+";"+";"-";"-";"<E>";"-";"distinguer";"+";"-";"-";"-";"<E>";"+";"+";"+";"+";"-";"-";"de";"+";"-";"+";"+";"-";"pour";"-";"+";"-";"+";"-";"-";"+";"-";"-";"-";"-";"+";"-";"+";"+";"-";"Max distingue Luc pour accepter ce poste"
"3";"+";"+";"+";"-";"+";"-";"<E>";"-";"donner";"+";"-";"-";"+";"<E>";"-";"-";"+";"+";"+";"-";"à";"+";"+";"-";"-";"-";"pour";"-";"+";"-";"+";"-";"+";"+";"-";"-";"-";"-";"+";"-";"+";"+";"-";"Max donne Huit jours à Luc pour se décider"
"4";"+";"+";"+";"+";"-";"-";"<E>";"-";"donner";"+";"-";"-";"-";"à";"+";"+";"-";"-";"-";"-";"comme";"-";"-";"+";"-";"-";"<E>";"-";"+";"-";"-";"+";"-";"+";"+";"-";"-";"-";"+";"+";"-";"-";"+";"Max a donné à Luc comme principe qu'il devait avouer"
"5";"+";"+";"+";"+";"-";"-";"<E>";"-";"enrégimenter";"+";"-";"+";"+";"<E>";"+";"+";"-";"-";"+";"-";"dans";"-";"-";"+";"+";"-";"pour";"-";"+";"-";"+";"-";"-";"+";"-";"-";"-";"-";"+";"-";"+";"+";"-";"On a enrégimenté Max dans l'armée pour laver les toilettes"
"6";"+";"+";"+";"+";"-";"-";"<E>";"-";"enrôler";"+";"-";"-";"+";"<E>";"+";"+";"-";"-";"+";"-";"parmi";"+";"-";"-";"-";"-";"pour";"-";"+";"-";"+";"-";"-";"+";"-";"-";"-";"-";"+";"-";"+";"+";"-";"Max a enrôlé Luc dans son équipe pour laver les vitres"
"7";"+";"+";"+";"+";"-";"-";"<E>";"-";"équiper";"+";"-";"+";"+";"<E>";"+";"+";"-";"-";"+";"-";"avec";"-";"-";"+";"-";"-";"pour";"-";"+";"-";"+";"-";"-";"+";"-";"-";"-";"-";"+";"-";"+";"+";"-";"On a équipé Max d'un chrono pour mesurer la cadence"
"8";"+";"-";"-";"-";"-";"-";"<E>";"-";"excuser";"+";"-";"-";"+";"<E>";"+";"+";"-";"-";"+";"-";"auprès de";"+";"-";"-";"-";"-";"de+pour";"+";"+";"-";"+";"-";"-";"+";"+";"-";"-";"-";"+";"+";"+";"+";"-";"Max excuse Léa auprès de Luc de n'être pas venu"
"9";"+";"+";"+";"+";"-";"-";"<E>";"-";"mandater";"+";"-";"+";"+";"<E>";"+";"+";"-";"-";"+";"-";"de";"-";"-";"+";"+";"-";"pour";"-";"+";"-";"+";"-";"-";"+";"-";"-";"-";"-";"+";"-";"+";"+";"-";"Max a mandaté Luc d'une procuration pour retirer les fonds"
"10";"+";"-";"-";"-";"-";"-";"<E>";"-";"miser";"+";"-";"-";"+";"<E>";"-";"-";"+";"+";"+";"+";"sur";"+";"-";"+";"-";"+";"pour";"-";"+";"+";"-";"-";"-";"+";"-";"-";"-";"-";"+";"-";"+";"+";"+";"Max mise sur le courage de Luc pour qu'il fasse le travail"
