"<ID>";"N0 =: Nhum";"N0 =: Nnr";"N0 =: le fait Qu P";"<ENT>Ppv";"<ENT>V";"Aux =: avoir";"Aux =: être";"N0 V";"N0 V N1";"N1 =: Nhum";"N1 =: N-hum";"N0 V Loc N2";"Tp = Tc";"Vc =: avoir";"Vc =: être";"Vc =: devoir";"Vc =: pouvoir";"Vc =: savoir";"Vc =: vouloir";"Vc =: aimer";"où N0 V-il N1 ?";"V1-inf W = Ppv";"Loc N2 = ici";"Loc N2 = là";"Loc N2 =: à Nhum";"Loc N2 =: à N-hum";"Loc N2 =: dans N2";"Loc N2 =: de N2";"[passif par]";"[passif de]";"<OPT>";"<ENGLISH>";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"1";"+";"-";"-";"<E>";"accompagner";"+";"-";"-";"+";"+";"-";"-";"+";"-";"-";"-";"-";"-";"-";"-";"+";"+";"+";"+";"-";"+";"+";"-";"+";"-";"Guy accompagne Léa(acheter une robe+à la plage)";"to go with"
"2";"+";"+";"+";"<E>";"acheminer";"+";"-";"-";"+";"+";"+";"-";"+";"-";"-";"-";"-";"-";"-";"-";"+";"+";"+";"+";"-";"+";"+";"+";"+";"-";"On a acheminé des renforts soutenir l'infanterie";"?"
"3";"+";"-";"-";"<E>";"amener";"+";"-";"-";"+";"+";"-";"-";"+";"-";"-";"-";"-";"-";"-";"-";"+";"+";"+";"+";"+";"+";"+";"+";"+";"-";"Max amène Luc se faire soigner";"to bring"
"4";"+";"-";"-";"<E>";"apporter";"+";"-";"-";"+";"-";"+";"-";"+";"-";"-";"-";"-";"-";"-";"-";"+";"+";"+";"+";"+";"+";"+";"+";"+";"-";"Max apporte son réveil se faire réparer";"to bring"
"5";"+";"+";"+";"<E>";"attirer";"+";"-";"-";"+";"+";"-";"-";"+";"-";"-";"-";"-";"-";"-";"-";"+";"+";"+";"+";"+";"+";"+";"-";"+";"-";"Max attire Ida prendre un verre";"to attract"
"6";"+";"-";"-";"<E>";"brinquebaler";"+";"-";"-";"+";"+";"-";"-";"+";"-";"-";"-";"-";"-";"-";"-";"+";"+";"+";"+";"-";"+";"+";"+";"+";"-";"Max brinquebale Luc visiter les vignerons";"to cart"
"7";"+";"-";"-";"<E>";"camionner";"+";"-";"-";"+";"+";"+";"-";"+";"-";"-";"-";"-";"-";"-";"-";"+";"+";"+";"+";"-";"+";"+";"-";"+";"-";"Max camionne les soldats retrouver leur unité";"to transport by truck"
"8";"+";"-";"-";"<E>";"canaliser";"+";"-";"-";"+";"+";"+";"-";"+";"-";"-";"-";"-";"-";"-";"-";"+";"+";"+";"+";"-";"+";"+";"+";"+";"-";"Les plantons canalisent les soldats retrouver leur unité";"to channel"
"9";"+";"-";"-";"<E>";"carrioler";"+";"-";"-";"+";"+";"-";"-";"+";"-";"-";"-";"-";"-";"-";"-";"+";"+";"+";"+";"-";"+";"+";"+";"+";"-";"Max carriole les enfants retrouver les clowns";"to cart"
"10";"+";"-";"-";"<E>";"catapulter";"+";"-";"-";"+";"+";"-";"-";"+";"-";"-";"-";"-";"-";"-";"-";"+";"+";"+";"+";"-";"+";"+";"+";"+";"-";"Max catapulte Luc retrouver Léa";"to send"
"11";"+";"-";"-";"<E>";"conduire";"+";"-";"+";"+";"+";"-";"-";"+";"-";"-";"-";"-";"-";"-";"-";"+";"+";"+";"+";"+";"+";"+";"-";"+";"-";"Max conduit Luc voir Ida";"to take"
