"<ID>";"N0 être V-n";"<ENT>Ppv";"Ppv =: se figé";"Ppv =: en figé";"Ppv =: le figé";"Ppv =: la figé";"Ppv =: y figé";"Ppv =: Neg";"<ENT>V";"Neg";"Aux =: avoir";"Aux =: être";"N0 être V-ant";"N0 être Vpp";"N0pc lui V W";"N0 V de N0pc";"N0hum V W sur ce point";"N0 V vers N";"[extrap]";"N0idée V Loc N1esprit";"N0hum V Loc Nabs";"N0 =: N-hum métaphore";"N0 être V-n (forme V-n)";"<OPT>";"<ENGLISH>"
"1";"-";"<E>";"-";"-";"-";"-";"-";"-";"abandonner";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"<E>";"Paul a abandonné ";"to give up"
"2";"~";"s'";"+";"-";"-";"-";"-";"-";"absenter";"-";"-";"+";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"<E>";"Max s' absente souvent";"?"
"3";"-";"s'";"+";"-";"-";"-";"-";"-";"abstenir";"-";"-";"+";"-";"-";"-";"-";"+";"-";"+";"-";"-";"-";"<E>";"Max s'est abstenu (E+de voter)aux dernières élections";"?"
"4";"-";"<E>";"-";"-";"-";"-";"-";"-";"abuser";"-";"+";"-";"-";"-";"-";"-";"+";"-";"-";"-";"-";"-";"<E>";"Max abuse ";"to go too far"
"5";"~";"<E>";"-";"-";"-";"-";"-";"-";"accoucher";"-";"+";"-";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"<E>";"Accouche ";"?"
"6";"-";"<E>";"-";"-";"-";"-";"-";"-";"acquiescer";"-";"+";"-";"-";"-";"-";"+";"+";"-";"-";"-";"-";"-";"<E>";"Max a acquiescé (E+de la tête)";"to approve"
"7";"~";"s'";"+";"-";"-";"-";"-";"-";"adoniser";"-";"-";"+";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"<E>";"Marie s' adonise ";"?"
"8";"-";"<E>";"-";"-";"-";"-";"-";"-";"adouber";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"<E>";"Paul adoube |échecs|";"to adjust"
"9";"-";"<E>";"-";"-";"-";"-";"-";"-";"agioter";"-";"+";"-";"-";"-";"-";"-";"-";"-";"+";"-";"-";"-";"<E>";"Max agiote sur les changes";"to speculate"
"10";"~";"<E>";"-";"-";"-";"-";"-";"-";"agir Advm";"-";"+";"-";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"<E>";"Paul agit (bien+mal)";"?"
"11";"-";"s'";"+";"-";"-";"-";"-";"-";"agiter";"-";"-";"+";"-";"+";"-";"-";"+";"-";"+";"+";"+";"+";"<E>";"Paul s' agite beaucoup cet été";"?"
"12";"-";"<E>";"-";"-";"-";"-";"-";"-";"agoniser";"-";"+";"-";"+";"-";"-";"-";"-";"-";"+";"-";"-";"+";"<E>";"Max agonise ";"to be dying"
"13";"~";"s'";"+";"-";"-";"-";"-";"-";"alcooliser";"-";"-";"+";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"<E>";"Max s' alcoolise tous les vendredis";"?"
"14";"~";"s'en";"+";"+";"-";"-";"-";"-";"aller";"-";"-";"+";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"<E>";"Paul s'en est allé ";"to go"
"15";"~";"<E>";"-";"-";"-";"-";"-";"-";"allocutionner";"-";"+";"-";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"<E>";"Paul a allocutionné pendant des heures";"?"
"16";"~";"s'";"+";"-";"-";"-";"-";"-";"allonger";"-";"-";"+";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"<E>";"Ce boxeur s'est allongé au 3ème round";"?"
"17";"~";"s'";"+";"-";"-";"-";"-";"-";"allonger";"-";"-";"+";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"<E>";"Paulo s'est allongé (E+chez les flics)";"?"
"18";"~";"<E>";"-";"-";"-";"-";"-";"-";"allusionner";"-";"+";"-";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"<E>";"Paul allusionne sur ce point";"?"
"19";"~";"<E>";"-";"-";"-";"-";"-";"-";"ambler";"-";"+";"-";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"<E>";"Ce cheval amble ";"?"
"20";"~";"<E>";"-";"-";"-";"-";"-";"-";"anarchiser";"-";"+";"-";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"<E>";"Paul anarchise ";"?"
"21";"~";"<E>";"-";"-";"-";"-";"-";"-";"anecdotiser";"-";"+";"-";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"<E>";"Paul à tendance à  anecdotiser ";"?"
"22";"~";"<E>";"-";"-";"-";"-";"-";"-";"angéliser";"-";"+";"-";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"<E>";"Marie angélise ";"?"
"23";"~";"<E>";"-";"-";"-";"-";"-";"-";"apostasier";"-";"+";"-";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"<E>";"Paul a apostasié il y a dix ans";"?"
"24";"-";"ne s'";"+";"-";"-";"-";"-";"+";"appartenir";"+";"-";"+";"-";"-";"-";"-";"+";"-";"-";"-";"-";"-";"<E>";"Paul ne s' appartient plus";"?"
"25";"-";"<E>";"-";"-";"-";"-";"-";"-";"archaïser";"-";"+";"-";"+";"-";"-";"-";"+";"-";"-";"-";"-";"-";"<E>";"Cet auteur archaïse volontiers";"to use archaisms"
"26";"~";"<E>";"-";"-";"-";"-";"-";"-";"argotiser";"-";"+";"-";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"<E>";"Max argotise ";"?"
"27";"~";"<E>";"-";"-";"-";"-";"-";"-";"armer";"-";"+";"-";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"<E>";"Le japon arme ";"?"
