"<ID>";"N0 =: Npc";"N0 =: N-hum";"N0 =: Nnr";"N0 être V-n";"<ENT>Ppv";"Ppv =: se figé";"<ENT>V";"Aux =: avoir";"Aux =: être";"N1 V";"N1 =: Nhum";"N1 =: N-hum";"N1 =: le fait Qu P";"N1 être V-n";"N1 =: Dnum Nmes";"Ppv =: le";"N actif V N0";"N0 V Adv";"N1 être V-n (forme V-n)";"<OPT>";"<ENGLISH>"
"1";"-";"+";"-";"-";"<E>";"-";"accepter";"+";"-";"-";"-";"+";"-";"-";"-";"+";"-";"-";"<E>";"La salle accepte 100 personnes";"to accomodate"
"2";"-";"+";"-";"-";"<E>";"-";"accueillir";"+";"-";"-";"-";"+";"-";"-";"-";"+";"-";"-";"<E>";"Ce salon accueille vingt personnes";"to accomodate"
"3";"-";"+";"-";"-";"<E>";"-";"accuser";"+";"-";"-";"-";"+";"-";"-";"+";"+";"-";"-";"<E>";"Max accuse (ses trente ans+80 kilos)";"to show"
"4";"~";"~";"~";"~";"<E>";"-";"accuser";"+";"-";"~";"~";"~";"~";"~";"~";"~";"~";"~";"<E>";"Sa physionomie accuse son grand désarroi";"to show"
"5";"-";"+";"-";"-";"<E>";"-";"admettre";"+";"-";"-";"-";"+";"-";"-";"-";"+";"-";"-";"<E>";"On admet 50 personnes dans cette salle";"to accomodate"
"6";"-";"+";"-";"-";"<E>";"-";"affecter";"+";"-";"-";"-";"+";"-";"-";"-";"-";"-";"-";"<E>";"Ces cristaux affectent une forme géométrique";"to have"
"7";"-";"+";"-";"-";"<E>";"-";"afficher";"+";"-";"-";"-";"+";"-";"-";"+";"-";"-";"-";"<E>";"Les valeurs ont affiché un repli";"?"
"8";"~";"~";"~";"~";"<E>";"-";"aimer";"+";"-";"~";"~";"~";"~";"~";"~";"~";"~";"~";"<E>";"Les plantes aiment l'eau";"to like"
"9";"-";"+";"-";"-";"<E>";"-";"approcher";"+";"-";"+";"-";"+";"-";"-";"+";"+";"-";"-";"<E>";"Cette maison approche les deux millions";"to approach"
"10";"+";"+";"-";"-";"<E>";"-";"arpenter";"+";"-";"-";"-";"-";"-";"-";"+";"+";"+";"-";"<E>";"Max arpente ses 50 ans";"to measure"
"11";"~";"~";"~";"~";"s'";"+";"avérer";"-";"+";"~";"~";"~";"~";"~";"~";"~";"~";"~";"<E>";"Max s'est avéré un escroc";"?"
"12";"+";"+";"+";"-";"<E>";"-";"avoir";"+";"-";"-";"-";"+";"-";"-";"+";"+";"-";"-";"<E>";"Max a une(soeur+voiture+des sous)";"to have"
"13";"-";"+";"-";"-";"<E>";"-";"avoisiner";"+";"-";"-";"-";"+";"-";"-";"+";"+";"-";"-";"<E>";"Ce sac avoisine les 20 kg.";"to border"
"14";"-";"+";"-";"-";"<E>";"-";"battre";"+";"-";"+";"-";"+";"-";"-";"-";"+";"-";"-";"<E>";"La montre bat les secondes";"to beat"
"15";"-";"+";"-";"-";"<E>";"-";"cacher";"+";"-";"-";"-";"+";"-";"-";"-";"-";"-";"-";"<E>";"Son calme cache (son+une grande)angoisse";"to hide"
"16";"~";"~";"~";"~";"<E>";"-";"caler";"+";"-";"~";"~";"~";"~";"~";"~";"~";"~";"~";"<E>";"Le bateau cale 10 pieds";"to draw"
"17";"+";"+";"-";"-";"<E>";"-";"calibrer";"+";"-";"-";"-";"-";"-";"+";"+";"+";"+";"-";"calibre";"Ces tuyaux calibrent dix centimètres";"to calibrate"
"18";"-";"-";"-";"-";"<E>";"-";"chausser";"+";"-";"-";"-";"+";"-";"-";"+";"-";"-";"+";"<E>";"Max chausse une grande taille";"to take a X shoe"
"19";"+";"+";"-";"-";"<E>";"-";"chiffrer";"+";"-";"-";"-";"-";"-";"+";"+";"+";"+";"+";"chiffre";"Cette maison chiffre deux millions";"to add up to"
"20";"-";"+";"-";"-";"<E>";"-";"cocoter";"+";"-";"-";"-";"+";"-";"-";"-";"-";"-";"+";"<E>";"Ida cocote l'ail";"to pong"
"21";"-";"+";"-";"-";"<E>";"-";"cogner";"+";"-";"-";"-";"+";"-";"-";"-";"-";"-";"+";"<E>";"La chambre cogne le tabac";"to pong"
