"<ID>";"N0 être V-n";"N1 V";"<ENT>Ppv";"<ENT>V";"Aux =: avoir";"Aux =: être";"N0 V N1c";"N1c =: Nhum";"N1c =: N-hum";"N0 faire le V-n de N1";"N1 être Vpp W";"N1c être Vpp";"N1 =: Nconc";"N0 être V-n (forme V-n)";"N0 faire le V-n de N1 (forme V-n)";"<OPT>"
"1";"-";"-";"<E>";"accompagner";"+";"-";"+";"-";"+";"+";"-";"-";"-";"<E>";"accompagnement";"Max accompagne le chant d'Eva au piano"
"2";"-";"-";"<E>";"assister";"+";"-";"+";"+";"+";"-";"-";"-";"-";"<E>";"<E>";"Max assiste Luc dans son travail"
"3";"~";"~";"<E>";"attaquer";"+";"-";"~";"~";"~";"~";"~";"~";"~";"<E>";"<E>";"Max attaque la probité de Luc"
"4";"~";"~";"<E>";"atteindre";"+";"-";"~";"~";"~";"~";"~";"~";"~";"<E>";"<E>";"Cette remarque a atteint l'honneur de Luc"
"5";"-";"+";"<E>";"avancer";"+";"-";"+";"+";"+";"-";"-";"+";"+";"<E>";"<E>";"Ce fait nouveau a avancé les travaux de Max"
"6";"-";"-";"<E>";"barrer";"+";"-";"+";"+";"+";"-";"+";"+";"-";"<E>";"<E>";"Ce règlement barre Max dans sa carrière"
"7";"-";"-";"<E>";"bisser";"+";"-";"+";"+";"-";"-";"-";"-";"-";"<E>";"<E>";"Le public a bissé le numéro de Max"
"8";"-";"-";"<E>";"bloquer";"+";"-";"+";"+";"+";"-";"+";"+";"+";"<E>";"<E>";"Ceci bloque le travail de Max"
"9";"-";"-";"<E>";"calquer";"+";"-";"+";"+";"+";"+";"-";"-";"+";"<E>";"calque";"Max calque les attitudes d'Ida"
"10";"+";"-";"<E>";"caricaturer";"+";"-";"+";"+";"+";"+";"+";"-";"+";"caricaturiste";"caricature";"Max caricature l'attitude de Luc"
"11";"~";"~";"<E>";"censurer";"+";"-";"~";"~";"~";"~";"~";"~";"~";"<E>";"<E>";"Max censure (les décisions d'Ida+Ida pour ses décisions)"
"12";"-";"+";"<E>";"changer";"+";"-";"+";"+";"+";"-";"+";"+";"+";"<E>";"<E>";"Ce voyage a changé les habitudes de Max"
"13";"~";"~";"<E>";"changer";"+";"-";"~";"~";"~";"~";"~";"~";"~";"<E>";"<E>";"Max change le poisson d'eau"
"14";"-";"-";"<E>";"chronométrer";"+";"-";"+";"+";"+";"-";"+";"-";"-";"<E>";"<E>";"Max chronomètre (Paul+le soleil)dans sa course"
"15";"-";"-";"<E>";"commanditer";"+";"-";"+";"+";"+";"+";"-";"-";"-";"<E>";"commande";"Max commandite les affaires de Luc"
"16";"-";"+";"<E>";"compromettre";"+";"-";"-";"+";"+";"-";"+";"-";"-";"<E>";"<E>";"Cette faute compromet le bon déroulement du projet"
"17";"-";"-";"<E>";"concurrencer";"+";"-";"+";"+";"-";"-";"-";"-";"-";"<E>";"<E>";"Max concurrence les entreprises d'Ida"
"18";"-";"-";"<E>";"confirmer";"+";"-";"-";"+";"+";"-";"+";"-";"-";"<E>";"<E>";"Cette loi confirme les soupçons de Luc"
"19";"~";"~";"<E>";"conforter";"+";"-";"~";"~";"~";"~";"~";"~";"~";"<E>";"<E>";"Cette nouvelle conforte l'idée de Luc"
"20";"-";"-";"<E>";"conseiller";"+";"-";"+";"+";"-";"-";"-";"-";"-";"<E>";"<E>";"Max conseille les travaux de Luc"
"21";"-";"-";"<E>";"consoler";"+";"-";"-";"+";"-";"-";"+";"-";"-";"<E>";"<E>";"Max console le chagrin de Luc"
"22";"+";"-";"<E>";"contenir";"+";"-";"-";"+";"+";"-";"-";"-";"+";"?";"<E>";"Max contient les débordements d'Ida"
"23";"~";"~";"<E>";"contraindre";"+";"-";"~";"~";"~";"~";"~";"~";"~";"<E>";"<E>";"On contraint Paul dans ses déplacements"
"24";"-";"-";"<E>";"contrarier";"+";"-";"+";"+";"+";"-";"+";"+";"-";"<E>";"<E>";"Max contrarie les projets de Luc"
"25";"-";"-";"<E>";"contrecarrer";"+";"-";"+";"+";"+";"-";"-";"-";"-";"<E>";"<E>";"Qu'Ida parte contrecarre les projets de Max"
"26";"~";"~";"<E>";"contredire";"+";"-";"~";"~";"~";"~";"~";"~";"~";"<E>";"<E>";"Max contredit Luc dans ses déclarations"
"27";"-";"-";"<E>";"contrefaire";"+";"-";"+";"+";"+";"+";"+";"-";"-";"<E>";"contrefaçon";"Max contrefait les attitudes de Luc"
"28";"-";"-";"<E>";"contrer";"+";"-";"+";"+";"+";"-";"-";"-";"-";"<E>";"<E>";"Max contre les agissements de Luc"
"29";"-";"-";"<E>";"contrôler";"+";"-";"+";"-";"+";"+";"-";"-";"-";"<E>";"contrôle";"Max contrôle les actions de Luc"
"30";"-";"-";"<E>";"controverser";"+";"-";"+";"+";"-";"-";"+";"-";"-";"<E>";"<E>";"Luc controverse les déclarations de Max"
"31";"-";"-";"<E>";"copier";"+";"-";"+";"+";"+";"+";"-";"-";"+";"<E>";"copie";"Max copie les attitudes de Luc"
