"<ID>";"N1 V";"N2 V N1";"<ENT>Ppv";"<ENT>V";"Aux =: avoir";"Aux =: être";"N1 =: Nhum";"N0 lui V N1pc W";"N0 V N1 Loc N1pc W";"N1 =: N-hum";"N1 =: le fait Qu P";"Ppv =: le";"N0 V N1 de N2";"N0 V N1 de N2 = N0 mettre N2 Loc N1";"N0 V N1 de N2 = N0 enlever N2 de N1";"de combien ?";"Ppv =: en";"N0 V Nhum sur ce point";"N1 être Vpp W";"N1 être V-adj de N2";"V-adj";"N1 se V (neutre)";"N0 rendre N1 V-adj";"N0 rendre N1 plus V-adj";"N0 rendre N1 V-adj (forme V-adj)";"N0 rendre N1 plus V-adj (forme V-adj)";"<OPT>";"<ENGLISH>"
"1";"~";"~";"<E>";"abaisser";"+";"-";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"-";"~";"~";"~";"~";"+";"-";"+";"<E>";"bas";"Le vent a abaissé la température";"?"
"2";"-";"+";"<E>";"abâtardir";"+";"-";"+";"-";"-";"+";"-";"+";"+";"+";"-";"+";"-";"+";"+";"-";"-";"+";"+";"-";"bâtard";"<E>";"Ces mutations ont causé l' abâtardissement de la race";"to cause to degenerate"
"3";"-";"-";"<E>";"abréger";"+";"-";"-";"+";"-";"+";"-";"+";"+";"-";"+";"+";"-";"-";"+";"-";"-";"+";"+";"+";"bref";"bref";"Max a abrégé son discours de quelques passages";"?"
"4";"-";"-";"<E>";"accouardir";"+";"-";"+";"-";"-";"-";"-";"+";"-";"-";"-";"-";"-";"+";"+";"-";"-";"+";"+";"-";"couard";"<E>";"Cette aventure a accouardi Luc";"to make cowardly"
"5";"-";"+";"<E>";"acidifier";"+";"-";"-";"+";"-";"+";"-";"+";"+";"+";"-";"+";"+";"-";"+";"-";"-";"+";"+";"+";"acide";"acide";"Paul acidifie la solution d'acide acétique";"to acidify"
"6";"-";"-";"<E>";"activer";"+";"-";"-";"+";"+";"+";"-";"+";"-";"-";"-";"+";"-";"+";"+";"-";"-";"+";"+";"-";"actif";"<E>";"Ce produit active la fermentation";"to activate"
"7";"-";"+";"<E>";"actualiser";"+";"-";"+";"-";"-";"+";"+";"+";"+";"+";"-";"+";"-";"-";"+";"-";"-";"+";"+";"-";"actuel";"<E>";"Les commerçants ont actualisé leurs prix";"to update"
"8";"-";"+";"<E>";"adoucir";"+";"-";"-";"+";"+";"+";"-";"+";"+";"+";"-";"+";"-";"+";"-";"-";"-";"+";"-";"+";"<E>";"doux";"La pluie adoucit le temps";"to soften"
"9";"-";"+";"<E>";"affadir";"+";"-";"+";"+";"+";"+";"-";"+";"+";"+";"-";"+";"-";"-";"+";"-";"-";"+";"+";"-";"fade";"<E>";"(Max+la graisse)a affadi le potage";"to make insipid"
"10";"-";"+";"<E>";"affaiblir";"+";"-";"+";"+";"+";"+";"-";"+";"+";"+";"-";"+";"-";"+";"+";"-";"-";"+";"+";"+";"faible";"faible";"La rouille affaiblit cette poutre";"to weaken"
