"<ID>";"N0 =: Nhum";"N0 =: N-hum";"N0 =: Nnr";"N0 être V-n";"<ENT>Ppv";"Ppv =: se figé";"Ppv =: en figé";"Ppv =: les figé";"Ppv =: Neg";"<ENT>V";"Neg";"Aux =: avoir";"Aux =: être";"N0 V";"N0 être V-ant";"N0 être Vpp";"N0 V de N0pc";"N1 =: Nhum";"N1 =: N-hum";"N1 =: le fait Qu P";"Ppv =: lui";"Ppv =: y";"N1 être V-n";"N0hum V W sur ce point";"[extrap]";"N0idée V Loc N1esprit";"N0 être V-n (forme V-n)";"N1 être V-n (forme V-n)";"<OPT>"
"1";"~";"~";"~";"~";"s'";"+";"-";"-";"-";"absinther";"-";"-";"+";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"<E>";"<E>";"Max s' absinthe à l'absinthe chimique"
"2";"+";"-";"-";"-";"<E>";"-";"-";"-";"-";"accéder";"-";"+";"-";"-";"-";"-";"-";"-";"+";"-";"-";"+";"-";"+";"+";"-";"<E>";"<E>";"Le juge a accédé à ma demande"
"3";"+";"-";"-";"-";"<E>";"-";"-";"-";"-";"accrocher";"-";"+";"-";"+";"-";"+";"-";"+";"+";"-";"-";"+";"-";"+";"+";"-";"<E>";"<E>";"Paul accroche à ses nouvelles fonctions"
"4";"~";"~";"~";"~";"s'";"+";"-";"-";"-";"acliquer";"-";"-";"+";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"<E>";"<E>";"Paula s'est acliqué (à+avec)Paulo"
"5";"+";"-";"-";"-";"<E>";"-";"-";"-";"-";"adhérer";"-";"+";"-";"-";"-";"-";"-";"-";"+";"-";"-";"+";"-";"-";"+";"-";"<E>";"<E>";"Max adhère à(deux partis+un pacte)"
"6";"-";"+";"+";"-";"s'";"+";"-";"-";"-";"adresser";"-";"-";"+";"-";"-";"-";"-";"+";"-";"-";"-";"+";"-";"-";"-";"-";"<E>";"<E>";"Cette mesure s' adresse aux célibataires"
"7";"+";"-";"-";"-";"s'";"+";"-";"-";"-";"adresser";"-";"-";"+";"-";"-";"-";"-";"+";"-";"-";"-";"+";"-";"-";"-";"-";"<E>";"<E>";"Paul s'est adressé à Max"
"8";"+";"-";"-";"-";"s'";"+";"-";"-";"-";"adresser";"-";"-";"+";"-";"-";"-";"-";"+";"-";"-";"-";"+";"-";"+";"-";"-";"<E>";"<E>";"Paul s'est adressé à un spécialiste"
"9";"+";"-";"-";"-";"s'";"+";"-";"-";"-";"affronter";"-";"-";"+";"-";"-";"+";"-";"+";"+";"+";"-";"+";"-";"+";"-";"-";"<E>";"<E>";"Paul s'est affronté à(ces problèmes+Max)"
"10";"~";"~";"~";"~";"les";"-";"-";"+";"-";"aligner";"-";"+";"-";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"<E>";"<E>";"Max les aligne à Luc"
"11";"+";"+";"+";"-";"<E>";"-";"-";"-";"-";"aller";"-";"-";"+";"-";"-";"-";"-";"+";"+";"-";"+";"-";"-";"-";"-";"+";"<E>";"<E>";"Cette clé va à cette serrure"
"12";"~";"~";"~";"~";"les";"-";"-";"+";"-";"allonger";"-";"+";"-";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"<E>";"<E>";"Max les allonge à Luc"
"13";"+";"+";"-";"-";"<E>";"-";"-";"-";"-";"apparaître";"-";"-";"+";"-";"-";"-";"-";"+";"-";"-";"+";"-";"-";"-";"+";"+";"<E>";"<E>";"La vérité est apparue à Luc"
"14";"+";"+";"+";"-";"<E>";"-";"-";"-";"-";"appartenir";"-";"+";"-";"-";"-";"-";"-";"+";"+";"-";"+";"-";"-";"-";"+";"+";"<E>";"<E>";"Ce lit appartient à Max"
"15";"~";"~";"~";"~";"<E>";"-";"-";"-";"-";"appartenir";"-";"+";"-";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"<E>";"<E>";"Ida a appartenu à Max"
"16";"+";"+";"-";"-";"<E>";"-";"-";"-";"-";"appartenir";"-";"+";"-";"-";"-";"-";"-";"+";"-";"+";"+";"-";"+";"-";"+";"-";"<E>";"partie";"Max appartient clairement à ce groupe"
"17";"+";"-";"-";"-";"en";"-";"+";"-";"-";"appeler";"-";"+";"-";"-";"-";"-";"-";"+";"-";"+";"-";"-";"-";"+";"+";"-";"<E>";"<E>";"Max en appelle à sa prudence"
"18";"-";"+";"+";"-";"s'";"+";"-";"-";"-";"appliquer";"-";"-";"+";"+";"-";"-";"-";"+";"+";"+";"-";"+";"-";"-";"-";"-";"<E>";"<E>";"Cette remarque s' applique bien à(la situation+Max)"
