"<ID>";"N0 =: Nhum";"N0 =: N-hum";"N0 =: Nnr";"N0 être V-n";"N0 =: Npl obl";"<ENT>Ppv";"<ENT>V";"Aux =: avoir";"Aux =: être";"N0 V";"N0 être V-ant";"N0 être Vpp";"Loc N1 =: dans N1";"Loc N1 =: sur N1";"Loc N1 =: de N1 source";"N0 lui V Loc N1pc";"N1 =: N-hum";"N1 =: le fait Qu P";"Ppv =: y";"N0 être V-ant Loc N1";"[extrap]";"N1hum V Prép N0";"N1 V";"N1 être V-ant";"N1pc lui V";"N1 V de N1pc";"Prép0 =: en";"N1 V Prép N0hum";"N1 en V";"N1 V Prép N0 = N0 être V-n";"N1 V Prép N0pl obl";"N1 être V-ant Prép N0";"N0 =: idée, N1 =: esprit";"il V Qu P W";"N0 être V-n (forme V-n)";"<OPT>"
"1";"+";"+";"-";"-";"+";"<E>";"abonder";"+";"-";"+";"+";"-";"+";"+";"-";"+";"+";"-";"+";"+";"+";"+";"-";"-";"-";"-";"+";"+";"+";"+";"+";"-";"+";"-";"<E>";"Les flics abondent dans ce quartier"
"2";"-";"+";"-";"+";"-";"<E>";"bouillonner";"+";"-";"+";"+";"-";"+";"+";"-";"+";"+";"-";"+";"+";"+";"+";"+";"+";"+";"+";"-";"-";"+";"+";"-";"+";"+";"+";"bouillon";"Des bulles bouillonnent à la surface"
"3";"~";"~";"~";"~";"~";"<E>";"bourdonner";"+";"-";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"bourdon";"Le marché bourdonne des cris des marchands"
"4";"-";"+";"-";"+";"-";"<E>";"bourgeonner";"+";"-";"+";"+";"-";"-";"+";"-";"+";"+";"-";"+";"+";"+";"+";"+";"+";"+";"+";"-";"-";"+";"+";"+";"+";"+";"+";"bourgeon";"Des pustules bourgeonnent sur son nez"
"5";"-";"+";"-";"-";"-";"<E>";"briller";"+";"-";"+";"+";"-";"+";"-";"-";"+";"+";"-";"+";"+";"+";"+";"+";"+";"+";"+";"-";"-";"+";"-";"-";"+";"+";"+";"<E>";"Une étoile brille dans le ciel"
"6";"-";"+";"-";"+";"-";"<E>";"bruire";"+";"-";"+";"+";"-";"+";"-";"-";"+";"+";"-";"+";"+";"+";"-";"+";"-";"+";"+";"-";"-";"+";"+";"-";"+";"+";"-";"bruit";"La forêt bruissait de cris d'oiseaux"
"7";"-";"+";"-";"+";"-";"<E>";"carillonner";"+";"-";"+";"+";"-";"+";"-";"-";"+";"+";"-";"+";"+";"+";"-";"+";"+";"+";"+";"-";"-";"+";"-";"-";"+";"+";"+";"carillon";"Les cloches carillonnent dans l'air glacé"
"8";"~";"~";"~";"~";"~";"<E>";"champignonner";"+";"-";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"<E>";"Les villes nouvelles champignonnent dans la région"
"9";"-";"+";"-";"+";"-";"<E>";"chanter";"+";"-";"+";"+";"-";"+";"-";"-";"-";"+";"-";"+";"-";"+";"-";"+";"+";"-";"-";"-";"-";"+";"+";"+";"+";"+";"+";"chant";"Des accents chauds chantent dans sa voix"
"10";"-";"+";"-";"+";"-";"<E>";"chantonner";"+";"-";"+";"+";"-";"+";"-";"-";"-";"+";"-";"+";"-";"+";"+";"+";"-";"-";"-";"-";"-";"+";"+";"+";"-";"+";"+";"chant";"Des accents chantonnent dans sa voix"
"11";"-";"+";"-";"+";"-";"<E>";"chatoyer";"+";"-";"+";"+";"-";"+";"-";"-";"+";"+";"-";"+";"+";"+";"-";"+";"-";"+";"+";"-";"-";"+";"+";"-";"+";"+";"+";"chatoiement";"Des lueurs curieuses chatoient dans son regard"
"12";"~";"~";"~";"~";"~";"<E>";"chatoyer";"+";"-";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"chatoiement";"Les plis du tissu chatoient de reflets dorés"
"13";"-";"+";"-";"-";"-";"<E>";"chevroter";"+";"-";"+";"+";"-";"+";"-";"-";"-";"+";"-";"+";"-";"+";"+";"+";"+";"-";"-";"-";"-";"+";"+";"+";"+";"-";"-";"<E>";"Des trémolos chevrotent dans sa voix"
"14";"+";"+";"-";"+";"-";"<E>";"claironner";"+";"-";"+";"-";"-";"+";"-";"-";"+";"+";"-";"+";"-";"+";"-";"+";"+";"+";"-";"-";"-";"+";"+";"-";"+";"+";"+";"clairon";"Ce bruit claironne dans les oreilles de Luc"
"15";"-";"+";"-";"-";"-";"<E>";"claquer";"+";"-";"+";"-";"-";"+";"-";"-";"+";"+";"-";"+";"-";"+";"-";"-";"-";"+";"+";"-";"-";"+";"+";"-";"+";"-";"+";"<E>";"La rue claquait de coups de feu"
"16";"-";"+";"-";"-";"-";"<E>";"clignoter";"+";"-";"+";"+";"-";"+";"+";"-";"+";"+";"-";"+";"+";"+";"-";"-";"-";"+";"+";"-";"-";"+";"+";"+";"+";"-";"+";"<E>";"Des voyants clignotent sur le mur"
"17";"-";"+";"-";"+";"-";"<E>";"cliqueter";"+";"-";"+";"+";"-";"+";"-";"-";"+";"+";"-";"+";"+";"+";"-";"+";"+";"+";"+";"-";"-";"+";"+";"-";"+";"-";"+";"cliquetis";"Des bruits curieux cliquettent dans ses oreilles"
"18";"+";"+";"-";"+";"-";"<E>";"corner";"+";"-";"+";"-";"-";"+";"-";"-";"+";"+";"-";"+";"-";"+";"-";"+";"-";"+";"-";"-";"-";"+";"-";"-";"+";"+";"+";"corne";"Des grincements cornaient dans ses oreilles"
