"<ID>";"N0 =: Nhum";"N0 =: N-hum";"N0 =: Nnr";"N0 =: V-inf W";"N0 être V-n";"N0 =: Npl obl";"<ENT>Ppv";"Ppv =: se figé";"Ppv =: en figé";"<ENT>V";"N0 V";"Aux =: avoir";"Aux =: être";"N0 être V-ant";"N0 être Vpp";"N0pc lui V W";"N0 V de N0pc";"N0 V Loc N1 source";"N0 V Loc N2 destination";"trajet";"de combien ?";"Loc N1 =: de N1 source";"Loc N1 =: Loc N1 source, Loc # de";"Loc N1 = Ppv =: en";"N0 V N1 source";"N0 V N2 destination";"Loc N2 =: dans N2 destination";"Loc N2 =: sur N2 destination";"Loc N2 =: contre N2 destination";"Loc N2 =: à N2 destination";"Loc N2 =: vers N2 destination";"autre Loc2";"Loc N2 = Ppv =: y";"N0 lui V Loc (N1pc+N2pc)";"N0 V Prép N0pc";"(N1+N2) =: le fait Qu P";"(N1+N2) être V-n";"N0 être V-ant Prép (N1+N2)";"[extrap]";"N0 =: idée, (N1+N2) =: esprit";"N0 =: Nhum, (N1+N2) =: Nabs";"il V Qu P W";"N0 être V-n (forme V-n)";"(N1+N2) être V-n (forme V-n)";"<OPT>"
"1";"+";"+";"-";"-";"-";"-";"<E>";"-";"-";"accéder";"-";"+";"-";"-";"-";"-";"-";"-";"+";"-";"-";"+";"-";"-";"-";"-";"+";"+";"-";"+";"-";"~";"+";"-";"-";"+";"-";"-";"+";"+";"+";"-";"<E>";"<E>";"Max accède à la tour par ce couloir"
"2";"~";"~";"~";"~";"~";"~";"<E>";"-";"-";"affluer";"~";"+";"-";"~";"~";"~";"~";"-";"~";"~";"~";"~";"~";"~";"~";"~";"+";"+";"~";"+";"~";"~";"~";"~";"~";"~";"~";"~";"~";"+";"-";"~";"<E>";"<E>";"Le sang afflue à sa tête"
"3";"+";"+";"-";"-";"-";"-";"<E>";"-";"-";"aller";"-";"-";"+";"-";"-";"-";"-";"-";"+";"+";"-";"-";"-";"-";"-";"-";"+";"+";"+";"+";"+";"~";"+";"~";"-";"+";"-";"-";"+";"+";"+";"-";"<E>";"<E>";"Paul va dans son bureau"
"4";"+";"+";"-";"-";"-";"-";"<E>";"-";"-";"apparaître";"+";"-";"+";"-";"-";"-";"-";"+";"+";"-";"-";"+";"-";"+";"-";"-";"+";"+";"-";"-";"-";"~";"+";"+";"-";"-";"-";"-";"+";"+";"+";"-";"<E>";"<E>";"Ce produit est apparu sur le marché"
"5";"~";"~";"~";"~";"~";"~";"<E>";"-";"-";"baisser";"~";"+";"-";"~";"~";"~";"~";"-";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"<E>";"<E>";"Les valeurs ont baissé de 3 points"
"6";"+";"+";"-";"-";"-";"-";"<E>";"-";"-";"bifurquer";"+";"+";"-";"-";"-";"-";"-";"-";"-";"+";"-";"-";"-";"-";"-";"-";"+";"-";"-";"-";"+";"~";"+";"-";"-";"-";"-";"-";"+";"-";"+";"-";"<E>";"<E>";"Le train bifurque vers la gare"
"7";"~";"~";"~";"~";"~";"~";"<E>";"-";"-";"bondir";"~";"+";"-";"~";"~";"~";"~";"+";"+";"~";"~";"+";"~";"~";"~";"~";"~";"+";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"<E>";"<E>";"Paul a bondi du tabouret sur la table"
"8";"+";"+";"-";"-";"+";"-";"<E>";"-";"-";"cascader";"+";"+";"-";"-";"-";"-";"-";"+";"+";"+";"-";"+";"-";"+";"-";"-";"+";"+";"+";"-";"-";"~";"-";"+";"-";"-";"-";"-";"+";"+";"-";"-";"cascade";"<E>";"L'eau cascade sur les rochers"
"9";"~";"~";"~";"~";"~";"~";"<E>";"-";"-";"cataracter";"~";"+";"-";"~";"~";"~";"~";"+";"+";"~";"~";"+";"~";"~";"~";"~";"+";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"<E>";"<E>";"L'eau cataracte (des rochers+dans la vallée)"
"10";"-";"+";"-";"-";"-";"-";"<E>";"-";"-";"chasser";"+";"+";"-";"-";"-";"-";"+";"+";"+";"+";"+";"+";"-";"+";"-";"-";"-";"-";"-";"-";"+";"~";"-";"+";"-";"-";"-";"-";"+";"-";"-";"-";"<E>";"<E>";"La voiture a chassé vers la droite"
