"<ID>";"N0 =: Nhum";"N0 =: N-hum";"N0 =: Nnr";"N0 =: V-inf W";"N0 être V-n";"N0 =: Npl obl";"<ENT>Ppv";"Ppv =: se figé";"<ENT>V";"Aux =: avoir";"Aux =: être";"N0 V";"N0 être V-ant";"N0 être Vpp";"N0pc lui V W";"N0 V de N0pc";"N0 V N1 destination";"Loc N1 =: dans N1 destination";"Loc N1 =: sur N1 destination";"Loc N1 =: contre N1 destination";"Loc N1 =: à N1 destination";"Loc N1 =: vers N1 destination";"autre Loc1";"Loc N1 = Ppv =: y";"N0 lui V Loc N1pc";"N0 V Prép N0pc";"N1 =: le fait Qu P";"N1 être V-n";"N0 être V-ant Prép N1";"[extrap]";"N0 =: idée, N1 =: esprit";"N0 =: Nhum, N1 =: Nabs";"il V Qu P W";"N0 être V-n (forme V-n)";"N1 être V-n (forme V-n)";"<OPT>"
"1";"~";"~";"~";"~";"~";"~";"s'";"+";"abattre";"-";"+";"~";"~";"~";"~";"~";"~";"~";"+";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"<E>";"<E>";"La pluie s'est abattue sur le pays"
"2";"+";"+";"-";"-";"-";"-";"<E>";"-";"aborder";"+";"-";"+";"-";"-";"-";"-";"+";"-";"-";"+";"+";"-";"~";"+";"-";"-";"-";"+";"-";"+";"+";"+";"-";"<E>";"bord";"Le bateau aborde (à la rive+en Chine)"
"3";"+";"+";"-";"-";"-";"-";"<E>";"-";"aboutir";"+";"-";"+";"-";"-";"-";"-";"-";"+";"+";"+";"+";"-";"~";"+";"+";"+";"-";"+";"-";"+";"+";"+";"-";"<E>";"bout";"Max aboutit au village"
"4";"+";"-";"~";"~";"~";"~";"s'";"+";"acagnarder";"-";"+";"~";"~";"~";"~";"~";"~";"~";"+";"~";"~";"~";"~";"~";"-";"-";"~";"~";"~";"~";"~";"~";"~";"<E>";"<E>";"Paul s' acagnarde dans un coin"
"5";"+";"+";"-";"-";"-";"-";"<E>";"-";"accoster";"+";"-";"+";"-";"-";"-";"-";"+";"-";"-";"+";"+";"-";"~";"+";"-";"-";"-";"+";"-";"+";"+";"+";"-";"<E>";"côte";"Le bateau accoste au quai"
"6";"+";"-";"-";"-";"-";"-";"s'";"+";"affaisser";"-";"+";"+";"-";"+";"-";"-";"-";"+";"+";"-";"-";"-";"~";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"<E>";"<E>";"Max s'est affaissé dans un fauteuil"
"7";"~";"~";"~";"~";"~";"~";"s'";"+";"aplatir";"-";"+";"~";"~";"~";"~";"~";"~";"~";"+";"~";"~";"~";"~";"~";"~";"+";"~";"~";"~";"~";"~";"~";"~";"<E>";"<E>";"Paul s'est aplati sur le trottoir"
"8";"+";"+";"-";"-";"-";"-";"<E>";"-";"appuyer";"+";"-";"+";"-";"-";"-";"-";"+";"-";"+";"-";"-";"-";"~";"+";"+";"-";"-";"-";"-";"+";"-";"-";"-";"<E>";"<E>";"Max appuie (sur+vers) la droite"
"9";"-";"-";"-";"-";"-";"-";"<E>";"-";"baller";"+";"-";"-";"-";"-";"+";"+";"-";"-";"-";"+";"-";"-";"~";"-";"-";"-";"-";"-";"-";"-";"+";"-";"-";"<E>";"<E>";"Sa tête ballait contre la vitre"
"10";"-";"+";"-";"-";"-";"-";"<E>";"-";"battre";"+";"-";"+";"-";"-";"+";"-";"-";"-";"+";"+";"-";"-";"~";"+";"+";"-";"-";"-";"-";"+";"-";"-";"-";"<E>";"<E>";"Le volet bat contre le mur"
