"<ID>";"N0 =: Nhum";"N0 =: N-hum";"N0 =: Nnr";"N0 =: V-inf W";"N0 être V-n";"N0 =: Npl obl";"<ENT>Ppv";"Ppv =: se figé";"Ppv =: Neg";"<ENT>V";"Neg";"Aux =: avoir";"Aux =: être";"N0 V";"N0 être V-ant";"N0 être Vpp";"N0pc lui V W";"N0 V de N0pc";"trajet";"de combien ?";"N0 V N1";"Loc N1 =: dans N1";"Loc N1 =: sur N1";"Loc N1 =: contre N1";"Loc N1 =: à N1";"Loc N1 =: vers N1";"autre Loc1";"Loc N1 = Ppv =: y";"N0 lui V Loc N1pc";"N0 V Prép N0pc";"N1 =: le fait Qu P";"N1 être V-n";"N0 être V-ant Prép N1";"[extrap]";"N0 =: idée, N1 =: esprit";"N0 =: Nhum, N1 =: Nabs";"il V Qu P W";"N0 être V-n (forme V-n)";"N1 être V-n (forme V-n)";"<OPT>"
"1";"+";"-";"-";"-";"-";"-";"s'";"+";"-";"accrocher";"-";"-";"+";"-";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"+";"-";"~";"+";"-";"-";"+";"-";"-";"+";"-";"+";"-";"<E>";"<E>";"Max s' accroche à la branche"
"2";"~";"~";"~";"~";"~";"~";"s'";"+";"-";"agripper";"-";"-";"+";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"+";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"<E>";"<E>";"Max s' agrippe à la branche"
"3";"~";"~";"~";"~";"~";"~";"<E>";"-";"-";"appuyer";"-";"+";"-";"~";"~";"~";"~";"~";"~";"~";"~";"~";"+";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"<E>";"<E>";"Max appuie sur le bouton"
"4";"~";"~";"~";"~";"~";"~";"se";"+";"-";"bâcher";"-";"-";"+";"~";"~";"~";"~";"~";"~";"~";"~";"+";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"<E>";"<E>";"Paolo va se bâcher dans un bon lit"
"5";"+";"-";"-";"-";"-";"-";"se";"+";"-";"baigner";"-";"-";"+";"+";"-";"-";"-";"-";"-";"-";"-";"+";"-";"-";"-";"-";"~";"+";"-";"-";"-";"+";"-";"+";"-";"-";"-";"<E>";"bain";"Max se baigne dans la mer"
"6";"~";"~";"~";"~";"~";"~";"<E>";"-";"-";"barboter";"-";"+";"-";"~";"~";"~";"~";"~";"~";"~";"~";"+";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"<E>";"<E>";"Le canard barbote dans la vase"
"7";"~";"~";"~";"~";"~";"~";"<E>";"-";"-";"bosser";"-";"+";"-";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"+";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"<E>";"<E>";"Max bosse à la RATP"
"8";"~";"~";"~";"~";"~";"~";"<E>";"-";"-";"bouchonner";"-";"+";"-";"~";"~";"~";"~";"~";"~";"~";"~";"~";"+";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"<E>";"<E>";"Le bateau bouchonne sur les vagues"
"9";"~";"~";"~";"~";"~";"~";"<E>";"-";"-";"bouger";"-";"+";"-";"~";"~";"~";"~";"~";"~";"~";"~";"+";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"<E>";"<E>";"Les (prix+salaires) bougent "
"10";"-";"+";"-";"-";"-";"-";"<E>";"-";"-";"buter";"-";"+";"-";"-";"-";"-";"-";"+";"-";"-";"-";"+";"+";"+";"-";"-";"~";"+";"+";"-";"-";"+";"-";"+";"+";"+";"-";"<E>";"bute";"Max a buté sur un rocher"
"11";"~";"~";"~";"~";"~";"~";"se";"+";"-";"camper";"-";"-";"+";"~";"~";"~";"~";"~";"~";"~";"~";"~";"+";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"<E>";"<E>";"Max se campe devant moi"
"12";"~";"~";"~";"~";"~";"~";"<E>";"-";"-";"carillonner";"-";"+";"-";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"+";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"<E>";"<E>";"Max a carillonné au portail"
"13";"+";"-";"-";"-";"-";"-";"<E>";"-";"-";"cogner";"-";"+";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"+";"-";"-";"-";"~";"+";"-";"-";"+";"-";"-";"-";"-";"-";"-";"<E>";"<E>";"Max cogne sur Marie"
"14";"-";"+";"-";"-";"-";"-";"se";"+";"-";"coucher";"-";"-";"+";"+";"-";"+";"-";"-";"-";"-";"-";"+";"+";"-";"-";"-";"~";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"<E>";"<E>";"Le soleil se couche sur la montagne"
"15";"~";"~";"~";"~";"~";"~";"<E>";"-";"-";"couper";"-";"+";"-";"~";"~";"~";"~";"~";"~";"~";"~";"+";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"<E>";"<E>";"(Max+la lame)a coupé dans la chair"
"16";"~";"~";"~";"~";"~";"~";"<E>";"-";"-";"courir";"-";"+";"-";"~";"~";"~";"~";"~";"~";"~";"~";"~";"+";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"<E>";"<E>";"L'eau court sur le mur"
"17";"~";"~";"~";"~";"~";"~";"<E>";"-";"-";"courir";"-";"+";"-";"~";"~";"~";"~";"~";"~";"~";"~";"+";"+";"-";"-";"-";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"<E>";"<E>";"Le fil court le long du plafond"
"18";"+";"-";"-";"-";"-";"-";"se";"+";"-";"cramponner";"-";"-";"+";"+";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"+";"-";"~";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"<E>";"<E>";"Max se cramponne à la(branche+vie)"
"19";"+";"+";"-";"-";"-";"-";"<E>";"-";"-";"croiser";"-";"+";"-";"+";"-";"-";"-";"-";"+";"-";"-";"-";"-";"-";"-";"+";"~";"+";"-";"-";"-";"-";"-";"+";"-";"-";"-";"<E>";"<E>";"Le bateau croise au large"
"20";"+";"-";"-";"-";"-";"-";"<E>";"-";"-";"croquer";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"+";"-";"-";"-";"-";"~";"+";"+";"-";"-";"-";"-";"-";"-";"-";"-";"<E>";"<E>";"Zoé croque dans la pomme"
"21";"~";"~";"~";"~";"~";"~";"se";"+";"-";"débattre";"-";"-";"+";"~";"~";"~";"~";"~";"~";"~";"~";"+";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"<E>";"<E>";"Max se débat dans l'eau"
"22";"~";"~";"~";"~";"~";"~";"<E>";"-";"-";"défiler";"-";"+";"-";"~";"~";"~";"~";"~";"~";"~";"~";"+";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"<E>";"<E>";"Les mannequins défilent sur le podium"
"23";"~";"~";"~";"~";"~";"~";"se";"+";"-";"déplaire";"-";"-";"+";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"+";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"<E>";"<E>";"Max se déplait à la campagne"
"24";"~";"~";"~";"~";"~";"~";"se";"+";"-";"dessiner";"-";"-";"+";"~";"~";"~";"~";"~";"~";"~";"~";"~";"+";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"<E>";"<E>";"Le sourire se dessine sur ses lèvres"
"25";"~";"~";"~";"~";"~";"~";"<E>";"-";"-";"dinguer";"-";"+";"-";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"+";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"<E>";"<E>";"La bouteille a dingué contre le mur"
"26";"~";"~";"~";"~";"~";"~";"s'";"+";"-";"ébattre";"-";"-";"+";"~";"~";"~";"~";"~";"~";"~";"~";"+";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"<E>";"<E>";"Les petits s' ébattent dans la cour"
"27";"+";"-";"-";"-";"-";"-";"s'";"+";"-";"ébrouer";"-";"-";"+";"+";"-";"-";"-";"-";"~";"~";"-";"+";"-";"~";"-";"-";"~";"+";"~";"~";"~";"~";"~";"~";"~";"~";"~";"<E>";"<E>";"Le canard s' ébroue dans la mare"
