"<ID>";"N0 =: Nhum";"N0 =: N-hum";"N0 =: Nnr";"N0 =: V-inf W";"N0 être V-n";"<ENT>Ppv";"Ppv =: se figé";"Ppv =: en figé";"Ppv =: le figé";"Ppv =: y figé";"Ppv =: Neg";"<ENT>V";"Neg";"Aux =: avoir";"Aux =: être";"Prép1";"thèmeN1";"N0 V";"N0 être V-ant";"N0 être Vpp";"N0pc lui V W";"N0 V de N0pc";"N1 =: Nhum";"N0 lui V Prép N1pc";"N0 V Prép N0pc";"N1 =: N-hum";"N1 =: Qu Pind";"N1 =: Qu Psubj";"N1 =: V0-inf W";"N1 =: le fait Qu P";"Ppv =: y";"Ppv =: en";"N0 (E+Ppv) V (Prép+Prép-adv)";"N1 être V-n";"N1 =: Npl obl";"N0 V de N0pc W";"N0hum V W sur ce point";"N0 être V-ant Prép N1";"[extrap]";"N0 être V-n (forme V-n)";"N1 être V-n (forme V-n)";"<OPT>"
"1";"+";"-";"-";"-";"-";"s'";"+";"-";"-";"-";"-";"abriter";"-";"-";"+";"derrière";"loi";"-";"-";"+";"-";"-";"+";"-";"-";"+";"-";"-";"-";"+";"+";"-";"-";"+";"-";"-";"+";"-";"+";"<E>";"abris";"Max s' abrite derrière le règlement"
"2";"+";"-";"-";"-";"-";"<E>";"-";"-";"-";"-";"-";"abuser";"-";"+";"-";"de";"femme";"-";"-";"-";"-";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"+";"-";"-";"-";"-";"-";"-";"-";"<E>";"<E>";"Paul a abusé d'une femme"
"3";"~";"~";"~";"~";"~";"s'";"+";"-";"-";"-";"-";"accompagner";"-";"-";"+";"de";"<E>";"~";"~";"~";"~";"~";"~";"~";"~";"~";"-";"-";"-";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"<E>";"<E>";"L'expansion s' accompagne d'une inflation"
"4";"~";"~";"~";"~";"~";"s'";"+";"-";"-";"-";"-";"accomplir";"-";"-";"+";"dans";"<E>";"~";"~";"~";"~";"~";"~";"~";"~";"~";"-";"-";"-";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"<E>";"<E>";"Max s' accomplit dans son travail"
"5";"~";"~";"~";"~";"~";"<E>";"-";"-";"-";"-";"-";"accoucher";"-";"+";"-";"de";"<E>";"~";"~";"~";"~";"~";"~";"~";"~";"~";"-";"-";"-";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"<E>";"<E>";"Marie a accouché d'un enfant"
"6";"~";"~";"~";"~";"~";"<E>";"-";"-";"-";"-";"-";"accoucher";"-";"+";"-";"de";"<E>";"~";"~";"~";"~";"~";"~";"~";"~";"~";"-";"-";"-";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"<E>";"<E>";"Marie a accouché d'un roman"
"7";"+";"+";"-";"-";"-";"<E>";"-";"-";"-";"-";"-";"accrocher";"-";"+";"-";"sur";"sujet";"+";"-";"-";"-";"-";"-";"-";"-";"+";"-";"-";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"+";"<E>";"<E>";"Les négociations ont accroché sur le point quatre"
"8";"~";"~";"~";"~";"~";"s'";"+";"-";"-";"-";"-";"acharner";"-";"-";"+";"sur";"<E>";"~";"~";"~";"~";"~";"~";"~";"~";"~";"-";"-";"-";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"<E>";"<E>";"Max s' acharne sur(son travail+Luc)"
"9";"~";"~";"~";"~";"~";"s'";"+";"-";"-";"-";"-";"acheminer";"-";"-";"+";"vers";"<E>";"~";"~";"~";"~";"~";"~";"~";"~";"~";"-";"-";"-";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"<E>";"<E>";"Les négociations s' acheminent vers un accord"
"10";"+";"+";"+";"+";"-";"<E>";"-";"-";"-";"-";"-";"achopper";"-";"+";"-";"sur";"sujet";"-";"-";"-";"-";"-";"+";"-";"-";"+";"-";"-";"-";"+";"+";"-";"-";"-";"-";"-";"+";"-";"+";"<E>";"<E>";"Ce projet a achoppé sur une difficulté"
