"<ID>";"N0 =: N-hum";"N0 être V-n";"N2 bénéficiaire";"N2 détrimentaire";"<ENT>Ppv";"<ENT>V";"Aux =: avoir";"Aux =: être";"N1 =: Nhum";"N0 V N0pc W";"N1 =: N-hum";"N1 être V-n";"N1 =: Dnum Nmonnaie";"N1 =: coup";"Prép2 =: à";"N0 V N1 de N2 source";"Ppv =: en";"N2 =: N-hum";"Prép N2-hum = Ppv =: lui";"Ppv =: y";"N2 être V-n";"N2 =: Npl obl";"N1 être Vpp (statique)";"N1 =: Nabs";"N0 V N1 à N2 Dnum Nmonnaie";"N0 V N2 (E+de N1)";"N0 V N1 Loc N-hum";"N0 V N1 à N2 pour Dnum Nmonnaie";"N0 être V-n (forme V-n)";"N1 être V-n (forme V-n)";"N2 être V-n (forme V-n)";"<OPT>";"<ENGLISH>"
"3";"+";"-";"-";"+";"<E>";"accepter";"+";"-";"-";"-";"+";"-";"+";"-";"-";"+";;"-";"-";"-";"-";"-";"-";"+";"-";"-";"-";"-";"<E>";"<E>";"<E>";"Max a accepté un lit de Marie";"to accecpt"
"5";"-";"-";"-";"+";"<E>";"acheter";"+";"-";"-";"-";"+";"+";"-";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"+";"+";"-";"-";"+";"<E>";"achat";"<E>";"Max a acheté un lit à Luc";"to buy"
"6";"+";"-";"-";"+";"<E>";"acquérir";"+";"-";"-";"-";"+";"+";"-";"-";"+";"+";"+";"+";"+";"-";"-";"-";"-";"+";"+";"-";"-";"+";"<E>";"acquisition";"<E>";"Paul a acquis ce tableau au marchand";"to purchase"
"13";"-";"-";"+";"-";"<E>";"affermer";"+";"-";"-";"-";"+";"+";"-";"-";"+";"-";"-";"-";"-";"-";"+";"-";"+";"-";"+";"-";"-";"+";"<E>";"fermage";"fermier";"Ce paysan a affermé ce pré au maître";"to lease"
"14";"-";"+";"-";"+";"<E>";"affermer";"+";"-";"-";"-";"+";"+";"-";"-";"+";"-";"-";"-";"-";"-";"-";"-";"+";"-";"+";"-";"-";"+";"fermier";"fermage";"<E>";"Le maître a affermé ce pré à ce paysan";"to rent"
"15";"-";"-";"-";"+";"<E>";"affréter";"+";"-";"-";"-";"+";"-";"-";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"+";"<E>";"<E>";"<E>";"Max a affrété (un camion à Yvon+le transporteur)";"to charter"
"20";"+";"-";"+";"-";"<E>";"allouer";"+";"-";"+";"-";"+";"+";"+";"-";"+";"-";"-";"+";"+";"-";"+";"-";"+";"-";"-";"-";"-";"-";"<E>";"allocation";"allocataire";"Max a alloué cent kilofrancs à Luc";"to allocate"
"34";"-";"-";"-";"+";"<E>";"barboter";"+";"-";"+";"-";"+";"-";"+";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"+";"-";"-";"+";"-";"<E>";"<E>";"<E>";"Luc a barboté des sous à Max";"to pinch"
"37";"-";"-";"-";"+";"<E>";"calotter";"+";"-";"+";"-";"+";"-";"+";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"+";"+";"-";"<E>";"<E>";"<E>";"On a calotté une montre à Luc";"to pinch"
"38";"-";"-";"-";"+";"<E>";"carotter";"+";"-";"+";"-";"+";"-";"+";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"+";"+";"-";"<E>";"<E>";"<E>";"Max a carotté un franc à Luc";"to swipe"
"41";"-";"-";"-";"+";"<E>";"chaparder";"+";"-";"-";"-";"+";"-";"+";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"+";"-";"<E>";"<E>";"<E>";"Max a chapardé des sous à Luc";"to pinch"
"42";"-";"-";"-";"+";"<E>";"chauffer";"+";"-";"+";"-";"+";"-";"+";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"+";"-";"<E>";"<E>";"<E>";"Max a chauffé dix francs à Luc";"to swipe"
"43";"-";"+";"-";"+";"<E>";"chicaner";"+";"-";"-";"-";"+";"-";"+";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"+";"-";"-";"-";"-";"chicaneur";"<E>";"<E>";"Max chicane un franc à Luc";"to quibble about"
"44";"-";"-";"-";"+";"<E>";"chiper";"+";"-";"+";"-";"+";"-";"+";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"+";"-";"-";"+";"-";"<E>";"<E>";"<E>";"Max chipe (un franc+sa copine)à Luc";"to pinch"
"46";"-";"-";"-";"+";"<E>";"choper";"+";"-";"-";"-";"+";"-";"+";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"+";"-";"<E>";"<E>";"<E>";"On a chopé son portefeuille à Luc";"to nick"
