"<ID>";"N0 =: Nhum";"<ENT>Ppv";"Ppv =: Neg";"<ENT>V";"Neg";"Aux =: avoir";"Aux =: être";"N1 =: Nhum";"N0 lui V N1pc W";"N0 V N1 Loc N1pc W";"N0 V N0pc W";"N1 =: N-hum";"N1 =: le fait Qu P";"N1 être V-n";"Ppv =: le";"N0 V N1";"N0 V N2";"N2 =: Nhum";"N2 =: N-hum";"N2 =: le fait Qu P";"N2 être V-n";"Ppv =: lui";"Ppv =: y";"N0 V à N2";"N1 être Vpp W";"N1 être V-adj à N2";"V-adj";"N1 être V-n (forme V-n)";"N2 être V-n (forme V-n)";"<OPT>"
"1";"~";"<E>";"-";"abonner";"-";"+";"-";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"<E>";"<E>";"<E>";"Max a abonné Ida à cette revue"
"2";"~";"<E>";"-";"acclimater";"-";"+";"-";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"<E>";"<E>";"<E>";"Max a fait l' acclimatation de ces orangers"
"3";"~";"<E>";"-";"acquérir";"-";"+";"-";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"<E>";"<E>";"<E>";"Ce discours a acquis Paul à(cette cause+Max)"
"4";"-";"<E>";"-";"affecter";"-";"+";"-";"-";"-";"-";"-";"+";"-";"-";"+";"-";"-";"+";"+";"+";"-";"+";"-";"-";"-";"-";"<E>";"<E>";"<E>";"On a affecté ce local à l'embouteillage"
"5";"~";"<E>";"-";"affider";"-";"+";"-";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"<E>";"<E>";"<E>";"On l'a affidé à ce groupe"
"6";"+";"<E>";"-";"affilier";"-";"+";"-";"+";"-";"-";"-";"-";"-";"-";"-";"+";"-";"+";"+";"+";"-";"-";"+";"+";"+";"-";"<E>";"<E>";"<E>";"Luc a affilié Max à notre club"
"7";"+";"<E>";"-";"amener";"-";"+";"-";"-";"+";"-";"-";"+";"-";"-";"+";"+";"-";"-";"+";"-";"-";"-";"-";"-";"+";"-";"<E>";"<E>";"<E>";"Max a amené le nombre des lits à six"
"8";"+";"<E>";"-";"antéposer";"-";"+";"-";"-";"+";"-";"-";"+";"-";"-";"+";"-";"-";"-";"+";"-";"-";"+";"+";"+";"+";"-";"<E>";"<E>";"<E>";"Max a antéposé cet adjectif à ce nom"
"9";"+";"<E>";"-";"appliquer";"-";"+";"-";"-";"+";"-";"-";"+";"-";"-";"+";"+";"-";"-";"+";"+";"-";"+";"+";"-";"-";"-";"<E>";"<E>";"<E>";"Max applique cette méthode à ce problème"
"10";"~";"<E>";"-";"apposer";"-";"+";"-";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"<E>";"<E>";"<E>";"Max appose ce nom à ce groupe"
"11";"+";"<E>";"-";"approprier";"-";"+";"-";"-";"+";"-";"-";"+";"-";"-";"+";"+";"-";"-";"+";"+";"-";"+";"+";"+";"+";"-";"<E>";"<E>";"<E>";"Max a approprié les méthodes aux problèmes"
"12";"+";"<E>";"-";"arracher";"-";"+";"-";"-";"-";"-";"-";"+";"-";"-";"+";"-";"-";"+";"-";"-";"-";"+";"-";"-";"-";"-";"<E>";"<E>";"<E>";"La douleur a arraché (un cri + une grimace) à Luc"
"13";"+";"<E>";"-";"arrondir";"-";"+";"-";"-";"+";"-";"-";"+";"-";"-";"+";"+";"-";"-";"-";"-";"-";"-";"-";"+";"+";"-";"<E>";"<E>";"<E>";"Max a arrondi le prix au centime supérieur"
"14";"+";"<E>";"-";"assurer";"-";"+";"-";"-";"+";"-";"-";"+";"-";"-";"+";"+";"-";"+";"-";"-";"-";"+";"-";"-";"+";"-";"<E>";"<E>";"<E>";"Max assure la subsistance à Ida"
"15";"~";"<E>";"-";"attacher";"-";"+";"-";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"<E>";"<E>";"<E>";"Max attache une signification à ce geste"
