"<ID>";"N1 V avec N2";"N2 V N1";"<ENT>Ppv";"<ENT>V";"Aux =: avoir";"Aux =: être";"N0 dé-V N1 Prép N2 source";"N1 =: Nhum";"N1 =: Npc";"N0 lui V N1pc W";"N0 V N1 Loc N1pc W";"N0 V N0pc W";"N1 =: N-hum";"N1 =: le fait Qu P";"N1 être V-n";"Ppv =: le";"N0 V N1";"Prép2 =: à";"Prép2 =: de";"N2 =: Nhum";"N2 =: N-hum";"N2 =: le fait Qu P";"N2 =: Npc";"N2 être V-n";"Ppv =: lui";"Ppv =: y";"Ppv =: en";"N1 V N2";"N1 être Vpp W";"N1 et N2 faire V-n";"il y avoir V-n entre N1 et N2";"Prép2 =: avec";"Prép2 =: d'avec";"N1 être V-n (forme V-n)";"N2 être V-n (forme V-n)";"il y avoir V-n entre N1 et N2 (forme V-n)";"N1 et N2 faire V-n (forme V-n)";"<OPT>"
"1";"-";"-";"<E>";"aboucher";"+";"-";"+";"+";"-";"-";"-";"-";"-";"-";"-";"+";"-";"-";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"+";"-";"-";"+";"-";"<E>";"<E>";"<E>";"<E>";"Max a abouché Luc avec Léa"
"2";"-";"-";"<E>";"accointer";"+";"-";"+";"+";"-";"-";"-";"-";"-";"-";"-";"+";"-";"-";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"+";"-";"-";"+";"-";"<E>";"<E>";"<E>";"<E>";"Le hasard a accointé Paul(avec+et)Marie"
"3";"-";"-";"<E>";"accommoder";"+";"-";"+";"-";"+";"+";"+";"+";"-";"-";"+";"-";"-";"+";"+";"-";"-";"-";"+";"+";"+";"+";"+";"-";"+";"+";"+";"+";"-";"?";"?";"?";"?";"Max accommode son point de vue(à+avec)(celui de Luc+la situation)"
"4";"-";"-";"<E>";"accorder";"+";"-";"+";"+";"-";"+";"-";"-";"+";"+";"-";"+";"-";"-";"-";"+";"+";"+";"-";"-";"+";"-";"-";"-";"+";"-";"+";"+";"-";"<E>";"<E>";"accord";"<E>";"Paul accorde le verbe(au+avec+et)le sujet"
"5";"-";"-";"<E>";"accoupler";"+";"-";"+";"+";"+";"+";"-";"-";"-";"-";"-";"+";"-";"+";"-";"+";"-";"-";"+";"-";"+";"-";"-";"-";"+";"+";"-";"+";"-";"<E>";"<E>";"<E>";"couple";"Jean accouple le jaune(à+avec+et)le vert"
"6";"-";"-";"<E>";"acoquiner";"+";"-";"+";"+";"-";"-";"-";"-";"-";"-";"-";"+";"-";"-";"-";"+";"-";"-";"-";"+";"+";"-";"-";"-";"-";"-";"-";"+";"-";"<E>";"coquin";"<E>";"<E>";"Le hasard a acoquiné Paul(à+avec)Marie"
"7";"-";"-";"<E>";"additionner";"+";"-";"-";"-";"-";"-";"-";"-";"+";"+";"-";"+";"-";"+";"-";"-";"+";"+";"-";"-";"+";"-";"-";"-";"-";"-";"-";"+";"-";"<E>";"<E>";"<E>";"<E>";"Max additionne 4(avec+et)3"
"8";"-";"-";"<E>";"agglomérer";"+";"-";"+";"-";"+";"+";"-";"-";"+";"-";"-";"+";"+";"+";"-";"-";"+";"-";"+";"-";"-";"-";"-";"-";"+";"+";"-";"+";"-";"<E>";"<E>";"<E>";"agglomérat";"Max a aggloméré la sciure(et+à+avec)la colle"
"9";"-";"-";"<E>";"agglutiner";"+";"-";"+";"-";"+";"+";"-";"-";"+";"-";"-";"+";"+";"+";"-";"-";"+";"-";"+";"-";"+";"-";"-";"-";"+";"-";"-";"+";"-";"<E>";"<E>";"<E>";"<E>";"Max a agglutiné la poussière(et+avec+à)la colle"
"10";"~";"~";"<E>";"agréger";"+";"-";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"-";"~";"~";"~";"+";"-";"<E>";"<E>";"<E>";"<E>";"La chaleur a agrégé la cire(et+avec+à)la sciure"
"11";"-";"-";"<E>";"ajouter";"+";"-";"-";"-";"-";"-";"-";"-";"+";"+";"-";"+";"-";"+";"-";"-";"+";"+";"-";"-";"+";"+";"-";"-";"-";"-";"-";"+";"-";"<E>";"<E>";"<E>";"<E>";"Max ajoute 4(à+avec+et)5"
"12";"-";"-";"<E>";"ajuster";"+";"-";"+";"-";"+";"+";"+";"-";"+";"-";"-";"+";"+";"+";"-";"-";"+";"-";"+";"-";"+";"+";"-";"-";"+";"-";"-";"+";"-";"<E>";"<E>";"<E>";"<E>";"Max a ajusté les recettes(à+avec+et)les dépenses"
"13";"~";"~";"<E>";"allier";"+";"-";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"-";"~";"~";"~";"+";"-";"<E>";"<E>";"<E>";"<E>";"Ce procédé allie le cuivre(au+avec)le zinc"
"14";"-";"-";"<E>";"allier";"+";"-";"-";"+";"-";"-";"-";"-";"+";"+";"-";"+";"-";"+";"-";"+";"+";"+";"-";"+";"+";"-";"-";"-";"+";"+";"-";"+";"-";"<E>";"allié";"<E>";"alliance";"Max a allié sa fille(à+avec)un Duc"
"15";"+";"-";"<E>";"alterner";"+";"-";"-";"+";"+";"+";"-";"+";"+";"-";"-";"+";"-";"-";"-";"+";"+";"-";"+";"-";"-";"-";"-";"-";"+";"-";"+";"+";"-";"<E>";"<E>";"alternance";"<E>";"Max alterne le rouge et le bleu"
"16";"-";"-";"<E>";"amalgamer";"+";"-";"+";"-";"+";"+";"-";"-";"+";"-";"-";"+";"+";"+";"-";"-";"+";"-";"+";"-";"+";"-";"-";"-";"+";"+";"-";"+";"-";"<E>";"<E>";"<E>";"amalgame";"Ce procédé amalgame le mercure(et+à)l'étain"
"17";"~";"~";"<E>";"antagoniser";"+";"-";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"-";"~";"~";"~";"+";"-";"<E>";"<E>";"<E>";"<E>";"Ce problème a antagonisé Max(et+avec)Luc"
"18";"~";"~";"<E>";"appairer";"+";"-";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"-";"~";"~";"~";"+";"-";"<E>";"<E>";"<E>";"<E>";"Max a appairé ces deux objets"
"19";"-";"-";"<E>";"appareiller";"+";"-";"-";"+";"+";"-";"-";"-";"+";"+";"-";"+";"-";"+";"-";"+";"+";"+";"+";"-";"-";"-";"-";"-";"+";"-";"-";"+";"-";"<E>";"<E>";"<E>";"<E>";"Max a appareillé cette lampe(à+avec+et)celle-là"
"20";"-";"-";"<E>";"apparenter";"+";"-";"+";"+";"-";"-";"-";"-";"+";"+";"-";"+";"-";"+";"-";"+";"+";"+";"-";"+";"+";"-";"-";"-";"+";"-";"-";"+";"-";"<E>";"parent";"<E>";"<E>";"Ce trait apparente les loups(à+avec+et)les chats"
"21";"~";"~";"<E>";"apparenter";"+";"-";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"-";"~";"~";"~";"+";"-";"<E>";"<E>";"<E>";"<E>";"Cette décision apparente ma liste à celle des socialistes"
"22";"-";"-";"<E>";"apparier";"+";"-";"+";"+";"+";"+";"-";"-";"+";"+";"-";"+";"-";"+";"-";"+";"+";"+";"+";"-";"+";"-";"-";"-";"+";"+";"-";"+";"-";"<E>";"<E>";"<E>";"paire";"Max a apparié ce meuble(à+avec+et)ce lit"
"23";"-";"-";"<E>";"arranger";"+";"-";"-";"+";"+";"-";"-";"-";"-";"+";"-";"+";"-";"-";"-";"+";"-";"+";"+";"-";"-";"-";"-";"-";"-";"-";"+";"+";"-";"<E>";"<E>";"arrangement";"arrangement";"Le médiateur a arrangé Max et Ida"
