"<ID>";"N0 être V-n";"N0 lieu de destination de N2";"N1 V";"<ENT>Ppv";"<ENT>V";"Aux =: avoir";"Aux =: être";"N1 =: Nhum";"N0 V N0pc W";"N1 =: N-hum";"N1 =: le fait Qu P";"N1 être V-n";"N0 V N1";"N1 être Vpp (statique)";"N2 =: Nhum";"N2 =: N-hum";"N2 être V-n, Sfx = E";"N2 =: Npl obl";"N2 être V-n, Sfx # E";"Sfx =: age";"Sfx =: ment";"Sfx =: tion";"Sfx =: ure";"Ppv =: en";"V-n instrument";"de N2 =: de combien ?";"N0 V N2 (E+de N1 source)";"N0 V N2";"à Nhum source";"N1 =: texte, N2 =: mot";"N1 =: esprit, N2 =: idée";"N0 V N1hum de N2abs";"N0 être V-n (forme V-n)";"N1 être V-n (forme V-n)";"V-n instrument (forme V-n)";"<OPT>"
"1";"-";"-";"-";"<E>";"abattre";"+";"-";"-";"-";"+";"-";"-";"+";"-";"-";"+";"-";"-";"+";"-";"+";"-";"-";"-";"-";"+";"+";"~";"-";"-";"-";"-";"-";"-";"-";"L'inspecteur a abattu 1.000f(de+sur)nos impôts"
"2";"-";"-";"-";"<E>";"abraser";"+";"-";"-";"-";"+";"-";"-";"+";"+";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"+";"~";"-";"-";"-";"-";"-";"-";"-";"Cette machine abrase les pièces de leurs(défauts de surface+barbes)"
"3";"-";"-";"+";"<E>";"accoucher";"+";"-";"+";"-";"-";"-";"-";"+";"-";"-";"+";"-";"-";"-";"-";"-";"-";"-";"+";"-";"-";"-";"~";"-";"-";"+";"+";"-";"-";"-";"Le médecin a accouché Marie d'un beau bébé"
"4";"~";"~";"~";"<E>";"affranchir";"+";"-";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"L'état a affranchi l'impôt de ce prélèvement"
"5";"-";"-";"-";"<E>";"aléser";"+";"-";"-";"-";"+";"-";"-";"+";"+";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"+";"+";"~";"-";"-";"-";"-";"-";"-";"-";"Max alèse le cylindre de quelques millimètres"
"6";"~";"~";"~";"<E>";"amnistier";"+";"-";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"On a amnistié Max de ses contraventions"
"7";"-";"-";"-";"<E>";"amputer";"+";"-";"+";"-";"+";"+";"-";"+";"+";"-";"+";"-";"-";"-";"-";"-";"-";"-";"+";"-";"-";"+";"~";"+";"-";"-";"+";"-";"-";"-";"Max a amputé Luc du bras droit"
"8";"-";"-";"-";"<E>";"araser";"+";"-";"-";"-";"+";"-";"-";"+";"+";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"+";"~";"-";"+";"+";"-";"-";"-";"-";"Max a arasé a pièce de bois de ses échardes"
"9";"-";"+";"-";"<E>";"arranger";"+";"-";"+";"-";"-";"-";"-";"+";"-";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"+";"-";"~";"-";"-";"-";"-";"-";"-";"-";"Paulo a arrangé Max de 2 millions"
"10";"-";"+";"-";"<E>";"avoir";"+";"-";"+";"-";"-";"-";"-";"+";"-";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"+";"-";"~";"-";"-";"-";"-";"-";"-";"-";"Max a eu Luc de dix francs"
"11";"-";"+";"-";"<E>";"baiser";"+";"-";"+";"-";"-";"-";"-";"+";"-";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"+";"-";"~";"+";"-";"-";"-";"<E>";"<E>";"<E>";"Max a baisé Luc de dix francs"
"12";"-";"-";"-";"<E>";"balayer";"+";"-";"-";"-";"+";"-";"-";"+";"+";"+";"+";"-";"+";"+";"-";"-";"-";"+";"-";"+";"-";"+";"~";"-";"+";"+";"-";"<E>";"<E>";"balai";"Max a balayé la pièce de ses miettes"
"13";"-";"-";"-";"<E>";"biner";"+";"-";"-";"-";"+";"-";"-";"+";"+";"-";"+";"-";"-";"-";"-";"-";"-";"-";"+";"-";"-";"+";"~";"-";"-";"-";"-";"<E>";"<E>";"<E>";"Max a biné l'allée de son chiendent"
"14";"-";"+";"-";"<E>";"blouser";"+";"-";"+";"-";"-";"-";"-";"+";"-";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"+";"-";"~";"+";"-";"-";"-";"<E>";"<E>";"<E>";"Max a blousé Léa de dix francs d'un tronc d'arbre"
"15";"-";"-";"-";"<E>";"brosser";"+";"-";"-";"-";"+";"-";"-";"+";"+";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"+";"-";"+";"~";"-";"-";"-";"-";"<E>";"<E>";"brosse";"Max a brossé le costume de tous les cheveux"
"16";"-";"+";"-";"<E>";"butiner";"+";"-";"-";"-";"+";"-";"-";"+";"+";"-";"+";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"+";"~";"-";"-";"-";"-";"<E>";"<E>";"<E>";"La guêpe a butiné la fleur de son suc"
"17";"-";"-";"-";"<E>";"castrer";"+";"-";"+";"-";"-";"-";"-";"+";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"+";"-";"-";"-";"~";"+";"+";"-";"-";"<E>";"<E>";"<E>";"Son voyagé a castré Max de son humour"
"18";"-";"-";"-";"<E>";"caviarder";"+";"-";"-";"-";"+";"-";"-";"+";"+";"-";"+";"-";"-";"-";"-";"-";"-";"-";"+";"-";"-";"+";"~";"-";"-";"-";"-";"<E>";"<E>";"<E>";"Le censeur a caviardé le texte de ses gros mots"
"19";"+";"-";"-";"<E>";"censurer";"+";"-";"-";"-";"+";"+";"-";"+";"+";"-";"+";"-";"-";"-";"-";"-";"-";"-";"+";"-";"-";"+";"~";"-";"+";"-";"-";"censeur";"<E>";"<E>";"Max a censuré le texte des allusions perfides"
"20";"-";"-";"-";"<E>";"châtrer";"+";"-";"+";"-";"-";"-";"-";"+";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"+";"-";"-";"-";"~";"+";"+";"-";"+";"<E>";"<E>";"<E>";"Son voyage a châtré Max de son humour"
"21";"-";"-";"-";"<E>";"chaumer";"+";"-";"-";"-";"+";"-";"-";"+";"+";"-";"+";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"+";"~";"-";"-";"-";"-";"<E>";"<E>";"<E>";"Max a chaumé le champ de sa paille"
