"<ID>";"N1 V W";"N2 V N1";"<ENT>Ppv";"<ENT>V";"Aux =: avoir";"Aux =: être";"dé-V";"N1 =: Nhum";"N1 =: N-hum";"N1 =: Npc obl";"N0 V N1";"Prép2 =: avec";"Prép2 =: dans";"Prép2 =: en";"N2 =: Nhum";"N2 =: N-hum";"N2 =: trou";"N2 =: couche";"N2 =: coup";"N2 apparition";"N2 =: Npl obl";"N2 être V-n, Sfx = E";"N2 être V-n, Sfx # E";"Sfx =: age";"Sfx =: ment";"Sfx =: tion";"Sfx =: ure";"V-n instrument";"N1 =: texte, N2 =: mot";"N1 =: esprit, N2 =: idée";"N0 V N1hum de N2abs";"N0 V N2 (E+Loc N1 destination)";"N0 mettre V-n Loc N1";"N0 faire V-n Prép N1";"N0 donner V-n à N1";"N0 donner à N1 (une apparence Vpp+l'apparence de V-n)";"N0 lancer V-n Loc N1";"V-n instrument (forme V-n)";"<OPT>"
"1";"-";"+";"<E>";"accidenter";"+";"-";"-";"~";"+";"-";"-";"-";"-";"-";"~";"+";"+";"-";"-";"+";"-";"+";"-";"-";"-";"-";"-";"-";"-";"+";"-";"-";"+";"-";"-";"+";"-";"<E>";"La lumière rasante accidentait curieusement le terrain"
"2";"-";"+";"<E>";"ajourer";"+";"-";"-";"~";"+";"-";"+";"-";"-";"-";"~";"+";"+";"-";"-";"+";"+";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"+";"-";"-";"-";"<E>";"Max a ajouré la feuille de petits trous"
"3";"~";"~";"<E>";"altérer";"+";"-";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"-";"-";"+";"-";"-";"+";"-";"-";"~";"~";"~";"~";"-";"+";"-";"-";"-";"<E>";"Max a altéré son texte d'annotations"
"4";"-";"+";"<E>";"alvéoler";"+";"-";"-";"~";"+";"-";"+";"-";"-";"-";"~";"+";"+";"-";"-";"+";"-";"+";"-";"-";"-";"-";"-";"-";"-";"+";"-";"-";"-";"+";"-";"-";"-";"<E>";"Ce procédé permet d' alvéoler les plaques de cavités hexagonales"
"5";"-";"+";"<E>";"anneler";"+";"-";"-";"~";"+";"-";"+";"-";"-";"-";"~";"+";"-";"-";"-";"+";"-";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"+";"+";"+";"-";"-";"-";"<E>";"Le décorateur a annelé les colonnes d'un serpentin"
"6";"~";"~";"<E>";"auréoler";"+";"-";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"+";"-";"-";"-";"-";"-";"-";"~";"~";"~";"~";"+";"+";"-";"-";"-";"<E>";"Le peintre a auréolé Saint Luc d'or"
"7";"-";"+";"<E>";"balafrer";"+";"-";"-";"~";"+";"+";"+";"-";"-";"-";"~";"+";"-";"-";"-";"+";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"+";"-";"-";"-";"<E>";"Max a balafré Henri d'une longue estafilade"
"8";"+";"+";"<E>";"bedonner";"+";"-";"-";"~";"+";"+";"+";"-";"-";"-";"~";"+";"-";"+";"-";"+";"-";"+";"-";"-";"-";"-";"-";"-";"+";"+";"-";"-";"-";"+";"+";"-";"-";"<E>";"Les excès ont bedonné Luc d'une belle brioche"
"9";"-";"-";"<E>";"biseauter";"+";"-";"-";"~";"+";"-";"+";"-";"-";"-";"~";"+";"-";"-";"-";"-";"-";"+";"+";"+";"-";"-";"-";"-";"-";"-";"-";"+";"-";"+";"-";"-";"-";"<E>";"Max a biseauté la glace d'un large bord"
"10";"+";"+";"<E>";"bosseler";"+";"-";"+";"~";"+";"-";"+";"-";"-";"-";"~";"+";"-";"-";"-";"+";"+";"+";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"+";"-";"-";"-";"<E>";"Max a bosselé la plaque de petits creux"
"11";"+";"-";"<E>";"boucler";"+";"-";"+";"~";"+";"+";"+";"-";"-";"-";"~";"+";"-";"-";"-";"+";"+";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"+";"-";"+";"-";"-";"-";"<E>";"Max a bouclé la tête de Léa de jolies bouclettes"
"12";"-";"+";"<E>";"bouffir";"+";"-";"+";"~";"+";"+";"+";"-";"-";"-";"~";"+";"-";"-";"-";"+";"-";"-";"+";"-";"-";"-";"+";"-";"+";"-";"+";"+";"-";"+";"-";"-";"-";"<E>";"L'âge avait bouffi de graisse son visage"
"13";"+";"+";"<E>";"boursoufler";"+";"-";"+";"~";"+";"-";"+";"-";"-";"-";"~";"+";"-";"-";"-";"+";"-";"-";"+";"-";"-";"-";"+";"-";"+";"-";"+";"+";"-";"+";"-";"-";"-";"<E>";"L'âge a boursouflé son visage de graisse"
"14";"-";"+";"<E>";"boutonner";"+";"-";"-";"~";"+";"+";"+";"-";"-";"-";"~";"+";"-";"-";"-";"+";"+";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"+";"+";"-";"-";"<E>";"l'âge lui boutonnait le visage de pustules"
"15";"+";"-";"<E>";"brûler";"+";"-";"-";"~";"+";"-";"+";"-";"-";"-";"~";"+";"-";"-";"-";"+";"+";"-";"+";"-";"-";"-";"+";"-";"-";"-";"-";"-";"-";"+";"-";"-";"-";"<E>";"Le soleil a brûlé Max de brûlures graves"
"16";"-";"+";"<E>";"buriner";"+";"-";"-";"~";"+";"-";"+";"-";"-";"-";"~";"+";"+";"-";"-";"+";"-";"-";"+";"+";"-";"-";"-";"-";"-";"-";"-";"+";"-";"+";"+";"-";"-";"<E>";"Max burine un motif dans la métal"
"17";"+";"+";"<E>";"busquer";"+";"-";"-";"~";"+";"+";"+";"-";"-";"-";"~";"+";"-";"-";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"<E>";"La nature a busqué le nez des bourbons"
"18";"-";"-";"<E>";"cabosser";"+";"-";"+";"~";"+";"-";"+";"-";"-";"-";"~";"+";"-";"-";"-";"+";"-";"+";"+";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"+";"-";"-";"-";"<E>";"Max a cabossé son auto"
"19";"-";"+";"<E>";"canneler";"+";"-";"-";"~";"+";"-";"+";"-";"-";"-";"~";"+";"+";"-";"-";"+";"+";"-";"+";"+";"-";"-";"+";"-";"-";"-";"-";"-";"-";"+";"-";"-";"-";"<E>";"Max a cannelé la colonne de cannelures profondes"
"20";"-";"+";"<E>";"carier";"+";"-";"-";"~";"+";"+";"+";"-";"-";"-";"~";"+";"+";"-";"-";"+";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"+";"-";"-";"-";"<E>";"Le sucre a carié ses dents de trous profonds"
"21";"~";"~";"<E>";"caver";"+";"-";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"+";"-";"-";"-";"-";"-";"-";"~";"~";"~";"~";"-";"+";"-";"-";"-";"<E>";"La rivière a cavé la berge de cavités"
"22";"~";"~";"<E>";"cintrer";"+";"-";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"+";"-";"-";"-";"-";"-";"-";"~";"~";"~";"~";"-";"+";"-";"-";"-";"<E>";"Ida a cintré la chemise d'un cintrage élégant"
"23";"-";"+";"<E>";"ciseler";"+";"-";"-";"~";"+";"-";"+";"-";"-";"-";"~";"+";"-";"-";"-";"+";"-";"-";"+";"+";"-";"-";"-";"-";"+";"-";"-";"+";"-";"+";"-";"-";"-";"<E>";"Max a ciselé la plaque de motifs"
"24";"-";"+";"<E>";"cloquer";"+";"-";"-";"~";"+";"+";"+";"-";"-";"-";"~";"+";"-";"-";"-";"+";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"+";"-";"-";"-";"<E>";"Le feu a cloqué sa peau de cloques brunes"
"25";"+";"+";"<E>";"corner";"+";"-";"+";"~";"+";"-";"+";"-";"-";"-";"~";"+";"-";"-";"-";"+";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"+";"-";"-";"-";"<E>";"Max corne la page d'une petite corne"
"26";"-";"+";"<E>";"couperoser";"+";"-";"-";"~";"+";"+";"+";"-";"-";"-";"~";"+";"-";"-";"-";"+";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"+";"-";"-";"-";"<E>";"L'alcool a couperosé son visage d'une couperose maladive"
"27";"-";"+";"<E>";"couturer";"+";"-";"-";"~";"+";"+";"+";"-";"-";"-";"~";"+";"-";"-";"-";"+";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"+";"-";"-";"-";"<E>";"Cet accident a couturé son visage de cicatrices"
"28";"+";"-";"<E>";"cranter";"+";"-";"-";"~";"+";"-";"+";"-";"-";"-";"~";"+";"-";"-";"-";"+";"+";"+";"+";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"+";"-";"-";"-";"<E>";"Max a cranté la pièce d'encoches"
"29";"+";"+";"<E>";"craqueler";"+";"-";"-";"~";"+";"-";"+";"-";"-";"-";"~";"+";"+";"-";"-";"+";"-";"-";"+";"-";"-";"-";"+";"-";"-";"-";"-";"-";"-";"+";"-";"-";"-";"<E>";"Le gel a craquelé le vernis de fines divisions"
"30";"-";"+";"<E>";"créneler";"+";"-";"-";"~";"+";"-";"+";"-";"-";"-";"~";"+";"-";"-";"-";"+";"+";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"+";"-";"-";"-";"<E>";"L'architecte a crénelé le mur de créneaux"
"31";"~";"~";"<E>";"créneler";"+";"-";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"-";"+";"-";"-";"-";"+";"-";"~";"~";"~";"~";"-";"+";"-";"-";"-";"<E>";"Max a crénelé la pièce de crénelures fines"
"32";"-";"+";"<E>";"creuser";"+";"-";"-";"~";"+";"-";"+";"-";"-";"-";"~";"+";"+";"-";"-";"+";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"+";"-";"+";"-";"-";"-";"<E>";"Max creuse le sol de trous"
"33";"+";"+";"<E>";"crevasser";"+";"-";"-";"~";"+";"-";"+";"-";"-";"-";"~";"+";"+";"-";"-";"+";"+";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"+";"-";"+";"-";"-";"-";"<E>";"Le froid crevasse (le sol+la peau)de fissures fines"
"34";"-";"+";"<E>";"cribler";"+";"-";"-";"~";"+";"-";"-";"-";"-";"-";"~";"+";"+";"-";"-";"+";"+";"-";"-";"-";"-";"-";"-";"+";"+";"+";"+";"-";"-";"+";"-";"-";"-";"?";"Max a criblé la cible de balles"
"35";"~";"~";"<E>";"darder";"+";"-";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"-";"-";"-";"-";"-";"-";"+";"~";"~";"~";"~";"-";"-";"-";"-";"+";"dard";" Darder un chevreuil"
"36";"-";"+";"<E>";"découper";"+";"-";"-";"~";"+";"-";"+";"-";"-";"-";"~";"+";"+";"-";"-";"+";"-";"+";"-";"-";"-";"-";"-";"-";"-";"+";"-";"-";"-";"+";"-";"-";"-";"<E>";"L'érosion a découpé la côte de fjords profonds"
"37";"-";"+";"<E>";"défoncer";"+";"-";"-";"~";"+";"-";"+";"-";"-";"-";"~";"+";"+";"-";"-";"+";"-";"-";"+";"+";"-";"-";"-";"-";"-";"+";"-";"-";"-";"-";"-";"-";"-";"<E>";"Le char a défoncé le sol d'ornières"
