"<ID>";"N0 lieu source de N1";"N0 lieu de destination de N1";"N1 V W";"N2 V N1";"<ENT>Ppv";"<ENT>V";"Aux =: avoir";"Aux =: être";"N0 dé-V N1 Prép N2 source";"N0 dé-V N1 Loc N3 nv-dest";"N0 V N0pc W";"N0 V N1 sur N1pc";"N1 être V-n";"N1 =: coup";"N1 =: trou";"N0 V N2 (E+de N1)";"Loc N2 =: dans N2 destination";"Loc N2 =: sur N2 destination";"Loc N2 =: contre N2 destination";"Loc N2 =: à N2 destination";"Loc N2 =: autour de N2 destination";"Loc N2 =: vers N2 destination";"Ppv =: y";"N2 être V-n";"de combien ?";"Loc N2 =: sur lui1-même";"N1 être Vpp (statique)";"N1 =: Qu P métaphore";"à Nhum destination";"à Nhum =: Loc Npc";"N1 =: mot, N2 =: texte";"N1 =: idée, N2 =: esprit";"N0 V N1abs Loc N2abs";"N0 V N1hum Loc N2abs";"N1 être V-n (forme V-n)";"N2 être V-n (forme V-n)";"<OPT>"
"1";"+";"-";"-";"-";"<E>";"abattre";"+";"-";"-";"-";"+";"-";"-";"-";"-";"-";"-";"+";"+";"-";"-";"-";"+";"-";"-";"-";"+";"-";"-";"-";"-";"-";"-";"-";"<E>";"<E>";"Max abattra (cette cloison+deux arbres)"
"2";"-";"-";"-";"-";"<E>";"abîmer";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"+";"+";"-";"-";"-";"-";"+";"+";"-";"-";"+";"+";"-";"-";"-";"-";"-";"+";"<E>";"abîme";"La tempête a abîmé le navire dans les flots"
"3";"-";"-";"-";"+";"<E>";"abriter";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"+";"-";"-";"-";"-";"-";"+";"+";"-";"-";"+";"+";"-";"-";"+";"+";"+";"+";"<E>";"abri";"Max abrite sa voiture(de+sous)cette bâche"
"4";"~";"~";"~";"~";"<E>";"absorber";"+";"-";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"<E>";"<E>";"Max absorbe l'encre(avec+dans)un buvard"
"5";"-";"-";"+";"-";"<E>";"accoster";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"+";"+";"-";"-";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"<E>";"côte";"Max a accosté le bateau au quai"
"6";"~";"~";"~";"~";"<E>";"acculer";"+";"-";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"<E>";"<E>";"Max accule la charrette contre le mur"
"7";"-";"-";"-";"-";"<E>";"additionner";"+";"-";"-";"-";"-";"-";"+";"-";"-";"+";"-";"-";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"additif";"<E>";"Max additionne un peu d'eau dans son vin"
"8";"~";"~";"~";"~";"<E>";"adjoindre";"+";"-";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"<E>";"<E>";"Max a adjoint un garage à la main"
"9";"~";"~";"~";"~";"<E>";"affaisser";"+";"-";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"<E>";"<E>";"Les pluies ont affaissé la route d'un mètre"
"10";"-";"-";"-";"-";"<E>";"affaler";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"+";"-";"-";"-";"-";"+";"-";"-";"-";"+";"-";"-";"-";"-";"-";"-";"-";"<E>";"<E>";"Max affale une voile(E+sur le pont)"
"11";"-";"+";"-";"+";"<E>";"afficher";"+";"-";"+";"-";"-";"-";"+";"-";"-";"-";"-";"+";"+";"+";"-";"-";"+";"-";"-";"-";"+";"+";"-";"-";"+";"+";"+";"-";"affiche";"<E>";"Max a affiché un poster sur le mur"
"12";"~";"~";"~";"~";"<E>";"aiguiller";"+";"-";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"<E>";"<E>";"Max a aiguillé le convoi sur la voie de garage"
"13";"-";"-";"-";"-";"<E>";"ajouter";"+";"-";"-";"-";"-";"-";"+";"-";"-";"-";"+";"+";"-";"+";"-";"-";"+";"-";"-";"-";"-";"+";"+";"+";"+";"-";"-";"-";"ajout";"<E>";"Max ajoute de l'eau dans son vin"
