"<ID>";"N1 V W";"<ENT>Ppv";"<ENT>V";"Aux =: avoir";"Aux =: être";"N1 =: Nhum";"N0 lui V N1pc W";"N0 V N1 Loc N1pc W";"N1 =: le fait Qu P";"N1 =: Npl obl";"Ppv =: le";"N0 V N1";"N2 être V-n";"N2 =: point";"N2 =: zone";"V-n instrument";"N0 V N1 entre N2pl obl";"en combien ?";"N1 se V en N2 (statique)";"N1 être Vpp W";"N0 V N2 (E+Loc N1)";"N2 être V-n (forme V-n)";"V-n instrument (forme V-n)";"<OPT>"
"1";"-";"<E>";"analyser";"+";"-";"-";"-";"-";"+";"-";"+";"-";"-";"+";"-";"-";"-";"-";"-";"+";"+";"<E>";"<E>";"Max analyse la phrase en deux constituants"
"2";"-";"<E>";"atomiser";"+";"-";"-";"-";"-";"-";"-";"+";"+";"+";"-";"-";"-";"-";"-";"-";"+";"-";"atome";"<E>";"Max a atomisé son programme en instructions-machine"
"3";"-";"<E>";"balkaniser";"+";"-";"+";"+";"-";"-";"-";"+";"+";"-";"-";"+";"-";"-";"-";"-";"+";"-";"<E>";"<E>";"Ce traité balkanise la région en petits états"
"4";"-";"<E>";"briser";"+";"-";"-";"+";"-";"-";"-";"+";"+";"-";"-";"-";"-";"-";"+";"-";"+";"+";"<E>";"<E>";"Max a brisé le plat en deux"
"5";"-";"<E>";"broyer";"+";"-";"-";"+";"+";"-";"-";"+";"+";"-";"-";"-";"-";"-";"-";"-";"+";"+";"<E>";"<E>";"Max broie le roc en fine poudre"
"6";"+";"<E>";"casser";"+";"-";"-";"+";"-";"-";"-";"+";"+";"-";"-";"-";"-";"-";"+";"-";"+";"+";"<E>";"<E>";"Max a cassé le pot en six morceaux"
"7";"-";"<E>";"catégoriser";"+";"-";"+";"+";"-";"-";"+";"+";"+";"+";"-";"+";"-";"-";"-";"+";"+";"-";"catégorie";"<E>";"Max a catégorisé les verbes en 26 classes"
"8";"~";"<E>";"chapitrer";"+";"-";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"<E>";"<E>";"Max a chapitré son livre (E+en quinze chapitres)"
"9";"-";"<E>";"cisailler";"+";"-";"-";"+";"+";"-";"-";"+";"+";"-";"-";"-";"+";"-";"-";"-";"+";"+";"<E>";"cisaille";"Max cisaille la plaque en petits morceaux"
"10";"+";"<E>";"cliver";"+";"-";"-";"-";"-";"+";"-";"+";"+";"-";"+";"-";"-";"-";"+";"+";"+";"+";"<E>";"<E>";"Max a clivé ce cristal en fines lames"
"11";"-";"<E>";"cloisonner";"+";"-";"-";"-";"-";"+";"-";"+";"+";"+";"+";"+";"-";"-";"-";"-";"+";"-";"cloison";"<E>";"Max a cloisonné le hangar en dix box"
"12";"~";"<E>";"compartimenter";"+";"-";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"<E>";"<E>";"On a compartimenté la boîte en petits casiers"
"13";"-";"<E>";"concasser";"+";"-";"-";"+";"+";"-";"-";"+";"+";"-";"-";"-";"-";"-";"-";"-";"+";"+";"<E>";"<E>";"Max a concassé le roc en petits morceaux"
"14";"~";"<E>";"constituer";"+";"-";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"<E>";"<E>";"Max constitue ses ouvriers en trois équipes"
"15";"-";"<E>";"couper";"+";"-";"-";"+";"+";"-";"-";"+";"+";"-";"-";"+";"-";"-";"+";"-";"+";"+";"<E>";"<E>";"Max coupe le pain en morceaux"
"16";"-";"<E>";"débiter";"+";"-";"-";"+";"+";"-";"-";"+";"+";"-";"-";"-";"-";"-";"-";"-";"+";"+";"<E>";"<E>";"Max débite le veau en morceaux"
"17";"-";"<E>";"déchiqueter";"+";"-";"-";"+";"+";"-";"-";"+";"+";"-";"-";"-";"-";"-";"-";"-";"+";"+";"<E>";"<E>";"Max a déchiqueté le livre en morceaux"
"18";"+";"<E>";"déchirer";"+";"-";"-";"+";"+";"-";"-";"+";"+";"-";"-";"-";"-";"-";"+";"-";"+";"+";"<E>";"<E>";"Max a déchiré le texte en trois morceaux"
"19";"~";"<E>";"décliner";"+";"-";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"<E>";"<E>";"On décline ce produit en plusieurs couleurs"
"20";"+";"<E>";"décomposer";"+";"-";"-";"-";"+";"+";"-";"+";"+";"-";"+";"+";"-";"-";"-";"+";"+";"+";"<E>";"<E>";"Max décompose l'opération en trois phases"
"21";"-";"<E>";"décortiquer";"+";"-";"-";"-";"+";"+";"-";"+";"+";"-";"+";"-";"-";"-";"-";"-";"+";"+";"<E>";"<E>";"Max décortique (la question+le texte)en trois points"
"22";"-";"<E>";"découper";"+";"-";"-";"+";"+";"+";"-";"+";"+";"-";"+";"+";"-";"+";"+";"+";"+";"+";"<E>";"<E>";"Max découpe le rôti en tranches"
"23";"-";"<E>";"dédoubler";"+";"-";"-";"-";"-";"-";"-";"+";"+";"-";"-";"-";"-";"-";"+";"-";"+";"+";"<E>";"<E>";"Max dédouble le groupe en deux équipes"
"24";"~";"<E>";"déliter";"+";"-";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"<E>";"<E>";"Le gel a délité la roche en petits bouts"
"25";"-";"<E>";"démembrer";"+";"-";"-";"+";"-";"-";"-";"+";"+";"-";"-";"+";"-";"-";"-";"-";"+";"+";"<E>";"<E>";"Max a démembré la ferme en trois lots"
"26";"-";"<E>";"démonter";"+";"-";"-";"+";"+";"+";"-";"+";"+";"-";"+";"-";"-";"-";"-";"-";"+";"+";"<E>";"<E>";"Max a démonté la tente en trois morceaux"
"27";"~";"<E>";"départementaliser";"+";"-";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"<E>";"<E>";"On a départementalisé ce service en 10 départements"
"28";"-";"<E>";"dépecer";"+";"-";"-";"+";"+";"-";"-";"+";"+";"-";"-";"-";"-";"-";"-";"-";"+";"+";"<E>";"<E>";"Max a dépecé le boeuf en quatre morceaux"
"29";"~";"<E>";"dépiauter";"+";"-";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"<E>";"<E>";"Max a dépiauté son morceau de viande(E+en petits bouts)"
"30";"+";"<E>";"désagréger";"+";"-";"-";"-";"+";"-";"-";"+";"+";"-";"-";"-";"-";"-";"-";"-";"+";"+";"<E>";"<E>";"La pluie a désagrégé le mur en un tas de gravats"
"31";"-";"<E>";"désintégrer";"+";"-";"-";"+";"-";"-";"-";"+";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"<E>";"<E>";"Le physicien a désintégré l'atome en neutrons"
"32";"-";"<E>";"désosser";"+";"-";"-";"+";"-";"-";"-";"+";"+";"-";"-";"-";"-";"-";"+";"-";"+";"+";"<E>";"<E>";"Max a désossé le moteur en une multitude de pièces"
"33";"-";"<E>";"détailler";"+";"-";"-";"-";"-";"+";"-";"+";"+";"+";"+";"-";"-";"-";"-";"-";"+";"+";"taille";"<E>";"Max détaille le rôti en tranches fines"
"34";"+";"<E>";"diffracter";"+";"-";"-";"-";"+";"-";"-";"+";"+";"-";"-";"+";"-";"-";"-";"-";"+";"+";"<E>";"<E>";"L'obstacle a diffracté le jet en un brouillard fin"
"35";"~";"<E>";"diluer";"+";"-";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"<E>";"<E>";"Cette(alibi+loi) dilue les responsabilité entre les dirigeants"
"36";"-";"<E>";"disloquer";"+";"-";"-";"+";"+";"-";"-";"+";"+";"-";"-";"-";"-";"-";"-";"-";"+";"+";"<E>";"<E>";"Le choc a disloqué la voiture en trois parties"
"37";"-";"<E>";"dispatcher";"+";"-";"+";"+";"-";"-";"-";"+";"+";"-";"-";"+";"-";"+";"-";"-";"-";"-";"<E>";"<E>";"Max a dispatché les ordres aux chefs de groupe"
"38";"-";"<E>";"disperser";"+";"-";"-";"-";"-";"-";"+";"+";"+";"-";"-";"+";"-";"-";"-";"-";"+";"+";"<E>";"<E>";"Max a dispersé son personnel"
"39";"-";"<E>";"disséminer";"+";"-";"-";"-";"-";"-";"+";"+";"+";"-";"-";"+";"-";"-";"-";"-";"+";"+";"<E>";"<E>";"Max a disséminé des fleurs dans le parc"
"40";"-";"<E>";"disséquer";"+";"-";"-";"+";"+";"+";"-";"+";"+";"-";"+";"-";"-";"-";"-";"-";"+";"+";"<E>";"<E>";"Max a disséqué L'appareil en ses éléments"
"41";"+";"<E>";"dissiper";"+";"-";"-";"+";"-";"-";"-";"+";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"<E>";"<E>";"Ce réchaud dissipe de l'énergie en chaleur"
"42";"-";"<E>";"distribuer";"+";"-";"-";"-";"-";"+";"+";"+";"-";"-";"+";"+";"-";"+";"-";"+";"+";"+";"<E>";"<E>";"Max distribue les verbes(dans+en)huit classes"
"43";"-";"<E>";"diversifier";"+";"-";"-";"-";"-";"+";"+";"+";"+";"-";"+";"+";"-";"-";"-";"+";"+";"+";"<E>";"<E>";"La société a diversifié la production en plusieurs sous produit"
"44";"-";"<E>";"diviser";"+";"-";"-";"+";"-";"+";"-";"+";"+";"+";"+";"+";"+";"+";"+";"+";"+";"+";"division";"?";"Max divise le tas en trois paquets"
"45";"-";"<E>";"dupliquer";"+";"-";"-";"-";"-";"-";"-";"+";"+";"-";"-";"-";"-";"-";"+";"-";"+";"-";"<E>";"<E>";"Max duplique le texte en sept exemplaires"
"46";"-";"<E>";"ébouler";"+";"-";"-";"-";"-";"-";"-";"+";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"<E>";"<E>";"Max a éboulé le mur en un tas de gravats"
"47";"~";"<E>";"éclater";"+";"-";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"<E>";"<E>";"On a éclaté ce service en plusieurs départements"
"48";"-";"<E>";"effriter";"+";"-";"-";"-";"+";"-";"-";"+";"+";"+";"-";"-";"-";"+";"-";"-";"+";"+";"?";"<E>";"Ali effrite la feuille en miettes"
"49";"-";"<E>";"électrolyser";"+";"-";"-";"+";"-";"-";"-";"+";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"<E>";"<E>";"On électrolyse l'eau en oxygène et hydrogène"
"50";"-";"<E>";"émietter";"+";"-";"-";"-";"+";"-";"-";"+";"+";"+";"-";"-";"-";"-";"-";"-";"+";"+";"miette";"<E>";"Max émiette son pain en miettes minuscules"
"51";"-";"<E>";"émincer";"+";"-";"-";"+";"-";"-";"-";"+";"+";"-";"-";"-";"-";"-";"-";"-";"+";"+";"<E>";"<E>";"Max a émincé le poulet en lamelles  minces"
"52";"~";"<E>";"escaloper";"+";"-";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"<E>";"<E>";"Le boucher escalope le rôti en escalopes"
