"<ID>";"N0 être V-n";"N1 V W";"N2 V N1";"<ENT>Ppv";"Ppv =: se figé";"Ppv =: le figé";"<ENT>V";"Aux =: avoir";"Aux =: être";"dé-V";"N1 =: Nhum";"N0 lui V N1pc W";"N0 V N1 Loc N1pc W";"N0 V N0pc W";"N1 =: N-hum";"N1 =: le fait Qu P";"N1 être V-n";"Ppv =: le";"N0 V N1";"Prép2";"N2 =: Nhum";"N2 =: N-hum";"N2 =: le fait Qu P";"N2 être V-n";"N2 =: Npl obl";"Ppv =: y";"Ppv =: en";"N0 V Prép N2";"N1 être Vpp W";"N0 V N2 (E+Loc N1)";"N0 être V-n (forme V-n)";"N1 être V-n (forme V-n)";"N2 être V-n (forme V-n)";"<OPT>";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"1";"+";"-";"-";"<E>";"-";"-";"abriter";"+";"-";"-";"+";"+";"-";"-";"+";"-";"-";"+";"+";"de";"-";"+";"-";"-";"-";"-";"+";"+";"+";"-";"?";"<E>";"<E>";"Max abrite sa voiture du soleil"
"2";"~";"~";"~";"<E>";"-";"-";"accommoder";"+";"-";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"en";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"<E>";"<E>";"<E>";"Accommoder les restes en ragoût"
"3";"-";"-";"-";"<E>";"-";"-";"accorder";"+";"-";"-";"-";"-";"-";"-";"+";"-";"-";"+";"+";"sur";"-";"+";"-";"-";"-";"-";"-";"-";"+";"-";"<E>";"<E>";"<E>";"Max accorde la guitare sur le piano"
"4";"~";"~";"~";"<E>";"-";"-";"accréditer";"+";"-";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"auprès de";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"<E>";"<E>";"<E>";"Paul accrédite Luc auprès du président"
"5";"-";"+";"+";"<E>";"-";"-";"achever";"+";"-";"-";"-";"-";"-";"-";"+";"-";"-";"+";"+";"par";"-";"+";"+";"-";"-";"-";"-";"+";"+";"-";"<E>";"<E>";"<E>";"Max a achevé son discours(par un plaisanterie+sur ces mots)"
"6";"-";"-";"+";"<E>";"-";"-";"adapter";"+";"-";"-";"-";"-";"-";"-";"+";"-";"-";"+";"+";"pour";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"<E>";"<E>";"<E>";"Max a adapté le roman pour la télé"
"7";"-";"-";"-";"<E>";"-";"-";"affamer";"+";"-";"-";"+";"-";"-";"-";"-";"-";"-";"+";"+";"de";"-";"+";"-";"-";"-";"-";"+";"+";"+";"-";"<E>";"<E>";"<E>";"La diète a affamé Paul de steaks bleus"
"8";"-";"-";"-";"<E>";"-";"-";"affranchir";"+";"-";"-";"+";"-";"-";"-";"-";"-";"-";"+";"+";"sur";"+";"+";"+";"-";"-";"-";"-";"-";"+";"-";"<E>";"<E>";"<E>";"J'ai affranchi Max(sur mes intentions+à ce propos)"
"9";"-";"-";"-";"<E>";"-";"-";"agiter";"+";"-";"-";"-";"-";"-";"-";"+";"-";"-";"+";"-";"auprès de";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"<E>";"<E>";"<E>";"Max agite ces arguments auprès de Paul"
"10";"-";"-";"-";"<E>";"-";"-";"agiter";"+";"-";"-";"+";"-";"-";"-";"-";"-";"-";"+";"+";"contre";"+";"-";"+";"-";"-";"-";"-";"-";"-";"-";"<E>";"<E>";"<E>";"Max agite les gens contre le gouvernement"
"11";"-";"-";"-";"<E>";"-";"-";"aligner";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"+";"-";"sur";"-";"+";"-";"-";"-";"+";"-";"-";"+";"-";"<E>";"<E>";"<E>";"Cette mesure aligne les salaires sur le coût de la vie"
"12";"-";"-";"+";"<E>";"-";"-";"allégoriser";"+";"-";"-";"-";"-";"-";"-";"+";"+";"-";"+";"+";"par";"-";"+";"-";"+";"-";"-";"-";"-";"-";"-";"<E>";"<E>";"allégorie";"Max a allégorisé la liberté par une femme"
"13";"-";"-";"-";"<E>";"-";"-";"altérer";"+";"-";"-";"+";"-";"-";"-";"-";"-";"-";"+";"-";"de";"-";"-";"-";"-";"-";"-";"-";"-";"+";"-";"<E>";"<E>";"<E>";"La douleur a altéré Max de vengeance"
"14";"-";"-";"-";"<E>";"-";"-";"aménager";"+";"-";"-";"-";"+";"-";"-";"+";"-";"-";"+";"+";"en";"-";"+";"-";"-";"-";"-";"-";"-";"+";"+";"<E>";"<E>";"<E>";"Max a aménagé sa cave en bar"
"15";"~";"~";"~";"<E>";"-";"-";"ameuter";"+";"-";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"contre";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"<E>";"<E>";"<E>";"Ils ont ameuté les gens contre moi"
"16";"-";"-";"+";"<E>";"-";"-";"amorcer";"+";"-";"-";"-";"-";"-";"-";"+";"-";"-";"+";"+";"par";"-";"+";"-";"+";"-";"-";"-";"-";"-";"-";"<E>";"<E>";"amorce";"Les candidats ont amorcé le débat par un engueulade"
"17";"~";"~";"~";"<E>";"-";"-";"amuser";"+";"-";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"par";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"<E>";"<E>";"<E>";"On amuse l'ennemi par des diversions"
"18";"-";"-";"-";"<E>";"-";"-";"appeler";"+";"-";"-";"+";"-";"-";"-";"+";"+";"-";"+";"-";"par";"-";"+";"-";"+";"-";"-";"-";"-";"-";"-";"<E>";"<E>";"appellation";"Max appelle Luc par son nom"
"19";"-";"-";"+";"<E>";"-";"-";"appuyer";"+";"-";"-";"-";"-";"-";"-";"+";"-";"-";"+";"-";"sur";"-";"+";"+";"-";"-";"+";"-";"-";"+";"-";"<E>";"<E>";"<E>";"Max appuie sa conviction sur des preuves"
"20";"-";"-";"-";"<E>";"-";"-";"armer";"+";"-";"-";"+";"-";"-";"-";"-";"-";"-";"+";"-";"contre";"+";"+";"-";"-";"-";"-";"-";"-";"+";"-";"<E>";"<E>";"<E>";"Son éducation a armé Max contre les coups du sort"
"21";"-";"-";"-";"<E>";"-";"-";"arranger";"+";"-";"-";"-";"-";"-";"-";"+";"-";"-";"+";"-";"en";"-";"+";"-";"-";"-";"-";"-";"-";"+";"-";"<E>";"<E>";"<E>";"Max a arrangé la pièce en boudoir"
"22";"-";"-";"+";"<E>";"-";"-";"arrêter";"+";"-";"-";"-";"-";"-";"-";"+";"-";"-";"+";"+";"sur";"+";"+";"+";"-";"-";"-";"-";"-";"-";"-";"<E>";"<E>";"<E>";"Max arrête (son regard+ses yeux+sa pensées)sur ce spectacle"
"23";"-";"-";"-";"<E>";"-";"-";"assoiffer";"+";"-";"-";"+";"-";"-";"-";"-";"-";"-";"+";"+";"de";"-";"+";"-";"-";"-";"-";"+";"+";"+";"-";"<E>";"<E>";"<E>";"La chaleur a assoiffé Max de bière"
"24";"-";"-";"-";"<E>";"-";"-";"assurer";"+";"-";"-";"-";"+";"-";"-";"+";"-";"-";"+";"+";"contre";"+";"+";"-";"-";"-";"-";"-";"+";"+";"+";"<E>";"<E>";"<E>";"Max assure Luc(contre le vol+pour un million)"
"25";"~";"~";"~";"<E>";"-";"-";"assurer";"+";"-";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"par";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"<E>";"<E>";"<E>";"On a assuré la paix par un traité"
"26";"~";"~";"~";"<E>";"-";"-";"atomiser";"+";"-";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"en";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"<E>";"<E>";"<E>";"Cet appareil atomise la laque en un brouillard fin"
"27";"-";"-";"-";"<E>";"-";"-";"attaquer";"+";"-";"-";"-";"-";"-";"-";"+";"-";"-";"+";"+";"par";"-";"+";"-";"-";"-";"-";"-";"+";"-";"-";"<E>";"<E>";"<E>";"Max attaque son repas par des huîtres"
"28";"~";"~";"~";"<E>";"-";"-";"atteindre";"+";"-";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"par";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"<E>";"<E>";"<E>";"On a atteint le public par la publicité"
"29";"~";"~";"~";"<E>";"-";"-";"avancer";"+";"-";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"de";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"<E>";"<E>";"<E>";"Max avance sa montre"
"30";"~";"~";"~";"<E>";"-";"-";"avantager";"+";"-";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"sur";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"<E>";"<E>";"<E>";"La situation avantage Luc sur Max"
"31";"~";"~";"~";"<E>";"-";"-";"avoir";"+";"-";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"comme";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"<E>";"<E>";"<E>";"Paul a eu Luc comme secrétaire"
"32";"~";"~";"~";"<E>";"-";"-";"basculer";"+";"-";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"sur";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"<E>";"<E>";"<E>";"Max a basculé l'appel sur la piste"
"33";"-";"-";"-";"<E>";"-";"-";"baser";"+";"-";"-";"-";"-";"-";"-";"+";"-";"-";"+";"-";"sur";"-";"+";"+";"+";"-";"+";"-";"-";"+";"-";"<E>";"<E>";"base";"Max a basé sa théorie sur ces observations"
"34";"-";"-";"+";"<E>";"-";"-";"boucler";"+";"-";"-";"-";"-";"-";"-";"+";"-";"-";"+";"+";"par";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"<E>";"<E>";"<E>";"Max a bouclé son discours par une maxime"
"35";"-";"-";"+";"<E>";"-";"-";"brancher";"+";"-";"-";"+";"-";"-";"-";"-";"-";"-";"+";"-";"de";"-";"+";"-";"-";"+";"-";"-";"-";"+";"-";"<E>";"<E>";"<E>";"Max a branché la conversation sur le vin"
"36";"~";"~";"~";"<E>";"-";"-";"brandir";"+";"-";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"contre";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"<E>";"<E>";"<E>";"Max brandit une menace contre Paul"
"37";"-";"-";"-";"<E>";"-";"-";"calquer";"+";"-";"-";"-";"-";"-";"-";"+";"-";"-";"+";"+";"sur";"-";"+";"-";"-";"-";"+";"-";"-";"+";"+";"<E>";"<E>";"<E>";"Max calque son attitude sur celle d'Ida"
"38";"-";"-";"-";"<E>";"-";"-";"calquer";"+";"-";"-";"-";"-";"-";"-";"+";"-";"+";"+";"-";"sur";"+";"+";"-";"-";"-";"+";"-";"-";"+";"-";"<E>";"calque";"<E>";"Max calque son dessin dans un livre"
"39";"-";"-";"+";"<E>";"-";"-";"camoufler";"+";"-";"-";"+";"-";"-";"-";"+";"+";"-";"+";"+";"en";"-";"+";"-";"-";"-";"-";"-";"-";"+";"-";"<E>";"<E>";"<E>";"Max a camouflé ce crime en suicide"
"40";"~";"~";"~";"<E>";"-";"-";"changer";"+";"-";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"en";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"<E>";"<E>";"<E>";"Max a changé Ida en fée"
"41";"-";"-";"-";"<E>";"-";"-";"changer";"+";"-";"-";"+";"+";"-";"-";"+";"-";"-";"+";"+";"contre";"+";"+";"-";"-";"-";"-";"-";"-";"-";"-";"<E>";"<E>";"<E>";"Max a changé son vélo(pour+contre)une mob."
"42";"-";"+";"+";"<E>";"-";"-";"changer";"+";"-";"-";"+";"+";"-";"+";"+";"-";"-";"+";"+";"de";"-";"+";"-";"-";"-";"-";"-";"-";"+";"+";"<E>";"<E>";"<E>";"Max change sa voiture de place avec le camion"
"43";"~";"~";"~";"<E>";"-";"-";"chiffrer";"+";"-";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"en";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"<E>";"<E>";"<E>";"Max chiffre le message en code"
"44";"-";"-";"-";"<E>";"-";"-";"chiffrer";"+";"-";"-";"-";"-";"-";"-";"+";"+";"-";"+";"-";"par";"-";"+";"-";"+";"-";"-";"-";"-";"+";"-";"<E>";"<E>";"chiffre";"On chiffre la fortune de Max par millions"
"45";"-";"-";"-";"<E>";"-";"-";"choisir";"+";"-";"-";"+";"-";"-";"-";"+";"+";"+";"+";"+";"parmi";"+";"+";"-";"-";"+";"+";"-";"+";"-";"-";"<E>";"choix";"<E>";"Max a choisi un bonbon parmi ceux qui sont dans la boîte"
"46";"-";"-";"-";"<E>";"-";"-";"choisir";"+";"-";"-";"+";"-";"-";"-";"+";"+";"+";"+";"+";"entre";"+";"+";"-";"-";"+";"+";"-";"+";"-";"-";"<E>";"choix";"<E>";"Max l'a choisi entre cent"
"47";"-";"-";"+";"<E>";"-";"-";"clore";"+";"-";"-";"-";"+";"-";"-";"+";"-";"-";"+";"+";"par";"+";"+";"+";"+";"-";"-";"-";"+";"+";"-";"<E>";"<E>";"clôture";"Max clôt la séance par un discours"
"48";"-";"-";"+";"<E>";"-";"-";"clôturer";"+";"-";"-";"-";"-";"-";"-";"+";"-";"-";"+";"+";"par";"-";"+";"-";"+";"-";"-";"-";"+";"+";"-";"<E>";"<E>";"clôture";"Max clôture la séance par un discours"
"49";"-";"-";"-";"<E>";"-";"-";"cogérer";"+";"-";"-";"-";"-";"-";"-";"+";"-";"-";"+";"-";"avec";"+";"-";"-";"-";"-";"-";"-";"-";"+";"-";"<E>";"<E>";"<E>";"Les ouvriers cogèrent l'usine avec le patron"
"50";"-";"+";"+";"<E>";"-";"-";"commencer";"+";"-";"-";"-";"-";"-";"-";"+";"-";"-";"+";"+";"par";"-";"+";"-";"+";"-";"-";"-";"+";"+";"-";"<E>";"<E>";"commencement";"Max commence son texte par une citation"
"51";"-";"-";"-";"<E>";"-";"-";"commettre";"+";"-";"-";"-";"-";"-";"-";"+";"-";"-";"+";"-";"avec";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"<E>";"<E>";"<E>";"Max a commis sa réputation avec des escrocs"
"52";"-";"-";"-";"<E>";"-";"-";"commuer";"+";"-";"-";"-";"-";"-";"-";"+";"-";"-";"+";"+";"en";"-";"+";"-";"-";"-";"-";"-";"-";"+";"-";"<E>";"<E>";"<E>";"Le juge a commué sa peine en réclusion"
"53";"-";"-";"+";"<E>";"-";"-";"compenser";"+";"-";"-";"-";"-";"-";"-";"+";"+";"-";"+";"-";"par";"+";"+";"+";"+";"-";"-";"-";"-";"+";"-";"<E>";"<E>";"compensation";"Max compense sa perte par un gros gain"
"54";"~";"~";"~";"<E>";"-";"-";"comprendre";"+";"-";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"comme";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"<E>";"<E>";"<E>";"Max a compris cette remarque comme plaisanterie"
