"<ID>";"N2 V N1";"<ENT>Ppv";"<ENT>V";"Aux =: avoir";"Aux =: être";"N1 =: Nhum";"N1 =: N-hum";"N1 =: le fait Qu P";"Ppv =: le";"N0 V N1";"N0 V N2";"N0 V N1 comme N2";"N2 =: Nhum";"N0 V N1 de V-n";"N2 =: Npr";"N2 =: Adj";"N0 V N1 de N-hum";"N0 V N1 Loc N-hum";"N1 être Vpp (statique)";"N2 =: Dnum Nmes";"N0 V N1 de V-n (forme V-n)";"<OPT>";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"1";"~";"<E>";"accepter";"+";"-";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"<E>";"On a accepté Marie (comme) caissière"
"2";"~";"<E>";"acclamer";"+";"-";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"<E>";"Les soldats ont acclamé Max empereur"
"3";"~";"<E>";"accréditer";"+";"-";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"<E>";"On l'a accrédité auprès du président"
"4";"~";"<E>";"achever";"+";"-";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"<E>";"Max achève sa carrière(E+comme)colonel"
"5";"-";"<E>";"adouber";"+";"-";"+";"-";"-";"+";"+";"+";"-";"+";"-";"-";"-";"-";"-";"-";"-";"<E>";"Le roi a adoubé Paul chevalier"
"6";"~";"<E>";"admettre";"+";"-";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"<E>";"On a admis Paul (comme) caissier"
"7";"~";"<E>";"agréer";"+";"-";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"<E>";"On a agréé ce médecin comme stomato"
"8";"-";"<E>";"appeler";"+";"-";"+";"+";"+";"+";"-";"-";"-";"+";"-";"+";"-";"+";"-";"-";"-";"<E>";"Max a appelé son fils Luc"
"9";"+";"<E>";"appointer";"+";"-";"+";"+";"-";"+";"+";"-";"+";"+";"+";"-";"+";"+";"-";"+";"+";"appoint";"Max a appointé Luc 2000 F par mois"
"10";"-";"<E>";"armer";"+";"-";"+";"-";"-";"+";"-";"+";"-";"+";"-";"-";"-";"-";"-";"-";"-";"<E>";"Le roi a armé Luc chevalier"
"11";"~";"<E>";"attitrer";"+";"-";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"<E>";"On a attitré Max diplomate"
"12";"-";"<E>";"avoir";"+";"-";"+";"-";"-";"+";"-";"-";"+";"+";"-";"-";"-";"-";"-";"-";"-";"<E>";"Max a une jambe raide"
"13";"-";"<E>";"baptiser";"+";"-";"+";"+";"+";"+";"+";"-";"+";"+";"+";"+";"-";"+";"-";"+";"-";"baptême";"Max a baptisé son fils du nom de son père"
"14";"-";"<E>";"bombarder";"+";"-";"+";"-";"-";"+";"-";"-";"-";"+";"-";"-";"+";"+";"+";"-";"-";"<E>";"Le roi bombarde Luc général"
"15";"-";"<E>";"breveter";"+";"-";"+";"-";"-";"+";"-";"-";"-";"+";"+";"-";"+";"+";"-";"-";"-";"brevet";"Le roi a breveté Luc capitaine"
"16";"-";"<E>";"cataloguer";"+";"-";"+";"+";"-";"+";"+";"-";"+";"-";"-";"-";"+";"-";"-";"+";"-";"<E>";"On a catalogué Max comme meneur"
"17";"-";"<E>";"catapulter";"+";"-";"+";"-";"-";"+";"-";"-";"+";"+";"-";"-";"-";"-";"+";"-";"-";"<E>";"On a catapulté Max(E+comme)président à la tête du groupe"
"18";"-";"<E>";"choisir";"+";"-";"+";"+";"-";"+";"-";"-";"+";"+";"-";"-";"-";"-";"-";"+";"-";"<E>";"Max a été choisi comme président"
"19";"-";"<E>";"classer";"+";"-";"+";"+";"+";"+";"+";"-";"+";"+";"+";"-";"+";"-";"+";"+";"-";"classe";"Max a classé Luc expert"
"20";"-";"<E>";"coder";"+";"-";"+";"+";"+";"+";"+";"-";"+";"+";"+";"-";"+";"-";"+";"+";"-";"code";"Max code ce verbe trans."
"21";"-";"<E>";"coller";"+";"-";"+";"-";"-";"+";"-";"-";"+";"-";"-";"-";"+";"-";"-";"+";"-";"<E>";"Max a collé Luc surveillant de prison"
"22";"~";"<E>";"commencer";"+";"-";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"<E>";"Max a commencé (E+comme)caporal"
