"<ID>";"N0 =: Nhum";"N0 =: le fait Qu P";"N0 =: V1-inf W";"<ENT>Ppv";"Ppv =: Neg";"<ENT>V";"Neg";"Aux =: avoir";"Aux =: être";"N0 V";"N0 être V-ant W";"N0 être V-able W";"N0 être V-eux W";"N0 être V-(eur+ateur) W";"N1 =: Nabs";"N1 =: le fait Qu P";"N1 se V de ce Qu P";"N1 se V auprès de N3hum de ce Qu P";"N1 être Vpp de ce Qu P";"[passif par]";"[passif de]";"N0 V N1 contre N2hum";"<OPT>";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"1";"+";"+";"+";"<E>";"-";"abasourdir";"-";"+";"-";"+";"+";"-";"-";"-";"-";"-";"-";"-";"+";"+";"-";"-";"Cette nouvelle a abasourdi Max"
"2";"+";"+";"+";"<E>";"-";"abattre";"-";"+";"-";"+";"-";"-";"-";"-";"-";"-";"+";"-";"+";"+";"-";"-";"Que Paul ait dit cela a abattu Max"
"3";"+";"+";"+";"<E>";"-";"abêtir";"-";"+";"-";"+";"+";"-";"-";"-";"-";"-";"+";"-";"+";"+";"-";"-";"Que Paul soit toujours là abêtit Maria"
"4";"+";"+";"+";"<E>";"-";"abîmer";"-";"+";"-";"+";"-";"-";"-";"-";"+";"-";"-";"-";"-";"+";"-";"-";"Que Paul ait révélé cela a abîmé Marie"
"5";"~";"~";"~";"<E>";"-";"abrutir";"-";"+";"-";"~";"~";"~";"~";"~";"-";"~";"~";"~";"~";"~";"~";"~";"Que Max ait tant parlé a abruti Luc"
"6";"+";"+";"+";"<E>";"-";"abuser";"-";"+";"-";"+";"-";"-";"-";"-";"+";"-";"-";"-";"-";"+";"-";"-";"Que Luc ait fait triché a abusé Max"
"7";"+";"+";"+";"<E>";"-";"accaparer";"-";"+";"-";"+";"+";"-";"-";"-";"+";"-";"-";"-";"-";"+";"-";"-";"Ces tâches accaparent Léa"
"8";"+";"+";"+";"<E>";"-";"accomplir";"-";"+";"-";"+";"+";"-";"-";"-";"-";"-";"+";"-";"-";"+";"-";"-";"Le travail a accompli Max"
"9";"~";"~";"~";"<E>";"-";"accrassiner";"-";"+";"-";"~";"~";"~";"~";"~";"-";"~";"~";"~";"~";"~";"~";"~";"Cette situation a accrassiné Marie"
"10";"+";"+";"+";"<E>";"-";"accrocher";"-";"+";"-";"+";"+";"-";"-";"-";"+";"-";"-";"-";"-";"+";"-";"-";"Ce spectacle a accroché Marie"
