"<ID>";"N0 =: Nhum";"N0 =: Nnr";"N0 =: le fait Qu P";"N0 =: le fait de V1-inf W";"<ENT>Ppv";"Ppv =: se figé";"Ppv =: Neg";"<ENT>V";"Neg";"Aux =: avoir";"Aux =: être";"N0 V";"N0 V contre Nhum";"N0 V après Nhum";"N1 =: Qu Pind";"Qu P = V0-inf W";"N1 =: Qu P = Aux V0-inf W";"Qu P = de V0-inf W";"N1 = (N) (V-ant W)";"N1 = (N) (V-inf W)";"N1 = (N) (être Adj)";"N0 V (être Adj) (Qu P)";"Qu N0 V (être Adj)";"N1 = (N) (Adj)";"N0 V (Adj) (Qu P)";"Qu N0 V (Adj)";"(Nég, interro) => subj";"impératif => subj";"N1 =: Qu Psubj";"Qu Psubj = V0-inf W";"Qu Psubj = de V0-inf W";"N1 =: si P ou si P";"N1 =: ce(ci+la)";"N1 =: Qu P = Ppv";"N1 =: Nhum";"N1 =: N-hum";"N1 =: le fait Qu P";"N0 V N1 de N2hum";"N0 V N1 à ce Qu P";"[passif par]";"[passif de]";"<OPT>"
"1";"+";"-";"-";"-";"<E>";"-";"-";"abandonner";"-";"+";"-";"+";"-";"-";"-";"-";"-";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"+";"-";"+";"-";"+";"+";"+";"+";"-";"-";"-";"+";"+";"Paul a abandonné (E+l'idée)qu'on vienne le voir"
"2";"+";"+";"+";"-";"<E>";"-";"-";"abroger";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"+";"-";"-";"-";"+";"+";"-";"+";"-";"-";"-";"+";"+";"Cette loi abroge que les prix soient affichés"
"3";"~";"~";"~";"~";"<E>";"-";"-";"accélérer";"-";"+";"-";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"Les abus ont accéléré sa fin"
"4";"+";"-";"-";"-";"<E>";"-";"-";"accepter";"-";"+";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"+";"-";"+";"-";"-";"+";"-";"+";"-";"+";"+";"-";"+";"+";"+";"-";"+";"+";"Guy a accepté que Marie s'en aille"
"5";"+";"-";"-";"-";"<E>";"-";"-";"accueillir Advm";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"+";"-";"+";"-";"+";"-";"-";"+";"+";"+";"-";"+";"+";"Le public a bien accueilli que l'on supprime cette mesure"
"6";"+";"-";"-";"-";"<E>";"-";"-";"admettre";"-";"+";"-";"-";"-";"-";"+";"+";"+";"-";"-";"-";"-";"+";"+";"+";"-";"+";"-";"-";"+";"-";"+";"-";"+";"+";"-";"+";"+";"+";"-";"+";"+";"Max admet qu'il(a+ait)pu faire une erreur"
"7";"~";"~";"~";"~";"<E>";"-";"-";"admettre Advm";"-";"+";"-";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"Max admet mal qu'on vienne le déranger"
"8";"+";"-";"-";"-";"<E>";"-";"-";"adopter";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"+";"-";"+";"-";"+";"-";"-";"+";"-";"+";"-";"+";"+";"Le gouvernement a adopté que l'essence augmenterait de 3 centimes"
"9";"+";"-";"-";"-";"<E>";"-";"-";"affabuler";"-";"+";"-";"+";"+";"+";"+";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"+";"-";"-";"+";"-";"+";"-";"+";"-";"Max a affabulé qu'il avait sauvé Marie d'un incendie"
"10";"+";"-";"-";"-";"<E>";"-";"-";"affecter";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"+";"-";"+";"-";"+";"-";"-";"+";"-";"+";"-";"+";"-";"Max affecte qu'il ne connaît pas la question"
"11";"+";"-";"-";"-";"<E>";"-";"-";"afficher";"-";"+";"-";"-";"-";"-";"+";"-";"+";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"+";"+";"+";"+";"+";"-";"+";"-";"+";"-";"Max affiche qu'il est satisfait"
"12";"+";"-";"-";"-";"<E>";"-";"-";"agencer";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"+";"-";"+";"-";"+";"+";"-";"+";"-";"-";"-";"+";"-";"Max a agencé qu'Ida le retrouve"
"13";"+";"-";"-";"-";"<E>";"-";"-";"agréer";"-";"+";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"+";"-";"+";"-";"+";"+";"+";"+";"-";"+";"-";"+";"+";"Le directeur a agrée que Max occupe ce poste"
"14";"+";"+";"+";"-";"<E>";"-";"-";"ajourner Advfut";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"+";"-";"+";"-";"+";"-";"-";"+";"-";"-";"-";"+";"-";"Paul a ajourné (de trois jours+au lendemain)que l'on mette en ordre la salle"
"15";"+";"-";"-";"-";"<E>";"-";"-";"ambitionner";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"+";"-";"+";"-";"+";"+";"-";"+";"-";"+";"-";"+";"+";"Max ambitionne que ses enfants réussissent"
"16";"+";"+";"+";"-";"<E>";"-";"-";"amener";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"+";"-";"-";"-";"+";"-";"-";"+";"+";"-";"-";"+";"-";"Ces événements ont amené que Luc s'est plaint"
"17";"+";"-";"-";"-";"<E>";"-";"-";"analyser";"-";"+";"-";"-";"-";"-";"+";"-";"+";"-";"-";"-";"-";"+";"+";"-";"-";"-";"+";"-";"-";"-";"-";"+";"+";"-";"+";"+";"+";"-";"-";"+";"-";"Max analysera si oui ou non Luc est capable de réussir"
"18";"+";"+";"+";"-";"<E>";"-";"-";"annuler";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"+";"-";"+";"-";"+";"-";"-";"+";"-";"-";"-";"+";"-";"Cette loi annule pour les dames de payer la surtaxe"
"19";"+";"-";"-";"-";"<E>";"-";"-";"anticiper";"-";"+";"-";"+";"-";"-";"+";"-";"+";"-";"-";"-";"-";"+";"+";"-";"-";"-";"+";"-";"+";"-";"-";"-";"+";"+";"+";"+";"+";"-";"-";"+";"+";"Max a anticipé que Luc allait accepter"
"20";"+";"-";"-";"-";"<E>";"-";"-";"apercevoir";"-";"+";"-";"-";"-";"-";"+";"-";"-";"-";"+";"+";"-";"+";"+";"-";"-";"-";"-";"-";"-";"-";"-";"+";"+";"+";"+";"+";"-";"-";"-";"+";"+";"Max a enfin aperçu que Luc le trompait"
