"<ID>";"C0 =: il";"<ENT>Ppv";"Ppv =: en figé";"Ppv =: Neg";"<ENT>V";"V-n V W";"il V V-n W";"V-n V N1";"N1 V";"il faire V-n";"il tomber V-n Loc N";"il lui V Loc N1pc";"N0 V W";"Exemple"
"1";"~";"<E>";"-";"-";"accrocher";"~";"~";"~";"~";"~";"~";"~";"~";"Ça accroche entre Luc et Marie"
"2";"~";"<E>";"-";"-";"aller Advm";"~";"~";"~";"~";"~";"~";"~";"~";"Ça va bien "
"3";"~";"en";"+";"-";"aller Advm";"~";"~";"~";"~";"~";"~";"~";"~";"Il en va de même pour Luc"
"4";"-";"<E>";"-";"-";"barder";"-";"-";"-";"-";"-";"-";"-";"-";"Ça va barder "
"5";"~";"<E>";"-";"-";"bicher";"~";"~";"~";"~";"~";"~";"~";"~";"Ça biche "
"6";"~";"<E>";"-";"-";"bouchonner";"~";"~";"~";"~";"~";"~";"~";"~";"Ça bouchonne (E+sur l'autoroute)"
"7";"+";"<E>";"-";"-";"brouillasser";"+";"+";"-";"-";"+";"-";"-";"-";"Il brouillasse "
"8";"+";"<E>";"-";"-";"bruiner";"+";"+";"-";"-";"-";"+";"+";"+";"Il bruine "
"9";"+";"<E>";"-";"-";"brumasser";"+";"+";"-";"-";"+";"-";"-";"-";"Il brumasse "
"10";"+";"<E>";"-";"-";"brumer";"+";"+";"-";"-";"+";"-";"-";"-";"Il brume "
"11";"+";"<E>";"-";"-";"cailler";"-";"-";"-";"-";"-";"-";"-";"-";"Il caille dehors"
"12";"-";"<E>";"-";"-";"chauffer";"-";"-";"-";"-";"-";"-";"-";"-";"Ça va chauffer (E+entre eux)"
"13";"-";"<E>";"-";"-";"chier";"-";"-";"-";"-";"-";"-";"-";"-";"Ça chie dans le bureau"
"14";"~";"<E>";"-";"-";"coller";"~";"~";"~";"~";"~";"~";"~";"~";"Ça colle pour demain"
"15";"-";"<E>";"-";"-";"coller";"-";"-";"-";"-";"-";"-";"-";"-";"Ça ne colle pas entre eux"
"16";"+";"<E>";"-";"-";"crachiner";"+";"+";"-";"-";"-";"+";"+";"+";"Il crachine "
"17";"~";"<E>";"-";"-";"dégringoler";"~";"~";"~";"~";"~";"~";"~";"~";"Ça dégringole "
"18";"+";"<E>";"-";"-";"déluger";"+";"+";"-";"-";"-";"+";"+";"+";"Il déluge "
"19";"~";"<E>";"-";"-";"descendre";"~";"~";"~";"~";"~";"~";"~";"~";"Ça descend "
"20";"-";"<E>";"-";"-";"douiller";"-";"-";"-";"-";"-";"-";"-";"-";"Les impôts, ça douille cette année"
"21";"~";"<E>";"-";"-";"éclairer";"~";"~";"~";"~";"~";"~";"~";"~";"Il a éclairé toute la nuit"
"22";"+";"<E>";"-";"-";"floconner";"+";"+";"-";"-";"-";"+";"+";"+";"Il floconne une neige fine sur la ville"
"23";"+";"<E>";"-";"-";"flotter";"+";"+";"-";"-";"-";"+";"+";"-";"Il flotte sur la campagne"
"24";"+";"<E>";"-";"-";"fraîchir";"-";"-";"+";"+";"+";"-";"-";"+";"(Ça+Il) fraîchit "
