"<ID>";"N0 =: Nhum";"N0 =: N-hum";"Ppv =: Neg";"<ENT>Ppv";"<ENT><avoir>";"N1 =: Nhum";"N1 =: N-hum";"N0 V N1";"<ENT>Prép2";"<ENT>Det2";"C2 =: Npc";"<ENT>C2";"Vsup = garder";"Vsup = rester";"Vsup = tomber";"Exemple"
"1";"+";"-";"-";"<E>";"avoir";"+";"+";"-";"  en";"<E>";"-";"  abomination";"+";"-";"-";"§a§en abomination "
"2";"+";"-";"-";"<E>";"avoir";"+";"+";"-";"  en";"<E>";"-";"  aversion";"+";"-";"-";"§a§en aversion "
"3";"+";"-";"-";"<E>";"avoir";"-";"+";"-";"  pour";"tout";"-";"  bagage";"+";"+";"-";"§a§pour tout bagage "
"4";"+";"-";"-";"<E>";"avoir";"-";"+";"+";"  en";"<E>";"-";"  banque";"+";"+";"-";"§a§en banque "
"5";"+";"-";"-";"<E>";"avoir";"+";"-";"-";"  à";"la";"-";"  bonne";"+";"-";"-";"§a§à la bonne "
"6";"+";"-";"-";"<E>";"avoir";"-";"+";"-";"  à";"la";"+";"  bouche";"-";"-";"-";"§a§à la bouche "
"7";"+";"-";"-";"<E>";"avoir";"-";"+";"-";"  pour";"une";"-";"  bouchée de pain";"-";"-";"-";"§a§pour une bouchée de pain "
"8";"+";"-";"-";"<E>";"avoir";"+";"-";"+";"  à";"le";"-";"  bout du fil";"-";"-";"-";"§a§au bout du fil "
"9";"+";"-";"-";"<E>";"avoir";"-";"+";"+";"  à";"la";"-";"  boutonnière";"+";"+";"-";"§a§à la boutonnière "
"10";"+";"-";"-";"<E>";"avoir";"+";"+";"-";"  sur";"les";"+";"  bras";"+";"+";"+";"§a§sur les bras "
"11";"+";"-";"-";"<E>";"avoir";"-";"+";"+";"  en";"<E>";"-";"  caisse";"+";"+";"-";"§a§en caisse "
"12";"+";"-";"-";"<E>";"avoir";"+";"-";"-";"  à";"<E>";"-";"  charge";"+";"+";"-";"§a§à charge "
"13";"+";"-";"-";"<E>";"avoir";"-";"+";"-";"  pour";"pas";"-";"  cher";"-";"-";"-";"§a§pour pas cher "
"14";"+";"-";"-";"<E>";"avoir";"-";"+";"+";"  en";"<E>";"-";"  compte";"+";"+";"-";"§a§en compte "
