"<ID>";"N0 =: Nhum";"N0 =: N-hum";"Ppv =: se figé";"<ENT>Ppv";"<ENT>V";"C1 =: Npc0";"<ENT>Det1";"<ENT>C1";"N0 V Det1 C1";"<ENT>Prép2";"N2 =: Nhum";"N2 =: N-hum";"Prép2 N2hum = Ppv =: lui";"Prép2 N2-hum = Ppv";"sur N2 = dessus N2";"[passif]";"Exemple"
"1";"+";"+";"-";"<E>";" accorder";"-";"une large";" confiance";"-";" à";"+";"+";"+";"-";"-";"+";"§accorder§une large confiance à "
"2";"+";"-";"-";"<E>";" accorder";"-";"un";" coup d'oeil";"-";" à";"+";"+";"+";"+";"-";"+";"§accorder§un coup d'oeil à "
"3";"+";"-";"-";"<E>";" accorder";"-";"un";" entretien";"-";" à";"+";"-";"+";"-";"-";"+";"§accorder§un entretien à "
"4";"+";"-";"-";"<E>";" accorder";"-";"une";" entrevue";"-";" à";"+";"-";"+";"-";"-";"+";"§accorder§une entrevue à "
"5";"+";"-";"-";"<E>";" accorder";"-";"une";" faveur";"-";" à";"+";"-";"+";"-";"-";"+";"§accorder§une faveur à "
"6";"+";"-";"-";"<E>";" accorder";"-";"une";" interview";"-";" à";"+";"-";"+";"-";"-";"+";"§accorder§une interview à "
"7";"+";"-";"-";"<E>";" accorder";"-";"un";" Ndanse";"-";" à";"+";"-";"+";"-";"-";"+";"§accorder§un Ndanse à "
"8";"+";"+";"-";"<E>";" accorder";"-";"une petite";" place";"+";" à";"+";"+";"+";"-";"-";"+";"§accorder§une petite place à "
"9";"+";"+";"-";"<E>";" accorder";"-";"une large";" place";"+";" à";"+";"+";"+";"-";"-";"+";"§accorder§une large place à "
"10";"+";"+";"-";"<E>";" accorder";"-";"une";" place";"+";" à";"+";"+";"+";"-";"-";"+";"§accorder§une place à "
"11";"+";"-";"-";"<E>";" accorder";"-";"un";" regard";"-";" à";"+";"+";"+";"+";"-";"+";"§accorder§un regard à "
"12";"+";"-";"-";"<E>";" accorder";"-";"un";" rendez-vous";"-";" à";"+";"-";"+";"-";"-";"+";"§accorder§un rendez-vous à "
"13";"+";"-";"-";"<E>";" accorder";"-";"un";" sursis";"-";" à";"+";"-";"+";"-";"-";"+";"§accorder§un sursis à "
"14";"+";"-";"-";"<E>";" accorder";"-";"une";" valse";"-";" à";"+";"-";"+";"-";"-";"+";"§accorder§une valse à "
"15";"+";"+";"-";"<E>";" adjoindre";"-";"un";" collaborateur";"-";" à";"+";"-";"+";"-";"-";"+";"§adjoindre§un collaborateur à "
"16";"+";"-";"-";"<E>";" administrer";"-";"une";" preuve";"-";" à";"+";"-";"+";"-";"-";"+";"§administrer§une preuve à "
"17";"+";"-";"-";"<E>";" administrer";"-";"un";" remède";"-";" à";"+";"-";"+";"-";"-";"+";"§administrer§un remède à "
"18";"+";"-";"-";"<E>";" administrer";"-";"des";" soins";"-";" à";"+";"-";"+";"-";"-";"+";"§administrer§des soins à "
"19";"+";"-";"-";"<E>";" adresser";"-";"un";" coup de semonce";"-";" à";"+";"-";"+";"-";"-";"+";"§adresser§un coup de semonce à "
"20";"+";"-";"-";"<E>";" adresser";"-";"une";" prière";"-";" à";"+";"-";"+";"-";"-";"+";"§adresser§une prière à "
"21";"+";"-";"-";"<E>";" adresser";"-";"un";" regard";"-";" à";"+";"-";"+";"-";"-";"+";"§adresser§un regard à "
"22";"+";"-";"-";"<E>";" adresser";"-";"un";" sourire";"-";" à";"+";"-";"+";"-";"-";"+";"§adresser§un sourire à "
"23";"+";"-";"-";"<E>";" agiter";"-";"une";" menace";"-";" devant";"+";"-";"-";"-";"-";"-";"§agiter§une menace devant "
"24";"+";"-";"-";"<E>";" allonger";"-";"une";" botte";"+";" à";"+";"-";"+";"-";"-";"+";"§allonger§une botte à "
