"<ID>";"N0 =: Nhum";"N0 =: N-hum";"Ppv =: se figé";"<ENT>Ppv";"<ENT>V";"<ENT>Prép1";"<ENT>Det1";"C1 =: Npc";"<ENT>C1";"N0 V Prép1 Det1 C1";"C1 =: C1 de Nhum";"C1 =: C1 de N-hum";"C1 de Nhum = Ppv-C1 =: lui-C1";"Det1 C1 de Nc = Poss C1";"N0 =: Qu Pind extrap";"N0 =: Qu Psubj extrap";"N0 =: de V1c-inf W extrap";"N0 V Prép1 Det1 C1 pour Nc Qu Psubj";"Exemple"
"1";"-";"+";"-";"<E>";" aller";"<E>";"<E>";"-";" droit à le coeur";"-";"+";"-";"+";"-";"-";"+";"-";"-";"§aller§droit au coeur "
"2";"-";"+";"-";"<E>";" appartenir";"à";"le";"-";" passé";"+";"-";"-";"-";"+";"-";"+";"-";"-";"§appartenir§au passé "
"3";"-";"+";"-";"<E>";" bouillonner";"dans";"le";"+";" ciboulot";"-";"+";"-";"+";"+";"+";"+";"+";"-";"§bouillonner§dans le ciboulot "
"4";"-";"+";"-";"<E>";" bouillonner";"dans";"le";"+";" crâne";"-";"+";"-";"+";"+";"+";"+";"+";"-";"§bouillonner§dans le crâne "
"5";"-";"+";"-";"<E>";" bouillonner";"dans";"le";"-";" esprit";"-";"+";"-";"+";"+";"+";"+";"+";"-";"§bouillonner§dans l'esprit "
"6";"-";"+";"-";"<E>";" bouillonner";"dans";"la";"+";" tête";"-";"+";"-";"+";"+";"+";"+";"+";"-";"§bouillonner§dans la tête "
"7";"-";"+";"-";"<E>";" bourdonner";"dans";"les";"+";" oreilles";"-";"+";"-";"+";"+";"+";"+";"+";"-";"§bourdonner§dans les oreilles "
"8";"-";"+";"-";"<E>";" briller";"dans";"les";"+";" yeux";"-";"+";"-";"+";"+";"+";"+";"+";"-";"§briller§dans les yeux "
"9";"-";"+";"-";"<E>";" bruire";"dans";"les";"+";" oreilles";"-";"+";"-";"+";"+";"+";"+";"+";"-";"§bruire§dans les oreilles "
"10";"-";"+";"-";"<E>";" carillonner";"dans";"les";"+";" oreilles";"-";"+";"-";"+";"+";"+";"+";"+";"-";"§carillonner§dans les oreilles "
"11";"-";"+";"-";"<E>";" cheminer";"dans";"le";"-";" esprit";"-";"+";"-";"+";"+";"+";"+";"+";"-";"§cheminer§dans l'esprit "
"12";"-";"+";"-";"<E>";" circuler";"sur";"le";"-";" compte";"-";"+";"-";"-";"+";"+";"-";"-";"-";"§circuler§sur le compte "
"13";"-";"+";"-";"<E>";" courir";"sur";"le";"+";" haricot";"+";"+";"-";"+";"-";"+";"-";"-";"+";"§courir§sur l'haricot "
"14";"-";"+";"-";"<E>";" courir";"sur";"le";"+";" système";"+";"+";"-";"+";"-";"+";"-";"-";"+";"§courir§sur le système "
"15";"-";"+";"-";"<E>";" crever";"<E>";"les";"+";" yeux";"+";"+";"-";"+";"-";"+";"-";"-";"+";"§crever§les yeux "
"16";"-";"+";"+";"se";" dessiner";"dans";"le";"-";" esprit";"-";"+";"-";"-";"+";"+";"+";"+";"-";"§se dessiner§dans l'esprit "
"17";"-";"+";"+";"se";" dessiner";"à";"le";"-";" horizon";"+";"-";"+";"-";"-";"+";"-";"-";"-";"§se dessiner§à l'horizon "
"18";"-";"+";"-";"<E>";" échapper";"à";"la";"-";" attention";"+";"+";"-";"-";"+";"+";"-";"+";"-";"§échapper§à l'attention "
"19";"-";"+";"-";"<E>";" échapper";"de";"les";"+";" lèvres";"-";"+";"-";"+";"-";"-";"+";"-";"-";"§échapper§des lèvres "
"20";"-";"+";"-";"<E>";" échapper";"à";"le";"+";" oeil";"+";"+";"-";"-";"+";"+";"-";"+";"-";"§échapper§à l'oeil "
"21";"-";"+";"-";"<E>";" échapper";"à";"le";"+";" oeil averti";"+";"+";"-";"-";"+";"+";"-";"+";"-";"§échapper§à l'oeil averti "
"22";"-";"+";"-";"<E>";" échapper";"à";"le";"-";" regard";"+";"+";"-";"-";"+";"+";"-";"+";"-";"§échapper§au regard "
"23";"-";"+";"-";"<E>";" échapper";"à";"la";"-";" vigilance";"+";"+";"-";"-";"+";"+";"-";"+";"-";"§échapper§à la vigilance "
"24";"-";"+";"-";"<E>";" éclore";"dans";"le";"-";" esprit";"-";"+";"-";"+";"+";"+";"+";"+";"-";"§éclore§dans l'esprit "
"25";"-";"+";"-";"<E>";" entrer";"dans";"les";"-";" intérêts";"-";"+";"-";"-";"+";"-";"+";"+";"-";"§entrer§dans les intérêts "
"26";"-";"+";"-";"<E>";" entrer";"dans";"les";"-";" vues";"-";"+";"-";"-";"+";"-";"+";"+";"-";"§entrer§dans les vues "
"27";"-";"+";"-";"<E>";" faire";"<E>";"<E>";"-";" partie";"-";"-";"+";"-";"-";"-";"+";"-";"-";"§fait§partie "
"28";"-";"+";"-";"<E>";" fermenter";"dans";"le";"+";" cerveau";"-";"+";"-";"+";"+";"+";"+";"+";"-";"§fermenter§dans le cerveau "
"29";"-";"+";"-";"<E>";" fermenter";"dans";"la";"+";" cervelle";"-";"+";"-";"+";"+";"+";"+";"+";"-";"§fermenter§dans la cervelle "
"30";"-";"+";"-";"<E>";" fermenter";"dans";"le";"+";" ciboulot";"-";"+";"-";"+";"+";"+";"+";"+";"-";"§fermenter§dans le ciboulot "
"31";"-";"+";"-";"<E>";" fermenter";"dans";"le";"+";" crâne";"-";"+";"-";"+";"+";"+";"+";"+";"-";"§fermenter§dans le crâne "
"32";"-";"+";"-";"<E>";" fermenter";"dans";"le";"-";" esprit";"-";"+";"-";"+";"+";"+";"+";"+";"-";"§fermenter§dans l'esprit "
"33";"-";"+";"-";"<E>";" fermenter";"dans";"la";"+";" tête";"-";"+";"-";"+";"-";"+";"+";"+";"-";"§fermenter§dans la tête "
"34";"-";"+";"-";"<E>";" flamboyer";"dans";"les";"+";" yeux";"-";"+";"-";"+";"+";"+";"+";"+";"-";"§flamboyer§dans les yeux "
"35";"-";"+";"-";"<E>";" germer";"dans";"le";"+";" cerveau";"-";"+";"-";"+";"+";"+";"+";"+";"-";"§germer§dans le cerveau "
"36";"-";"+";"-";"<E>";" germer";"dans";"la";"+";" cervelle";"-";"+";"-";"+";"+";"+";"+";"+";"-";"§germer§dans la cervelle "
"37";"-";"+";"-";"<E>";" germer";"dans";"le";"+";" ciboulot";"-";"+";"-";"+";"+";"+";"+";"+";"-";"§germer§dans le ciboulot "
"38";"-";"+";"-";"<E>";" germer";"dans";"le";"+";" crâne";"-";"+";"-";"+";"+";"+";"+";"+";"-";"§germer§dans le crâne "
"39";"-";"+";"-";"<E>";" germer";"dans";"le";"-";" esprit";"-";"+";"-";"+";"+";"+";"+";"+";"-";"§germer§dans l'esprit "
"40";"-";"+";"-";"<E>";" germer";"dans";"la";"+";" tête";"-";"+";"-";"+";"+";"+";"+";"+";"-";"§germer§dans la tête "
"41";"-";"+";"+";"s'";" imposer";"à";"le";"-";" esprit";"+";"+";"-";"-";"+";"+";"+";"+";"-";"§s'imposer§à l'esprit "
"42";"-";"+";"-";"<E>";" manquer";"à";"le";"-";" bonheur";"-";"+";"-";"-";"+";"-";"+";"+";"-";"§manquer§au bonheur "
"43";"-";"+";"-";"<E>";" manquer";"à";"la";"-";" gloire";"-";"+";"-";"-";"+";"-";"+";"+";"-";"§manquer§à la gloire "
"44";"-";"+";"-";"<E>";" mariner";"dans";"le";"+";" cerveau";"-";"+";"-";"+";"+";"+";"+";"+";"-";"§mariner§dans le cerveau "
"45";"-";"+";"-";"<E>";" mariner";"dans";"la";"+";" cervelle";"-";"+";"-";"+";"+";"+";"+";"+";"-";"§mariner§dans la cervelle "
"46";"-";"+";"-";"<E>";" mariner";"dans";"le";"+";" ciboulot";"-";"+";"-";"+";"+";"+";"+";"+";"-";"§mariner§dans le ciboulot "
"47";"-";"+";"-";"<E>";" mariner";"dans";"le";"+";" crâne";"-";"+";"-";"+";"+";"+";"+";"+";"-";"§mariner§dans le crâne "
"48";"-";"+";"-";"<E>";" mariner";"dans";"le";"-";" esprit";"-";"+";"-";"+";"+";"+";"+";"+";"-";"§mariner§dans l'esprit "
"49";"-";"+";"-";"<E>";" mariner";"dans";"la";"+";" tête";"-";"+";"-";"+";"-";"+";"+";"+";"-";"§mariner§dans la tête "
"50";"-";"+";"-";"<E>";" mijoter";"dans";"le";"+";" cerveau";"-";"+";"-";"+";"+";"+";"+";"+";"-";"§mijoter§dans le cerveau "
"51";"-";"+";"-";"<E>";" mijoter";"dans";"la";"+";" cervelle";"-";"+";"-";"+";"+";"+";"+";"+";"-";"§mijoter§dans la cervelle "
"52";"-";"+";"-";"<E>";" mijoter";"dans";"le";"+";" ciboulot";"-";"+";"-";"+";"+";"+";"+";"+";"-";"§mijoter§dans le ciboulot "
"53";"-";"+";"-";"<E>";" mijoter";"dans";"le";"+";" crâne";"-";"+";"-";"+";"+";"+";"+";"+";"-";"§mijoter§dans le crâne "
"54";"-";"+";"-";"<E>";" mijoter";"dans";"la";"+";" tête";"-";"+";"-";"+";"-";"+";"+";"+";"-";"§mijoter§dans la tête "
"55";"-";"+";"-";"<E>";" militer";"en";"<E>";"-";" faveur";"-";"+";"-";"-";"+";"-";"+";"+";"-";"§militer§en faveur "
"56";"-";"+";"-";"<E>";" parvenir";"à";"la";"-";" connaissance";"-";"+";"-";"-";"+";"+";"-";"-";"-";"§parvenir§à la connaissance "
"57";"-";"+";"-";"<E>";" passer";"par";"le";"-";" esprit";"-";"+";"-";"+";"-";"+";"-";"+";"-";"§passer§par l'esprit "
"58";"-";"+";"-";"<E>";" passer";"dans";"les";"-";" faits";"+";"-";"-";"-";"+";"-";"+";"+";"-";"§passer§dans les faits "
"59";"-";"+";"-";"<E>";" passer";"dans";"les";"-";" habitudes";"+";"-";"-";"-";"+";"-";"+";"+";"-";"§passer§dans les habitudes "
"60";"-";"+";"-";"<E>";" passer";"dans";"les";"-";" moeurs";"+";"+";"-";"-";"+";"-";"+";"+";"-";"§passer§dans les moeurs "
"61";"-";"+";"-";"<E>";" passer";"par";"la";"+";" tête";"-";"+";"-";"+";"-";"+";"-";"+";"-";"§passer§par la tête "
"62";"-";"+";"-";"<E>";" pendre";"à";"le";"+";" nez";"-";"+";"-";"+";"-";"+";"-";"-";"+";"§pendre§au nez "
"63";"-";"+";"-";"<E>";" percer";"dans";"les";"-";" propos";"-";"+";"-";"-";"+";"+";"-";"+";"-";"§percer§dans les propos "
"64";"-";"+";"-";"<E>";" percer";"sous";"les";"-";" propos";"-";"+";"-";"-";"+";"+";"-";"+";"-";"§percer§sous les propos "
"65";"-";"+";"-";"<E>";" peser";"sur";"le";"+";" estomac";"-";"+";"-";"+";"-";"-";"+";"+";"-";"§peser§sur l'estomac "
"66";"+";"+";"-";"<E>";" plaider";"en";"<E>";"-";" faveur";"-";"+";"-";"-";"+";"+";"-";"-";"+";"§plaider§en faveur "
"67";"-";"+";"-";"<E>";" porter";"sur";"les";"+";" nerfs";"+";"+";"-";"+";"-";"+";"-";"-";"+";"§porter§sur les nerfs "
"68";"-";"+";"-";"<E>";" porter";"sur";"le";"+";" système";"+";"+";"-";"+";"-";"-";"+";"+";"-";"§porter§sur le système "
"69";"-";"+";"-";"<E>";" prédominer";"dans";"le";"-";" esprit";"-";"+";"-";"+";"+";"+";"+";"+";"-";"§prédominer§dans l'esprit "
"70";"-";"+";"+";"se";" présenter";"à";"le";"-";" esprit";"+";"+";"-";"-";"+";"-";"-";"-";"+";"§se présenter§à l'esprit "
"71";"-";"+";"-";"<E>";" remonter";"à";"la";"-";" mémoire";"-";"+";"-";"+";"+";"+";"-";"+";"-";"§remonter§à la mémoire "
"72";"-";"+";"-";"<E>";" répondre";"à";"la";"-";" attente";"-";"+";"-";"-";"+";"+";"+";"+";"-";"§répondre§à l'attente "
"73";"-";"+";"-";"<E>";" répondre";"à";"les";"-";" attentes";"-";"+";"-";"-";"+";"+";"+";"+";"-";"§répondre§aux attentes "
"74";"-";"+";"-";"<E>";" répondre";"à";"la";"-";" demande";"-";"+";"-";"-";"+";"+";"+";"+";"-";"§répondre§à la demande "
"75";"-";"+";"-";"<E>";" répondre";"à";"les";"-";" demandes";"-";"+";"-";"-";"+";"+";"+";"+";"-";"§répondre§aux demandes "
"76";"-";"+";"-";"<E>";" répondre";"à";"le";"-";" souhait";"-";"+";"-";"-";"+";"+";"+";"+";"-";"§répondre§au souhait "
"77";"-";"+";"-";"<E>";" répondre";"à";"les";"-";" souhaits";"-";"+";"-";"-";"+";"+";"+";"+";"-";"§répondre§aux souhaits "
"78";"-";"+";"-";"<E>";" répondre";"à";"le";"-";" voeu";"-";"+";"-";"-";"+";"+";"+";"+";"-";"§répondre§au voeu "
