"<ID>";"N0 =: Nhum";"N0 =: N-hum";"Ppv =: se figé";"Ppv =: en figé";"Ppv =: Neg";"<ENT>Ppv";"<ENT>V";"<ENT>Det1";"autre Det1";"C1 =: Npc0";"<ENT>C1";"N0 V Det1 C1";"[passif]";"N2 =: ce Qu Psubj";"N2 =: ce Qu Pind";"Prép N2 =: Prép ce Qu P = Qu P";"N2 =: V0-inf W";"N2 =: Nhum";"N2 =: N-hum";"Exemple"
"1";"+";"-";"-";"-";"-";"<E>";" abandonner";"le";"+";"-";" dessein";"-";"+";"-";"+";"+";"+";"-";"+";"§abandonner§le dessein "
"2";"+";"-";"-";"-";"-";"<E>";" abandonner";"la";"+";"-";" idée";"-";"+";"-";"+";"+";"+";"-";"+";"§abandonner§l'idée "
"3";"+";"-";"-";"-";"-";"<E>";" abandonner";"la";"+";"-";" intention";"-";"+";"-";"+";"+";"+";"-";"-";"§abandonner§l'intention "
"4";"+";"-";"-";"-";"-";"<E>";" abandonner";"le";"+";"-";" projet";"-";"+";"-";"+";"+";"+";"-";"+";"§abandonner§le projet "
"5";"+";"-";"-";"-";"-";"<E>";" accepter";"le";"+";"-";" augure";"+";"+";"+";"-";"+";"+";"-";"+";"§accepter§l'augure "
"6";"+";"-";"-";"-";"-";"<E>";" accepter";"le";"+";"-";" principe";"+";"+";"+";"-";"+";"+";"-";"+";"§accepter§le principe "
"7";"+";"-";"-";"-";"-";"<E>";" acquérir";"la";"+";"-";" conviction";"-";"-";"+";"-";"+";"+";"-";"+";"§acquérir§la conviction "
"8";"+";"-";"-";"-";"-";"<E>";" afficher";"le";"+";"-";" dessein";"-";"+";"-";"+";"+";"+";"-";"+";"§afficher§le dessein "
"9";"+";"-";"-";"-";"-";"<E>";" afficher";"la";"+";"-";" idée";"-";"+";"-";"+";"+";"+";"-";"+";"§afficher§l'idée "
"10";"+";"-";"-";"-";"-";"<E>";" afficher";"la";"+";"-";" intention";"-";"+";"-";"+";"+";"+";"-";"-";"§afficher§l'intention "
"11";"+";"-";"-";"-";"-";"<E>";" afficher";"le";"+";"-";" projet";"-";"+";"-";"+";"+";"+";"-";"+";"§afficher§le projet "
"12";"+";"-";"-";"-";"-";"<E>";" afficher";"la";"-";"-";" volonté";"-";"+";"-";"+";"+";"+";"-";"-";"§afficher§la volonté "
"13";"+";"+";"-";"-";"-";"<E>";" apporter";"la";"-";"-";" démonstration";"-";"+";"-";"+";"+";"-";"-";"+";"§apporter§la démonstration "
"14";"+";"+";"-";"-";"-";"<E>";" apporter";"la";"-";"-";" preuve";"-";"+";"-";"+";"+";"-";"-";"+";"§apporter§la preuve "
