"<ID>";"<ENT>Conj";"<ENT>Det0";"<ENT>C0";"Ppv =: se figé";"Ppv =: en figé";"Ppv =: y figé";"Ppv =: me figé";"Ppv =: vous figé";"Ppv =: Neg";"<ENT>Ppv";"<ENT>V";"<ENT>Det1";"<ENT>C1";"<ENT>Conj-2";"<ENT>Det0-2";"<ENT>C0-2";"<ENT>V-2";"<ENT>Det1-2";"<ENT>C1-2";"N0 =: Nhum";"N0 =: N-hum";"N0 =: Npc";"N0 =: Qu P";"C0 =: C0 de Nhum";"N1 =: Nhum";"N1 =: N-hum";"N1 =: Npc";"N1 =: Qu P";"C1 =: C1 de Nhum";"C1 =: C1 de N-hum";"Exemple"
"1";"<E>";"<E>";"<E>";"-";"-";"-";"-";"-";"-";"<E>";" <E>";"<E>";"<E>";"<E>";"<E>";"ça";"fait";"<E>";"deux";"-";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"§<E>§ça fait deux "
"2";"et";"mon";"cul";"-";"-";"-";"-";"-";"-";"<E>";" <E>";"<E>";"<E>";"<E>";"<E>";"ce";"est";"du";"poulet ?";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"et mon cul§<E>§c'est du poulet ? "
"3";"à";"<E>";"<E>";"-";"-";"-";"-";"-";"-";"<E>";" <E>";"<E>";"égal";"<E>";"<E>";"<E>";"<E>";"<E>";"égal";"-";"-";"-";"-";"+";"-";"-";"-";"-";"-";"+";"à§<E>§égal égal "
"4";"<E>";"un";"<E>";"-";"-";"-";"-";"-";"-";"<E>";" <E>";"de";"perdu";"<E>";"<E>";"dix";"<E>";"de";"retrouvés";"+";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"un§<E>§de perdu dix de retrouvés "
"5";"de";"deux";"choses";"-";"-";"-";"-";"-";"-";"<E>";" <E>";"la";"une";"ou";"<E>";"<E>";"<E>";"ou";"P";"-";"-";"-";"-";"-";"+";"-";"-";"-";"-";"-";"de deux choses§<E>§l'une ou ou P "
"6";"<E>";"<E>";"<E>";"-";"-";"-";"-";"-";"-";"<E>";" P";"<E>";"<E>";"et";"<E>";"<E>";"de V-inf W";"<E>";"<E>";"-";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"§P§et de V-inf W "
"7";"<E>";"<E>";"<E>";"-";"-";"-";"-";"-";"-";"<E>";" V";"<E>";"W";"pour";"<E>";"<E>";"V-inf";"W";"<E>";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"§V§W pour V-inf W "
"8";"<E>";"<E>";"<E>";"-";"-";"-";"-";"-";"-";"<E>";" V-inf W";"<E>";"<E>";"pourquoi";"<E>";"<E>";"faire";"<E>";"<E>";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"§V-inf W§pourquoi fait "
"9";"pour";"<E>";"<E>";"-";"-";"-";"-";"-";"-";"<E>";" V-inf";"<E>";"W";"<E>";"<E>";"<E>";"V";"W";"<E>";"-";"-";"-";"-";"-";"-";"-";"+";"+";"-";"-";"pour§V-inf§W V W "
"10";"pourquoi";"<E>";"<E>";"-";"-";"-";"-";"-";"-";"<E>";" V-inf";"<E>";"W";"quand";"<E>";"on";"peut";"<E>";"V-inf W ?";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"pourquoi§V-inf§W quand on peut V-inf W ? "
"11";"<E>";"<E>";"il";"-";"-";"+";"-";"-";"-";"y";" a";"<E>";"mieux";"mais";"<E>";"ce";"est";"plus";"cher";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"il§y a§mieux mais c'est plus cher "
"12";"<E>";"<E>";"il";"-";"+";"+";"-";"-";"-";"y en";" a";"<E>";"<E>";"<E>";"<E>";"je te";"jure !";"<E>";"<E>";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"il§y en a§je te jure! "
"13";"<E>";"<E>";"il";"-";"+";"+";"-";"-";"-";"y en";" a";"<E>";"<E>";"<E>";"<E>";"je vous";"jure !";"<E>";"<E>";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"il§y en a§je vous jure! "
"14";"quand";"<E>";"<E>";"-";"+";"+";"-";"-";"-";"y en";" a";"<E>";"plus";"<E>";"<E>";"<E>";"y en a";"<E>";"encore";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"quand§y en a§plus y en a encore "
"15";"si";"<E>";"<E>";"-";"-";"-";"-";"-";"+";"n'";" a pas V W";"Dnum";"fois";"<E>";"<E>";"Il-0";"n'a pas V W-0";"Dnum";"fois";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"si§n'a pas V W§Dnum fois il n'a pas V W-0 Dnum fois "
"16";"si";"<E>";"<E>";"-";"-";"-";"-";"-";"+";"n'";" aimer pas";"<E>";"<E>";"que";"<E>";"Il-0";"n'en dégoûte pas";"les";"autres";"+";"-";"-";"+";"+";"-";"-";"-";"-";"-";"-";"si§n'aimer pas§qu'il n'en dégoûte pas les autres "
"17";"<E>";"<E>";"je";"-";"-";"-";"-";"-";"-";"<E>";" aimerais mieux Nhum";"tout";"habillé dans mon lit";"que";"<E>";"toi";"<E>";"à";"poil";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"j'§aimerais mieux Nhum§tout habillé dans mon lit que toi à poil "
"18";"<E>";"<E>";"<E>";"-";"-";"-";"-";"-";"+";"n'";" aller pas";"dire";"après";"que";"<E>";"<E>";"<E>";"<E>";"<E>";"+";"-";"-";"-";"-";"+";"-";"-";"-";"-";"-";"§n'aller pas§dire après que "
"19";"<E>";"<E>";"<E>";"-";"-";"-";"-";"-";"-";"<E>";" allez voir";"<E>";"là-bas";"si";"<E>";"je";"y suis";"<E>";"<E>";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"§allez voir§là-bas si j'y suis "
"20";"où";"<E>";"<E>";"-";"-";"-";"-";"-";"-";"<E>";" allons-nous";"<E>";"<E>";"si";"<E>";"<E>";"<E>";"<E>";"<E>";"-";"-";"-";"-";"-";"+";"-";"-";"-";"-";"-";"où§allons-nous§si "
"21";"que";"<E>";"<E>";"-";"-";"-";"-";"-";"+";"n'";" as-tu dit";"à";"<E>";"que";"<E>";"<E>";"<E>";"<E>";"<E>";"-";"-";"-";"+";"-";"+";"-";"-";"-";"-";"-";"que§n'as-tu dit§à que "
"22";"<E>";"la";"face du monde";"-";"-";"-";"-";"-";"-";"<E>";" aurait";"été";"changée";"si";"<E>";"<E>";"<E>";"<E>";"<E>";"-";"-";"-";"-";"-";"+";"-";"-";"-";"-";"-";"la face du monde§aurait§été changée si "
"23";"<E>";"les";"poules";"-";"-";"-";"-";"-";"-";"<E>";" auront";"des";"dents";"quand";"<E>";"<E>";"<E>";"<E>";"<E>";"-";"-";"-";"-";"-";"+";"-";"-";"-";"-";"-";"les poules§auront§des dents quand "
"24";"<E>";"<E>";"il";"-";"-";"+";"-";"-";"-";"y";" avoir";"<E>";"mieux";"mais";"<E>";"ce";"être";"plus";"cher";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"il§y a§mieux mais c'est plus cher "
"25";"<E>";"<E>";"<E>";"-";"-";"-";"-";"-";"-";"<E>";" avoir beau";"<E>";"<E>";"<E>";"<E>";"<E>";"<E>";"<E>";"<E>";"+";"-";"-";"-";"-";"+";"-";"-";"-";"-";"-";"§a beau§"
"26";"<E>";"<E>";"<E>";"-";"-";"-";"-";"-";"-";"<E>";" avoir beau";"<E>";"dire";"<E>";"<E>";"<E>";"<E>";"<E>";"<E>";"+";"-";"-";"-";"-";"+";"-";"-";"-";"-";"-";"§a beau§dire "
"27";"<E>";"<E>";"<E>";"-";"-";"-";"-";"-";"-";"<E>";" avoir beau";"<E>";"faire";"<E>";"<E>";"<E>";"<E>";"<E>";"<E>";"+";"-";"-";"-";"-";"+";"-";"-";"-";"-";"-";"§a beau§fait "
"28";"<E>";"<E>";"<E>";"-";"-";"-";"-";"-";"-";"<E>";" avoir beau dire";"beau";"faire";"<E>";"<E>";"<E>";"<E>";"<E>";"<E>";"+";"-";"-";"-";"-";"+";"-";"-";"-";"-";"-";"§a beau dire§beau fait "
"29";"<E>";"<E>";"il";"-";"-";"+";"-";"-";"+";"n'y";" avoir pas";"un";"N";"pour";"<E>";"<E>";"racheter";"le";"autre";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"il§n'y a pas§un N pour racheter l'autre "
"30";"<E>";"<E>";"il";"-";"-";"+";"-";"-";"+";"n'y";" avoir plus";"<E>";"personne";"quand";"<E>";"<E>";"<E>";"<E>";"<E>";"-";"-";"-";"-";"-";"+";"-";"-";"-";"-";"-";"il§n'y a plus§personne quand "
