"<ID>";"N0 =: Nhum";"N0 =: N-hum";"Ppv =: se figé";"Ppv =: Neg";"<ENT>Ppv";"<ENT>V";"N1 =: Nhum";"N1 =: N-hum";"N0 V N1";"<ENT>Prép2";"<ENT>Det2";"C2 =: Npc0";"<ENT>C2";"[passif]";"Exemple"
"1";"+";"+";"-";"-";"<E>";" abandonner";"+";"-";"+";" à";"<E>";"-";" Lui-1-même";"+";"§abandonner§à lui-même "
"2";"+";"-";"-";"-";"<E>";" abandonner";"+";"-";"+";" à";"Poss1";"-";" sort";"+";"§abandonner§à son sort "
"3";"+";"-";"-";"-";"<E>";" abreuver";"+";"-";"-";" de";"diverses";"-";" injures";"+";"§abreuver§de diverses injures "
"4";"+";"-";"-";"-";"<E>";" abreuver";"+";"-";"-";" de";"diverses";"-";" insultes";"+";"§abreuver§de diverses insultes "
"5";"+";"-";"-";"-";"<E>";" abreuver";"+";"-";"-";" de";"diverses";"-";" obscénités";"+";"§abreuver§de diverses obscénités "
"6";"-";"+";"-";"-";"<E>";" absorber";"+";"-";"-";" dans";"des";"-";" pensées";"+";"§absorber§dans des pensées "
"7";"-";"+";"-";"-";"<E>";" absorber";"+";"-";"-";" dans";"des";"-";" réflexions";"+";"§absorber§dans des réflexions "
"8";"+";"-";"-";"-";"<E>";" accompagner";"+";"-";"-";" à";"le";"-";" accordéon";"+";"§accompagner§à l'accordéon "
"9";"+";"-";"-";"-";"<E>";" accompagner";"+";"-";"-";" à";"la";"-";" basse";"+";"§accompagner§à la basse "
"10";"+";"-";"-";"-";"<E>";" accompagner";"+";"-";"+";" jusqu'à";"le";"-";" bout du monde";"+";"§accompagner§jusqu'à le bout du monde "
"11";"+";"-";"-";"-";"<E>";" accompagner";"+";"-";"-";" à";"le";"-";" clavecin";"+";"§accompagner§au clavecin "
"12";"+";"-";"-";"-";"<E>";" accompagner";"+";"-";"-";" à";"Poss1 dernière";"-";" demeure";"+";"§accompagner§à sa dernière demeure "
"13";"+";"-";"-";"-";"<E>";" accompagner";"+";"-";"-";" à";"la";"-";" guitare";"+";"§accompagner§à la guitare "
"14";"+";"-";"-";"-";"<E>";" accompagner";"+";"-";"-";" dans";"l'autre";"-";" monde";"+";"§accompagner§dans l'autre monde "
"15";"-";"+";"-";"-";"<E>";" accompagner";"+";"-";"-";" dans";"la";"-";" mort";"-";"§accompagner§dans la mort "
"16";"+";"-";"-";"-";"<E>";" accompagner";"+";"-";"-";" à";"le";"-";" piano";"+";"§accompagner§au piano "
"17";"-";"+";"-";"-";"<E>";" accompagner";"+";"-";"-";" dans";"la";"-";" tombe";"-";"§accompagner§dans la tombe "
