"<ID>";"N0 =: Nhum";"N0 =: N-hum";"Ppv =: se figé";"Ppv =: en figé";"Ppv =: y figé";"Ppv =: le figé";"Ppv =: la figé";"Ppv =: les figé";"Ppv =: nous figé";"Ppv =: Neg";"<ENT>Ppv";"<ENT>V";"N0 Ppv V";"<ENT>Prép1";"<ENT>Det1";"C1 =: Npc0";"<ENT>C1";"Exemple"
"1";"+";"-";"-";"-";"-";"-";"-";"-";"+";"-";"nous";" abandonner";"+";" pour";"un";"-";" monde meilleur";"§nous abandonner§pour un monde meilleur "
"2";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"<E>";" aboyer";"-";" à";"la";"-";" lune";"§aboyer§à la lune "
"3";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"<E>";" abuser";"+";" de";"Poss0";"-";" force";"§abuser§de sa force "
"4";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"<E>";" abuser";"+";" de";"la";"-";" situation";"§abuser§de la situation "
"5";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"<E>";" accéder";"-";" à";"une";"-";" demande";"§accéder§à une demande "
"6";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"<E>";" accéder";"-";" à";"la";"-";" propriété";"§accéder§à la propriété "
"7";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"<E>";" accéder";"-";" à";"le";"-";" trône";"§accéder§au trône "
"8";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"<E>";" accoucher";"+";" sans";"<E>";"-";" douleur";"§accoucher§sans douleur "
"9";"+";"+";"-";"-";"-";"-";"-";"-";"-";"-";"<E>";" accoucher";"-";" de";"une";"-";" souris";"§accoucher§d'une souris "
"10";"+";"-";"+";"-";"-";"-";"-";"-";"-";"-";"s'";" accrocher";"-";" à";"les";"-";" jupes de Poss0 mère";"§s'accrocher§aux jupes de sa mère "
"11";"+";"-";"+";"-";"-";"-";"-";"-";"-";"-";"s'";" accrocher";"+";" à";"la";"-";" rampe";"§s'accrocher§à la rampe "
"12";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"<E>";" acquiescer";"-";" à";"une";"-";" demande";"§acquiescer§à une demande "
"13";"+";"-";"+";"-";"-";"-";"-";"-";"-";"-";"s'";" acquitter";"-";" de";"une";"-";" charge";"§s'acquitter§d'une charge "
"14";"+";"-";"+";"-";"-";"-";"-";"-";"-";"-";"s'";" acquitter";"-";" de";"une";"-";" corvée";"§s'acquitter§d'une corvée "
"15";"+";"-";"+";"-";"-";"-";"-";"-";"-";"-";"s'";" acquitter";"-";" de";"un";"-";" devoir";"§s'acquitter§d'un devoir "
"16";"+";"-";"+";"-";"-";"-";"-";"-";"-";"-";"s'";" acquitter";"-";" de";"les";"-";" devoirs de Poss0 charge";"§s'acquitter§des devoirs de sa charge "
"17";"+";"-";"+";"-";"-";"-";"-";"-";"-";"-";"s'";" acquitter";"-";" de";"une";"-";" mission";"§s'acquitter§d'une mission "
"18";"+";"-";"+";"-";"-";"-";"-";"-";"-";"-";"s'";" acquitter";"-";" de";"une";"-";" obligation";"§s'acquitter§d'une obligation "
"19";"+";"-";"+";"-";"-";"-";"-";"-";"-";"-";"s'";" acquitter";"-";" de";"une";"-";" tâche";"§s'acquitter§d'une tâche "
"20";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"<E>";" agir";"+";" à";"<E>";"-";" distance";"§agir§à distance "
"21";"+";"+";"-";"-";"-";"-";"-";"-";"-";"-";"<E>";" agir";"-";" de";"une certaine";"-";" façon";"§agir§d'une certaine façon "
"22";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"<E>";" agir";"+";" à";"Poss0";"-";" idée";"§agir§à son idée "
"23";"+";"+";"-";"-";"-";"-";"-";"-";"-";"-";"<E>";" agir";"-";" de";"une certaine";"-";" manière";"§agir§d'une certaine manière "
"24";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"<E>";" agir";"+";" es";"<E>";"-";" qualités";"§agir§es qualités "
"25";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"<E>";" aller";"-";" à";"la";"-";" abattoir";"§aller§à l'abattoir "
"26";"+";"+";"-";"-";"-";"-";"-";"-";"-";"-";"<E>";" aller";"-";" sur";"Poss0";"-";" an";"§aller§sur son an "
"27";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"<E>";" aller";"-";" à";"les";"-";" asperges";"§aller§aux asperges "
"28";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"<E>";" aller";"-";" de";"le";"-";" avant";"§aller§de l'avant "
"29";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"<E>";" aller";"-";" à";"le";"-";" bois";"§aller§au bois "
"30";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"<E>";" aller";"-";" en";"<E>";"-";" boîte";"§aller§en boîte "
"31";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"<E>";" aller";"-";" à";"la";"-";" boucherie";"§aller§à la boucherie "
"32";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"<E>";" aller";"-";" à";"les";"-";" cabinets";"§aller§aux cabinets "
"33";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"<E>";" aller";"-";" à";"<E>";"-";" Canossa";"§aller§à Canossa "
"34";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"<E>";" aller";"-";" à";"la";"-";" carnage";"§aller§à la carnage "
"35";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"<E>";" aller";"-";" à";"le";"-";" casse-pipe";"§aller§au casse-pipe "
"36";"+";"+";"-";"-";"-";"-";"-";"-";"-";"-";"<E>";" aller";"-";" à";"la";"-";" catastrophe";"§aller§à la catastrophe "
"37";"+";"-";"-";"-";"+";"-";"-";"-";"-";"-";"y";" aller";"-";" de";"Poss0";"-";" chanson";"§y aller§de sa chanson "
